,ASGR1,BSG,group
TP6A,0.46840384881211405,0.8244501668472468,Progressive
TP6B,0.5307467527574498,0.6489856423042213,Progressive
TP7A,0.3707400033848447,0.5866240485634308,Progressive
TP7B,0.3029065413826835,0.5181579523280208,Progressive
TP9B,0.2980918848304862,0.2668713906104768,Progressive
NS0A,0.5155795705862865,0.7533378401656677,Stable
NS0B,0.41880530590562104,0.5498974615048492,Stable
NS1A,0.3843501278895763,0.5987535934619903,Stable
NS1B,0.38432638777433625,0.519362033616369,Stable
TS2A,0.6913943899531588,0.6934779867326288,Stable
TS2B,0.3182214556462739,0.48031036401772265,Stable
TS3A,0.27360520509160424,0.5367145664393523,Stable
TS4A,0.5028222230478122,0.6936346560104222,Stable
TS5A,0.6129811218401895,0.6813502664697868,Stable
