group,CD47,CD40,CD52,CD19,HLA-ABC,CD45RA,CD49f,CD20,IgM,CD32,CD196,CD185,CD197,CD27,CD95,HLA-DR,CD1C,CD35,CD272,CD24,CD21,CD79b,CD268,CD54,IgD,CD45,CD22,CD71,CD73,CD305,IgKappaLight,CD23,IgLambdaLight,CD82
healthy,-0.126186922461806,0.0874097012622108,0.0528972481648374,-0.0414277251141431,0.41757776991631,0.201687852185638,-0.0866346506642269,0.0796336031738143,0.285006647802972,-0.005520197913641,-0.0739850569752058,-0.165686584289101,-0.193846266155193,-0.172400966622253,-0.217687271834045,-0.137394322389041,0.26842210347364,0.163419156533694,-0.011754481725507,0.285077132104774,0.056435871212705,0.136072523196949,-0.0805631012831931,0.0177041348262065,0.091005140443869,-0.0520452414102479,-0.0238623629862005,-0.181968276339328,-0.18200129455139,-0.154669476715271,0.120833062070419,-0.246583335258819,0.208000430926759,0.39296588524746
healthy,-0.228574292566005,-0.141375992815731,-0.178495936856289,-0.216137462378342,-0.0806927396985253,-0.130125848187023,0.0184456118296464,-0.207078271378637,-0.261662307965657,-0.412311646433583,-0.257901747532262,-0.14842798521435,-0.0965100934107926,0.206955219901113,0.22619060377889,-0.251458039350364,0.074752289950473,-0.195633486836619,-0.231418626041405,-0.0373896942033619,-0.241848273073334,-0.15408031336397,-0.172114160443864,0.0579883099223248,-0.538641927222469,-0.312493460784659,-0.0185568770453461,0.231080241202377,0.0505170577176936,-0.186805587957919,-0.234877843471398,-0.103261463304017,-0.123034055190728,-0.0145241329350255
healthy,-0.158575286131912,-0.134972929454203,-0.0489479045709654,-0.137348904421387,-0.23021590557474,-0.0306780617592518,0.0701034139067936,-0.227518059518335,0.187585733559649,-0.157979769162548,-0.0636550027318901,-0.141462796307671,0.0187281231274611,-0.136437823539058,-0.0327126397338809,-0.202184335055415,0.0648326356450613,0.28998378881387,-0.07710696685256,0.0332133081474102,0.16609142472839,0.115447768975023,-0.0709728335972431,0.0050815226656911,0.112334621951632,-0.0681199036846524,-0.230874330362949,0.0760031411149737,0.087689222292712,-0.073059201718114,0.0232104897603909,0.0002098679677349,0.0716741828314864,0.167108312030202
healthy,-0.158141713645844,-0.275551101495187,-0.157160107444737,-0.143629299227022,0.0554229377199332,-0.090168223439267,-0.098231417713831,-0.0977327988466962,-0.202707577116325,-0.197227456657485,0.0028731105782591,-0.191893282715119,-0.0056600818967016,0.184302398573974,0.307887998338637,-0.234829467051361,-0.101755731730491,-0.152484454192234,0.0146430086331414,-0.063560021316988,-0.220467796867539,0.0098426245186502,-0.120435431908556,-0.0192876994814639,-0.196821160781404,-0.176326014276678,-0.195303893843919,0.18689867171223,-0.0273028189660718,-0.0931048917887702,0.286908948385758,-0.147824612828665,-0.550174772784183,0.207711607646186
healthy,0.115768907225521,-0.0750114757524138,0.0196690440651183,-0.0334318545511708,0.272652219029269,-0.0126774526211478,0.208154486150829,-0.207432821632889,-0.0142869833663124,0.0629550134234483,0.129899298215819,-0.133101428926643,-0.106421737018642,0.212575308189043,-0.0672937166463858,-0.150149642193541,-0.0275015720139796,0.044182028086639,-0.0136879060274088,0.194304375773196,-0.0256210888976751,-0.0520757251739931,-0.0566890737442538,0.173641227220197,-0.241341919617944,-0.0119860952727834,-0.210960238175175,0.019048467731358,-0.071104620249941,-0.223262095751294,-0.115228018064209,-0.190926644224179,-0.0076503662302421,0.315728240521271
healthy,-0.314712562588977,-0.339134582649449,-0.175815121502689,-0.196691713291089,0.0101896036638901,-0.163814057677214,-0.0854348463295983,-0.14370401582581,0.0880719176198957,-0.107802140050671,-0.28135991731374,-0.196249208764454,-0.0147326936178245,0.117263472317908,0.343803592921598,-0.147904102794684,-0.1572756864113,-0.197264153799139,-0.184222399578721,-0.199931154446207,-0.276071351913921,0.181019059878346,-0.295954069329429,-0.230606594590365,-0.0543371170432103,-0.227070349348523,-0.115017903781871,0.201828461189365,-0.345852352577062,-0.297284189258973,0.293353873819877,-0.147081769054914,-0.210493836844923,0.052321755271968
healthy,-0.0955990137003224,-0.176336089117611,0.127090628596668,-0.0834463994195538,0.186294141869182,-0.131296934518411,-0.0353113378399406,-0.183820728536412,-0.257446207763647,0.0147832396154544,-0.271362291146524,-0.305245598986509,0.061325045526686,0.0821175033360216,0.0798879899606029,-0.285554144748776,-0.270211726179627,-0.018817938180927,0.0348384904118979,0.0736005331205472,-0.204129164264591,-0.0410753014727689,-0.155661305696877,-0.0333528204402401,-0.407714838688056,-0.0640703791039361,-0.446187128855774,-0.168403189027004,-0.196922502347422,-0.196763680215619,-0.0741252244547428,-0.142354185554342,-0.127106884002302,0.354410788401466
healthy,-0.274029970298835,-0.489292413379814,-0.0932647772178105,-0.266700163960438,0.14998177151395,-0.170851309794558,-0.0441999781968511,-0.314428437718255,-0.312598052550662,-0.067408959841963,-0.251389871126512,-0.474158999541812,0.0804111704246026,0.421269559824981,0.394248421808864,-0.469701319994862,0.123961450608925,-0.248453892565724,-0.259801503311994,0.132638399782779,-0.337895808595119,-0.226855858001194,-0.44416886807709,0.16486798025953,-0.480846589445031,-0.240375824524553,-0.480618398459863,0.0517257094139538,-0.355447580244044,-0.448432772696692,-0.596208653082392,-0.308547778002018,0.406095112246571,0.29044117232247
healthy,-0.45618175543388,-0.477894547520415,-0.217115586179522,-0.345108813624495,0.177099582645447,0.0420245722188801,0.0345771989542823,-0.393245735558618,-0.0368327260937073,-0.0686403413566197,-0.193610737677981,-0.371575884536118,-0.113525002959053,0.382806846723339,0.234785623788732,-0.614277563120585,0.0057761499557649,-0.0595360289263802,-0.411754042289754,0.111250995790504,-0.338719830848256,-0.0968434598924034,-0.44768154008098,0.326732148303127,-0.473879462796016,-0.273544241777734,-0.552054296963028,-0.220985898847058,-0.224224211616674,-0.475834323348474,0.110488107084475,-0.559402072921682,-0.286090540858625,0.345242278451496
healthy,-0.231300846640448,-0.232089819458639,0.195651885739187,-0.0968586653741569,0.338679078685854,0.139051843991572,-0.25421147660452,-0.100998207259991,0.371247337587557,0.0025184932524699,0.0068527109254402,-0.142272475393834,-0.053226655235795,0.219027211166776,0.0166558653484679,-0.368816042878,0.378568836700793,0.0911654832761626,-0.232447469836813,0.494487281214822,-0.119489516823561,0.286347831280713,-0.2012451733248,0.317835729269251,-0.344397021307743,-0.0131506403379313,-0.271274322171605,0.0082315122206135,-0.372283133583301,-0.417041639269398,0.12357284507188,-0.394365826126006,0.0044304917561015,0.60822042397336
