group,CD40,CD52,CD19,HLA-ABC,CD45RA,CD20,IgM,CD32,CD196,CD185,CD27,CD95,HLA-DR,CD35,CD272,CD58,CD24,CD21,IgA,CD268,CD41,IgD,CD38,CD45,CD22,CD71,CD49d,CD73,CD305,CD319,CD99,CD82
healthy,0.376996719974081,0.144322191511511,0.335884228640654,-0.300927741601564,0.125154866646043,0.2705584949471,-0.128093600174553,0.17712192072868,0.22971125659538,0.352317114181347,0.0203404106535363,-0.107283590819207,0.489634875655089,0.334265991600983,0.195994304045015,-0.0611541890868904,-0.214925208493692,0.427347163963524,-0.119010317626273,0.466319722920626,0.0788155449762793,0.308352913050861,0.209684699034779,0.293887406315622,0.364755129150411,0.0908751924519582,0.100015781762205,0.514616814140778,0.513062821160642,-0.0527952006742136,-0.0999258153175508,-0.3769323534686
healthy,-0.10712375572835,-0.172891033796304,0.0043098430741449,-0.193093270671226,-0.25567133827904,0.0003054862708971,-0.262262529526843,-0.248365327698489,0.0500228826821764,0.0025941381264901,0.085862694110648,0.102288838529157,0.0015699564381754,-0.0394463835247719,0.037163383226619,0.0983694557390155,-0.371880114165092,-0.0572263389222753,-0.0428764855474399,-0.0645516738183743,-0.155703370236375,0.0674255591498276,-0.0572970106012699,-0.276865222601686,-0.0277530255973425,-0.0028889716600768,-0.199683608705934,0.069279849554846,-0.032774845127567,-0.0688693515043126,0.0217221883335296,-0.227009010160866
healthy,0.0277578570926959,-0.111225503956356,-0.0985865702466525,0.09526709738508,-0.128021136325579,-0.138131423941783,0.10366709325893,-0.159958198698826,-0.187422683749088,-0.0545586933830836,-0.0245562494345683,-0.135441320106562,-0.146245635361172,-0.0786291041817878,-0.324097586383788,0.0298567319764686,0.210258966177107,-0.0379566661440533,0.0024305097624828,0.02333355557314,0.0522949283751577,-0.299957772457585,-0.332149701551573,-0.198325144086673,0.140894195489643,-0.0829940406020011,-0.0841406754115993,0.050474726002762,-0.349272495330079,-0.0901661409884665,-0.147205888503778,0.0294403750050025
healthy,0.179748384865662,0.162243196398794,0.0703533026113671,0.0988839839462001,0.0207299512308992,0.135992639815326,-0.257558787058627,-0.0989201275546139,-0.12006647776436,0.079795522958559,-0.0232208517549163,0.0135561759749757,0.0201846618919868,0.0557841905090482,-0.151236090181745,0.0853411025909066,-0.0344427518623174,0.0095008403389469,0.0580358265966196,0.102642919221232,-0.044036293496004,-0.17982726351786,0.0012787815471577,0.0946680138330992,0.135317333986875,0.288638383695288,-0.051683827917016,0.230781406660106,-0.159987270980933,-0.0978523596883281,-0.0667783041325426,-0.0023701411554973
healthy,-0.0904166376673304,-0.148086779671658,-0.206368755926119,-0.140755853801948,-0.139221791591062,-0.150786193572987,0.0537463475632904,-0.209337248782562,-0.237318026954055,-0.389700046629707,0.0777353273962478,0.134397477004603,-0.229530615814508,-0.291353242330486,-0.26892190617451,-0.0906272257427089,0.0321982981547326,-0.21539379713307,0.0920760248175681,-0.341761266253794,-0.385757660484447,-0.233247526221034,-0.18946827272914,-0.209311562933459,-0.0270947334930328,0.0775601235213342,-0.305763211811349,-0.346517446213482,-0.348886617463922,0.11100591809447,-0.0815236642954946,-0.172388574493552
healthy,-0.590954655888279,-0.390193336952878,-0.637397963204176,0.0537649394688536,-0.418395141631976,-0.566153425310769,-0.220073364946857,-0.449535793149758,-0.596716329135192,-0.616255389800599,0.455200658483122,0.584445854633799,-0.622643477293481,-0.41618052323188,-0.52595609785621,0.338300693362316,0.0118660958930762,-0.65000892435398,0.444819939619581,-0.702668947946302,-0.136381157776207,-0.80810734292958,-0.188331602467584,-0.567675873371308,-0.588439518652142,0.364384359261522,-0.150170011836493,-0.601712923221873,-0.752274814455117,0.320574211236495,0.512808979502659,0.142527959324674
healthy,-0.238362364243755,-0.106033109045127,-0.153121712316343,-0.103211821707051,-0.308441864683475,-0.39954797587049,-0.207649632984484,-0.207817884999093,-0.253198410316658,-0.150555348132352,0.075570965282528,0.122064332170742,-0.271826591692364,-0.405365670255441,-0.0873803542451491,-0.134795251965282,0.0648496379696504,-0.447373289947765,-0.126952674503523,-0.472735781549062,-0.310627121830127,-0.24293500703381,0.0525489207627352,-0.240449845818973,-0.339497702718844,0.0342460451526891,-0.267000578040446,-0.228762277386637,-0.145496979544168,0.0554233376332958,0.0579855952656064,-0.12072772108746
healthy,-0.452601196489337,-0.0225388933803807,-0.336859364256625,0.199497158064097,-0.245687538251139,-0.225742379752101,0.221119661960992,-0.217293120172067,-0.518887297256712,-0.421498246203952,0.259279327266064,0.170689015217969,-0.286118519973706,-0.240131168847602,-0.629539904545702,0.129343833814033,0.140146609201416,-0.348105653492824,0.221252591463125,-0.582154551748433,0.260114889306035,-0.439405183363093,-0.262392983687536,-0.255899175664342,-0.335845763719559,0.0767710228030484,-0.553123326511333,-0.460439215730641,-0.686352815174335,0.0103221675834672,0.0756590350208983,-0.0343771829836756
healthy,-0.277762445074938,-0.0410353574507408,-0.262619465513927,0.463218352576481,0.0521647988389906,-0.193348223249569,0.0723768592828492,-0.0711738475182803,-0.395573615386283,-0.392349501031586,0.432798008580929,0.37826016817525,-0.280208262269054,0.0109186081488507,-0.649017983429867,0.230866397246033,0.201899666727036,-0.352243443679483,0.343871985866118,-0.385304998497869,-0.226131124013311,-0.697026986633643,-0.495571655430866,-0.175398011647306,-0.328475330670863,0.06623011317127,0.0697913484921376,-0.113012958607529,-0.699221920310328,0.168417101311653,0.257672618502257,0.203663475395249
healthy,0.0329191339208163,0.0577487848664483,-0.0277652611096788,0.290798923653716,-0.0192072702466418,-0.0534413141281013,0.253544512867991,0.0213313944964665,-0.122256201648659,-0.147580559979476,0.153110143094815,-0.0196786251795702,-0.0470243740918169,0.0146306895545066,-0.322224692706241,0.0105658159026691,0.0940567967475998,-0.0567655594412092,0.0311685577072187,-0.133828006351043,-0.0035622580250477,0.0128693284756482,-0.448190472657625,0.0361658566871485,0.153069474534082,-0.0533457696564659,-0.142509811219109,0.109029981310936,-0.244968389100241,-0.213423628838163,-0.0397784430757136,0.196011991658582
