group,CD86,CD47,CD40,CD52,CD19,CD45RA,CD123,CD20,IgM,CD32,CD196,CD185,CD27,CD95,HLA-DR,CD1C,CD1d,CD35,CD272,CD58,CD21,IgA,CD268,CD41,IgD,CD38,CD45,CD22,CD71,CD49d,CD73,CD305,CD319,CD99,CD23,CD82,CD224
healthy,0.0680001569655909,-0.445042775208657,-0.462088154342497,-0.394912121036845,-0.551116118321539,-0.333333398903657,-0.57918172898018,-0.475696929001291,-0.0408247214624327,-0.472271361019025,-0.410785308116736,-0.476905112084821,0.219721031237822,0.350794858664004,-0.550260974523744,0.0250339388188598,-0.272152590437057,-0.476598094670655,-0.457971052937084,0.17445209918978,-0.649378679011954,0.20397093521346,-0.612229054051032,-0.262979282447651,-0.545822530337211,-0.150169727015005,-0.464008440307349,-0.396007116589975,0.0530465331182445,-0.269968165328586,-0.5871109756659,-0.685035746540697,0.0581767687610316,0.242488733869545,-0.382061347382845,0.184886290503007,0.197750321792655
healthy,-0.0764240053535736,-0.489219811138777,-0.499076685924221,-0.0126739053117982,-0.46591276748096,-0.139984449264745,-0.547864899621292,-0.140958178796886,0.206577311168224,-0.280318213148892,-0.408012650718371,-0.436889320766235,0.216233525709454,0.24074858102124,-0.745406886425289,0.193687239837303,-0.118456445585279,-0.490923150075724,-0.461581378811283,-0.146953019666324,-0.648793278188215,-0.0440874680963999,-0.650037154137294,-0.397200630273212,-0.523712130998513,-0.197336971048587,-0.323453067842751,-0.49436823796841,-0.109470611221199,-0.129064384964922,-0.553496636331786,-0.743419213467938,-0.0806959680446839,0.0507220102006668,-0.439706772218214,0.324563490257882,-0.0299120427538209
healthy,0.115831139989494,-0.234438231612045,-0.465334591874802,-0.0595409573768457,-0.316610745539231,-0.120113620153933,-0.346023956896951,-0.0640079633975923,0.156187677119224,-0.146453401472349,-0.178051048761759,-0.396256932829272,0.126928983421874,0.239296892430619,-0.225537866149009,0.193078665626691,0.0023398437455362,-0.352697238194413,-0.276504957651498,0.0952704223134901,-0.418593184596,0.0688644432703472,-0.475837699312386,-0.0497763149477827,-0.337720424721382,-0.306353379453621,-0.199208932157421,-0.29218534259165,0.0660841063040524,-0.0933836654669515,-0.473091281580423,-0.535399176226432,0.181771103375685,0.29400470997292,-0.237428786550396,0.138456434687147,0.158284201474372
healthy,0.191508610456478,-0.486156502670448,-0.492214550840695,-0.327096938482138,-0.500404971372713,-0.23066958333923,-0.366078075411072,-0.396682986147313,-0.122676734607172,-0.425454629094944,-0.596126460338089,-0.602631124071276,0.608862406793928,0.464851830773842,-0.51968850629341,-0.184838147207481,-0.215995138971457,-0.275668038476388,-0.704480753723586,0.470215921714062,-0.573380560984756,0.362842581454046,-0.566306271083406,0.113059832227936,-0.671462431918113,-0.518288004881447,-0.423830059883191,-0.604353662100376,0.136542179587334,-0.157239958773633,-0.425152943329745,-0.786573370382789,0.0538726473975913,0.322237140685814,-0.518650714100632,0.22545532358846,0.155144021479622
healthy,0.029867684626872,-0.232444514055357,-0.201781548538611,-0.1462546515864,-0.35123493944575,-0.105044371882259,-0.244380764910695,-0.114193472796275,0.0756189561999446,-0.3070029368209,-0.285681242365302,-0.245469799839983,0.0177320466160335,0.166447495944442,-0.262140725100492,0.115899340770893,-0.0644166456584342,-0.270288810411132,-0.477779649651167,0.0706684119864432,-0.38720026681675,-0.0354532771382737,-0.430995992206667,-0.227137687575829,-0.239289704322124,0.0531023871897797,-0.238158553770234,-0.221594720071684,-0.0377687344673214,-0.219780553583075,-0.38146152078839,-0.346942968339951,-0.041950905986053,-0.0201038654332834,-0.142804330448358,-0.0888135174463477,-0.0118999370180228
healthy,0.198402912223246,0.0690251669695198,0.115003840260952,-0.167894373023825,-0.111391037912956,-0.259568779851328,-0.0069816776056236,-0.0926175257561821,-0.28607653525638,-0.266879972558447,-0.28679121243449,-0.16229929700292,-0.0381470457307479,0.213584462269282,0.0407915413176595,-0.213090153751463,-0.0491311581556976,-0.155322546637324,-0.236693843187947,0.128817765566065,-0.0935539275307941,0.0877156064306065,-0.0570552970590127,0.347825438904286,-0.0710415767860332,0.138887191949931,-0.147526659420367,0.0859087233535843,0.216356742708541,-0.118714957689864,0.195768948126839,-0.0738413906373876,0.0965089629058436,0.218499193646351,0.0211033124019327,-0.24116960162932,0.0915063864294678
healthy,-0.0765578970169313,-0.0916406652261089,-0.390928426185458,-0.122701000091652,-0.192367132232904,-0.368318519862144,-0.0433146450961975,-0.210583024064597,-0.285249082089727,-0.158737529475785,-0.430638031945051,-0.197163329297545,0.0233000004529298,0.240943296484523,-0.176785779067658,-0.160640294460718,-0.343843496707543,-0.373826486608653,-0.168389679660268,0.0164209576537882,-0.356841490448532,0.0127269170629429,-0.368402293127571,0.014915863276369,-0.292051442027051,-0.0873581389380014,-0.224277163069109,-0.230082422358984,0.0797020227596212,-0.354942944838656,-0.42814897266936,-0.340925192509339,0.122056664415726,-0.0029688503288509,-0.164985744187681,-0.124873475128982,0.234305645210013
healthy,0.101972034947925,-0.279600522121838,-0.614069751874322,-0.13937015013336,-0.343863572826391,-0.214848619936683,-0.103660223072902,-0.279059795559399,0.07321236387826,-0.250519696521899,-0.561378471075321,-0.619101129141202,0.445311551218681,0.391972886529307,-0.469308419406267,0.193470176262323,-0.332469137518502,-0.351216674162017,-0.620820908220085,0.189227483208721,-0.455670761329073,0.405484640102256,-0.662304458576162,0.0776390579625451,-0.472827501560733,-0.198927660161254,-0.35981382556725,-0.571303895254443,-0.0502290464722221,-0.326659369035206,-0.680152078055211,-0.615229894783554,0.162153071997392,0.261966886151364,-0.378840198833391,0.327480894373259,0.125483598894867
healthy,0.174216488377756,0.0448757509704754,-0.0710097154219064,-0.0026389397106159,-0.0071880872493627,-0.075605157561136,0.16706970386024,0.0363637491268887,0.332194973310163,0.0650618026656082,0.0592253942989938,-0.0516019861199029,0.171395553790833,0.114410173163155,0.021015387096174,0.164348086522871,0.0201475960608081,-0.228003857640556,0.241365244005113,0.0290716710733741,-0.0186217140682222,-0.0529216228900071,0.0490980752118015,-0.462306099709341,0.164713637783459,0.280397399425286,0.0164414316635553,-0.0880551338244182,-0.0528914803401575,-0.190206697878888,-0.169469520526749,0.0676846545800772,0.131801843390694,0.159168857711775,0.142091341143669,-0.0572502741858613,-0.0117681297223815
healthy,0.223478753258019,-0.361800016581242,-0.300925632751381,-0.099455176722432,-0.400389363126195,-0.254394801040139,0.0165498078848208,-0.314041375500997,0.109399052875597,-0.369534330079183,-0.395446312761751,-0.486686497523553,0.314128152407682,0.343626226433461,-0.494209520048358,0.0191617286313454,-0.223229090508005,-0.406559624044181,-0.624713230287358,0.140065387182033,-0.536913492574016,0.255448611171016,-0.556867382997307,-0.0849349879917884,-0.566500984126665,-0.113330084330766,-0.373274886048765,-0.44580305190922,0.0996337397646408,-0.219661142021322,-0.549080722126662,-0.683107258849255,0.0404341074055413,0.241220811235751,-0.518604051443711,0.342320293954172,0.267059550079754
