group,CD47,CD40,CD52,CD19,CD45RA,CD20,IgM,CD32,CD196,CD185,CD27,CD95,HLA-DR,CD35,CD272,CD58,CD21,CD11a,IgA,CD268,CD41,CD81,IgD,CD45,CD22,CD73,CD305,CD99,CD23,CD82,CD224
healthy,-0.222435511859487,-0.384858325732968,-0.262424512090506,-0.351885871368051,-0.229838128345073,-0.352852268973488,-0.149552019598987,-0.320119947178544,-0.0671693733654131,-0.332462329903599,0.376027019341622,0.379955293748671,-0.319912246013009,-0.301622760740466,-0.188291867409497,0.115890745563429,-0.444403021818397,0.0099571326141503,0.232423094332347,-0.433178826308789,-0.303054535368814,-0.110795841840019,-0.302007027907359,-0.297508827379405,-0.215599029824882,-0.299292838899492,-0.389801745836149,0.277813547790545,-0.0752081706267781,-0.0800356302085842,0.126396629864098
healthy,-0.309372590650844,-0.383569676123947,-0.149283388365997,-0.372298531794868,-0.184387421770838,-0.181359808535013,-0.0673247196305067,-0.282570559188098,-0.308988019215733,-0.343230308279842,0.0561349413453744,0.26483164712594,-0.441970280441798,-0.400322328807194,-0.325588951320094,-0.0387996242063747,-0.565201416671318,-0.123055404531999,0.009770011120646,-0.487352337377835,-0.12073110808782,-0.100852092348762,-0.379346248281517,-0.249333829065616,-0.340953442838582,-0.392323897725445,-0.454915178822641,0.0673716409255388,-0.165960245242516,0.103353329708661,0.0733313532977537
healthy,-0.138680088698335,-0.220559914261104,-0.130349437403037,-0.207545941118464,-0.108184124188317,-0.0210139995137728,0.0759872277127657,-0.0746035388460608,-0.223787431979223,-0.275527482439435,0.132999948618218,0.0738177253427687,-0.092086902052233,-0.251933245557805,-0.179648636918365,0.181525864748958,-0.260238841732758,0.0516542304597843,0.137386753972777,-0.290873260147883,-0.0498082410334818,-0.0127463967456192,-0.119241626329888,-0.158128291921502,-0.192623264609256,-0.405499203280616,-0.150359327467639,0.0874998209851216,-0.163582876113972,-0.08598379265995,0.048562236374364
healthy,-0.302802219586007,-0.360293592298982,-0.325368622522323,-0.407381486318868,-0.283752913044538,-0.390660116987617,-0.301769420630725,-0.385023074410268,-0.483847755440968,-0.366039734694654,0.233191026081239,0.339687369108059,-0.429674048775751,-0.257455005462596,-0.239004804903858,0.246565933515191,-0.368709163885325,0.255003689050569,0.2671317092494,-0.437253874350749,0.179969248476318,-0.280396100908844,-0.379307029527312,-0.336237955592794,-0.290356839494334,-0.121456792679117,-0.370492941339381,0.26786889234698,-0.155075481326989,-0.0735108650474443,0.160569942719058
healthy,-0.0723950786917173,-0.384861534758771,-0.0580032919813942,-0.318756747674759,-0.153838083023299,-0.181290034657856,-0.0792973544207389,-0.223653113030991,0.0073902588038754,-0.174275417480618,0.121535091779248,0.0640341409914364,-0.221983080183113,-0.307278679737114,-0.215460527285772,-0.0141800967924209,-0.315774544954631,0.0780936745438545,-0.228971643911566,-0.325024830280209,-0.0688661370093357,0.0022976887356282,-0.153089457631424,-0.146406408975128,-0.36314862261225,-0.392198461984909,-0.229023855613237,0.0081771845793704,-0.125921644269246,-0.117409519674638,-0.0910792446026344
healthy,-0.388380755989684,-0.478801153814367,-0.363929131609062,-0.597619257315824,-0.341401062782564,-0.54348516500388,-0.227381496678129,-0.44604649195446,-0.459455791490963,-0.58882212891141,0.461544304551211,0.542861188823299,-0.552076428515142,-0.356325195814005,-0.45665718100802,0.263893397613777,-0.569128803917266,0.157076238948257,0.462783043330492,-0.607889741857495,-0.173379775375915,-0.134719806243387,-0.768936643017365,-0.488018615820585,-0.412461610783463,-0.508773007565389,-0.723420540576342,0.49535792945171,-0.351015868402069,0.148872121611986,0.190113927204281
healthy,-0.226808650933555,-0.302162684438431,-0.0878125229571583,-0.171804824959187,-0.27851623435516,-0.274189276944583,-0.412363604156498,-0.0977906765826229,-0.346757617719655,-0.352818877389051,0.130736189041039,0.0967730293324627,-0.313727553056412,-0.386021685990798,-0.0213897548827545,-0.0480955684636114,-0.40328461195481,0.0606567967235208,-0.0364808945126024,-0.379389061662646,-0.137539256941132,-0.093396452624119,-0.537615410886431,-0.191311445673862,-0.460393511583539,-0.291306187589418,-0.374823560950764,0.0771160771160919,-0.147363399965224,0.0573898121197633,0.119750815638524
healthy,-0.175014308902366,-0.370869546344303,-0.343572675275219,-0.301762763602294,-0.279601659249409,-0.404361200652623,-0.356782449734161,-0.248919758479358,-0.323804806531322,-0.554707669101125,0.296238982624938,0.203238717416109,-0.260527091251162,-0.381844146328524,-0.180339483436843,0.186196934150285,-0.357019669787416,-0.183607193773473,0.287760694713027,-0.309996968240329,0.212941218479833,-0.551184059847239,-0.389876634902789,-0.384279442987858,-0.399774826389271,-0.346061074034808,-0.186210949963276,0.268338274468251,0.12113446362134,0.1881007778371,0.118573999375825
healthy,-0.187700996189731,-0.234866362563421,-0.205130272452694,-0.267491115673007,-0.190149405540843,-0.203266737007498,-0.020845619103455,-0.174988681398421,-0.112230911741516,-0.226278495184792,0.0489837354019049,0.0229990310422165,-0.360768796631088,-0.238013873858815,-0.23024732912278,0.134980678390861,-0.323441032311349,-0.0151083820585243,0.0939443928393268,-0.308493318904847,0.115572723318068,-0.181177049365878,-0.449497674122453,-0.288481694875309,-0.441869848220599,-0.272572318384035,-0.242076666532101,-0.0478468177472488,-0.119292144523893,0.0674159478718115,0.0700402843384004
healthy,-0.290493062641598,-0.261010297574026,0.0773821748550331,-0.268544067149315,-0.110222986410395,-0.238932226961558,0.160697109354947,-0.205046760476952,-0.256156711519915,-0.303187544093913,0.395376832629923,0.233956055096045,-0.522585754136994,-0.267761466875429,-0.498934702844351,0.113572821612289,-0.516943783237297,0.0672893650924392,0.154391577875188,-0.435113911511899,-0.0236646842328878,0.124627541996478,-0.580494883511017,-0.169989699385811,-0.302189756785492,-0.563776976437793,-0.604713252583045,0.205569608077135,-0.575353101779746,0.558896969686578,0.204788900433155
