group,CD86,CD47,CD40,CD52,CD19,CD45RA,CD20,IgM,CD32,CD196,CD185,CD95,HLA-DR,CD1C,CD35,CD272,CD58,CD24,CD21,CD11a,IgA,CD268,CD41,IgD,CD45,CD22,CD71,CD73,CD305,CD99,CD23,CD82,CD224
healthy,0.175210534854929,-0.276070823394736,-0.351054998022059,-0.389014892369298,-0.362348030028208,-0.42058112043116,-0.394122290189115,-0.370289500274014,-0.414986080510802,-0.247245414072478,-0.341174033964417,0.428772721279305,-0.261424531197158,-0.219051081661505,-0.393233418755988,-0.445430624393732,0.183850519658379,-0.238775145094832,-0.449921591150393,0.0282737882822428,0.210685366197532,-0.393283618491282,-0.0115565808385849,-0.466139446314771,-0.3657414983763,-0.112774651022314,0.137951406924542,-0.203659235602634,-0.387879491213343,0.282021047539161,-0.0337483730337501,-0.125810611828144,0.175255886263775
healthy,0.0601602350960165,-0.316605341678497,-0.33613713907017,-0.134614101078711,-0.337304005519822,-0.171759241253418,-0.10559362859437,-0.143443240158929,-0.432416289104389,-0.209173792809398,-0.306262523898262,0.299082360563566,-0.492731833072146,-0.0101442883384195,-0.355065466060252,-0.32613316307109,-0.0640432834621733,-0.0953575883203361,-0.52112457262582,-0.0118072499211413,-0.04683857480349,-0.397421957585435,-0.179438738003103,-0.541905218453064,-0.306266722220233,-0.179772214098595,0.0843887282983546,-0.200112442026967,-0.492906065820097,0.121209556194959,-0.240312156679875,0.116715423223014,0.038750444238279
healthy,-0.0380310724619146,-0.188679432618876,-0.294086096187589,-0.184660540108596,-0.297356718907957,-0.110354814902102,-0.197160714540828,-0.0872491783998368,-0.231023511681417,-0.146347078031557,-0.23452672623611,0.272034742275269,-0.231746041590434,0.0812125032238105,-0.171970340642333,-0.330851856075395,0.204686028250679,0.0845050371390536,-0.297094640517241,0.0611335216165681,0.143213955869541,-0.370907247228377,-0.0502693956046913,-0.424850867412713,-0.251885802184789,-0.215692799419597,0.121677143623657,-0.255986353279139,-0.421517389905482,0.250126366565688,-0.144217953722709,0.167718459030518,0.183262379224317
healthy,0.17673517771723,0.0615535020448447,-0.0201817905590116,-0.020688862055086,0.0381297386989987,-0.108925067091445,0.0332342117379945,-0.169261228107894,0.0155105366833819,0.228346728945117,0.0056250304508454,0.363756938679241,0.175520799112185,-0.129600922169218,-0.148515241873876,0.204662970850446,0.175160672707488,-0.458727690745546,-0.0973528092624895,-0.186387404056395,0.0132036391722464,-0.013966218869339,0.126417574978665,0.0984842007594935,-0.0332306529649983,0.0526225859728897,0.124466420422743,0.045563589651151,0.112471512178698,0.257839013323866,-0.0869036137446392,0.0637980962534678,0.0208524708035721
healthy,0.0357520225271602,-0.123231618216343,-0.0832712426065692,-0.102366166937792,-0.158464006511644,-0.0894231555600775,-0.0430546129181445,-0.10595923955698,-0.0984296955080513,-0.128403578569251,-0.0700822199019904,0.122860571561483,-0.152215350714042,-0.0195053764613121,-0.191516559933577,-0.112928933479477,0.0134445783534299,-0.0087581622426052,-0.23383357682303,-0.062201264368394,-0.0662068682690808,-0.137273605569964,-0.205555549679482,-0.172327450126113,-0.0630918942821654,0.0433419256125345,-0.101838162698824,0.0217830119969271,-0.0266075966804286,-0.0266029147039358,-0.0353831854809671,-0.0019234861155905,-0.0188229309390526
healthy,0.377155990427868,0.127478609088602,0.0040748935676385,-0.208026551600495,0.0124785033212658,-0.243260265828935,-0.0548711039643428,-0.381784435177348,-0.218096969198349,0.0013851862095605,0.0311188122757283,0.168429329865625,0.0629603534030807,-0.459728749936548,-0.265484161823059,0.233891235206475,0.0960463879694171,-0.588967330551879,-0.048390162327482,-0.0191299047964761,-0.0373972302005639,0.0576649810800805,0.190537756176222,0.170344098627607,-0.0603530794210136,0.0203434141994194,0.173090185590655,0.250427581353008,0.310220880815553,0.194179295301177,0.268042468033729,-0.615261828920669,0.222742971808362
healthy,-0.0483910069747308,0.0063638343022644,-0.363931378378755,-0.0125449052647478,-0.19512787955741,-0.382115000906947,-0.195244677108766,-0.47675074717174,-0.0607545800834391,-0.469698216917026,-0.35073135368484,0.214072258367588,-0.349359695265736,-0.254909321494653,-0.350025622248527,-0.0643204354295364,0.0697103753433582,-0.0455767879767967,-0.376805284984468,-0.227540083759097,0.121253648236372,-0.404281157519808,0.0421304460735469,-0.532889105554588,-0.248913477235625,-0.429548892160813,0.0383440929559238,-0.433303030566534,-0.47559327456617,0.0370517836117907,-0.172958043062234,0.0570461605501839,0.280778175697426
healthy,0.17558643586843,-0.112574637654698,-0.347115836892195,-0.0029958669880392,-0.270700949761615,-0.216560004231237,-0.217308231747439,-0.132682441271245,-0.175441612178497,-0.256988632462811,-0.454138363395877,0.371111160994346,-0.372719098746496,-0.0350550290049158,-0.299009811220244,-0.657624151061771,0.216656707232162,0.105186571282885,-0.345192872580287,-0.0578842337742134,0.453137274172428,-0.499651017056469,0.181267409349685,-0.492816618790476,-0.226242737005946,-0.422779617039698,0.203308251226396,-0.391824082800883,-0.654770140655105,0.2744694143569,-0.287040903170115,0.0447915143633286,0.150523836933903
healthy,0.0804050704241909,-0.198572213150237,-0.259435556645597,-0.115316393676468,-0.219050601901525,-0.161369147662786,-0.0658293479162714,-0.0430707277064033,-0.0717258231569285,-0.335811275630119,-0.219787903774533,0.288272995513083,-0.187222074063967,-0.375639234390439,-0.322159409819924,-0.151254559407284,0.192297114005656,0.0338738375965146,-0.358820738523563,-0.118308889514446,0.107877055850868,-0.306756760948767,0.0459044318958481,-0.241882576406917,-0.196100199083348,-0.345905849218756,0.0923544821358323,-0.432362546064056,-0.238682038919641,0.290647244898995,-0.0747399513197675,-0.0891379269037941,0.217745360724768
healthy,0.0558164057469253,-0.292331169069945,-0.246275940216844,-0.0100604567045059,-0.330365636310669,-0.238167597854985,-0.26898067370289,-0.064410588052721,-0.334263057478103,-0.330686467886962,-0.360616930767383,0.318948645157915,-0.485154034805555,-0.15559948245162,-0.380930733268218,-0.446216973959695,0.184972044636658,-0.020487823866538,-0.543288200408134,-0.0526073589803283,0.15774124819044,-0.4348631773615,-0.077225444189548,-0.607832590071037,-0.289636430517641,-0.386672173386575,0.0889981076252158,-0.309288472334931,-0.549122691297879,0.259015659135387,-0.419687640085478,0.331754294120791,0.193994441160606
healthy,0.115281677872354,-0.11167304540318,-0.23438923968543,-0.102586480625889,-0.369785916200813,-0.117577498961537,-0.29448833181802,0.118747838802983,-0.273255495477732,-0.229504793997234,-0.383644146402304,0.432390886654306,-0.424079744480003,0.0692755986944446,-0.295339823862913,-0.470498408302839,0.107839782639806,0.221471760894671,-0.4671165246287,0.0051911578700132,0.2817940881349,-0.434967584821553,-0.192489494741825,-0.355818459934576,-0.227077601500029,-0.226273611789757,0.148131846279523,-0.398533395133573,-0.636690203888896,0.339783738317519,-0.189532093046882,0.43371971465393,0.386677523634162
healthy,0.0,-0.432536314467899,-0.464280183954585,-0.383003728249101,-0.525661955423655,-0.0938051194668984,-0.0712680595875801,0.258439670998298,-0.414931316275558,-0.245517589837278,-0.241072114547176,0.262630475516207,-0.305097777034283,0.105820122018041,-0.170895871504982,-0.300200394936376,0.0,0.190695739813497,-0.472368477873031,0.0,0.230132412353224,-0.608707516404885,0.0573604991912991,-0.379937104321187,-0.308885239378408,0.0260503445523343,0.172553056089603,-0.250425557266051,-0.516810931738153,0.1966542338159,-0.0091078916192769,-0.12450082110114,0.1966542338159
mild,-0.0622261960454628,0.189518204039684,0.323166423320333,0.187319630614878,0.312578296317853,0.17342591599566,0.142514190552242,-0.172657928629678,0.199484604302976,0.0321150098184164,0.386219554302892,-0.166268675099208,0.223310245999522,-0.116497280142992,0.349681254083999,0.174990944234257,0.0061669372611289,-0.0724654231345597,0.245871523314848,0.147949103015807,0.287642774020306,0.300489067188251,-0.236504295969129,0.0075545376784635,0.0946319884024783,0.284551411805629,0.0159712527156639,0.484971627461498,0.262625929880201,0.154375421046941,0.0825276075479723,0.187571489045639,-0.159046498789741
mild,0.117289621704778,-0.205568112552917,-0.30169423952327,-0.0385062300005361,-0.229016686311342,-0.230405820474879,-0.157708836120308,-0.18649756908094,-0.212966349199924,-0.192936841517537,-0.213803706356389,0.235077151579355,-0.277356949442412,-0.138391111472603,-0.413601845730301,-0.187610588776407,0.0884407935392724,-0.0724463139687629,-0.486807729679109,0.0489944160728672,0.005210763902794,-0.392298354120415,-0.0084310824702673,-0.411770762279943,-0.225559364296037,-0.190651111371054,0.0219548237916496,-0.210071769681073,-0.43943108631704,0.105357389173957,-0.134424635241105,-0.0181004782411637,0.177931262797846
mild,0.193900138192395,-0.0236647726136409,-0.0904456271431664,-0.11852244007219,-0.0699607410133726,-0.0427448219210233,0.102215059686028,-0.240077810194573,-0.182503857227413,-0.187459489801632,-0.266150678462815,0.137234305946996,-0.10444170627237,0.543621012160349,-0.0232048295281647,-0.0940055803491593,0.0559666073486557,0.180461380141387,-0.0841336857608774,-0.0091195756300507,0.0402304899257515,-0.0952068514701834,0.10412432045232,-0.146749053036864,-0.103636256954335,-0.10702097710015,-0.072594228035473,-0.359790678379903,0.0434335090071899,0.0799982755427495,-0.0314053665225003,0.217632772093272,0.0902688966614456
