group,CD47,CD40,CD52,CD19,HLA-ABC,CD45RA,CD123,CD20,IgM,CD32,CD196,CD185,CD95,HLA-DR,CD1C,CD35,CD272,CD24,CD21,CD268,CD54,CD41,CD81,IgD,CD38,CD45,CD22,CD49d,CD73,CD305,CD82,CD224
healthy,-0.169413148301181,-0.143972259366177,-0.312527549380446,-0.173539030902396,-0.237255648753345,-0.360911315093109,0.159701668191056,-0.290849280548111,-0.333915514541587,-0.287648611257543,-0.164768339875833,-0.133002225273088,0.291530643753333,-0.0877709096787593,-0.208734321845666,-0.21513122100244,-0.0888214596551472,-0.238313999531677,-0.201143667165392,-0.208322581595148,-0.137179698883471,-0.0749259799334543,0.0268149239683997,-0.210162203801916,0.026334928555711,-0.224343219152461,0.0364671842775356,-0.319412993792003,0.0289597362912289,-0.0627110412872193,-0.330478935289322,0.177301132121541
healthy,0.512618612856289,0.363305088623376,-0.0804009186962605,0.369719530334433,-0.236870844626743,0.10089014752247,0.540116763351114,0.0710306773452246,-0.136334935936959,0.246925705902473,0.400092885148171,0.364314480299564,-0.164125925507803,0.695516849442165,-0.0954977324640141,0.375343148977671,0.368568930632176,-0.215231204045577,0.594081973711206,0.536353024695484,0.149693247915369,0.382649021128292,-0.0241603100807832,0.571077915100929,0.399417660834249,0.304512939416174,0.424077552350913,0.0186705754081112,0.430498549582247,0.693244249847895,-0.455101096204983,-0.01229537459049
healthy,-0.0220216740595559,0.195401153978631,0.102102330257615,0.151672362145635,-0.203455733688515,0.0543789033670514,0.397769261066066,0.0554119615305255,-0.0672368303463406,-0.0172849000551976,0.105107877688312,0.232754591390386,-0.120605169918994,0.0558270641718195,0.0063898410288324,0.319153700673334,0.229393109692004,-0.0758978296864112,0.239896053341827,0.268096336008776,0.0152699915000914,0.134132128050567,0.153465916728056,0.154751791374254,0.158607932403647,0.0804774316212546,0.228640248230443,0.0796897724822603,0.379442475895988,0.319499001919377,0.278471090944331,-0.0231554867413452
healthy,-0.0015066748892273,-0.154251705633709,-0.106043355758726,0.0402917765346608,-0.0599770323800682,-0.0050650213698575,-0.0356209452431498,-0.109206808178752,-0.100710171605684,0.0522258712666061,0.177693009345284,0.0469038714640645,0.190150949560159,-0.0613146480930196,0.206154597883027,-0.0326392140433886,0.316900118256341,-0.0335262196306193,-0.0327313232012518,-0.0369404106901645,0.042887989170128,0.184409637222042,0.0587076715473111,0.0342905479538044,-0.0691023029821455,-0.062135587372779,-0.0197879066143957,0.297520879121497,-0.125566966146569,0.2364567113414,0.145593674437168,0.188946782489734
healthy,-0.026252304215793,0.0735840736881413,-0.29423211002649,0.0625418075214712,-0.250494044789908,-0.1716470754854,0.0867659476004634,-0.13246150817509,-0.238238633091844,-0.0271866971363862,0.201656327246997,0.116706723639625,-0.172427097145929,0.0913527478565268,-0.163653985453707,0.0111087894813563,0.202256964399085,-0.551257646118699,0.210237105681544,0.260103489549985,-0.095259065325218,-0.0375678672180249,-0.287926633768207,0.11116523063695,-0.251499522569424,-0.148481700479963,0.0345506091917759,-0.0216139973713048,0.326405177484261,0.235846623937298,-0.0671086080248537,-0.144075528273825
healthy,-0.0856763002107562,-0.220573037930468,-0.369748882722575,-0.288716039883002,-0.221335811827212,-0.410911280084572,0.0861651333492453,-0.324374108728035,-0.539052396193246,-0.421696708920386,-0.185268949748396,-0.216823572379643,0.391519791939192,-0.184289694109794,-0.345426865107555,-0.412921797564909,0.0449694414849831,-0.443651766656375,-0.294196657597116,-0.273947489816135,-0.0301833366801619,0.0788975022464677,-0.109260687126747,-0.214738028877539,0.493871545934995,-0.357508558132518,-0.208250162595897,-0.165751516626171,-0.0993953925970894,-0.0801997663481864,-0.246217266597754,0.241409843375942
healthy,-0.0197844860035621,-0.327955268108625,-0.140894377738474,-0.171260656629784,-0.0288176588338875,-0.379444948304009,-0.0116958345549387,-0.223947846719583,-0.397458631292931,-0.111637946671504,-0.35216711478346,-0.275556778472936,0.158553627377722,-0.234699800471613,-0.275311233121599,-0.287819765873114,-0.0426611230090905,-0.0981884604284792,-0.320875461186444,-0.340466479654121,-0.044280123691758,-0.0370966206373208,-0.150577207140982,-0.350482121272105,-0.1297051196865,-0.27547977507709,-0.304283005420739,-0.249326776620533,-0.25361167940924,-0.331976110336492,-0.0305557427504766,0.232446492470417
healthy,-0.0426225606423351,0.135361198061917,-0.270243825038346,-0.101545912700512,-0.264279143404856,-0.078323221180364,-0.115859787706061,-0.318535008325676,-0.356725427798538,-0.0860566438513745,0.0620877845519815,0.02021390747727,-0.0614553653821651,0.133884653454125,-0.123889593283313,-0.0017529477100356,0.268529956249677,-0.413064947109822,0.0614328539802349,0.24211388272106,0.129391273509892,0.173975774597948,-0.572646936714058,-0.0341633560219317,-0.278184558194106,-0.0751724606910517,0.0573362954361764,0.0665003763727038,0.279136725341446,0.251657721477329,-0.136527396107109,-0.0293516775209449
healthy,0.103903776537804,0.133659144683829,-0.0977368998815423,0.107536017960915,-0.519725111737051,-0.176979514881635,0.271451042903047,-0.0420928265593644,-0.213034884218269,0.0516345301074802,0.458464515956481,0.325666936877664,-0.170626178255801,0.114218644372639,-0.029128046718827,-0.0494701947738186,0.576805868867405,-0.202809784557196,0.253196391666324,0.246467189909303,-0.0534286343674996,-0.0025470782087137,-0.218285695081815,0.279733500674697,0.249593440547351,0.0576225354907932,0.0242724623053044,0.0227645200960092,0.229016280532894,0.539274141937832,-0.197022818591485,-0.238594194007148
healthy,-0.0839878925227861,-0.214849893161658,-0.273655034574494,-0.072675664704927,-0.475991236009051,-0.205269971336711,0.0234343872838458,-0.1292659683663,-0.269454070393477,-0.119821914242432,-0.199968577656808,-0.143320490582442,0.0919057238410163,0.0662661332870895,-0.392912249401556,-0.150186536708684,0.198290575768413,-0.344354084624761,-0.0400942133437535,-0.0166577636434546,-0.243380297785614,0.0042127340873642,-0.277171264843454,0.147245079700612,-0.0022939413898644,-0.161212233401247,0.0408425193349922,-0.164683705923919,0.0927395864280418,0.194668610469666,-0.439331057878719,0.114732235897508
