group,CD47,CD40,CD52,CD19,HLA-ABC,CD45RA,CD20,IgM,CD32,CD196,CD185,CD95,HLA-DR,CD35,CD272,CD58,CD24,CD21,IgA,CD268,CD41,IgD,CD38,CD45,CD22,CD71,CD73,CD305,CD99,CD23,IgLambdaLight,CD224
healthy,-0.0899379039281114,-0.200047508306755,-0.103183209297777,-0.171776718118613,0.0949773454584548,0.0295707516588236,-0.242783667598181,-0.0101160028920549,-0.186466880583056,-0.0125408578420186,-0.125390788334138,0.34596465784959,-0.203532778824278,-0.144942806181375,-0.364389722593949,0.0475381544639049,0.242891602042209,-0.271296079393885,0.160890291465236,-0.179424374407935,-0.0617293271970507,-0.300325247700126,0.243312124919234,-0.0938021223488273,-0.10639344493358,0.0735488574326869,-0.181904296241256,-0.345307727315909,0.284058143343864,-0.0317133890798434,0.0317137023186512,0.190745599897799
healthy,0.0930168334608237,-0.136618903632354,-0.319733946586348,-0.156114823070523,-0.229781352133292,-0.30741122113527,-0.270431116296229,-0.3039212360324,-0.302543066706016,-0.176633493956429,-0.22418422754573,0.286578033177423,0.0696726791569097,-0.178007014187569,-0.0947177718547778,0.112556429650198,-0.470415748885332,-0.230359028476727,0.045039069819148,-0.204457323884998,0.258185694594121,-0.0387022791409376,0.251604791022429,-0.215822767608481,0.0452738504109283,0.246783292307282,0.0357874544326218,-0.0266587327768741,0.075221174637433,0.189770291111012,-0.0351275349450461,0.102155451298289
healthy,-0.0089277895398509,-0.350213545225567,0.0560554212662457,-0.160919504586359,0.526946428885593,-0.0606770074237622,0.139509823231073,0.0762547627403997,0.010658091404685,-0.212910058702159,-0.0895370341080284,0.090819424045396,-0.0985989741935884,-0.425287016728565,-0.0138135006501004,-0.0513211978815794,-0.0545407855453318,-0.447256049397429,0.0963965352757695,-0.401940612554737,0.0640827486838437,-0.102819966394035,-0.214385113556207,-0.0025118187273896,-0.197708278447335,-0.0848158656100977,-0.521726746042206,-0.309851637908017,0.0811913703627989,-0.151152801393389,0.140709079278186,-0.0303756624655927
healthy,0.0251402753326794,-0.0764538931670145,-0.0467811758134339,0.0351594010038033,0.0331124739808879,-0.055238797767992,0.0105671288693846,0.0442340378249155,0.003829579600568,-0.0095853342515577,0.0586360306609262,0.164942024031709,0.173294670440229,-0.0641596227933989,0.106167189358783,-0.0258583425008038,-0.21135332526378,-0.0181523058801702,0.0100392331676197,0.0043060180751132,0.0554993728445214,0.069671339121849,-0.0850580468001193,-0.0065994726336282,0.0488592518522214,-0.0269128755486505,-0.166922044846659,0.0065103828802092,0.0219307628760852,0.0650059102697128,0.0623611267876672,0.232144762827193
healthy,-0.048712698643812,-0.014867340773497,0.129299886128426,0.140876398343069,-0.126035627496001,0.0352178500831489,0.126886667564849,-0.062061805750008,0.0276694381485813,0.0560983610268309,0.0995215557795967,0.150652042770648,0.172361394471632,0.0577265689166305,0.271808318649724,-0.145962667251188,-0.165001776265936,0.0960710048422298,-0.0953379518049216,0.183970330625744,-0.185772457869576,0.240429779460134,0.134691522256127,0.0483003049562198,0.250330011537789,-0.0268903954180866,0.15963877747863,0.387987958719009,0.0886999743337747,0.181902530080083,-0.0444239320970277,-0.0607545095042201
healthy,-0.154190212584482,-0.216280136397343,-0.158541284366486,-0.216774594286403,-0.133220663510987,-0.142020700560386,-0.127875656672391,0.0795062098223777,-0.233638323675313,-0.130904215878863,-0.126026998944435,0.311065060262302,-0.172861109437216,-0.315811309143552,-0.269144969022356,0.272945889845721,-0.106014306458998,-0.202706743456461,0.0551109467573402,-0.290580504459334,-0.151188291509497,-0.0254035723133849,0.318905994475114,-0.17553614347578,-0.101560204988193,0.408715296957137,-0.225732281835207,-0.155574888458777,0.244821222660246,-0.10527268963269,-0.151406711761381,0.243737689003298
healthy,-0.0660728543207169,-0.23490315775532,-0.0245275027457953,-0.145750045347361,0.166920132262432,-0.287375294757845,-0.209247992919907,-0.315026125007008,-0.0863450027208417,-0.36140311147562,-0.195095877936643,0.282907280837532,-0.235124251768547,-0.365045144914623,-0.133505655880517,-0.0478988317505069,0.0167045287045319,-0.348243599652571,0.0823413927565403,-0.386907660899543,-0.0234837608477626,-0.265441396291221,-0.121962986901829,-0.165604933792853,-0.265333415984957,0.0946441058918101,-0.358612869514269,-0.349489602050262,0.0323555331555394,-0.0618643985996254,-0.131826956918528,0.252899268606813
healthy,-0.140100606174469,-0.386859617955603,-0.01715539973857,-0.216212438325941,0.0902697628069451,-0.19790478205351,-0.130169221310024,-0.106296490927042,-0.173074761685811,-0.395661568703889,-0.412357649121992,0.365199543117734,-0.377449017370739,-0.302878385476874,-0.546442762992062,0.24717158120601,0.278183835422775,-0.363438365987675,0.419208169135022,-0.50880863173208,0.168422787816891,-0.40307164514145,-0.121869924349955,-0.233741849201732,-0.347051578971516,0.0727741541378457,-0.493782921450893,-0.553200531584228,0.233223564196898,-0.246308661396021,-0.0926254748872849,0.154759967429228
healthy,-0.211930583441887,-0.325458869936475,-0.0241535856709605,-0.316824713623875,0.3197868249679,0.190971167025347,-0.0948592577317635,0.539702988099583,-0.0237070435812676,-0.550288396594555,-0.435043410343864,0.216308657919642,-0.51452812284869,-0.215258762641471,-0.572713880089155,0.168245946876282,0.640643472964815,-0.453361986949523,0.14204141695139,-0.448866120686734,-0.181408992599418,-0.27634358613117,-0.0822153252125248,-0.180424711143086,-0.43599867889477,-0.272108109754695,-0.581676362662914,-0.691352838386013,0.136137033442026,-0.545182440606267,-0.0425166729371828,0.150468504419859
healthy,-0.385026018069333,-0.358160296760795,-0.0491133966216519,-0.335295707531012,0.248215361005257,-0.263941786963629,-0.356209734775543,0.193396213578304,-0.1969682734878,-0.401435307456052,-0.329993180666712,0.223122830131789,-0.485052904116579,-0.279738305535762,-0.629052689366311,0.0818581306306746,0.138940545242771,-0.45185362175793,0.348017716309149,-0.527297109813732,-0.103041908579298,-0.487288416569893,-0.296407405643887,-0.302138794234133,-0.37748290711406,0.0904870151324865,-0.433947361844057,-0.65903733301989,0.176827891793355,-0.506559476030942,-0.0344993787929796,0.192725475364356
