group,CD47,CD40,CD52,CD19,HLA-ABC,CD45RA,CD20,IgM,CD32,CD196,CD185,CD62L,CD27,CD95,HLA-DR,CD1C,CD35,CD272,CD24,CD21,CD11a,IgA,CD268,CD54,CD41,IgD,CD38,CD45,CD22,CD71,CD49d,CD73,CD305,CD82
healthy,-0.335229757380317,-0.372965774273034,-0.369502622398048,-0.513697654790503,-0.0087107698123198,-0.293009753925593,-0.387080430049946,-0.0468651269144635,-0.38283298303576,-0.297894868593203,-0.42678147952364,-0.379064897141594,0.180158735921006,0.29290880731867,-0.392329353637872,-0.0253997014536816,-0.431663000033461,-0.371121562255623,0.0275106149435728,-0.534981695946867,0.101587399471089,0.168709569160403,-0.531534155572248,0.193535019572306,-0.177234273539817,-0.432679178413634,-0.129554082881163,-0.39967176694414,-0.296899596407486,0.180576010722053,-0.340362771782786,-0.532329497394135,-0.539020559268687,-0.0298671156981859
healthy,0.156196700197813,-0.158678929141691,0.204834271548509,0.0655853210189714,-0.0532230424239932,0.306891064265631,0.168010281887134,0.589687553852814,0.385623788508252,0.128569521131421,0.0763095804751584,-0.160056706664765,-0.0247110630243301,-0.179222814573057,-0.0528528738102906,0.500611379195943,0.122307963587319,0.139631415437354,0.362563564855404,0.184331143761779,0.0158792430553831,-0.146719585854019,0.0296840678635416,0.0430459211257722,-0.097261922533631,0.366101618222706,0.0697319760115497,0.207342056142796,-0.108493462443639,-0.235450448936867,-0.0990091125869041,-0.327154686151656,0.127661645008113,0.0825039548394788
healthy,-0.283837322830724,-0.267148025902419,-0.235072121765151,-0.167533909289936,0.0047088035852741,-0.119611260303028,-0.14414738484442,-0.0046136142520564,-0.137593882373371,-0.182651730276736,-0.370046079206475,-0.237246317492926,0.0741020938819619,0.221859058811687,-0.0696946768461725,-0.0663462760314123,-0.148935912157819,-0.179357678974958,-0.0961543339432788,-0.215717284883887,0.0132909815429181,0.191339691403027,-0.322669474124784,0.0697144232128002,0.0981656188390814,-0.100539439914611,-0.146036012103878,-0.33740547732547,-0.249514054249608,0.132343787453445,-0.223678808502265,-0.256537818408972,-0.241104845199491,-0.12758643120459
healthy,0.562042311213362,0.556224868487198,0.380155581294101,0.5366076049188,-0.127125285247687,0.242388298042828,0.459408884815395,0.0586694466162287,0.412656505933887,0.739262472433601,0.68413215230008,-0.0606680736454486,-0.523436094129764,-0.418610718261711,0.586058355806065,0.154774964915841,0.31342812784938,0.699017956920215,-0.0717856499379325,0.5915377955388,-0.0139406959482785,-0.326920368583877,0.648224116661924,-0.27898303542017,0.0383961951056357,0.682298688448118,0.615578235741604,0.451860978995704,0.51507554444124,-0.125060841742002,0.295486846029935,0.347192986408981,0.812484924585573,-0.110872516320176
healthy,0.12556457325345,0.0743598617191571,-0.0218610544528371,-0.0173524338498485,0.189795787948405,-0.0084383371465327,-0.126495503172524,-0.0560221359500444,0.0255717090228605,0.0457803963991178,0.137234772906744,0.266236548243063,0.0859703586827083,-0.0717768706721899,0.0243736052082954,-0.0051695874030665,0.116964935349542,0.191649127913917,-0.0261548280856218,0.11531225390602,0.180205234316949,-0.0748247102516945,0.145831037825693,0.353554393389843,0.0865198029745606,-0.0616314973895715,-0.132789422994312,0.0526017166889874,-0.0885443026583889,-0.0999051781014533,0.168861125464544,0.0482711289246267,0.124203178299749,0.234521484603663
healthy,-0.211737076259323,-0.243725947711763,-0.241330778452592,-0.430811983442343,0.160520454897177,-0.226627273448959,-0.415345141919727,-0.242697500909053,-0.34146595845408,-0.244668370622602,-0.479493029236878,0.107867183526907,0.194177244020314,0.363452592517054,-0.342838998567661,0.0799667313035792,-0.214466331537589,-0.0776003126414107,0.143242648670067,-0.395909290499374,0.184504025755555,0.22880729245935,-0.330912377457574,0.188461696160943,-0.0819311839111528,-0.573508809683726,-0.0972424162453411,-0.318832988382193,-0.283597355111229,-0.100370061746261,0.15131501196533,-0.403322241890269,-0.368536603732975,0.299380690111091
healthy,-0.0097852115810759,-0.375431834139993,-0.200696717483048,-0.236459278070016,0.0606173315198825,-0.448108108108108,-0.172480219410601,-0.263748923784444,-0.167027027027027,-0.364842164179213,-0.235271585450308,-0.101651324457111,0.173006962305331,0.0808254722079362,-0.0911663341193543,-0.145998145815451,-0.325783967549288,-0.0546764681182128,-0.222221484301527,-0.273822868940198,-0.127034211290315,0.0888788193572186,-0.295423812283644,-0.0048763772579984,0.0730164546498012,-0.362290602158982,-0.235259572134824,-0.310694721567205,-0.338063997768035,0.087397417036748,-0.338908531470329,-0.260742187474609,-0.353775435807817,-0.190006415167567
healthy,0.0410566103333253,-0.0770413550699183,0.264985001775608,0.0408541054333618,0.348322884235328,0.0840845038496702,0.168860521103863,0.401115103950282,0.112777687003434,-0.0634406450979273,-0.0660495300752417,-0.46824263250757,-0.01662420619099,-0.0655927022540872,-0.115807448488466,0.304289300213347,0.0191766434830626,-0.348357001350607,0.296549397236876,-0.0065188112381093,0.0652361203743514,0.0591285420819197,-0.161325511833852,-0.0203507116298034,0.17207682575054,-0.0183028780989566,0.0361518044372589,0.0778132059932451,-0.209234408114845,-0.105852135396292,-0.232013683531603,-0.305643369693217,-0.322767410751846,-0.0887880706337618
healthy,-0.191748047433052,-0.367303714685294,0.0390197160736546,-0.160088440141653,0.19820937407325,0.12520854135786,0.0186260912574644,0.303687305940142,-0.0247086622963427,-0.46302389674598,-0.371473475013508,-0.188580271437598,0.280170999739976,0.361842185172222,-0.203651101780587,0.100977442735172,-0.203499784481732,-0.396190203332721,0.362028976944163,-0.313288244324778,-0.0240160586975977,0.102827491534444,-0.311364841525079,-0.196223340270434,-0.30745134783808,-0.133879774191414,-0.0628720043926236,-0.121177258603688,-0.242612968485833,-6.5656482847445e-05,-0.0525915922310676,-0.502652463175022,-0.470432086901222,0.143947564400837
healthy,-0.431673207591326,-0.424562761509964,-0.0866193872239817,-0.367546623342223,0.15483131670828,-0.160972291759657,-0.190611755403448,0.0873263375874135,-0.301723310823428,-0.221895967684725,-0.444641307775513,-0.229821193031649,0.1127429208585,0.157960681569282,-0.450480769710486,0.430469460589175,-0.28687043007502,-0.345883128370651,0.252587726094896,-0.425326283565599,-0.106439181098252,0.146600868011376,-0.445344742517441,-0.0112529354809951,-0.0657608592445438,-0.443945713724675,-0.081959569224289,-0.353122858199285,-0.422101085115081,-0.0488513747829774,-0.165854092354404,-0.649557948747407,-0.497478549836826,0.350691944609725
