group,CD47,CD40,CD52,CD19,CD11c,CD45RA,CD20,IgM,CD32,CD196,CD185,CD27,CD95,HLA-DR,CD1C,CD1d,CD35,CD272,CD39,CD24,CD21,IgA,CD268,CD54,CD41,IgD,CD38,CD45,CD22,CD73,CD305,CD319,CD23,CD82,CD360
healthy,0.076870609396491,0.123849071907118,-0.174307146532954,0.0733885262429,0.0098820033517651,-0.216227762295964,-0.0216440816277562,-0.258839478983025,-0.136675348400556,0.146064968103293,0.122208184373838,0.0892466817526777,0.254372723908211,0.285710295779193,-0.158787787262152,0.0268564980948636,0.071145200530478,0.0525716354401672,0.20891486681068,-0.417754118867019,0.0851490378162279,-0.0199296543464665,0.0650912907942499,-0.0819351091684224,0.107470355839438,0.0962049056470048,0.287320707534758,-0.0410244145013902,0.339005758196064,0.183624531578117,0.204601530280115,0.0859359307003811,0.176506631378196,-0.198520240686707,0.202922910235168
healthy,-0.0184421696314874,-0.301517262898007,-0.0982003811787921,-0.230304197670121,0.0569134021924206,-0.1810125435052,0.101525690756683,0.0612983207192869,-0.0879485063923203,-0.119808686214761,-0.0980574463079256,-0.153910006545375,0.255221179813304,-0.131986420137367,-0.0852959674558159,-0.131312024753714,-0.226171349770588,0.0713042981130951,-0.152741495112907,-0.249219863184604,-0.232680885050587,-0.11269059914293,-0.26728447069571,-0.26232152212312,-0.100422198717057,0.0345323556451657,-0.0660042343720136,-0.103638178377573,-0.0683228607248933,-0.232379762683945,0.0941274412269301,0.111166984165429,0.0865760468944203,-0.245347869713172,0.104783009356259
healthy,0.197630487767326,0.215970350240184,0.142348798595178,0.0184787799477794,-0.341855671488868,0.103303171069034,0.029126243700009,0.301295400168815,0.0313633798274611,0.020469360209232,-0.0651504369440644,-0.103544830598972,-0.249731357277916,0.0168259540185687,-0.0036099509429318,-0.0214415107035881,0.0769882190931388,0.0788153723170576,0.148255843943994,0.0164621055515996,0.138085979307888,-0.135654194648845,0.111924781886018,-0.173251639252962,-0.267122011701677,0.155016606607521,0.198219551534313,0.159591969007092,-0.087503148245706,-0.0862165597300888,0.204013465653239,0.0423023974449145,0.0655947855996865,-0.16060946423709,-0.0942978889464109
healthy,0.0063832409429095,-0.300589402384094,-0.136239598478688,-0.209607596704371,0.194549673043545,-0.063190372023623,-0.197027995012233,-0.16618189713006,-0.235027099493122,-0.178463155681686,-0.410993749697771,0.0751795587767856,0.248360699414865,-0.229398041671668,-0.169028775857668,0.0376039027696665,-0.275714039281402,-0.15243055998551,-0.197366656670438,-0.0695786932644932,-0.31137882937592,0.0525136278826632,-0.308293479530417,0.0952857926433127,0.257602898499382,-0.353194132875464,-0.325412585224012,-0.160068015475985,-0.116776750777539,-0.185956181504527,-0.32144871508814,-0.130785217536263,-0.135845968483463,0.159476166719542,-0.309196085953102
healthy,0.0867456385911946,-0.0039356369643452,0.128555384602492,-0.0308547110414627,0.144082954384535,0.0269502584121606,-0.152416277924887,-0.0711939913246366,0.0786105837205974,-0.0298438020634641,-0.0636006665796223,0.206921041744005,0.0584387836171563,-0.127911160971673,-0.0001849460195855,-0.0310475771373288,0.121074455395777,-0.114104909002439,0.286661210048242,0.0174859542714557,-0.0038705106345895,0.210080653713951,-0.0622430162444694,0.233412873708328,0.196623668764031,-0.30375307871327,-0.147657156279184,0.0769633485936619,0.0302548477361891,0.0380558188755239,-0.226489113196009,-0.0003725431078235,-0.122317518835971,0.23972535502218,-0.216933802393023
healthy,-0.495127469530488,-0.706183461815743,-0.409890332109462,-0.639636862574224,0.141171732143839,-0.381368684477889,-0.52320199991189,-0.0041152586447944,-0.428135286615861,-0.581176823008567,-0.593457588678055,0.364395476640871,0.473849590244145,-0.623174230870853,-0.0087938892664014,-0.189595949521406,-0.427238403855721,-0.499670709581039,-0.337263464169405,0.101403413854953,-0.596307491185955,0.175405912715141,-0.706002505445524,-0.0629890380876748,-0.284759962845394,-0.574738773423765,-0.137038847178514,-0.536822563338568,-0.596769806110024,-0.783451328588894,-0.641098585904441,0.381045139158835,-0.234418146468833,-0.0257564548737662,-0.176764217591084
healthy,0.0479718455784152,-0.254443048837347,-0.139026064779728,-0.0814148376564484,-0.0175191250086313,-0.356608017413387,-0.164847323952922,-0.204900420427849,-0.116916379466715,-0.240189418571469,-0.0933838401107938,-0.135795061790736,0.0845650422774095,-0.123304915653909,-0.294590709481045,-0.167646306613889,-0.282796932749634,-0.132948327457993,0.0060286457556856,-0.121252099492123,-0.262714539143899,-0.0097233478680817,-0.307809094693664,-0.244353409847668,0.0151460234364324,-0.134444816461965,-0.0716050620995597,-0.262176673317613,-0.262527709840715,-0.298979036492838,-0.176876830942628,0.184807419401384,-0.0985846230240827,-0.0073007679196819,-0.067346634106772
healthy,-0.0478625439441361,-0.126966646586357,-0.116793477850229,-0.203854959236564,0.0383491873167406,-0.256647197938783,0.0207481929861604,-0.114424017484585,-0.292248422965569,-0.164698945764833,-0.235753127889195,-0.109400579862268,0.199554896316686,-0.0725694942916078,-0.317957319937564,-0.264632720210148,-0.240229394365836,-0.433814513276128,-0.273829277800667,-0.0851335030847384,-0.312528924759543,-0.0383016100953587,-0.242045880631885,-0.284522804807339,-0.0146695853601738,-0.109730310073542,0.207758375243667,-0.227277878941284,-0.104188390830485,-0.203841857379105,-0.362853912709104,0.118277844518482,-0.0492983619930298,-0.454959461279421,-0.0215522174667655
healthy,0.151981504832976,0.327676082326827,-0.0579543410713289,0.163595656137783,-0.141267498822033,-0.104779240754408,-0.0341620468389007,-0.418480793903149,0.121940101340246,0.467387742484602,0.390932835968816,-0.165704544718528,-0.145560467215313,0.290754718151316,-0.170887003014357,-0.0407300558470443,0.0915507152452483,0.535876666998153,0.518196867321442,-0.376701510113614,0.370846551538811,-0.0039824980460655,0.394431230756338,0.11611043145529,0.0318574856552552,0.276415379901429,0.0988410150566049,0.168256439198953,0.293480928397576,0.371219989670772,0.532214930038063,-0.0378544962067004,0.427208001317305,-0.356020455070875,0.0541708212577335
healthy,0.0968666121559278,0.108075827914223,-0.274946452996689,0.0600179721402205,-0.280028435083114,-0.112978850300725,0.0338753151078511,-0.320731339727023,-0.142546000002066,0.0249461806488867,0.101079500140665,-0.244391250273004,0.0262978167225227,0.285722720395729,-0.426336862397972,-0.12881440730888,0.0275676142305986,0.275956383591544,0.191340119437616,-0.440018000114727,0.148070876562592,0.0248801143254819,0.162438627985238,-0.087235834864367,-0.0282340448266966,0.223520551603275,0.217791893201267,-0.0755459685982598,0.333859842208013,0.371482333488317,0.358893753205992,0.0744998107386955,0.407473553229155,-0.500157736795355,0.105297272039863
