group,CD47,CD40,CD52,CD19,CD45RA,CD123,CD20,IgM,CD32,CD196,CD185,CD95,HLA-DR,CD1C,CD35,CD272,CD24,CD21,IgA,CD268,CD41,CD29,CD81,IgD,CD45,CD22,CD73,CD305,CD23,CD82
healthy,-0.379941869960717,-0.467191495613462,-0.382227434332485,-0.576284147764945,-0.341921552075256,-0.648482461344254,-0.413826122978526,-0.0389778868040627,-0.440209919363399,-0.456606986747192,-0.527363505082504,0.292334528310875,-0.648531837686212,0.0006595861732213,-0.455134149467482,-0.46135157117769,0.0360143538064825,-0.606453150132067,0.252799399979555,-0.628965330768716,-0.0905619192913207,0.141428000546601,-0.284757421494912,-0.555668705993326,-0.501105387081083,-0.421762203275944,-0.619997757827399,-0.686293440131927,-0.467496890401822,0.258111308447968
healthy,-0.329247519225309,-0.38874817790984,0.0667592000725336,-0.341295335027829,-0.0335527235285985,-0.441776934080867,-0.121428000302538,0.213806928334529,-0.0463272359732889,-0.324129284174573,-0.32382974262782,0.221166849497584,-0.611431594256773,0.0956043344925779,-0.356167004287016,-0.271655854242002,0.235770744878153,-0.482664961424889,-0.0303211606948554,-0.496997851806834,-0.431350164575347,-0.0437891084048415,0.119847319425209,-0.34880014998292,-0.183056547367714,-0.438103692162774,-0.516783699375318,-0.529433848407537,-0.319762861545565,0.359798296076522
healthy,-0.339232736905737,-0.333153284920469,-0.19324103692179,-0.197793337840101,-0.24050322812719,-0.187608640791556,-0.10563593203522,0.0701433163268275,-0.18829191448719,-0.126078037772179,-0.262039040743823,0.216605271727423,-0.221308120243862,-0.0750244809131582,-0.184232001805716,-0.22921106648677,-0.106400853044344,-0.164159480038215,0.134813917062041,-0.300891075455084,-0.154355529669532,0.022221271994065,-0.119187003797384,-0.0731824685815193,-0.27368125641375,-0.346493673915744,-0.165918937614021,-0.440805901843142,-0.197636715299597,-0.243698969844258
healthy,-0.403649211244669,-0.48747797462923,-0.279226529321406,-0.371168995457421,-0.173991616346458,-0.358332003657625,-0.384845896050311,-0.205661528168352,-0.299228005383727,-0.303100717520296,-0.569759284835487,0.394335956622395,-0.417675954538637,0.158251906081998,-0.138529781414032,-0.229366326958238,-0.19493184704747,-0.374015702756983,0.175441494085927,-0.421123967650458,0.0946325846983149,0.323292037263601,-0.220611329984387,-0.509795410832294,-0.40017578879059,-0.479608174575624,-0.245402023714644,-0.339928528206793,-0.143008165994036,0.36156677480241
healthy,0.148451269899704,0.127072322677849,-0.029992718761555,0.143837320808867,-0.003943901334655,-0.0581666969476345,-0.0672601288180857,-0.0249998015554122,0.0796885723279952,0.223882769600162,0.139217323374237,-0.176570247978416,0.153732118538481,-0.0730690074865616,0.171454474302562,0.24551425973536,-0.0953199528907718,0.276243633927886,0.0474614220250251,0.258116191134441,0.196325765656783,0.126918453539085,-0.0125049067837783,0.107194879445428,0.0185076419666937,-0.004669620537909,0.0941566273134122,0.235954204516382,0.0956354659508012,0.280598575285979
healthy,0.111404810969146,0.119943807989506,-0.155282594575327,0.032466358566919,-0.137243915596249,0.187659451590282,-0.0637459307873058,-0.191831729669293,-0.226857884853099,0.128142081610521,-0.0221947955577225,0.22545879535814,0.0847003907644242,-0.0724030994418481,-0.183019397078509,0.167631433342413,-0.374762974595685,0.0695089248252356,-0.0330925910617921,0.0887565479643433,-0.0784529551444213,0.088750834009267,0.215594769609775,0.25948942468863,-0.0304245343148865,0.207163806952149,-0.0260687554671078,0.186673019672108,0.156642902519269,-0.234497212172672
healthy,-0.069051593181697,-0.258923510308996,-0.0128423842212861,-0.130745510611282,-0.247484128423726,-0.138448396094065,-0.124480770836193,-0.322761941190306,-0.074543805550517,-0.343726306779739,-0.18242110551579,0.186817940215832,-0.225456194449483,-0.312736098995816,-0.22235060982665,-0.219438049027932,-0.0509165424365522,-0.287771767720986,-0.0858857301665265,-0.275567091934715,0.0368813095198421,0.192771520380445,0.0107881999719076,-0.276004579471249,-0.134732450571377,-0.251834811650629,-0.307006772857398,-0.184113031207289,-0.146454453785152,0.0585194752580616
healthy,-0.357423907864772,-0.458375756313997,-0.168403236896388,-0.283228433913365,-0.203344944049445,-0.131283131306629,-0.35500868443363,-0.278920897371395,-0.149598929344952,-0.206876028883265,-0.517322930206624,0.423010869485784,-0.409194629351185,0.0493319450145777,-0.244713767063708,-0.357217846857226,-0.0223216498936797,-0.335100143387236,0.440909602133173,-0.394196777267833,-0.157234608676965,0.0913708018075217,-0.394913155673969,-0.505875520041002,-0.256405412961186,-0.386838645869142,-0.409723270630815,-0.388819033295054,-0.159056683063383,0.294929452464176
healthy,-0.136624418429203,-0.174917901122471,-0.18240003969263,-0.0686062305025459,-0.188434559876953,0.131607767541078,-0.158781497328158,-0.0915079190859003,0.0583419644130762,0.101538558562603,-0.0581127491027966,0.257122701460925,0.0519911435818878,-0.134646760534039,-0.15744688768577,0.20469878917117,-0.27852254918507,-0.0063478182677187,-0.0678575106001752,-0.0771993041367902,-0.0762298690166083,0.0243347719884399,-0.347808440235452,-0.0553529968695814,-0.0422447422769925,-0.226661872953482,-0.0213662005030825,0.113375597535729,0.158352692559362,-0.0105875507064246
healthy,-0.316118381771555,-0.346030861264187,0.028535080920071,-0.253851992145044,-0.0098218542240751,6.11083356618435e-05,-0.233654798951498,0.216230200339499,-0.22782629856703,-0.301096457292411,-0.439808481226206,0.252902731806148,-0.491548606062301,0.171628190377176,-0.170793178239111,-0.411934926329395,0.336444205475163,-0.409141862455567,0.20369312102877,-0.4101665616932,-0.147687005874843,0.0001295457290929,0.0546039558423683,-0.600182930078877,-0.195092964865253,-0.316175043359076,-0.574817211382748,-0.593620461955083,-0.557295501581005,0.665181177147103
