group,CD52,CD19,CD45RA,CD20,CD32,CD196,HLA-DR,CD35,CD272,CD21,CD268,CD41,IgD,CD45,CD73,CD305,CD40,CD52,CD19,CD45RA,CD20,CD32,CD196,CD95,HLA-DR,CD35,CD21,CD268,CD41,IgD,CD45,CD22,CD73,CD305
healthy,-0.272880674987137,-0.10422821321233,-0.22840663835829,-0.251774431375867,-0.184845398661868,-0.146997256254204,-0.046458321082456,-0.0192348548127413,-0.18934453111934,-0.105482825116019,-0.0934300483930157,0.0539365832333428,-0.027726451020526,-0.202288977297157,0.120951745887637,-0.0122312378934999,-0.137459033331231,-0.249170597857499,-0.342820974986465,-0.228150158151809,-0.240354029150163,-0.2499155232313,-0.21214383209114,0.426063587899039,-0.291531845741931,-0.265264116952445,-0.344738619844342,-0.298678411222955,-0.252418917156374,-0.348947274896595,-0.260162480110947,-0.152927665662555,-0.238329203024715,-0.300325548465467
healthy,-0.17131654543464,-0.431950548977672,-0.363914866234995,-0.229717763973936,-0.424154306037704,-0.387457926172877,-0.554676440743556,-0.397262996671736,-0.419336656214532,-0.580946622878963,-0.587274123401926,-0.389297153308163,-0.486360441470668,-0.452489084712954,-0.373365670075517,-0.689942560661416,-0.374316710088125,0.0207233793300915,-0.408328901779598,-0.1668853993003,-0.11839166037477,-0.337974921847301,-0.400051590352672,0.300261801057336,-0.669417719422468,-0.475626861602601,-0.683464797882842,-0.574954531264521,-0.36291639908141,-0.632336425100746,-0.36273823072333,-0.406425767251452,-0.435095154115814,-0.664638132566109
healthy,-0.274313862611759,-0.0390476249542604,-0.1270009116901,-0.021824913831319,-0.251731901090927,-0.09148278243242,-0.129388671475263,0.193531384595452,-0.280284299066129,-0.0101713941954653,-0.0347158156211446,0.345007471436107,-0.0291327911326431,-0.274915458702023,0.0509885912373795,-0.216030712093291,-0.0499821532345938,-0.0126071593039539,-0.0012558996272613,0.141479418751047,-0.015596533690625,0.0501863693027121,-0.117938370476451,-0.0768555436904356,-0.230536656764182,0.146156643652281,0.141503319674779,0.0198154588494072,-0.0687475045387706,0.0192442787751403,-0.0980772182722422,-0.224101769506325,-0.0120726996889094,-0.0951698162724996
healthy,-0.212850653457864,-0.378568553521115,-0.318938629125705,-0.196727344424065,-0.419431789620177,-0.534367031391559,-0.270089373735866,-0.335084649695655,-0.607265470331804,-0.387280407044837,-0.420033087832879,-0.0747934837454244,-0.382734926249475,-0.338002415042263,-0.404445402713514,-0.534372950731882,-0.069873945984595,-0.0548641744087664,0.0207447201754602,-0.0694629155170113,-0.0820283235882312,0.0665058823726283,0.105118335726347,0.298559858925465,-0.102960504702166,0.0123955740654033,-0.0564086724948542,-0.004154872076292,-0.0399836157939754,0.0289898814008064,-0.0358428415354412,0.116651854099298,0.300107665867406,0.0876803953631826
healthy,0.0269484815467217,-0.0701601389507501,0.100202461048888,-0.0083668487690199,-0.0235992531846019,-0.0454100968749675,-0.0959030513298445,0.0176345126302057,-0.0310047770934561,-0.0538440609492146,-0.0878028018385618,-0.233683937955439,0.0627867815341612,0.0555488620561693,-0.116391906746378,-0.0859512836988421,-0.344833188143523,-0.22598773274623,-0.283280532145956,-0.203396957300073,-0.114330509990323,-0.279922761874808,-0.284455381522282,0.132275473453227,-0.25558176144936,-0.3310635094038,-0.380594228309414,-0.37147319290602,-0.247389084674115,-0.20876222633759,-0.201049500657143,-0.127341629426135,-0.114058800176956,-0.269366972697527
healthy,0.470387004178317,0.526013878394853,0.523388226186998,0.54250770498144,0.484662893060706,0.441003510624607,0.529335144230547,0.496610322730626,0.31257474992005,0.630628522375714,0.546735884535182,-0.0512856184124477,0.687975396909183,0.530404833810274,0.546917412358507,0.609296178301431,-0.1441612460278,-0.314771819286467,-0.244693623076887,-0.376515415329464,-0.257220402132957,-0.365431002864162,-0.25778115290546,0.467293390379127,-0.243272872234403,-0.472698322228391,-0.342181202470051,-0.207835023668484,0.320121314749381,-0.2520555520648,-0.302963651408473,-0.222354055694908,-0.159564228141173,-0.164383022907094
healthy,-0.058153508211078,-0.072018864502086,0.0012044259024124,-0.10424851895051,-0.0251151822963903,0.165943517875129,-0.181280609468529,0.0017341381242496,-0.0374138576976791,-0.0253256859268343,-0.103958011933665,0.0930255395327352,0.205266572012305,-0.0858189733357519,0.0528254535746354,-0.115245743131822,-0.285194977310573,0.233354102443505,0.0987121349537457,-0.0101578088155269,-0.18675199257149,0.202913114456739,-0.241237370253679,0.0768528264416122,-0.351373118084527,-0.180851015677504,-0.255600419375596,-0.202136950967751,-0.112010040477322,-0.402242082976377,0.0346744059495737,-0.328949989840232,-0.191573711330546,-0.250980747394176
healthy,-0.072301264082086,-0.236809496104995,-0.250723465987654,-0.254337258250325,-0.244048164368714,-0.361285666048303,-0.277682490989732,-0.259836718967313,-0.651721333809656,-0.261101907675357,-0.371570971041665,0.492781336181351,-0.449681411967299,-0.22048901011719,-0.322401467713383,-0.571656048611324,-0.578670585661002,-0.149173775396867,-0.34934529161535,-0.185271516974061,-0.305100817819706,-0.212302522405366,-0.474314799521263,0.409532698983791,-0.51800164716016,-0.322765275014865,-0.4189530989569,-0.570888872308387,0.0875612712041981,-0.42978303406298,-0.311237712411881,-0.581346058754005,-0.677358113969505,-0.530771899359369
healthy,-0.019846315097464,-0.285845856151427,0.0098146230130427,-0.0541417198551071,-0.105849081177631,-0.672345720575387,-0.325212882739288,-0.26887809053178,-0.607722427481834,-0.515181116000316,-0.469217959732717,-0.13407135401001,-0.47779378400926,-0.273289960865547,-0.489110812699206,-0.691650721613432,0.0267864064725284,-0.0283895335495755,0.127996328431707,0.0008930841793858,-0.0154940922280731,0.231349115288485,0.271328161074208,0.0477376139637975,0.0515415005054608,-0.0679211230571647,0.174120003866213,0.21981102528348,-0.296890477295085,0.489967510270545,0.121065623081264,0.0166427335459064,-0.0402755297356419,0.398089903942439
healthy,-0.174600807964606,-0.210396713551916,-0.250324436350933,-0.263410420946307,-0.139416334301824,-0.452960738912841,-0.0745428922779011,-0.300890518487985,-0.385321743431155,-0.264047192698527,-0.254821496044072,-0.0461268114196996,-0.104999558501279,-0.177462234398849,-0.0867261260974508,-0.224459866526782,0.118391174839321,0.0622823138255494,0.0021259386254415,0.0731109785751787,0.0597661690754868,-0.205187984397651,-0.0048229175510056,0.314242985271241,-0.104670861495889,-0.081966570619457,-0.221918307141862,-0.0551401697671067,-0.202485050552364,-0.354353421125888,-0.0756185755798611,0.000693332925616,-0.0893388069712943,-0.103636155775746
