group,VDR,ATF1,DUX4,TP63,MITF,E2F6,MYBL2,GATA1,FOXD2,MZF1,FOXH1,AR,NFAT5,STAT4,ELF2,EHF,BACH1,JUN,STAT5B,SP2,PRDM14,BCL6,HSF2,NFATC1,STAT2,RFX2,TBP,NR5A2,AHR,GTF2I,RARA,POU2F2,BACH2
healthy,-0.0827033083337505,-0.250657908826682,0.0147570729889491,-0.235370005874101,0.111155794384386,-0.162752466849345,0.0409800731923334,0.121666227664285,-0.0678400693520752,0.0279216560870044,-0.210527163576158,0.24842842297943,-0.0871622800282531,-0.144598082093156,0.0037158097454188,-0.0660352474757289,0.134193814805983,0.021870194501608,-0.327097423589583,0.263079329975653,-0.20851000971436,0.317542484244221,-0.0001061659927262,0.344296314411236,-0.144810414078608,-0.272315771342837,-0.17676637788921,-0.327840585538667,0.0429972270541322,-0.0295141459778981,-0.162540134863892,0.0684770653084327,0.0656105835048239
healthy,0.318159106988424,0.0008529734771807,0.0017059469543615,-0.23584716644048,0.133916835917379,0.262289344233084,-0.138608190041874,0.0076767612946268,0.11216601224927,-0.424354304897428,0.202581200830431,-0.113018985726451,0.334792089793448,-0.197463359967346,0.0810324803321722,0.0592816566640628,-0.146711438075091,-0.138608190041874,0.0545903025395687,-0.003411893908723,0.0012794602157711,0.227743918407263,0.216228776465323,0.33607155000922,0.1462849513365,0.122828180714029,0.203434174307611,0.226037971452901,-0.0673849046972801,0.0085297347718076,0.338630470440762,0.0098091949875787,-0.0294275849627362
healthy,0.180683874721019,-0.188546768428866,0.0634454181943554,0.169458916117402,0.0739112008537661,-0.0873594604368432,0.351335781607888,-0.0168103244788463,0.0272218802850995,0.201290078920895,0.231602889835976,-0.0760802749800689,-0.197006157521447,-0.112466493448797,0.178080985769456,0.0752126453295478,-0.459301446244607,0.0058022732878598,0.206495856824022,-0.103681743237271,-0.161758702969027,0.233771963962279,0.0608425292427921,0.183883259057315,-0.214141843119239,-0.294614493205071,-0.220323704379202,-0.205736680879816,0.0531965429475749,-0.191854606471478,-0.0626320153969919,-0.573937013819707,0.0995605023972961
healthy,0.10726296853086,-0.016608459643488,0.222138147731652,-0.21798603282078,0.296184196975536,-0.172312768801188,0.143247964425084,0.007612210669932,0.35984995894224,-0.159856424068572,0.391682839925592,0.141171906969648,0.2768076607248,0.250510932955944,0.210373822150848,0.308640541708152,0.324556982199828,0.157780366613136,-0.236670549919704,-0.334245250325196,-0.213833917909908,-0.139095849514212,-0.087886432280124,-0.2249062243389,-0.21798603282078,0.174388826256624,-0.195149400810984,0.071277972636636,-0.184077094381992,-0.32524900135164,-0.258815162777688,0.13148363884428,-0.242898722286012
healthy,-0.153258796753649,0.0072449613010816,0.0348315447167385,0.196728564560139,0.212890401308706,0.244935422448105,0.107559810085289,0.137375612362817,0.114526119028636,-0.125393560980259,-0.390391953185205,-0.196449912202405,0.0142112702444293,-0.173043114152757,-0.088054145043915,-0.0153258796753649,-0.114526119028636,-0.0671552182138719,0.0362248065054081,-0.130687955777203,0.165519500493941,0.0317663687816655,0.154094753826851,0.0033438282928069,0.0704990465066788,-0.108117114800756,-0.0615821710591937,-0.0905620162635201,-0.253294993180122,0.109231724231692,-0.0019505665041373,-0.110067681304894,0.188647646185856
healthy,0.0585561344037312,-0.314353984693715,0.0592238797960545,-0.130672636774642,0.312042558335673,-0.292421116807405,0.28466499725042,-0.173562436973867,-0.144900750134145,-0.465161713298412,-0.169196409408676,0.0882964868772052,0.229088034597054,-0.292986132139371,-0.140637452629312,-0.191848387717488,-0.0236279138822073,-0.280196239624872,-0.0736574532762724,-0.143822084500392,-0.155636041441496,-0.271721009645384,0.301872282360288,-0.101856854844385,0.339420119420926,0.264016255118578,0.377070686541922,-0.191437467476058,0.270590978981453,-0.214859921237551,0.216914522444699,0.301769552299931,0.202018663692873
healthy,0.555814014240826,0.156472030739288,0.161108940026391,-0.197967637318772,-0.147718681574858,0.0028389240533284,-0.173789467464591,-0.0064348945208778,-0.123398565518011,0.158553908378395,-0.576916683037234,0.044571107637257,0.44334530632813,0.60686733179985,-0.575686482614125,0.221625337763176,-0.247980016058242,-0.0083275105564301,0.504902642884469,-0.0329315190186103,-0.0867291298291848,-0.0362435970808268,-0.105607974783819,0.319378955999453,0.574598228393683,0.0330734652212767,-0.139107278613095,0.236009219633374,0.177054230125919,0.0639704220016682,0.115780785974913,-0.393900712399325,-0.0559741192514597
healthy,-0.104238307041669,-0.0838430560696842,-0.0447996675994189,0.183741165429308,0.111006072918757,0.126454234159936,-0.0685604108418036,-0.14861498927377,-0.0764867888119799,0.0576731353004013,0.280678377217706,0.0137194384356184,0.158693075416825,-0.0085148793507926,-0.179548093092416,0.181865317278593,0.125902514115608,0.0861234989195725,-0.162316037041244,-0.181883707946738,-0.265138262635805,-0.179033154384377,0.289138084564065,0.0207078923304375,-0.0109240568776908,0.246692422487112,-0.173957329976561,0.0683397228240725,0.171106776414201,-0.129525475740028,-0.234536190843756,0.173184921914502,0.20110195615749
mild,0.0639211359350731,-0.187857116164743,0.171876832180974,-0.267657073963052,0.153867305786569,0.0739658858677275,0.259032793717844,-0.210533900103614,0.0761980525194284,0.0322142232688662,0.0274455036038687,0.24300177867381,-0.362828543021939,0.193234608552931,0.20160523349681,-0.30484294113798,0.178218214714216,-0.182225968475224,0.221542540181321,0.044896988335349,-0.101157734170267,-0.0137988483923332,-0.158179445909173,-0.0152700491400452,-0.237167706743228,0.116935093912971,0.146562033108275,0.185827873754105,0.290435320022455,-0.224586403797277,-0.268671695168371,0.379265406548101,0.259032793717844
mild,-0.0481170671397073,-0.100024177239049,-0.0057180213347528,-0.139457102466898,-0.103517608140973,0.0172034993472104,0.0514292351174749,0.0763281695175083,-0.137331382719973,-0.0034769524542733,0.0041855257032485,-0.103056211606757,0.128877939075223,0.0791130271704572,-0.161027390441514,-0.0954431687921866,-0.0554334978965669,0.206936345596043,-0.015753395953959,0.0064760299266797,-0.0104638142581213,-0.139424145571597,-0.0854901864112334,0.104671099476514,0.0353627486581548,-0.330392875394223,0.0622061398809572,0.0569495150804207,-0.0508360110020538,0.227979323245839,0.0487432481504295,-0.238294831475105,-0.0129191029580584
mild,0.10319196013688,0.55456463010993,-0.131117907348635,-0.0054734856535041,-0.60782499663219,0.1196794393707,-0.616537892162258,0.179507988677166,-0.0322823949767896,0.624803972536938,-0.116775140860678,0.102700463465953,0.351219052892809,0.382451432254437,-0.0224971430737904,-0.339512495821641,-0.269273153394633,-0.606931366321414,0.473601723953607,0.111413358996021,-0.0673573846747548,0.2817839777455,0.584501245520932,0.57931818971843,0.485487007086931,-0.0674020661902936,0.576726661817179,0.187416616927535,0.556575298309176,0.171554678911258,0.0291993704046118,-0.354659529589298,-0.162216242163647
mild,0.265778722770472,-0.160445014916623,-0.0377779120994818,-0.0173333949632917,0.108444830026748,0.08311140661886,0.191111790620908,-0.338223424796537,-0.14577829610153,0.0506668468157756,0.0400001422229807,0.240000853337884,-0.282667671709064,0.234667501041487,-0.0342223439018835,-0.209334077633599,0.277334319412667,-0.0466668325934775,0.0951114492857542,0.319112245734446,0.325334490080243,0.0773336082977628,0.409334788748503,0.024888977383188,-0.308001095116952,0.445334916749186,0.056000199112173,0.273778751215068,-0.0982225714586527,0.106222599903249,-0.136444929582834,0.377779120994818,0.0386668041488814
