group,RXRG,NR2F2,ETS2,E2F3,SPI1,MYBL2,REST,CLOCK,E2F1,TFDP1,CEBPA,KLF3,GATA2,E2F4,TFAP4,RUNX2,MEIS1,STAT5B,POU2F1,NR3C1,CTCF,NFATC1,FOSL2,NANOG,STAT2,HIF1A,PAX6,MEF2C,GLIS1,RBPJ,ESR1,ZNF143,ASCL2
healthy,-0.288877666208133,0.119012077846129,-0.502058979602447,-0.221143762848784,0.531042295616714,0.238024155692258,0.0679462353448015,0.461609736373745,-0.0333361217160432,0.556628299863741,-0.336121532971315,-0.462140566337376,-0.576056676532645,-0.0123152551562453,0.238661151648615,0.0800491585155942,-0.0940630695554595,-0.23059253620142,0.224753406601476,0.491017716358917,-0.257664864346614,0.439845707864863,-0.0355656075632945,-0.557265295820098,-0.346101136287582,-0.377207772156374,-0.478383963224493,0.0381135913887246,0.197362580478103,0.24927775092124,0.380711249916341,0.191098786907254,0.330919399327728
healthy,-0.293078573187374,0.318139923863729,0.282636343738893,0.141318171869447,-0.195617765001549,0.293078573187374,0.317443775233831,0.0153152698577725,0.2227675615676,0.0132268239680763,-0.283332492368792,-0.16150648213651,0.329278301942109,-0.327886004682312,0.0786647951785589,0.301432356746159,-0.0522111472424063,0.0758802006589639,-0.257574993062538,-0.307697694415248,0.290293978667779,-0.342505125910186,-0.28959783003788,-0.139925874609649,-0.176821751994283,0.307697694415248,-0.208148440339727,0.242955871834664,-0.242955871834664,0.153848847207624,0.226944453346993,0.364781882066946,0.201186954040739
healthy,-0.253835431797692,0.195530019929521,-0.0290398567498249,0.221711030678067,0.144446955854051,0.256167648272419,0.168145284548857,0.265646979750341,0.226074532469492,0.20734156788217,-0.153926287331973,-0.17927973739594,0.337343828150816,-0.268806756909649,0.0533400477606887,0.340052208573079,0.328992988515503,0.105927767626304,-0.263841392802166,-0.17311064865634,-0.0342309192258299,0.194326295297403,0.299276036660113,0.0374659291746446,-0.430632487139891,-0.0736529009276647,-0.278812717914122,0.350434333525089,0.0485251492322204,-0.0189586629558442,-0.229460007997321,0.286185531285839,-0.0315977715930737
healthy,-0.436910377834118,-0.0829029583839917,0.366973284979376,0.256959880488771,-0.379939150508626,0.362258424786921,0.364615854883148,0.398012781246368,0.364615854883148,0.324146638231247,-0.354007419450126,-0.37365267025202,-0.32728987835955,-0.379939150508626,-0.38465401070108,0.392905016037876,0.32728987835955,-0.398012781246368,-0.379939150508626,-0.410978646775618,0.387404345813345,-0.375224290316171,-0.354007419450126,-0.371295240155792,-0.423944512304868,-0.4180509370643,-0.411764456807693,0.40508507153505,-0.388975965877497,-0.108834689442492,-0.0652222326622873,0.350078369289747,0.18859440769818
healthy,-0.147828471001629,-0.127846871452366,-0.0880605006684347,0.083286136174363,-0.0295303285374068,-0.0019451114605477,0.0636581932542902,0.136157802238343,0.0569387172996706,0.0537558076369561,0.083286136174363,0.174529546505512,-0.0576460305580517,0.189559953246109,-0.0871763590954585,-0.248090125377136,0.0053048494378575,-0.303260559530855,0.0311217833687641,-0.0546399492099324,-0.0238718224703588,-0.0535789793223609,0.322181189192546,-0.0256401056163113,-0.206004986503467,-0.0770971451635292,0.0548167775245277,-0.248090125377136,0.416077024242624,0.0774508017927197,0.381418674581955,0.209011067851586,0.0482741298845034
healthy,-0.485351586751181,0.429241215141978,-0.202422700699423,-0.188660959613554,-0.453074048567961,0.453949795727971,0.414666280264671,0.472340486088178,0.455763843416562,0.453574475516538,-0.46771153681384,-0.499300987942767,0.455263416467985,-0.498425240782757,0.463958334699512,0.487478401282634,0.218436363053889,-0.332346047223744,-0.252340288819985,-0.420859063753312,-0.145999562247359,-0.285368467426072,0.43136802967343,0.454137455833687,0.449633613296493,-0.178902634116301,-0.489042235496937,0.442189762436409,-0.450196593613643,0.451322554247941,-0.295752326609046,-0.137679964227265,-0.480534977371127
healthy,-0.580156076736348,0.559422654960066,0.425174381846968,0.562257994690155,-0.563979450954853,0.564131344154679,0.541828359313525,0.56997923234799,0.559498601559979,-0.573599353610515,-0.555498747297888,-0.558511295761108,0.584181246531744,-0.55053690277023,0.572206999278774,0.563118722822504,0.551372315369274,-0.556081004563888,-0.604458988708548,-0.591902484189578,0.406719358068079,-0.568561562482945,0.554815227898669,-0.564865494620506,-0.588763358059835,0.561169426758067,-0.579421926270521,0.557954354028412,-0.562663043223026,-0.471071443727799,0.565751538286159,0.561017533558241,-0.559928965626153
healthy,-0.360010160776056,0.34578788074849,0.351632653362559,-0.380049381167147,0.318637520343617,0.27641599626961,0.349183415314758,0.358159316114935,0.376417272471262,-0.381093090562516,-0.324134389825895,-0.319973468369689,0.141485245636265,-0.311261973949673,0.331356858841851,0.328754543416063,0.367886687679777,-0.362487231074399,-0.334988967537736,-0.314351353759967,0.314727089142299,-0.245689191669937,0.356656374585603,-0.380146794044048,-0.353469581898409,0.352370208001953,-0.329088530422581,0.31403128287872,0.139968387981661,-0.259994968449133,-0.364212830608077,0.311999528589068,-0.220013940543852
mild,-0.315177866303238,0.449689792093604,0.0211019481726772,-0.0121622065822819,-0.355510653943626,0.359980524738823,0.572039511301688,0.442829060175393,0.547507197169905,-0.234200439571634,-0.382225928231202,-0.283369018318808,0.360604227640479,-0.328483528205221,0.436903882609666,-0.160291645725459,0.358629168451903,-0.500729479545744,-0.43368141761778,-0.439606595183507,-0.1753644658488,-0.453224108536318,0.443764614527877,0.119023303732588,-0.335240309639822,0.455926821110158,-0.241476973424281,0.29137320555672,-0.135031678208412,-0.19469925580012,0.317880578877078,0.457486078364297,-0.342101041558033
mild,0.2034847564442,0.0596719778830621,0.0627500622792501,0.0626331729983822,-0.215368499999103,0.0235531900948815,0.183496689415789,0.0178645784259771,0.0349693765263129,-0.194289466349258,-0.0325536647217097,0.001110448168245,-0.187315072590807,-0.0484116438261213,0.104557461736335,0.189613895114543,0.186418921437487,9.7407734056582e-05,-0.0558925578016668,0.0647371800540044,0.137792980596441,-0.0561652994570252,-0.266137410989393,-0.0147085678425439,0.0235921531885042,0.0528534364991014,-0.0809847900946423,-0.015760571370355,0.0627500622792501,0.0978947727268649,-0.139935950745686,0.202432752916389,-0.184003209632883
