group,TFAP2C,RUNX1,EPAS1,FOXK1,ETV5,HOXA6,ARID3A,RFX5,E2F3,ELF3,SPI1,E2F6,GATA1,ELK3,ESR2,FOXM1,E2F1,IRF4,NFYB,FOXH1,GMEB1,STAT3,NFAT5,KLF3,PPARG,PBX3,E2F4,ZBTB33,ELF2,ELF1,ZFX,E2F7,SP4,MXI1,BATF,SPDEF,STAT5B,SP1,HINFP,FOXP1,ONECUT1,NR3C1,CTCF,JUNB,ARNTL,STAT2,ZNF217,TCF12,HIF1A,ZEB1,ZBTB7B,NR5A2,AHR,PAX6,CTCFL,EGR2,HOXC6,THAP1,NRF1,TP53,SPIB,MECOM,SREBF1,ASCL2
healthy,-0.0320609357470353,0.146221837799563,0.0904897438841557,-0.296938199301981,0.360161166055481,0.319410817816258,-0.477917687070292,0.298736008783123,-0.454845798728968,0.3844315940509,0.336789642800632,-0.461437766826489,0.462935941394108,0.0530353796936939,-0.0671182206293075,0.188769995519927,0.0020974443946658,0.376041816472236,0.381734879829187,-0.352370658303864,-0.441661862533925,-0.388027213013184,-0.0524361098666465,-0.376940721212807,-0.465932290529345,-0.297837104042552,-0.489004178870669,-0.44286040218802,0.429976100906501,-0.204950280850207,0.224726185142771,0.0479415861637911,-0.121352139977096,0.0119853965409478,-0.271469231652467,-0.223228010575152,0.0731109188997814,-0.389525387580803,-0.0104872219733293,0.454845798728968,0.0626236969264521,0.353868832871483,-0.336190372973585,-0.369449848374715,0.475820242675627,-0.363457150104241,0.136034250739757,-0.491401258178859,-0.455744703469539,0.358063721660815,-0.46233667156706,-0.374543641904618,0.133936806345091,-0.370948022942334,-0.0074908728380923,-0.348175769514533,0.0413496180662698,0.377240356126331,0.344280515638725,-0.469527909491629,-0.0434470624609357,-0.477318417243245,0.0602266176182626,0.494697242227619
healthy,0.378367378119652,-0.0248015202121113,-0.236479611324782,-0.0695019345478933,-0.0928615059104633,0.219464614900194,-0.169573184706063,0.16351699953799,0.209659362723313,0.12516116014019,-0.181397165272303,-0.0239363509023865,-0.0322996542297264,-0.121412093131382,-0.263299859926252,0.174187421024596,0.10843455348551,0.109011333025326,0.250322320280379,0.0726742220168843,0.214273599041845,-0.0853633718928483,-0.443543466118921,-0.16178666091854,-0.258397233837811,-0.0025955079291744,-0.207640634333955,-0.0830562537335821,-0.175340980104229,-0.327322388845888,-0.0366255007783504,-0.282333584740197,-0.112760400034134,-0.255513336138728,-0.238209949944232,-0.111606840954501,0.175052590334321,0.147367172423127,0.171303523325513,0.207640634333955,0.157172424600008,-0.238786729484049,0.135254802086979,0.0002883897699082,-0.095745403609546,-0.0692135447779851,0.289254939217996,-0.218887835360378,0.109299722795235,0.0418165166366993,-0.336839251252861,-0.253206217979462,0.206487075254322,-0.120835313591566,0.24195901695304,-0.207352244564047,-0.117663026122575,0.410955422119286,0.350970349978366,-0.211101311572855,0.314056459430107,-0.276277399572124,0.370004074792312,0.130928955538355
healthy,0.0235324305416721,0.292226952189695,0.0059809265272183,-0.0408044520081249,0.0792053541034425,-0.146337062133248,-0.280432788664059,0.234653547301518,-0.0371711788841138,0.213636459691854,-0.110116123912337,-0.171266905414924,0.0195637783600599,-0.546332484832073,-0.0364445242593116,-0.0617097465985889,0.0877575200722687,-0.0486858598617491,0.266794040321617,0.101563957943511,0.314138383952962,-0.0561200956385718,-0.180713415537353,-0.0390157637009195,-0.0020122743456061,-0.270818589012829,-0.214251321297456,-0.123810768764379,0.116879601573958,-0.192172200005388,-0.0764664251330341,-0.0523191329857602,-0.164503427753304,-0.0497478935441523,-0.14376582269164,0.31028152479055,-0.0415311066329272,-0.0228057759168698,0.0778638378730384,0.048350480804148,-0.0567349572441737,0.0425372438057302,-0.080658663353047,0.0024035499128073,0.330963233342613,-0.25159018971037,-0.278979479414454,-0.0374506614321147,0.0991045115211034,-0.211344702798247,-0.0088875450264272,-0.137673103145221,0.188650719900578,-0.113917086565149,-0.0550021654465684,-0.106259264749925,0.222579901227881,0.136163897386017,-0.285183991980073,0.0718270148362199,-0.0851862806306608,0.0445495181513364,-0.103743921817918,0.160255293023691
healthy,0.306186217847897,0.306186217847897,0.265361388801511,0.0408248290463863,-0.306186217847897,-0.306186217847897,0.0204124145231932,0.306186217847897,-0.142886901662352,-0.0408248290463863,-0.0204124145231932,-0.0408248290463863,0.122474487139159,0.306186217847897,0.122474487139159,-0.224536559755125,-0.265361388801511,-0.0612372435695795,-0.0816496580927726,-0.306186217847897,-0.306186217847897,-0.122474487139159,-0.306186217847897,-0.0612372435695795,0.265361388801511,0.183711730708738,0.306186217847897,-0.142886901662352,0.122474487139159,0.224536559755125,0.0204124145231932,0.306186217847897,-0.0612372435695795,0.0612372435695795,-0.204124145231932,0.306186217847897,-0.0204124145231932,-0.0612372435695795,-0.306186217847897,0.0612372435695795,-0.204124145231932,0.265361388801511,-0.306186217847897,0.285773803324704,0.0816496580927726,-0.0612372435695795,0.204124145231932,0.0,0.306186217847897,-0.244948974278318,-0.265361388801511,0.285773803324704,0.265361388801511,0.244948974278318,0.0,-0.224536559755125,-0.306186217847897,-0.306186217847897,0.0204124145231932,0.0612372435695795,0.122474487139159,-0.306186217847897,0.306186217847897,0.224536559755125
healthy,0.302007702321123,0.0259143144463349,0.0578590039525087,0.0756241629125747,-0.0898036934586824,-0.217908417702828,0.081817521082139,-0.203728887156721,-0.309015976039314,0.0865440312641749,-0.0648672776706998,0.0436794734064009,-0.151411308934875,-0.25523154982994,-0.0073342399376419,0.188571457952261,0.152715173812678,-0.413651132483006,0.161679244847573,-0.139676525034648,-0.26859616482742,0.0611186661470162,-0.453907960585174,-0.334278358046747,-0.165264873261532,0.462220099181168,0.0516656457829444,-0.0725274838277925,-0.409902520959322,-0.132831234426182,0.13641686284014,-0.422778186627627,0.0099419696932479,0.0722015176083418,-0.265499485742638,-0.227198454957175,-0.144403035216684,-0.248223276111748,0.0171132265211645,0.228665302944703,0.112947295039686,-0.0448203551744785,0.339656800667685,-0.0816545379724136,0.0796987406557091,-0.212041025752715,0.171458231431096,0.314557401769977,-0.10610200443122,0.42440801772488,0.110991497722981,-0.38317329096436,-0.235673576662894,-0.17944440380764,0.432231206991698,-0.0764390784612016,0.32678113499938,0.0712236189499895,0.168361552346314,0.0030966790847821,0.159071515091967,-0.118488720770349,-0.275767421655337,0.232413914468387
healthy,0.209774720010168,-0.170154659848248,0.253261931532276,-0.119006110725768,0.209701754890165,0.27996716545357,0.307839841294921,-0.142719774726918,-0.07055727104342,0.183069486088874,-0.301127050254596,-0.250197396492127,-0.275881118733372,-0.297259898894409,-0.169862799368234,0.279675304973556,0.27500553729333,0.31936833025548,-0.275151467533337,-0.127688960006189,-0.0920819814444633,0.218019778570568,0.294560189454278,-0.287482572813935,-0.271941002253181,0.266614548492923,-0.261142164492658,0.0715787827234695,-0.171540997128315,0.130753495046338,0.262747397132736,-0.141771228166872,-0.303243038734699,-0.028821222401397,-0.193576463369383,0.264425594892817,-0.14585727488707,-0.306307573774847,0.192700881929341,0.231518325771222,0.185842160649008,-0.124916285446055,0.226848558090996,-0.234436930571363,0.297186933774405,0.3238921676957,0.105142737925096,-0.140238960646798,-0.0755188992036605,0.290109317134062,0.306672399374865,-0.208607278090112,0.320243911695523,-0.285439549453836,-0.306234608654844,-0.283031700493719,0.151329658887335,0.274421816333302,-0.164682275847982,-0.347459901456842,-0.292444200974175,-0.29047414273408,-0.21517413889043,-0.22363809281084
healthy,0.129695677192122,-0.0555041715295319,0.0355268535104227,-0.158145051543943,-0.0660680936234063,0.112646971238642,-0.0066939704357224,-0.0015688993208724,0.07610904927699,0.105778678656156,-0.120665789989767,-0.0565501044101135,-0.122687926892225,-0.130776474502057,-0.0066591060063697,-0.0057526308431989,0.0680205016671587,0.0948312478394012,-0.204410149295003,0.0032075275004503,-0.0278218146234714,0.0760393204182846,0.0638019057154795,-0.134890477165678,-0.127917591295133,-0.0134576697301503,-0.0819314089788944,0.0278218146234714,-0.056863884274288,0.0009064751631707,0.132972933551278,0.0372700749780588,-0.0570033419916989,-0.0745052855267648,-0.102640880014411,0.181260168204797,0.0030680697830394,-0.170382466246748,0.136145596622376,0.138446648959655,0.0575960372906951,-0.130079185915002,0.0081582764685367,-0.0633486681338941,0.151625403254984,-0.0253813045687809,0.190778157418089,-0.05560876481759,0.126244098686203,-0.203015572120895,0.191789225869318,-0.23896079878355,0.135866681187554,-0.153019980429093,0.0481477769361077,0.074609878814823,0.117527991348023,0.111949682651587,0.221249668672368,0.124431148359861,-0.0719950466133689,-0.170626517252217,-0.147581129450068,-0.167453854181119
healthy,0.0038990733638259,-0.0762258635629629,-0.0388070076682358,0.0059200590340812,-0.0265790236633577,0.126607607342661,-0.0081451846710289,0.0738170119559919,0.0246192799831101,0.0634875296413537,0.0109214882180464,-0.0229249182595628,-0.0462172884591719,0.003327481457087,-0.0931286528050982,0.0168415472521276,0.0830033104571524,0.0355203542044873,-0.0908626991748119,0.0401951594417445,-0.0222512563694777,0.134916103987044,-0.0221287723894622,-0.0150859435385725,-0.0665292151450713,-0.0371943019313654,-0.0236394081429863,0.0639570515647463,-0.0824317185504135,-0.0820030246203594,0.165353373020889,-0.129771776826394,0.181990780306324,0.156636596443121,-0.0220471164027852,-0.021700078459408,-0.0010206998334622,0.0004695219233926,-0.0607316400910055,0.203017196875647,-0.0915771890582356,-0.0480953761527425,0.114849145261175,-0.0270689595834196,0.105622018766676,0.040072675461729,0.0893928914146263,0.171457158024993,0.0550157210236168,0.216714988640711,0.0948026005319764,0.0762054495662937,0.0452986586090559,-0.0762462775596321,0.0944759765852684,0.0363369140712571,0.100824729549404,0.0650594073848856,0.025190871889849,-0.068754340782019,-0.168864580447999,0.0973951781089705,-0.0294573971937213,-0.112072841714158
mild,-0.0370217855048642,-0.178895481006022,-0.126210632402946,0.0081551485552672,0.145498205970166,0.0297727645668489,0.0915188893424441,-0.0564388058745483,-0.0661473160593903,0.127375653625127,-0.177342119376448,0.0991562506878531,-0.0469891892946354,-0.12206833472408,-0.0512609337759659,0.133589100143426,-0.0872471448611136,-0.0960495274287037,0.13087071729167,-0.173070374895117,0.0807748047378856,-0.0233004244436208,-0.100062378305105,-0.106923058835727,-0.19727692695599,0.256175222077365,-0.180060502228203,0.0132035738513851,0.0253715732830538,0.0475069765044936,0.218635649362642,-0.315720751211062,-0.188603991190864,0.0601927631460205,-0.0899655277128694,-0.178118800191235,0.0829754003797831,-0.0028478296542203,0.0749496986269804,0.161549609475771,0.282582369780135,-0.180966629845455,-0.182390544672565,-0.288795816298434,0.0948845062065227,-0.151452758883535,-0.0702896137382562,0.122197781526545,-0.220965691807004,0.068865698911146,-0.0990268038853886,-0.087117698058649,0.23248645722635,-0.184979480721857,-0.0573449334918002,0.164785779537385,-0.0534615294178634,0.0216176160115816,0.170481438845826,-0.0261482540978412,-0.121938887921616,-0.0920366765523023,-0.0503548061587139,-0.034432849455573
mild,-0.088543630257433,-0.137792980596441,-0.031034104070427,0.217862137990951,-0.239369765670645,-0.304593984394932,-0.136351346132404,0.080595159158416,0.205393948031709,0.0950894299860354,-0.10685628426007,-0.0971155108544123,0.231070626729024,-0.0659839990499287,-0.0093706240162431,-0.0680880061055508,0.166898411532548,-0.0073055800542436,-0.1001935952506,0.280281013974409,-0.32321834314655,0.188951522522958,-0.0375799037990293,0.0542171447758936,-0.160430537991191,0.0777898164175864,-0.0318133659428797,0.107596583038901,-0.222771487787403,0.162768323608549,-0.115934685074144,0.313282754272779,0.0783352997283033,0.215991909497065,0.132143332021159,-0.206368025372275,-0.012994191723148,0.0755299569874737,0.169119307869038,-0.0359434538668788,0.0743610641787947,-0.0050067575305083,0.153962664449834,-0.0023183040705466,0.0228518544096741,0.190276267706127,-0.125168938262708,-0.158482383310059,-0.0032144552238672,0.235824124150985,0.157781047624852,0.0641527336496649,0.0783742628219259,-0.0008766696065092,-0.146014193350816,-0.056710782767742,0.164911293757793,-0.010773295386658,0.21977132957846,0.162300766485077,0.146754492129646,0.1845486929436,-0.198575406647748,-0.159105792808021
