group,VDR,HSF1,MAFF,KLF5,TP63,ZNF76,E2F1,FOS,HOXA4,ZNF384,KLF3,PPARG,GATA2,PRDM1,JUN,SP1,ASCL1,JUNB,KLF4,GMEB2,ELK1,FOXA1,TCF12,MAFK,HIF1A,TP73,HOXA1,ZKSCAN1,USF1,MYC,NRF1,BACH2,ELK4
healthy,-0.214349061198731,-0.119849420836614,-0.119926943101062,0.38567326562882,-0.0202333110209291,-0.0817084667281963,-0.273886160294798,0.0072095705936643,0.263885788181006,-0.0062017811558403,0.239156185822093,0.349082756809362,0.253032671158285,-0.219775619710092,0.142408399790984,0.296057527926928,-0.447691077187224,0.548159931911837,-0.330554935606289,-0.33288060353973,0.0737236734900519,-0.26411835497435,0.224039344254732,-0.269467391221262,0.279545285599503,-0.265901367056654,-0.322647664632593,0.318538984616849,0.278537496161679,-0.254970727769485,-0.550563122109725,-0.233884671839628,0.0553508968158749
healthy,0.4966280033367,0.115540872221109,-0.598044074552784,-0.0426568990351773,-0.32035048679398,0.0850313020502541,-0.158762763296488,0.474028321728659,0.511317796381927,0.0824888378693495,0.0714714930854295,0.314135574351769,-0.340972696261318,-0.264133778793979,-0.532504997889465,0.460468512763834,-0.287863444482422,0.461033504804035,0.070624005025128,-0.145767946371864,0.483633186412076,-0.241816593206038,0.676860464160827,-0.34210268034172,-0.0223171855879404,-0.318090518633176,-0.392386971919611,0.363572377869359,-0.0514142756582932,-0.426286494331672,-0.436738847075391,-0.631378604924644,0.0731664692060326
healthy,-0.277184571184623,-0.484886886387424,-0.217330570674568,-0.535708193619842,-0.0008437131083506,-0.400614835918044,-0.655813236102705,-0.045510877668093,0.257382128229804,-0.458632519662865,0.438631555976669,0.522903606446049,0.0581169441105091,0.18953766828184,-0.411880887423668,0.403840797802914,-0.470940805008216,0.556900281694298,-0.234055942293049,-0.146607560121643,0.493373647653775,-0.429003300504902,0.0917165778960041,-0.246662008735466,0.511190883294828,-0.34865203448021,-0.585735417926754,0.168544100938761,0.500867805263243,-0.0234750764852868,-0.128691064114902,-0.349346857040029,0.387264316732965
healthy,-0.567175956023935,0.161691225277134,-0.373649152712962,0.268089078179703,0.293641318443706,-0.307464661537347,-0.302856880506134,0.19185124657235,0.629171555352991,-0.436901419595985,0.426848079164246,0.209863481512549,0.389985830914537,-0.265156853887113,-0.30118132376751,0.547488164345113,-0.231226829929994,0.265156853887113,-0.395012501130407,-0.357312474511386,-0.164623449569724,-0.595241531395873,0.438158087149953,-0.446116981658413,0.216565708467042,-0.293222429259051,-0.225362381344813,0.41260584688595,0.186405687171825,0.175514568370775,-0.304532437244757,0.194783470864941,-0.358569142065353
healthy,-0.0450841351280991,-0.383874273371417,-0.0166099445208786,0.0142370953036102,0.0253103916508626,0.169263244165144,-0.32086194415729,0.248885517900149,0.178227341208158,-0.0754038751265283,0.0255740415638925,0.0943866688646753,-0.152653299644265,0.144216502427311,0.200901233728722,0.227529874944734,-0.0203010433032961,0.293706003115219,0.132615906253999,0.0348017885199361,-0.128133857732492,0.033483538954787,-0.0922774695604367,-0.198792034424484,0.11706056138524,0.134461455645208,-0.10150521651648,-0.018982793738147,-0.0324289393026678,-0.0543118820841428,0.0237284921726837,0.011600596173312,-0.269977510942535
healthy,0.228031979215014,-0.52507836819675,-0.376555173705882,0.362987679602049,-0.449427328784056,-0.572482865667972,-0.615212298905824,0.391691920139796,0.436317533276498,-0.561105786274878,0.501506890488646,0.56862512035652,-0.508535833217138,0.0241272545750079,0.585658046689283,0.411667194591462,-0.583859945061065,0.618416189079741,-0.50484155169007,-0.588306159996297,0.53093037167768,-0.522430254889737,0.524130278247326,-0.398753555625164,0.297994478931161,-0.55057871856058,-0.638227999747024,0.426084700374089,0.569180897223424,0.140807703867966,0.495262573925196,-0.429778981901157,-0.492320225806292
healthy,0.120022156848204,-0.762277391095756,-0.276528430993063,-0.600207048402753,0.305195898357031,0.454540118868984,-0.826581851133132,0.765261580109466,0.750783450184884,-0.49920668991291,0.782492865059602,0.785284525749847,-0.7678414596439,-0.0473812204047851,0.512433385734969,0.779932238357514,-0.75295902024004,0.791310662274307,-0.783282231185809,-0.803728739137813,0.266054890196556,-0.611431449660774,0.800397999141865,-0.564088734920682,-0.767976229470326,-0.460970564872722,-0.480935752016063,0.304271762404398,0.771576509119125,-0.22575871209529,-0.591543273846819,-0.570596192253805,-0.758638605782264
healthy,0.367985393642368,0.207297808168868,-0.248216224399968,0.250556841262136,-0.433816057868852,-0.565666461221549,-0.460045310338214,0.526769190470316,0.351581516134808,-0.358349093580296,0.2931312928219,0.241637721854209,-0.0520021172497214,-0.347910855150405,-0.42687896499602,0.280626270143243,-0.261001599516154,0.260127943082922,-0.414712973172051,0.3877795796968,0.323324598361451,-0.594301528794365,-0.1070946311364,0.189896397569632,-0.380868566120483,-0.275351732423205,-0.486209364566289,0.488471743538914,0.256841951722107,0.316517901971192,-0.453988393722743,-0.583948048078147,0.471546280101066
mild,-0.165543940074837,-0.200786050508027,-0.348708935366269,-0.300685686215976,-0.126683639637173,-0.060334493061621,-0.328362490276174,-0.006014653513931,0.268826818384372,-0.253179321352036,0.332074659241803,0.332685522489312,-0.005215832344112,-0.0569512504600347,-0.160516065653035,0.207787483114087,-0.379393066183433,-0.115970038065483,-0.335081985998769,-0.201584871677846,0.351716262123234,-0.24589595186251,-0.0648454831970693,-0.146278253038027,-0.120621996642664,-0.0231658139247501,-0.307452171419148,0.104974499610328,0.397343047764071,-0.175270762554397,-0.357495968234278,-0.265678523185674,-0.180909500223708
mild,-0.140939962947949,-0.2148562915433,0.209581409164231,0.137160536913462,0.368548418593224,-0.231306311333694,-0.465943411798501,0.286842121948373,0.223448367995803,-0.501263371645976,0.324160555274515,0.493731709692357,0.221273158767321,0.311258845538082,-0.332698251496307,0.297160770725984,-0.354232822858277,0.296712133822609,-0.221150803248219,-0.340474624488129,0.162692055232768,-0.294672875170907,0.206767232224883,-0.154032003491875,-0.225705147570353,-0.141578930658816,0.269861894908536,0.306840451792728,0.454686704041107,-0.215304928446674,-0.208983226626399,-0.307968841580003,0.131491397861731
