group,NR2F2,KLF5,SIX5,TFAP2A,HOXA6,ELF3,E2F6,MYBL2,ELK3,BCL11A,FOXP3,NFAT5,GATA2,E2F4,MBD2,STAT4,TFAP4,PRDM1,ZFX,BHLHE40,TEAD4,ETV6,ASCL1,HNF4G,NFATC1,GMEB2,STAT2,TAL1,TP73,NR5A2,TCF3,FOXP2,GTF2B,ESR1,SETDB1,CEBPB,SREBF1
healthy,0.114334228645009,-0.0653973992638766,-0.0309191785635335,0.139469963736227,-0.0295845377622299,0.165940339628748,-0.0642851985961236,-0.171278902833963,-0.0916453350228475,0.0480470688469298,-0.128347957058697,-0.441766105231493,-0.264703758925215,0.146365607876295,-0.263591558257462,-0.166162779762299,0.0235786541563637,0.250690030511527,0.129015277459348,0.0489368293811322,0.0037814822703602,-0.0858618915505319,0.0244684146905661,-0.242459745570155,0.0671769203322814,0.216656690078285,-0.191076074719966,0.0151259290814408,-0.0086751652084734,-0.16282617775904,0.0856394514169813,0.0513836708501888,-0.271821843198834,0.213097647941475,0.0106771264104288,-0.0511612307166382,0.0315864989641853
healthy,0.118866231891982,0.203770683243397,-0.152828012432548,0.135847122162265,0.0849044513514156,0.0849044513514156,0.186789792973114,-0.0509426708108493,0.237732463783964,0.152828012432548,-0.0169808902702831,0.22075157351368,-0.288675134594813,0.101885341621699,0.0679235610811324,-0.101885341621699,0.27169424432453,0.203770683243397,0.22075157351368,-0.152828012432548,0.0169808902702831,0.169808902702831,-0.0509426708108493,-0.237732463783964,0.27169424432453,0.254713354054247,0.288675134594813,-0.288675134594813,-0.186789792973114,0.0679235610811324,0.22075157351368,0.0509426708108493,0.135847122162265,-0.0679235610811324,-0.135847122162265,-0.0339617805405662,-0.22075157351368
healthy,-0.224010236100967,-0.156054490877378,0.0703212933168155,-0.0435117482602518,-0.177702840094175,0.197630790697717,-0.171394711845572,-0.183294135587255,-0.236339759495964,0.262862571450318,0.119065920692386,-0.120642952754537,0.354043697952856,-0.0815038843029758,-0.0575616702685044,0.149459629526565,-0.236483126047069,-0.0032257473998539,-0.0155552707948511,-0.061862666801643,0.0922563756358222,0.188742064529231,-0.0534040402864705,-0.10429916592861,-0.114334824505933,-0.275765561049734,-0.122076618265583,-0.0197129007768851,-0.0081002101374109,-0.058851969228446,-0.082937549814022,0.0270245948832206,-0.113761358301515,0.184727801098301,0.008817042892934,0.0730452577878033,0.271177831414386
healthy,-0.0227184733698826,-0.0482767559110005,0.0170388550274119,-0.109805954621099,0.0170388550274119,-0.0255582825411179,0.0094660305707844,0.0037864122283137,-0.0331311069977454,0.0198786641986473,0.136310840219296,0.104126336278629,0.338883894434082,-0.0615291987100987,-0.0615291987100987,-0.0672088170525693,-0.0350243131119023,-0.112645763792335,-0.0397573283972945,0.0104126336278629,0.141043855504688,0.0283980917123532,-0.0274514886552748,-0.11548557296357,0.233810955098375,-0.33983049749116,0.23665076426961,0.0463835497968436,0.0624758017671771,-0.214878893956806,0.0672088170525693,0.0473301528539221,0.0596359925959418,0.0482767559110005,-0.0274514886552748,-0.0615291987100987,-0.0312379008835886
healthy,0.152305457669572,0.229473556222155,0.240981079690523,-0.22405825106057,-0.0375686795584944,0.0795372945607764,-0.111690668957686,0.048737746454263,0.0754758156895878,-0.0988293191989222,-0.265349952917654,-0.207812335575816,-0.163136067992741,-0.162120698274944,0.199689377833439,-0.100183145489318,0.0155690023395562,-0.427809107765197,-0.152643914242171,0.0798757511333755,0.383809753327321,-0.143167130209398,-0.0189535680655467,-0.0829218602867669,-0.315441525662313,0.028091895525721,-0.144859413072393,0.103906167787908,0.0731066196813945,-0.452516437564928,-0.0243688732271315,-0.424762998611806,0.15636693654076,0.111690668957686,0.276180563240824,-0.0849525997223612,0.0382455927036925
healthy,0.132139832326405,-0.0878500044842582,0.133453204486469,-0.130899425286345,0.063479654403077,0.0504918630424474,-0.130753495046338,0.0034293606401662,-0.030864245761496,-0.175408148488502,-0.132577623046426,0.0202113382409797,0.135058437126546,-0.0828883763240177,0.0557453516827021,-0.14935960064724,-0.0317398272015385,0.225024430090907,0.0963139584046685,0.089455237124336,-0.0727462246435261,0.0747162828836216,0.041736048642023,0.0520970956825252,-0.154248263687477,0.0631877939230628,0.0661063987232043,0.0769782016037312,0.0398389555219311,0.0574965145627869,0.254283443212325,-0.0391093043218957,-0.135788088326582,-0.0845665740840991,-0.164463380487972,-0.0847854694441097,-0.165703787528032
healthy,0.0040227094408728,-0.0980535426212752,0.0120681283226185,0.0409813524288919,-0.113390122364603,-0.0267761597158098,0.0375871913381555,-0.0717802215855745,0.0193592891842005,-0.0280332564160825,0.165433925755895,0.246516662923488,-0.0140794830430549,0.0138280637030003,-0.0584549965626833,0.215843503436833,-0.0227534502749369,0.0986820909714116,0.0472668359302557,0.0807056081575111,-0.026901869385837,0.101824832722093,-0.0054055158111728,-0.0189821601741187,0.0424898684692192,-0.0791970921171838,0.144691830201395,-0.0598378029329833,-0.22150043858806,0.0208678052245278,-0.0412327717689465,0.207546665215032,-0.0617234479833925,-0.0087996769019093,-0.0949108008705933,-0.0162165474335186,0.0011313870302454
healthy,0.032382823506992,-0.0545512110646363,-0.0996116246940476,-0.0189259303693636,-0.0261762316358625,-0.0542728885592045,-0.0800873009380055,0.0187450207408329,-0.0173534082136738,-0.044559433119634,-0.117410348916412,-0.0512113409994545,-0.0873654344550476,0.062928718478134,-0.0825087067352624,-0.0772205791320578,0.0770814178793419,-0.104593597541277,0.0396192086482193,0.0652527113984897,0.0410247373006499,-0.0640141762493181,-0.0587817131471999,-0.0445037686185476,-0.10890759637547,-0.0136238866408875,0.0149876669175034,0.0213195039160772,0.0774989016374896,0.11870454856667,0.0756898053521828,-0.0604655643050624,-0.0333291200254602,0.0242558063483829,-0.0188006852419193,0.149821004673947,0.0276095925388363
mild,0.0033446762884954,0.13924415495789,0.130794446439585,0.136779656640051,-0.104917214102279,-0.0301020865964591,-0.0528106782394019,0.166353636454116,0.0406642222443395,-0.0589719240339988,-0.0392559374912888,-0.239232372424491,0.0084497085183043,0.0855532987478311,-0.0413683646208649,-0.0146109543129012,0.0695340596818792,-0.0158432034718206,0.0920666157306907,-0.183781160273119,-0.169874348336743,-0.13924415495789,0.0883698682539326,0.0369674747675814,0.0707663088407986,-0.0596760664105242,-0.195047438297524,-0.169170205960218,0.0126745627774565,0.361929181534035,-0.0334467628849546,0.0172514882248713,-0.0653092054227271,0.0065133169828595,0.189414299285322,-0.141532617681597,0.0505222155156945
mild,-0.014802742808738,0.0565006098756056,-0.0920629336454913,-0.0045569811865933,0.0260015985352682,0.0383918218922802,0.0666868031162261,-0.186657523505757,0.0998068232436238,-0.0098585671422379,-0.0893823564769069,0.0380939799846598,-0.0009828782951475,0.0762773125416057,0.0146240376641657,-0.0943265321434069,-0.0381535483661839,0.0885483991355696,0.109039922379859,0.0512585923014851,0.0423233350728706,0.0815193301157262,0.0373195910248465,0.037617432932467,0.0447656387153586,0.0411915358239128,0.0878335785572804,0.133165116897118,-0.048101468080708,0.143708720426883,0.172122838413877,-0.0864635057822262,0.0415489461130574,-0.166225568642992,-0.0080119473149909,-0.0791961632362864,-0.0681164442728044
