group,RUNX1,TP63,SPI1,MYBL2,TFDP1,NFYB,FOXH1,GMEB1,KLF1,ZBTB33,OTX2,SPDEF,JUN,STAT5B,PAX5,E2F2,POU2F1,GATA3,HINFP,HSF2,NFATC1,NFYA,NANOG,STAT2,FOXA1,FOXP2,CTCFL,THAP1,GLIS1,ETV1,MAF,SREBF1
healthy,-0.10338719237468,0.271366763985352,0.276093035636765,0.0950177529919681,0.259452620864079,0.0097479352810412,-0.314001672840815,-0.250590861517678,-0.401930018355662,-0.194466385657137,0.383911107684646,-0.233359662788564,-0.0736510665678675,-0.267329740283102,-0.039090205116903,-0.34275315872025,-0.311441609029632,0.154686932591069,0.148286773063113,-0.358704325543772,0.177038258942548,0.17605361901517,-0.164533331864848,-0.355750405761638,0.215340752117549,0.309176937196663,-0.014572670925193,0.128495510522817,-0.296770474111702,0.274419147760223,0.612938354792748,-0.156065428489398
healthy,0.180484816641317,0.205615613895172,-0.091384717286743,-0.156877098008909,-0.318323431882155,0.0868154814224059,0.219323321488183,-0.459969743676607,-0.059400066236383,-0.080723166936623,0.261969522888663,-0.139742463517645,0.187719440093185,-0.0898616386652973,0.174773271810896,-0.21589639458993,-0.0346500386378901,0.25321182081535,-0.359827324316551,0.311850347741011,-0.250165663572459,0.230746411149026,0.102427037292224,-0.233411798736556,-0.16525403042686,-0.319084971192878,0.272631073238783,-0.0007615393107228,-0.369727335355948,-0.0095192413840357,0.236077186324086,0.0639693021007201
healthy,-0.347279757622026,0.181555181316417,0.0288130258564908,0.154133129121964,0.0453722361188419,-0.0546453938657585,-0.208049917736179,-0.0863066038873737,-0.0761061303657655,-0.0772983935046547,-0.0702772883534179,-0.13452702417134,0.17347428670839,-0.283824863896697,-0.155457865942952,-0.271107390415211,-0.125518813788621,-0.0941225511312034,-0.0310650784521706,-0.0504062360385966,-0.0184800786527838,-0.0502737623564978,-0.159299602723817,0.0168903944675981,0.0338470257762456,0.0804777618750261,0.0889560775293499,-0.0735891304058881,0.0515984991774859,0.242228127717671,0.215865864980008,-0.149231602884308
healthy,-0.322385305729763,-0.174820383551153,-0.0963576917211077,0.109021845490168,-0.213088152548964,-0.200974614161168,0.572915304204643,0.318806305751551,-0.40910722827876,-0.335324767189455,0.458937920283105,-0.360102459346311,0.345511151742829,-0.276684229084895,-0.168212998975991,-0.256036152287515,-0.216391844836545,0.368361690065263,0.134625460718919,-0.122511922331123,-0.34881484403041,0.178124075838733,-0.0123888460784281,-0.292376767450904,-0.0561627688888742,0.338903767167668,0.080389845664467,0.334774151808191,-0.286319998257006,-0.0801145379738353,0.306142151982491,-0.201525229542431
healthy,0.217394685212489,-0.567294015854868,0.0106112549728249,-0.0653000306019992,-0.13576964695999,-0.219843436360064,0.31561681457633,0.564845264707293,-0.254942202808639,0.10801713395414,0.343913494503863,0.18311216914644,0.13413714619494,0.233719692862989,-0.0280245964666913,-0.0312895979967913,0.0914200428427989,0.267730125468197,0.0655721140628409,0.0601304448460076,0.234263859784672,0.0696533659754659,-0.0930525436078489,-0.0029929180692583,0.382821429404221,0.39424893475957,-0.276164712754288,0.0908758759211156,0.56756609931571,-0.151550487688807,-0.405404356654079,0.0367312672136246
healthy,0.140997007840563,0.0141253832991457,0.0009759355733955,-0.152348679510059,-0.142640688806282,-0.0889128672393498,-0.0595834350073055,0.17381926212476,0.141613388202708,0.0225492482484544,-0.0816703979841514,-0.234892283007248,0.0241929292141732,0.121324201282117,-0.0045201226557266,0.105760597137967,-0.122300136855512,-0.178442114840844,0.0382669474831401,-0.185581854035685,-0.0765338949662803,-0.161183464700797,-0.157279722407215,-0.0586588644640886,-0.302796852903505,0.0883992169375627,0.113362621604416,-0.0130980826955715,0.119372330135326,-0.0826976985877257,0.243316147956557,0.184451823371753
healthy,0.0642068345142765,-0.156006688819812,-0.0483189984579971,0.0636137718717042,-0.140462204819759,0.0236600780563061,0.230014663848179,-0.137059898080791,-0.0768796467713481,-0.0169178922249576,0.146736183301708,0.166057539920248,-0.0718854350444233,-0.0761305150123094,-0.0633952751086512,-0.128132744618913,-0.142397461863942,0.06024267895603,-0.0603675342492031,0.115428718538549,-0.204169618161343,-0.141055267462331,-0.103505038040516,-0.101226428940106,0.049317840803382,-0.242188054932558,0.0035895896787271,-0.0006554902891588,-0.151761608851926,-0.0531259272451622,-0.0019352570441833,-0.0187595077992611
healthy,-0.0637278946630176,0.0766247637911628,0.03640885361561,0.0875747017143861,-0.0623886044074025,-0.0127604599354437,-0.0094866393106068,0.0954740340553751,0.0329986237980716,0.0989090655443138,-0.155990112272057,-0.0707963710120972,0.0829491899982341,-0.0578498985411514,0.10571712434369,0.074777039271842,-0.124392782908101,0.0204737797409305,-0.0963296917186847,0.0469495639607287,-0.0894968312479078,0.177468359704698,-0.0784228849676831,-0.134598670689316,0.0520339065977859,-0.105382301779787,0.133693409683205,0.0784724883104836,-0.0298488115302361,0.0282119012178177,-0.0484624659161457,0.108978544132827
mild,-0.221447558477343,0.0406963240590366,-0.13578675929942,0.138069723819805,0.127548235160639,0.146308247958585,0.0066503749072084,0.104619330629816,0.0210429773183311,-0.0759333851345439,-0.109979334286372,-0.0280903895334326,-0.0459570683886194,0.13092305227773,-0.0962815471640621,-0.26184610455546,0.0654118964753783,0.0598533741648758,0.0927082113930248,-0.116133412558714,0.000794074615786,0.0093303767354864,0.12149341621527,-0.135588240645473,0.156432699309858,-0.084767465235164,-0.0727570866713995,-0.0499274414675498,0.100549698223912,-0.113651929384383,0.0858593178318699,0.147003063247398
mild,-0.0811406424691328,0.100154632156978,0.0432295523743111,-0.332920153458586,0.012253892944318,0.0545288495248746,-0.044086740434009,-0.0833225757120003,0.0191893236091467,-0.197328587651824,-0.11780491356803,0.270890908411355,-0.165573666349378,0.194912875847221,-0.211238412075104,-0.0557367054271762,0.250123579510491,-0.0569055982358552,-0.0807899746265291,0.164093068791718,0.220394739076422,0.0655554050200797,0.0846083578015471,-0.0984012929439591,0.0072276538669983,-0.135533121166328,-0.107830361600636,-0.130545845182631,0.0318133659428797,-0.120921961057841,0.0783742628219259,0.13155888561682
