group,RXRG,ATF1,TFAP2A,ETS2,ARID3A,CLOCK,XBP1,FOXP3,NFYB,GMEB1,ZNF384,KLF3,RELA,PRDM1,MAX,MEIS1,E2F2,GATA3,PRDM14,HNF4G,NFATC1,ARNTL,KLF9,TP73,HOXA1,AHR,MEF2C,ZKSCAN1,GTF2B,TCF4,GLIS1,RBPJ,JUND,RARA,POU2F2
healthy,-0.16600273793047,-0.436164056523196,0.215233942071615,-0.43697779543462,-0.42775542110515,0.238018631591483,-0.316408813391983,-0.313967596657711,0.462746194296376,-0.285215488454068,-0.435757187067484,-0.427484174801342,-0.445793300308379,0.289555429314995,-0.418397423623775,-0.431688492510365,0.0027124630380795,0.29552284799877,-0.367131872204071,-0.432773477725597,0.305016468632049,0.313289480898191,-0.263651407301335,0.150812944917225,0.439961504776508,0.283723633783124,0.109041014130799,-0.440232751080316,-0.410531280813344,-0.441182113143644,-0.0223778200641565,0.279383692922197,-0.359401352545544,-0.465323034182552,0.21713266619827
healthy,-0.203770683243397,-0.254713354054247,-0.254713354054247,0.186789792973114,-0.288675134594813,0.0509426708108493,-0.118866231891982,-0.22075157351368,0.254713354054247,0.0849044513514156,0.288675134594813,-0.203770683243397,0.27169424432453,0.118866231891982,0.27169424432453,-0.101885341621699,-0.0679235610811324,0.186789792973114,-0.0509426708108493,0.254713354054247,-0.254713354054247,0.254713354054247,-0.169808902702831,0.169808902702831,0.27169424432453,0.186789792973114,0.135847122162265,-0.169808902702831,0.203770683243397,0.203770683243397,-0.169808902702831,0.27169424432453,-0.0679235610811324,-0.22075157351368,0.152828012432548
healthy,0.0912081301250296,-0.192815444294816,-0.281440337618919,-0.127108497973807,-0.124856445378127,0.209507128239266,0.426631493199213,0.415106282856616,0.226331285865814,0.33350249468375,0.0647133937052679,-0.0019208683904327,-0.294687705828799,0.0289454995385897,0.0130486576867326,0.121544603325657,-0.143535234554059,0.235604443612731,-0.10233591942133,-0.142078024050972,0.194405128480001,-0.121544603325657,0.175328918257773,-0.0814050776497178,0.0888236038472511,0.184072181276294,0.0705422357176155,-0.157444971174434,0.0796829197824333,-0.160624339544805,0.189106181196049,0.352048810177583,-0.0004636578873458,-0.178243339263947,-0.485052387004787
healthy,-0.285641946659535,-0.165413011751946,0.102548209185885,0.187808597666104,0.0699370928547418,0.130051560308537,-0.421979987224678,-0.201953178243468,0.0078581003207575,0.138302565645332,0.180343402361385,-0.176414352201006,-0.322967923183134,0.1701278719444,0.300965242285013,0.129265750276461,-0.314716917846338,0.143017425837787,-0.144981950917976,0.232599769494422,-0.240850774831218,0.203131893291582,0.205096418371771,0.110799214522681,0.2219913340614,-0.193702172906673,0.0553996072613404,-0.166591726800059,0.172485302040627,0.193309267890635,-0.163448486671756,0.443982668122799,-0.216490663836869,-0.307251722541619,0.0522563671330374
healthy,-0.521135004927388,-0.130004372208476,-0.285339109202559,0.0566208154031187,0.231698336715394,0.410128406308116,-0.323334656380967,-0.330412258306357,0.501019715244702,-0.248088572753138,-0.0979689108619751,-0.139317006320831,0.189232725163055,-0.412363438495082,0.550190423357936,0.358722666007916,0.492452091861335,-0.419813545784966,0.393738170270371,0.1542172209006,-0.412363438495082,0.465259200253258,0.470474275356177,0.167254908657897,-0.25442116394954,-0.12143674882511,-0.448123953486525,0.412363438495082,0.0987139215909635,0.104674007422871,-0.120319232731627,-0.0022350321869652,-0.19593782172395,0.246598551295162,-0.133729425853418
healthy,-0.161880885641783,-0.22489981435297,-0.235186965954925,-0.0515167592034896,0.0485602156328491,0.207241554122843,-0.187031756290656,-0.220201745117432,-0.0459276768370733,0.0100441480208061,0.214855666332164,-0.202300481306156,-0.147017166594864,-0.0944878924699224,-0.130816927851628,0.0700255319676364,0.0755336131403366,0.141671087809596,-0.139241051998111,0.142359597956184,-0.122109299527139,0.221619266007465,-0.177878621400728,0.204528014133351,0.163946416081546,0.0573488451510545,0.140132065128989,-0.0274594046697846,-0.157182816406245,0.228909373441921,-0.141225581244157,0.219189230195979,0.0524482729312256,0.138269037673517,0.0660564734755437
healthy,-0.181315732244706,-0.0368945942726789,0.0326548731704395,0.0024355844629885,0.0038788937743892,0.189975588113109,0.043930727165757,-0.0594463022633139,0.0006314478237377,-0.0648587121810663,0.0212888123431595,-0.166341398138924,0.0101031651798045,0.0289563930599754,-0.0293172203878255,0.145413413123615,-0.115645158575976,0.200168960124876,0.214241225911033,-0.0039691006063517,-0.17969200926938,0.0515983078825729,0.082178423917874,0.11329978094495,-0.0546653401692993,-0.0071263397250406,0.108789439346823,-0.0483508619319215,-0.0079382012127035,0.0829000785735743,-0.142436587668851,-0.160928988221171,-0.195387998030862,0.0088402695323289,0.154794923647719
healthy,-0.0944993025710071,-0.0986341377430423,-0.204098604472801,0.113969665659578,0.0682247803385809,0.0564745208939998,-0.0184497392169925,-0.0021720969574615,-0.0475506044784049,0.0421334470061815,0.0690098756244103,-0.0647441912380702,-0.134643841519754,0.0227939331319156,-0.0436251280492575,0.0975088345000201,0.13079687461919,0.0939235660280655,-0.100570706114755,0.119936389831882,-0.165027029081354,0.0148906405878989,0.0897887308560303,0.107819752587247,-0.0098922006014513,0.176044532925828,0.0564221812082778,-0.112739683045112,0.0981630805715446,0.115278157802627,0.134198954191117,0.0790067555973056,-0.0029833620861519,-0.0496703617501444,0.0939235660280655
mild,-0.31054287911248,-0.0727491029850829,0.251256243583711,-0.229379733967201,-0.0770208474664133,0.104334122786436,-0.0910011021325859,-0.136566376600111,0.0503548061587139,-0.442449170823867,-0.126081185600482,-0.0393518279492263,-0.0675712308865005,-0.143168163525804,0.0297727645668489,-0.0212292756041879,-0.0102262973947003,0.101097952724822,0.180189949030668,-0.0648528480347447,-0.0245948924682664,0.0673123372815713,0.169704758031038,-0.108735314070231,-0.366205004172241,0.151064418476142,-0.0625228055903826,-0.0314555729988881,-0.218247308955249,0.120773866699435,-0.149769950451496,-0.0286077433446678,-0.181484417055313,-0.202713692659501,0.0843993152068933
mild,0.236105123901703,-0.113502868893922,0.289787148200209,-0.0221824747608183,-0.153688196085748,0.0765611027809596,-0.196093947640285,-0.158085507078569,-0.0442778740564321,-0.311577783367607,-0.0505908452837504,-0.127478481059226,-0.210744394660924,-0.184512910768102,-0.125323363295418,0.240589510359729,0.221890054207086,0.13607718324816,-0.0424057515545378,0.154537181871491,0.144501734506685,0.139124824530314,-0.156757606234202,-0.145611946688041,-0.172104656976476,0.120969590035198,-0.111238906798608,-0.134422749409277,-0.373836740988746,-0.036876459514059,0.0627814104123649,0.093410205298009,-0.231707812908881,-0.0388574263474589,0.155081403529018
