group,RXRG,TP63,ELF3,ESR2,RUNX3,SMAD3,STAT3,ZNF250,TFAP4,E2F7,BACH1,TEAD4,BATF,CDX2,MAX,TCF7L2,MEIS1,SP2,GATA3,FOSL2,TAL1,ZNF217,ZBTB7B,HOXA1,AHR,TCF3,E2F8,FOSL1,ETV4,GTF2I,USF1,RBPJ,ESR1,SETDB1
healthy,-0.169752971506741,0.377127691837139,0.232860421146423,-0.401703189052592,0.370301164832847,-0.261683535164547,-0.0621972460391098,-0.234529127747473,0.469058255494945,-0.537171824937775,0.327824996806137,-0.234074025947187,-0.252581499158824,0.290810050382862,-0.118933270474786,0.298698481587823,-0.44357255467892,-0.171725079307981,0.208436624531066,0.14972849229415,0.320088266201273,0.131979522082989,-0.132434623883275,0.222089678539651,0.202065199327059,0.395635165048777,0.177186300911415,-0.143660468290334,-0.271240672970557,-0.387139931443435,-0.147149582092528,0.277763798774659,0.0461169824289985,-0.348607979019206
healthy,-0.494490787077639,0.487611159432323,0.489576767330985,-0.475396310347781,0.42007848805687,-0.594736789909392,-0.121165686896082,-0.462619859006479,0.428642922472468,-0.357179035299692,-0.152334612146291,-0.554441827986825,-0.222675294805547,0.457003836438874,0.377677517671451,0.532398939408974,-0.202878815254738,-0.440155768736059,0.399580005685111,-0.51667407621968,-0.0661286657335514,-0.0634610550139389,-0.529871729253552,0.529450527560982,0.431872135448841,-0.180835926676888,0.210600846285196,-0.417270476773067,-0.65707464040981,-0.434680146732644,-0.500387610773625,0.322359695380539,0.178449117085656,0.311268050809519
healthy,-0.138505901162958,0.216526568345977,0.525150192720184,-0.45904401165871,0.0551044983121445,-0.450684654460529,-0.119192903498196,-0.405428824111759,0.253519126062063,-0.366802828782234,-0.519865541617886,-0.255921240199471,-0.125918823082939,0.0812395001271458,0.214797046167043,0.467595537987883,0.443766565744794,-0.336632275216387,0.406101416070233,0.459716603617184,-0.390535716459828,-0.480182616067902,0.40879178390413,0.399855919312971,0.42868128896187,0.39754988974106,0.430795149402789,-0.0998799058334336,-0.5273601377266,-0.461253956665126,-0.284650525282873,0.31876054603407,-0.490271495445017,0.329810271066148
healthy,-0.419021341802773,-0.45220313806335,0.415986421413086,-0.583918682975762,0.558425351702392,-0.62600291237942,0.329794682345978,-0.16934855774453,-0.205969930446752,-0.640165874197959,0.491252447077321,-0.466770755933847,-0.115731630860061,0.209004850836439,0.522006307026149,0.6213493677819,0.433184303621312,-0.591809475988948,0.40566769208815,-0.614065558846652,-0.5796697944302,-0.456047370556953,0.641784498405792,0.56570916063764,-0.610221326353048,0.145676178704972,0.652103227730728,-0.546487998169623,-0.462319539362306,-0.658982380614018,0.596260692560488,0.129287608600662,-0.33384124286556,0.673347670458536
healthy,0.26993152272639,0.389369104450483,-0.201478130817349,-0.0947218957985223,0.261261622427891,-0.409814540975301,0.264755462846689,-0.428448356542223,0.0781585041834801,0.169774764054182,-0.167316135611324,0.122931422142891,-0.160846060761698,-0.0648301499932509,-0.242757208357962,0.173527407466965,-0.196043267943663,-0.322597932002344,0.0419260850255754,-0.561214292456545,-0.452258231988846,-0.0049172568857156,0.19125541255494,0.246639253267737,-0.393121747863266,0.46222214725727,0.416414017321919,-0.517605987970067,-0.671852572385147,-0.0287271323323387,0.061595112568438,-0.0060818703586482,-0.552673793655039,0.27251955266624
healthy,-0.357000450189723,0.317801787896328,0.524921216798508,-0.582288250048235,0.277123930799408,-0.31854138529809,0.507203035564988,-0.416168242330697,0.424528908611486,-0.40118335584282,-0.069393530130555,-0.400926104572641,-0.484757862241945,0.405974660749888,-0.32960318991575,0.497202392436813,-0.116277574120522,-0.490063669689369,0.292526850601325,0.405106437713036,0.325101292687633,0.0338606984371985,0.484982957103351,0.513859412180848,0.290919030162711,0.152550003215641,0.603286384976526,-0.572512701781465,-0.478808926619075,-0.308572898578687,-0.471155701331275,0.486976654447231,-0.385362402726864,-0.3413724355264
healthy,-0.404367511197495,-0.561542355910512,0.73916582883349,-0.792635610908863,0.750623639278213,-0.713783215264558,0.829914611398871,-0.644634324159563,0.640942972150259,-0.633304431853777,-0.815551231798309,-0.726958783574997,-0.425474004121984,0.673269713261447,-0.631166371531556,0.661318504280827,0.516898925421743,-0.742089672009177,0.200045695276526,0.439216067047713,-0.828032387354523,-0.0103613692538404,0.804294435571915,0.851861709236371,0.825839504972757,0.663091084206087,0.792800077087496,-0.150175895111217,-0.676522488794398,-0.694449302265329,-0.457892115332412,-0.0827813099116346,0.287395510150172,-0.80246703358711
healthy,-0.59899494730284,0.690124167139903,0.472796996878282,-0.516400974063792,0.691831216459506,-0.612954404963506,0.718278110990746,-0.568200024975656,0.521076804808791,-0.676288408705296,0.580600872387989,-0.605773664890829,-0.290909654882331,0.556702181913548,-0.427516895179685,0.451131077434192,0.659669417684379,-0.668161369553273,0.669837494066361,0.526711304555741,-0.196892058116809,0.433442088107872,0.536050596123134,0.424758402438587,0.661407391810496,-0.363824163682326,0.622596759634741,0.443684384025489,-0.644516262492251,-0.570643084690305,0.0252470120384751,-0.191177153872921,-0.731353119185095,0.248239606853561
mild,-0.228419682201469,-0.328969606001409,0.633852493922124,-0.548174906118318,0.35661275225509,-0.514469666387952,-0.281523621057225,-0.528291239514793,0.427175520323696,-0.142499610658595,0.705304369033978,-0.449726508056962,0.191158014298116,0.3411746208678,0.569513475156247,0.639429619920674,0.294132775488729,0.12261594405507,0.346266779388215,0.379567879553468,-0.0206111178207271,0.0881832531075029,0.345620156084035,0.564259660809787,0.447705810231401,0.238038203851142,0.662465575132075,-0.280149546535843,-0.658262523654907,-0.409635863197823,-0.517702782908851,-0.308762627745794,0.269884401581991,0.40034065320024
mild,0.553702641641333,-0.520523809452928,0.497163073845665,-0.303385518613189,-0.3785224616103,-0.54028668773239,0.507462573872077,-0.421418042286109,0.571159850788192,-0.125038210652755,0.707916434779731,-0.527111435546082,0.645600025640835,0.394180742093259,-0.217949075589665,0.491854967435989,0.374531880419255,-0.576011890776035,-0.0390570216253742,-0.236318417580192,-0.412271376825998,-0.483291053514888,0.443638611838787,-0.614752199608469,0.589187142962343,-0.190015007252348,0.558060609672189,-0.460728434145835,-0.603565903761824,0.1920673061506,-0.513112730098129,0.564990285581719,0.51019897240308,-0.716366332095373
mild,-0.451686036256066,0.595341426902166,0.495963142760984,-0.455784470956284,0.455924588381933,-0.493826352019845,0.584132032850288,-0.571521464541925,0.513127527402923,-0.590262170222408,0.460933786348866,-0.489868034745276,0.069866051363971,0.537332812683697,0.431649244388334,0.627848669652612,0.458902083676963,-0.499641225184257,-0.414660006528457,-0.474770382131653,0.713740651575127,0.415745916577232,0.593449841655911,0.555548078017999,0.0870304360059092,0.41504532944899,0.564585651972325,-0.655556890574598,-0.559226160441271,-0.616639275600734,0.113022218463701,0.550538880051066,-0.581960212752736,-0.461319109269399
mild,-0.273585694947008,-0.394250857898589,0.0549845410125629,-0.369181918227208,0.405114065089521,-0.295980614386775,0.110804713347505,-0.482827778070803,0.198880254726291,-0.08022060694842,0.511406369296178,-0.270076043393014,0.19486922437887,0.385894544674796,0.36099273126789,0.37235731725225,0.173477062525958,-0.130024233762231,-0.05348040463228,-0.315701513594928,-0.446728504944014,0.500710288369722,0.20339266386714,0.307345200371134,-0.0038439040829451,0.336425170389937,0.361326983796842,-0.315701513594928,-0.350129524076958,-0.0581599400376045,-0.160608340161316,-0.198880254726291,-0.135038021696507,0.372524443516726
mild,0.47562582345191,0.806719367588933,0.706851119894598,-0.761923583662714,0.809090909090909,-0.805401844532279,0.616205533596838,-0.499341238471673,0.742687747035573,-0.59802371541502,0.612516469038208,-0.808432147562582,0.421343873517787,0.814888010540184,0.174835309617918,0.731620553359684,0.807509881422925,-0.300527009222661,0.824901185770751,-0.869301712779974,-0.796442687747035,-0.759420289855072,0.654018445322793,0.736627140974967,-0.503557312252964,0.674703557312253,0.80026350461133,-0.827140974967062,-0.789723320158103,-0.738471673254282,-0.818577075098814,0.714888010540184,-0.29828722002635,-0.561528326745718
moderate,0.145337205585345,-0.179167611785915,0.224126441078778,-0.0144669500199807,-0.132428234798285,-0.145337205585345,0.241931918026447,-0.555753449229105,0.433785932137575,-0.0674382439392947,-0.199643910275734,-0.0741152977946704,-0.0322724269676493,0.164032956380397,-0.13376364556936,0.173825968701614,0.287335884243001,0.100823513216173,-0.233029179552612,-0.200979321046809,-0.163142682533013,0.126196317866601,0.418651276732057,-0.0888048162764969,0.0434008500599421,0.310928141198662,0.0914756378186472,-0.414645044418832,-0.0772312562605124,-0.221455619536628,-0.0896950901238804,-0.0260405100359653,0.0852437208869632,-0.290896979632535
moderate,-0.379538126701265,0.399647508762961,0.484389150363299,-0.41509998129458,0.309190569102983,-0.569906943551984,0.487846552893205,-0.32478416010521,0.42166199017787,-0.372764440112063,0.562992138492173,-0.527641961604771,0.12884116366546,0.374316743288755,0.132157447724757,0.466961019243163,0.332051761341542,-0.539919268547701,-0.05785857294944,0.498853793600659,-0.403316588998779,0.433798178650192,0.358511474580615,0.46943059247881,0.592062543437501,0.463150820536737,0.374034506347538,-0.602787547203739,-0.409525801705548,-0.530958245664068,0.0634327525384714,0.284988751393644,-0.703475575982825,-0.638278842561749
