group,LHX2,ATF1,ZNF76,ETS2,ELF3,MEF2A,RUNX3,CLOCK,XBP1,TFDP1,IRF4,GMEB1,AR,HOXA4,KLF3,MBD2,ZBTB33,PRDM1,NFIC,GATA3,SP1,NANOG,ARNTL,GMEB2,FOXA1,TBP,ZBTB7B,AHR,PAX6,GTF2B,EGR2,GTF2I,USF1,JUND,BACH2,ESR1,MYB,MECOM,ASCL2
healthy,-0.575419680576287,-0.597183709085169,0.577224502452634,-0.618098409652241,0.556309801885562,0.617142915717705,0.567244899136366,0.588053433710712,-0.605570822510543,0.58667327580527,0.565864741230925,-0.564378417332757,0.56968671696907,-0.559813279645528,-0.572128534801774,-0.588902761652522,-0.557371461812825,0.630201332823034,0.603022838685113,0.576693672489002,-0.599200862946968,-0.594741891252465,0.593255567354298,0.56289209343459,0.56289209343459,-0.569368218990891,-0.601430348794219,0.552700158132869,-0.551107668241976,-0.591663077463404,-0.592724737390667,-0.572977862743584,-0.623406709288553,-0.620327895499492,0.622026551383112,0.574676518627204,0.61926623557223,-0.625317697157626,0.550364506292892
healthy,-0.252917828209554,-0.290120108527721,0.252917828209554,0.178224877803312,0.13842708955597,0.250610710050288,0.0576779539816542,-0.0723858322469761,-0.136696750936521,-0.0813259151141325,0.0666180368488106,0.0651760879992693,-0.0152846578051384,-0.241093847643315,-0.213120039962212,0.311749341270841,-0.189472078829734,0.0919963366007385,-0.205910295714506,0.229846646616892,-0.0530637176631219,0.104685486476702,0.1150675181934,0.171015133555605,0.158037593909733,-0.374041531571028,-0.295022734616161,0.149097511042576,-0.190048858369551,0.13006378622863,-0.244554524882214,-0.188318519750101,-0.305116376562951,-0.06171541076037,0.149097511042576,0.314633238969924,0.283775533589739,-0.21023614226313,0.0997828603882618
healthy,0.20262616858205,0.0286866739716581,0.0892743849604244,0.142887534624158,0.0844831645719234,0.0099463309330907,-0.0120690235102748,-0.0132213423378889,-0.16629780133253,0.319556205405215,-0.179458495311071,0.0930345832400075,0.0174060791329088,-0.157261195789661,0.0865452087897593,0.13767177572022,0.0775086032468902,-0.121478663774273,0.0835127908223536,0.0912757808189122,0.0835127908223536,-0.0545228750539549,-0.116262904870335,-0.0221972995214099,0.0873336374612848,-0.140764842046974,-0.158959349851408,0.0967341331602425,0.0785396253558082,-0.0255329592855562,-0.0971586716756793,0.11450410244924,0.01061346288592,-0.0120083751509267,-0.0901841103506462,-0.0200139585848778,0.0063074293722039,0.0536737980230813,0.26406295660169
healthy,-0.204124145231932,-0.0816496580927726,0.265361388801511,0.285773803324704,0.285773803324704,0.204124145231932,0.183711730708738,0.224536559755125,-0.306186217847897,0.265361388801511,-0.244948974278318,0.244948974278318,0.142886901662352,-0.163299316185545,-0.224536559755125,0.244948974278318,-0.183711730708738,0.204124145231932,0.204124145231932,0.285773803324704,-0.163299316185545,-0.224536559755125,0.265361388801511,0.163299316185545,0.122474487139159,-0.183711730708738,0.224536559755125,-0.204124145231932,-0.244948974278318,0.244948974278318,0.204124145231932,-0.285773803324704,0.244948974278318,-0.142886901662352,-0.265361388801511,-0.306186217847897,0.183711730708738,0.244948974278318,-0.0408248290463863
healthy,-0.0717527933909983,-0.193935616099255,-0.104921537505705,-0.0754758156895878,0.107967646659097,0.322549113686893,-0.206796965858019,0.357748597237194,-0.33439509372786,0.160766871984548,-0.199689377833439,-0.123198192426054,0.336087376590855,-0.0043999354437876,-0.172274395452916,-0.0747989025443897,0.175658961178906,-0.261626930619065,-0.155351566822963,-0.101875428352314,-0.256550082030079,-0.150951631379176,0.354702488083803,0.233196578520744,-0.0287688086709191,-0.247750211142504,0.119136713554865,0.186489571502076,-0.0483992898816639,-0.00710758802458,-0.0514453990350554,0.261626930619065,0.0375686795584944,-0.264334583199857,0.0599068133500316,0.288703456426988,0.0240304166545324,0.141813303919001,0.235227317956339
healthy,-0.104227002114392,-0.0095475116440664,0.088343950336146,0.0680112866497081,0.146837192970319,0.0244581316807876,0.220859875840365,0.150402776022578,-0.075613934810724,0.0840122089420788,-0.0266387361920867,-0.193602319449126,-0.236124107419459,0.0405769244872825,0.0008250935988699,0.150019696851674,0.2099863209124,0.0273754269053635,-0.0695141357047927,0.016560807234461,0.0160009222923707,0.0848078349124177,0.0376890968912377,0.0469419322499935,0.118371463809306,-0.20860134237144,0.0982156058940542,-0.0257841749646857,-0.046706191221745,0.0871063099378411,-0.0144686056087551,-0.0869000365381236,-0.145363811543765,0.123263090145463,-0.0425807232273952,0.0699266825042276,0.0033003743954797,-0.005981928591807,-0.123292557773994
healthy,-0.0413584814389738,-0.0548094161318923,0.0026399030705727,-0.0315531271768462,-0.0001257096700272,-0.026901869385837,-0.0184793214940096,-0.0006285483501363,0.0530494807515104,-0.0074168705316092,0.117915670485585,-0.0295417724564098,-0.0012570967002727,0.0012570967002727,-0.0081711285517729,-0.0355758366177191,0.100693445691848,0.0617234479833925,-0.0096796445921002,0.0766828987166383,-0.0553122548120014,0.0049026771310637,0.0969221555910297,0.0079197092117183,0.0636090930338016,-0.0124452573327003,0.0208678052245278,0.0340673205773918,-0.0382157396882919,-0.0148337410632186,0.0276561274060007,-0.0382157396882919,-0.0318045465169008,-0.0367072236479646,-0.0357015462877464,0.0980535426212752,-0.0008799676901909,-0.0243876759852915,-0.106224671173048
healthy,-0.0501676316040851,-0.0432930657199192,0.0041887537067488,-0.0254386769964681,0.0762047019872317,-0.0243393031000125,0.0530065211594897,0.0289037921890943,-0.0452134910073988,-0.0331760426474727,0.120666722229965,0.0780277143978101,0.109756480017037,-0.0871010280748874,-0.130101855164103,-0.0653640404006624,-0.0116756291028648,0.0320627526257454,-0.0139022091463193,0.124869392061985,-0.142027974521857,-0.061397944698259,0.0514896635048863,-0.0845822094007294,0.0319514236235727,-0.0141526994012079,0.0140274542737636,0.0221405553071011,-0.100474424460886,-0.146745540988926,-0.0551635205765863,-0.0305041465953272,-0.0198861430131034,-0.129072061894005,0.0487064384505681,-0.0447960072492511,0.103243733389933,0.0189955109957216,0.13934216234444
mild,0.0797392303181691,-0.0495781253439266,-0.153782801327898,0.0036245104690076,-0.0476364233069582,-0.122974462341332,-0.0947550594040581,-0.0341739558506439,0.0576038270967293,0.0640761672199573,-0.123103909143797,-0.230156414781988,0.0326205942210692,-0.0160514035056055,0.0053073189010469,-0.0273132753200222,0.0367628918999351,0.0088023825675901,0.118184930650143,0.0081551485552672,-0.0399990619615491,-0.0038834040739368,0.0651117416396738,-0.114819313786065,-0.0121679994316687,0.0062134465182988,0.0068606805306216,0.092425016959696,0.0308083389865653,-0.0328794878259983,0.111971484131845,-0.0618755715780598,-0.0054367657035115,-0.0500959125537848,-0.0578627207016584,0.115854888205781,0.166080247562031,0.0333972750358565,0.0704190605407208
mild,-0.112670095058628,0.11253333184391,-0.174395892634748,-0.147681478026472,-0.0562780628565146,-0.0041256903106638,-0.174441480372988,-0.0617941791834796,-0.11982736996221,-0.0872321371210537,-0.167512144160602,-0.0229534262035278,0.118915615197423,-0.112442156367431,-0.109433365643632,0.0178020117824779,0.0597427309627075,-0.12575377593333,0.0730543505286065,0.0393650119697046,-0.0064050772226328,0.0756528516082511,0.0460664094908935,0.10077169537815,0.0929306044009762,0.0717778938579038,-0.0215402063181071,-0.101729037881177,-0.0903321033213315,-0.0487560860470169,0.136877184063738,-0.0443340754377971,-0.0709117268313556,-0.15661667472139,0.120784712465237,-0.114493604588203,0.0178931872589567,-0.136193367990148,-0.021768145009304
