group,VDR,TFAP2C,RUNX1,ATF1,FOXK1,NR2F2,MAFF,ETS2,HOXA6,PGR,MYBL2,FOXD2,ELK3,RUNX3,CLOCK,TFDP1,ESRRA,SMAD3,GFI1B,PPARG,ZNF250,RXRA,ZBTB33,TFAP4,RUNX2,EHF,PRDM1,BACH1,TCF7L2,MEIS1,POU2F1,PRDM14,ASCL1,KLF4,FOSL2,PBX1,IRF3,MAFK,TBP,NR5A2,HOXA1,AHR,TCF3,E2F8,FOSL1,ZKSCAN1,GTF2B,TCF4,ETV1,MAF,HES1,MECOM,SREBF1,ETV7
healthy,0.15819968453766,-0.139290887796336,0.0337069854954034,-0.075870078850281,-0.214926074761632,0.145045738978478,0.0005872297124634,-0.15949158990508,0.133418590671701,-0.0856180920771746,0.025015985750944,0.0757526329077882,-0.105818794185918,-0.0076339862620251,0.124492699042257,0.144458509266015,-0.0360559043452574,0.0547298092015958,0.0411060798724432,-0.165011549202236,-0.0594276469013037,0.063538254888548,-0.095483551246561,-0.0797457949525399,0.0240764182110025,0.127781185432052,0.182276102748663,0.0472132688820634,0.273766491950472,0.0254857695209148,-0.137529198658946,-0.177108481278984,0.278816667477658,0.150213360448157,0.142227036358654,-0.0813900381474376,0.214456290991661,0.0475656067095415,-0.0940741999366487,-0.272944370353023,-0.0716420249205439,-0.0156203103515284,-0.0480353904795122,0.0551995929715666,0.0714071330355585,0.0018791350798831,-0.108989834633221,-0.0105701348243425,0.0928997405117217,0.0143284049841088,-0.161488170927456,-0.112630658850494,-0.0200832561662508,0.0126841617892111
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,0.118895129683681,-0.125121392742325,0.310981968726953,-0.370462651989318,-0.0938576037670058,0.0403382361990872,0.0824648671065083,-0.0090744472237683,-0.0419279203842729,-0.0191424470632778,0.037688762557111,0.116245656041704,-0.292170705868922,-0.018347604970685,0.315221126554115,0.254945601199157,0.1945376021621,-0.1056477614738,-0.0110615524552505,-0.0522608675879799,-0.0927978143102153,-0.0105316577268553,-0.179568076084935,-0.0523933412700787,0.224741601680629,-0.140488339865786,-0.133732182078747,-0.298396968927566,0.210964338742352,0.300119126794851,-0.0016559210262351,-0.240505969850387,0.0416629730200753,0.122471919100348,0.245142548723845,-0.0465644992577312,0.33244270522696,-0.189106181196049,-0.253885811742366,-0.275611495606571,0.0912081301250296,0.179833023449132,0.0635211305663787,0.0961096563626855,0.0323898152731587,-0.0583546569645251,-0.0103991840447565,0.0410006046095812,-0.034244446822542,-0.281705284983116,-0.0329197100015539,0.207122601961487,0.131480129483067,0.0176852365601909
healthy,0.143939983576896,0.094114604646432,-0.016608459643488,-0.202761611480916,0.061589704511268,0.11764325580804,-0.004844134062684,0.007612210669932,0.029064804376104,-0.060205666207644,0.135635753755152,-0.139787868666024,-0.005536153214496,0.05882162790402,0.081658259913816,0.09342258549462,0.025604708617044,-0.056053551296772,-0.07266201094026,-0.067125857725764,-0.00692019151812,0.025604708617044,-0.025604708617044,0.009688268125368,0.071969991788448,0.042905187412344,-0.008304229821744,0.12802354308522,0.06228172366308,0.06574181942214,-0.095498642950056,-0.084426336521064,0.046365283171404,0.031832880983352,-0.084426336521064,0.083734317369252,0.087194413128312,0.0519014363859,-0.019376536250736,0.126639504781596,0.019376536250736,-0.067125857725764,-0.22836632009796,0.046365283171404,-0.026296727768856,-0.058129608752208,-0.001384038303624,-0.031832880983352,-0.03114086183154,-0.005536153214496,-0.029756823527916,0.002768076607248,-0.084426336521064,0.035984995894224
healthy,-0.434290340645935,0.309272722227093,0.1414626516762,-0.365680954582978,-0.28557772807133,0.402991728962576,0.145529702911891,-0.408827063344219,-0.310156863800069,-0.449851232330317,0.417491650759386,-0.0528716660639799,-0.287169182902687,-0.252334004927422,0.233590203580326,0.404229527164743,0.0100792139319293,-0.259407137511232,-0.0300608134811926,0.0213962260660253,0.0933653501062923,-0.306620297508164,-0.11988959729558,0.163212534371416,0.176121001336869,-0.419083105590744,-0.11652985931827,-0.312455631889808,0.0984933712295545,0.38495524087386,-0.4021075873896,0.0436765937050269,-0.0350120062898596,0.085408075949506,0.210956179312134,0.284339929869163,0.0636581932542902,0.245968185601993,-0.283632616610782,-0.0871763590954585,-0.447375635925984,0.0767434885343387,0.017682831459525,-0.0247559640433351,0.418375792332363,0.165864959090345,-0.51899110333706,0.0335973797730976,0.205120844930491,0.361260246718097,-0.225279272794349,-0.410241689860981,-0.0590606570748137,0.32501044222607
healthy,-0.12214361088592,0.102807854084983,-0.152788961287406,-0.235166581771399,-0.152351170567385,0.12068430848585,0.17825378816864,-0.151037798407321,0.20444826624991,-0.0097043609604703,0.210139545610186,0.0743514572836039,-0.177086346248584,-0.132066867206401,0.246986931211972,0.188031114249114,0.280259025933585,-0.179348264968693,-0.256618327052439,-0.198173265929606,-0.24406832641183,0.165776752648035,0.133526169606472,0.220646522890695,0.252094489612219,-0.210723266570214,-0.0085369190404138,0.0812831436839399,0.186134021129022,0.226264837130967,-0.152570065927395,-0.132942448646444,0.225681116170939,0.233634314251325,0.138195937286699,-0.141041576966837,0.180588672008753,0.140165995526794,0.0651578521631583,-0.134182855686504,0.216049720330472,0.261506990092676,-0.109447680005305,0.0601232588829143,-0.141406402566854,-0.260923269132647,-0.146513960967102,0.241733442571717,0.161982566407852,-0.107258726405199,-0.206345359370002,-0.220719488010699,-0.137904076806684,0.0393281996819063
healthy,-0.145334108217724,0.232510188230873,0.0748616966826198,0.0098352500527654,-0.176302953425193,0.190324280979755,-0.121965228960121,0.0612061428903504,0.09652363171619,-0.210604404022441,0.0893300810577624,0.0231250300827419,-0.116763113229732,0.0440554175917263,0.212920971183629,-0.144480636105708,0.0401131892647914,-0.148707355136648,0.130784440784294,-0.177034500949778,-0.135864631927252,0.22470701463529,-0.167524383130162,0.116803754758876,0.137124519330705,-0.110016619391885,0.21804180385573,-0.0930284602098354,0.127573759981945,0.200281455619951,-0.0920124219812439,0.328099064776759,0.184837674545361,0.169922233349638,0.147569392320626,0.181220578451575,0.123875380829872,0.128996213501974,-0.112820884902797,-0.36154704326199,0.0355613380007016,0.113714998543958,-0.0688873918985019,-0.0246287666610573,0.236940114907532,-0.0991246895813842,-0.123916022359016,0.163663437861515,-0.145334108217724,0.0012598874034534,0.0167443100071875,0.0984744251150856,-0.128386590564819,0.210848253197303
healthy,0.0370893435500312,-0.0177012588531873,0.078010489016517,-0.0280721140401134,-0.0632039066110863,0.0669107584650478,-0.0405254702685911,0.0559776279969028,0.0169723834886443,0.0245110372590605,0.0283428391755151,-0.0265518882797809,-0.0003748501874792,0.0997726249007296,0.0711174105689818,-0.0503757001951294,-0.049834249924326,-0.0168474334261512,-0.101584400806879,-0.0328826914460973,0.0688474844336907,0.0260729130402241,0.0257188878631603,0.0590805545488144,0.0024573512290307,0.0586224043196731,-0.0729708364959625,0.0351526175813884,-0.0032695266352357,-0.0337156918627179,0.0337573418835489,0.0940873970572942,-0.0066223533121335,0.0257188878631603,0.0107873553952365,0.0163268081657633,-0.0479391739765142,0.0598302549237729,-0.0156604078324668,0.064932382475574,-0.0035194267602219,0.0600593300383436,0.0405879452998376,0.04108774554981,0.0258438379256534,-0.0547906024032185,0.0501882751013898,0.0457941979037162,-0.0091005295515798,-0.0441906721017216,-0.0313624656857647,0.003727676864377,-0.0033111766560667,-0.0160560830303616
mild,-0.0830888004299924,0.118647990444523,0.0073934949535162,-0.110550353114481,-0.0931228292954788,0.0158432034718206,0.027989659466883,-0.0334467628849546,-0.158608070312337,-0.168642099177824,-0.0059852102004655,-0.0441849341269663,-0.0038727830708894,-0.0885459038480639,-0.0017603559413134,0.0727027003762433,0.15367907367666,0.0028165695061014,0.131674624410242,-0.0480577171978558,-0.0716464868114553,0.0066893525769909,0.0315103713495098,0.106501534449461,-0.164769316106934,0.135019300698738,0.0885459038480639,0.101572537813783,0.0855532987478311,0.191526726414898,-0.12744977015109,-0.0984038971194189,0.026405339119701,0.10773378360838,0.0529867138335333,-0.0286938018434084,-0.108261890390774,0.107029641231855,-0.107909819202511,-0.0748151275058194,-0.0496420375450378,-0.0075695305476476,0.144701258375961,0.009857993271355,-0.188182050126402,-0.0799201597356283,0.146637649911406,0.189590334879453,0.0852012275595685,0.137835870204839,0.129210126092403,-0.0871376190950132,-0.0124985271833251,0.118471954850392
mild,-0.0745013277442893,-0.0683290164419552,0.154690363837424,0.257630233325939,-0.154792385511843,-0.105719960116426,0.023592512209335,-0.170809788395586,0.0990885512792072,-0.0670537455117209,0.0594531307675243,0.129235956069947,0.128725847697853,0.184174627744441,-0.166320834721161,0.176676034674664,0.0596061632791524,0.197845532116553,0.225646438395662,0.293235797698081,0.0751134577908018,-0.0538419386744933,-0.0282855092325974,-0.188051451372354,-0.0764907503954549,0.0375694816047033,0.0511893751396059,-0.0301218993721348,-0.110872054674572,-0.0610344667210149,0.100159778860604,-0.126889457558315,-0.230084381232877,-0.19325455676771,0.140815416116474,-0.033437603790744,-0.178257370628154,-0.123216677279241,0.153262060395561,-0.0177772767674665,0.0999557355117665,-0.0144105615116479,0.0641461277907866,-0.13545927820949,0.242326982163127,0.237123876767771,0.0297138126744598,-0.273596625372472,-0.179277587372342,0.123573753139706,0.0544030578837964,-0.158108089930452,0.177084121372339,-0.166473867232789
