group,TFAP2A,ETS2,RFX5,EBF1,KMT2A,E2F6,RUNX3,E2F1,XBP1,IRF4,ZNF263,HOXA4,STAT4,MXI1,MNT,IKZF1,MAX,BARX2,SP2,E2F2,SP1,HNF4G,ZBTB7B,FOXP2,EGR2,GTF2I,EGR1,RARA,POU2F2,NR2C2,SETDB1
healthy,0.19386378904983,-0.0883922994894898,0.36825130872062,0.128243742988141,0.338287817368251,-0.170791900708506,-0.305028341967121,0.393420641456611,-0.188769995519927,0.0925871882788215,0.284053898020462,-0.25468967649514,-0.0928868231923452,0.297237834215505,0.185174376557643,0.272667771306562,0.328399865221969,0.379337800520997,0.0680171253698786,-0.238209756251337,-0.222029470921057,0.285851707501604,-0.217534947218202,-0.408102752219272,-0.112962362398433,0.290945501031507,-0.312818849718737,0.314317024286355,0.10547148956034,0.144124393404897,-0.159106139081082
healthy,-0.237732463783964,0.254713354054247,0.135847122162265,0.22075157351368,0.27169424432453,-0.152828012432548,0.203770683243397,0.237732463783964,-0.186789792973114,0.169808902702831,0.22075157351368,-0.186789792973114,-0.22075157351368,-0.0339617805405662,-0.186789792973114,0.254713354054247,0.237732463783964,0.27169424432453,-0.27169424432453,-0.135847122162265,-0.203770683243397,0.237732463783964,-0.135847122162265,-0.22075157351368,-0.169808902702831,-0.237732463783964,-0.186789792973114,-0.237732463783964,0.169808902702831,0.135847122162265,0.27169424432453
healthy,-0.453540084419462,-0.0675973288458278,0.451246219601788,-0.253830478730728,-0.355477363463902,-0.425583606954061,0.0224368652478728,0.342717740415591,0.0488163106511227,0.21512150993248,-0.269457432801131,-0.473181301920794,0.137846938887091,0.428594304527258,-0.120356219652327,0.24336472050009,0.349599334868613,-0.192039495204637,-0.0642998981704215,-0.0063798115241555,-0.249816215299798,-0.180426804565163,0.339850409393499,-0.36379262342797,0.204655751701843,-0.3057291702306,0.242361154642358,-0.310603632968157,-0.377842545436223,0.435905998633593,0.200354755168705
healthy,0.224536559755125,0.163299316185545,0.183711730708738,-0.163299316185545,-0.244948974278318,-0.204124145231932,0.142886901662352,0.183711730708738,-0.285773803324704,-0.306186217847897,0.306186217847897,-0.244948974278318,0.265361388801511,0.285773803324704,-0.306186217847897,-0.142886901662352,0.265361388801511,0.265361388801511,0.0612372435695795,-0.244948974278318,-0.204124145231932,0.306186217847897,0.163299316185545,0.142886901662352,0.163299316185545,-0.142886901662352,-0.285773803324704,-0.306186217847897,0.183711730708738,0.306186217847897,0.163299316185545
healthy,-0.0033525482804478,-0.292044205763454,-0.0279379023370651,-0.0152727199442623,-0.13745447949836,0.168744930115873,-0.125534307834546,-0.0365055257204318,-0.04432813837481,-0.185135166153618,0.220150670416073,0.283104077015593,-0.252558637127069,-0.260381249781447,0.218288143593602,0.187742703705078,0.124416791741063,-0.141179533143303,0.0890287821141142,0.10020394304894,-0.0394855686363854,-0.243618508379208,-0.189232725163055,-0.394110675634866,-0.376602923503638,-0.0800886533662534,0.0934988464880447,-0.111006598619272,0.110261587890284,0.158314779910036,-0.0975964054974809
healthy,-0.189649436353493,-0.216025753652412,-0.170424444519422,0.15249969367896,0.160301139640612,-0.217047371575961,-0.0325060248402167,0.140611776023109,-0.199679866875617,0.222062586837023,0.142562137513522,-0.186956080009589,-0.132253083921339,0.112935217730582,0.209896046111114,-0.197358007958459,-0.271378870237466,0.0739279879223215,-0.013652530432891,0.182869608315391,-0.147855975844643,0.21732599464602,0.223641450900691,0.190206682493611,-0.274257975294743,-0.223734325257377,-0.230049781512048,0.226241932887908,0.151199452685351,-0.0607398292728621,-0.01671738420354
healthy,0.323261692425151,0.113164593282397,0.138531337188904,0.282057162815359,-0.09916688226663,-0.147600276720246,-0.26641652797145,0.296252024690502,0.382669818050753,-0.0040087341406656,0.328387614768953,-0.445429508285764,-0.460872992270296,0.262999246408915,0.278508447346573,-0.0099232599219755,0.244467065627478,0.489722734692463,0.13373399961073,-0.261947775158905,-0.372549407269401,0.0285868746096647,-0.252747401721312,-0.297172062034262,0.0247095743752504,0.237895370314911,-0.515155195552096,0.160217931720374,0.242824141799336,-0.201159593517664,0.293689063518602
healthy,-0.192609780094569,-0.0645959531620274,0.303188032032714,0.212761138107296,0.322285319010929,0.128137835289543,0.033655868090179,0.263902184534672,-0.194916335534795,0.225893623113744,0.191493704881556,-0.292684524194696,-0.217820679072953,0.151501009748606,-0.263517758627967,0.243416003958041,-0.20873086650475,-0.183916794268771,-0.0953996290411743,0.340737762532737,-0.26199245583685,0.237054375243869,0.256585691471589,-0.297086820868245,-0.318391456601085,0.0027777871968312,-0.339001645534717,-0.228559802789274,0.0146701886332652,-0.222210574910802,0.329353795360009
mild,0.228085265942555,-0.0881532724783655,-0.0573449334918002,0.0198053607770777,-0.0252421264805892,0.148087142019457,-0.0321028070112109,0.0652411884421384,-0.115984335008246,-0.160514035056055,0.172423140882794,-0.143168163525804,0.0721018689727601,-0.0072490209380153,-0.181872757462707,-0.0289960837520615,0.0019417020369684,-0.0027183828517557,-0.0585099547139812,-0.10757029284805,0.111065356514593,0.0850465492192161,0.101874633539609,0.0546265506400444,0.0768914006639488,-0.186273948746502,-0.232615904028815,-0.120773866699435,-0.114819313786065,-0.0867293576512554,0.0819398259600666
mild,0.257900825877805,0.201486908401528,0.302653315928604,0.142132458275648,0.0819522421317289,-0.183924275042258,-0.16684501691306,0.156130199313139,-0.171920456828812,0.31230067989545,0.135888861553889,-0.221043464584843,0.38418260473402,0.261908812160482,-0.225736232443455,-0.217357728455546,-0.2982425169542,-0.255806199880828,-0.210187662542817,0.252261448193636,-0.226682842269012,0.078729740597918,0.270750550743876,0.283741260052051,0.159614529096572,0.0305734833020311,0.267890580632619,-0.26492990734843,0.156714277716142,0.286601230163308,-0.373387224595754
