group,RXRG,LHX2,EPAS1,ARNT,RFX5,STAT1,PGR,ELF3,SPI1,MYBL2,REST,ESR2,XBP1,NFYB,GMEB1,HOXA4,NFAT5,STAT5A,ZNF384,KLF3,PPARG,PBX3,MBD2,ZBTB33,ELF1,RUNX2,E2F7,SP4,NFIC,TEAD4,TCF7L2,MEIS1,TBX21,SP2,GATA3,ONECUT1,CTCF,JUNB,NFE2L2,ATF3,NFYA,IRF3,ELK1,TAL1,RFX2,TCF12,IRF2,HIF1A,TBP,ZEB1,MEF2C,FOXP2,E2F8,FOSL1,ZKSCAN1,GTF2I,USF1,HOXC6,EGR1,MAF,ZNF143,CUX1,MYB,SREBF1,ASCL2,ETV7
healthy,-0.0341583801417012,0.0473423163367437,0.118056155928336,0.0806017917378738,-0.127644473161094,0.11356163222548,0.166896646832698,0.0341583801417012,-0.145023298145468,0.0263678723900851,-0.137532425307376,0.0560317288289308,-0.0482412210773148,0.0820999663054922,0.13873096496147,0.0467430465096963,-0.0497393956449333,-0.196860138185067,-0.135734615826234,-0.0275664120441799,0.0614251572723573,0.010786856886853,0.116557981360717,0.0898904740571083,0.0695152999374971,-0.0092886823192345,-0.0104872219733293,-0.017678459897898,0.0419488878933172,0.184874741644119,-0.0398514434986513,0.123449584371762,0.100377696030438,0.0224726185142771,-0.036255824536367,-0.0590280779641678,-0.223228010575152,0.150416726588895,-0.014682110762661,0.0326602055740827,0.0838977757866344,-0.10547148956034,-0.0695152999374971,-0.0065919680975212,-0.147120742540134,0.0173788249843743,0.136034250739757,0.0677174904563549,0.0155810155032321,0.0371547292769381,-0.0674178555428312,0.0752083632944473,-0.0904897438841557,0.180979487768311,-0.0137832060220899,-0.0889915693165372,0.0473423163367437,0.0904897438841557,-0.165997742092127,-0.0752083632944473,-0.0829988710460633,0.177383868806027,-0.0931864581058689,0.244801724348858,-0.0791036171702553,-0.0110864918003767
healthy,-0.288675134594813,-0.203770683243397,-0.288675134594813,0.288675134594813,0.27169424432453,-0.186789792973114,-0.169808902702831,0.237732463783964,-0.288675134594813,0.27169424432453,0.186789792973114,-0.288675134594813,-0.22075157351368,0.169808902702831,0.254713354054247,-0.288675134594813,-0.254713354054247,-0.118866231891982,0.27169424432453,-0.288675134594813,0.0339617805405662,-0.0169808902702831,0.203770683243397,-0.0679235610811324,-0.288675134594813,-0.135847122162265,-0.27169424432453,-0.27169424432453,0.203770683243397,-0.288675134594813,0.288675134594813,-0.186789792973114,-0.237732463783964,-0.118866231891982,0.237732463783964,0.152828012432548,0.288675134594813,-0.186789792973114,-0.0849044513514156,-0.288675134594813,0.27169424432453,0.27169424432453,-0.237732463783964,-0.152828012432548,-0.254713354054247,-0.288675134594813,0.288675134594813,-0.254713354054247,-0.237732463783964,-0.288675134594813,0.254713354054247,-0.237732463783964,-0.152828012432548,-0.169808902702831,-0.27169424432453,-0.203770683243397,-0.27169424432453,0.152828012432548,-0.288675134594813,0.27169424432453,0.203770683243397,0.288675134594813,0.186789792973114,0.254713354054247,-0.288675134594813,0.118866231891982
healthy,-0.280115600797931,-0.221562233310257,-0.228450864779395,-0.349266862853509,0.288064021723859,-0.190033496970741,0.059811867467612,0.433255177304153,0.133864655760846,0.256005390655947,0.15678260276394,-0.208844759828772,-0.0257661311682182,0.329263336856588,0.411661967122047,-0.350459125992398,-0.46690349255725,-0.254150759106564,0.289256284862748,-0.0621963937453906,-0.212686496609637,-0.17784591821765,0.319725231745474,-0.309392284541767,-0.411529493439948,0.44689996656033,-0.207387549325685,-0.308200021402878,0.185529391779381,-0.281970232347314,0.428618598430695,0.440673703501686,-0.175196444575674,-0.204208180955313,0.442130914004773,0.32131491593066,-0.0762386040478643,-0.260906916893603,-0.152013550208383,-0.391658441125127,-0.0452397624367431,0.478826123946143,-0.297867074199171,-0.240373496168288,-0.294422758464602,0.15678260276394,-0.184999497050986,-0.0839220776095952,-0.458690124267124,-0.349266862853509,0.345292652390544,-0.308332495084977,0.275479021924472,-0.249514180233106,-0.247659548683722,-0.345690073436841,-0.312041758183743,0.204870549365807,0.221562233310257,-0.3390663893319,0.365428652069563,0.202750970452226,0.397487283137475,-0.118365234955285,0.121014708597262,0.268590390455334
healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
healthy,-0.206796965858019,-0.159413045694152,0.0747989025443897,0.140121021056006,-0.338795029171648,-0.0869833391579555,-0.429839847200792,-0.121505909563058,0.0548299647610459,0.253165516304088,0.0951062969003326,-0.0666759448020126,-0.151967001096973,0.146890152507987,-0.0687066842376069,0.150951631379176,-0.179043526904897,-0.18852031093767,-0.0226765903641363,0.0395994189940887,0.0863064260127574,0.171259025735119,-0.235227317956339,-0.112367582102884,-0.144520956499794,0.0507684858898573,-0.20645850928542,0.0656605750842154,0.109998386094691,0.245042558561711,-0.0548299647610459,0.244704101989112,0.0216612206463391,0.132336519886228,-0.0649836619390173,-0.171597482307718,0.256550082030079,0.307657024492535,0.0375686795584944,0.0341841138325039,-0.147228609080586,-0.201720117269033,-0.383471296754722,0.184120375493882,-0.0605837264952297,0.163136067992741,-0.328979788566275,0.0595683567774326,-0.166182177146133,-0.117105974119271,-0.229135099649556,-0.261626930619065,-0.22067368533458,0.371963773286354,0.183781918921283,-0.062614465930824,0.104244624360507,-0.233873491665943,-0.0263996126627258,0.167874460009128,0.0179381983477496,0.285657347273597,0.145536326217591,0.296149501024168,-0.0324918309695087,0.276519019813423
healthy,-0.0542493388292545,-0.082801622423599,-0.191300300082108,-0.0942225358613368,-0.0485388821103856,-0.0371179686726478,0.105643449299075,0.082801622423599,0.0599597955481234,0.0770911657047301,0.0885120791424679,-0.0770911657047301,-0.0314075119537789,0.0485388821103856,-0.0770911657047301,0.0770911657047301,-0.168458473206632,0.0428284253915167,0.0885120791424679,0.0485388821103856,-0.0770911657047301,0.0085656850783033,0.082801622423599,0.0999329925802057,0.0542493388292545,0.0028552283594344,-0.0485388821103856,0.0599597955481234,0.0142761417971722,0.0599597955481234,0.0770911657047301,-0.174168929925501,-0.0485388821103856,0.0142761417971722,-0.134195732893419,-0.117064362736812,-0.0656702522669923,-0.082801622423599,-0.0199865985160411,-0.0599597955481234,0.105643449299075,-0.0428284253915167,0.0942225358613368,-0.0770911657047301,0.0314075119537789,-0.082801622423599,-0.0542493388292545,-0.082801622423599,-0.0085656850783033,0.0199865985160411,0.0142761417971722,-0.105643449299075,0.0542493388292545,-0.0713807089858612,0.0199865985160411,0.0028552283594344,-0.0485388821103856,0.0885120791424679,0.0656702522669923,0.0142761417971722,0.0999329925802057,-0.0142761417971722,-0.0085656850783033,-0.0314075119537789,-0.02569705523491,0.0656702522669923
healthy,0.049216891792971,0.13184112054203,0.172035592865108,0.0082095888870191,0.123225116363574,0.199875040328515,-0.0379998297493211,-0.0442992667665883,-0.173823820147429,0.0091443440573232,-0.0310501282657554,0.05242757259532,0.148747996665792,-0.061246784419494,0.0449495312328868,-0.121355606022966,0.130906365371725,-0.0282052212256993,-0.0802670200587264,0.0062587954881234,-0.0615312751234997,0.0818520396953291,0.158867737422563,-0.0858755510805514,-0.00333260538978,-0.0886798165914638,0.0758777349112113,0.107334278468403,0.100750350747131,0.0639291253429755,0.0422671903094053,0.12395666388816,-0.0471035322775007,-0.0326351479023581,0.0097946085236218,0.0020727179863266,-0.161753285991763,0.0342201675389608,0.0827867948656333,0.136880670155843,-0.0374308483413099,0.0786820004221237,-0.0217025765627139,-0.0808766429958813,0.0450714558203178,0.0424703979551236,0.0507206283712864,0.0600275385451843,-0.0338543937766679,-0.125541683524762,0.0981086513527927,0.123794097771585,-0.0369025084624423,0.162891248807785,-0.0244662005444827,-0.0690905995442202,0.0009753966994478,0.111804846674206,-0.0691718826025075,0.0051614742012446,0.0688873918985019,-0.177887973061795,-0.0225560486747307,-0.0382843204533267,-0.052793346357613,0.0367399423458677
healthy,0.0058865209898829,0.088506556727318,0.0155999764294534,0.0463406971543976,-0.0703460132478919,0.0473704904244954,-0.0271921087806886,-0.130964654930942,-0.0428060013354136,0.0585868873933976,0.0598254225425692,0.112957188829503,0.0866139636903817,0.115225517248773,-0.0330368813947568,0.0328420556409545,-0.167870219151201,-0.0756341408510965,-0.0086558299189295,0.0295717662021306,-0.0395357118965897,0.0704573422500647,-0.0496944833448511,0.0021152510412818,0.0728926641725931,-0.0963274191299521,0.0082661784113249,-0.0018508446611215,0.0393826345186022,0.0640280923745897,-0.123992676169875,-0.0619963380849374,0.0387285766308374,-0.0073337980181284,-0.0699424456150158,0.0204567041492386,0.0652387952732181,0.0221962198081875,0.0025466509247011,0.0365437449631977,0.116283142769413,-0.084971860908334,-0.0585451390175829,-0.0281384052991568,-0.0594218549096931,0.102033030491304,-0.230047466864669,-0.0861964799322339,0.0158782989348852,0.0610082931906544,-0.120736302856323,-0.0101587714482613,0.0725725932913465,-0.0163236149435761,-0.0329533846431272,0.0070972238885113,0.236699374744489,-0.0260509865084181,0.0390625636373556,-0.0597836741667545,-0.0774154048858601,0.0616484349531476,-0.0707356647554965,-0.0327863911398681,-0.0384224218748624,-0.063471447363726
mild,-0.148022718563242,0.0026380286476617,-0.0155350575917858,-0.0335615866841411,-0.0394238725678339,0.0319494580661256,0.197412477133354,0.0274061865062637,0.163997447596305,-0.0001465571470923,-0.0732785735461596,0.0923310026681611,-0.183782662453768,-0.0310701151835717,-0.027552743653356,-0.0300442151539254,-0.0382514153910953,-0.346461095726243,-0.112409331819809,-0.106986717377393,0.0655110447502667,-0.228042920875649,-0.0665369447799129,0.123694232145917,0.13395323244238,0.153152218711474,-0.0247681578586019,0.110210974613424,0.0230094720934941,0.0146557147092319,-0.159600733183536,-0.0902792026088686,0.195360677074061,-0.151246975799273,-0.0215439006225709,-0.114168017584917,0.0702008734572209,0.0216904577696632,-0.140694861208626,-0.122668332116271,-0.0671231733682822,-0.0945293598745459,-0.108305731701224,-0.189205276896184,-0.0118711289144779,0.214706220490248,-0.0769425022234676,-0.0643385875735281,0.0921844455210688,-0.249293707204035,-0.0175868576510783,0.0408894440387571,-0.0920378883739765,0.0493897585701116,-0.132927332412734,0.0021983572063847,0.0297511008597408,-0.0606746588962202,-0.143479447003381,-0.176894476540429,0.15036763291672,0.0636058018380665,0.135565361060395,0.215585563372802,0.0026380286476617,0.0907188740501456
mild,0.199431325108576,0.0255070666942765,-0.0322943548275174,-0.0651634396985754,0.0514246548482247,-0.14685721017327,0.0246586556776213,0.120228051489224,-0.205260729835916,0.0241660299260151,0.15025085423989,-0.127809014444497,-0.174526356555151,-0.172172700186366,-0.018391361393298,-0.137743633768555,-0.0817485066693174,0.238321391388154,0.0199787110373625,0.0405321521182655,-0.0901778806412456,0.17712632579974,0.153589762111888,0.0107282941460905,-0.0333890787199756,0.23391512772101,-0.0115219689681227,-0.0415995079134123,-0.143326725620092,-0.0081283249015022,0.182818890040522,0.130956345635314,-0.123703799847779,-0.187334626096912,0.149156130347432,0.131421603289609,0.136347860805671,-0.0725801940699798,0.169408522357909,-0.259449562512597,0.139741504872291,0.0822958686155465,-0.107419781947463,-0.142286737922257,0.0130272143202528,-0.208107011956307,-0.190044067730747,-0.0739485989355526,-0.159610743520408,0.0494541518418,-0.0809821999445966,0.162539129932734,0.0079641163176335,-0.0284901893012251,-0.190810374455467,-0.119434376667191,0.0071978095929127,0.108405033450675,0.0318290971732227,-0.1139607572049,0.103205094961498,-0.178549466859935,0.207997539567061,-0.138181523325538,-0.0101261960052385,-0.0802979975118102
