group,MAFF,SIX5,ZNF76,KLF10,PGR,E2F6,CLOCK,E2F1,ZNF263,FOS,HNF1B,CEBPA,ZNF384,PPARG,ELF1,OTX2,SP4,BACH1,NFIC,GATA6,TBX21,POU2F1,PRDM14,ASCL1,JUNB,NFE2L2,KLF4,GMEB2,ELK1,TCF12,KLF9,MAFK,HIF1A,ZBTB7B,TCF3,GTF2B,YY1,CTCFL,EGR2,GTF2I,USF1,THAP1,MAF,HES1,ZNF143,MYB,ELK4,SREBF1,ASCL2
healthy,-0.541241971823484,-0.0875176896517531,-0.368895898172139,0.448653020084799,0.115640143042922,0.27976462512909,-0.483306644345502,0.0518651804345332,0.19032600286865,-0.392869137128546,-0.0744553479126855,0.383110799476419,0.460178615736918,0.397095188867656,0.405393617737181,-0.458718706954316,0.389027271911173,-0.409004971041512,-0.405393617737181,-0.303737864085496,0.333397063563614,0.0100656868695168,0.428521646345766,-0.33685474225925,0.281916069650818,-0.521110598084451,-0.529562701562671,-0.51749924478012,0.200391689738167,0.277613180607361,0.259863763303098,-0.510353375475807,0.484459203910714,0.368358037041707,-0.222520833390234,0.396249978519834,0.445810039823943,-0.128548810173295,0.645279681909941,0.27430917652042,0.483690830867239,-0.533481404084391,-0.185638927303455,0.170271466433964,-0.391255553737249,-0.541549321040874,0.4078524114763,0.0815243799126515,-0.494909077301968
healthy,-0.463085130312482,-0.116196391326877,0.05384710817587,0.234093217648782,0.359500298532059,0.0555475431708975,-0.432335597485735,-0.204619011068306,-0.109819760095524,0.45982596323868,0.575738948733052,0.315572394493849,-0.068017399801099,0.145245489158597,0.229983833077466,-0.163666868271394,0.471445602371367,0.11081168050929,0.244720936367704,-0.374945916403558,0.577581086644332,0.540171516753728,0.209011801472127,-0.245287748032713,0.505312599355664,0.268527026298089,0.0321665619892697,-0.228850209747448,0.384014903043705,0.525009304714733,0.294458659972258,-0.257899307579167,-0.0094940953889034,0.054839028589636,0.0987669326278458,-0.110386571760534,-0.0230975753491232,-0.412355486294163,0.249680538436534,0.409238022136612,0.078786821436273,-0.273911737115676,-0.529118689286049,0.33172652694661,-0.227433180584925,-0.370269720167233,0.194558104014394,-0.174436289906568,0.271219381706882
healthy,-0.114548332818308,0.0325421400052012,-0.0511514230303977,0.453709747539182,0.478248931631994,0.0684108098776007,-0.030228032271498,-0.257251643063338,0.0981085257934583,0.004290741422908,0.235942567682155,-0.0715927080114426,-0.224516660746995,0.0788242946792651,0.0280585562711512,-0.212464016300625,0.188985464919094,0.124961817619972,-0.0673019665885346,0.0790653475681925,0.29128831097989,-0.0440644680959317,0.312934860405572,-0.110498644284328,0.0213090753811836,0.0194288628475497,-0.0771369244567731,-0.31925044609547,0.259035434441401,-0.0623362770766298,-0.340414889743297,-0.0917447295257746,0.252237742973648,-0.2354604619043,0.0063155856898983,0.0754977648120667,-0.298953792847781,-0.112619909706889,-0.123997606064263,0.0409789911176607,0.174763344472377,-0.145210260289875,0.159528801892164,0.117248125174295,-0.027335397604369,-0.125492133975613,-0.0094974838237401,0.165699755848706,0.194095786164355
healthy,-0.528985481632573,-0.432202115146205,-0.424102219667732,0.434486701050389,-0.278304101055221,0.537085377111045,-0.390664189615575,-0.376748984562814,-0.0550377513280847,0.469586248123772,0.365533744669544,0.356810780308111,-0.613722849715058,0.382564294137102,0.404164015413029,-0.498039727112253,0.304057614884211,-0.520054827643487,-0.608322919396076,0.303226856373599,0.359095366212296,0.293257754246248,0.292842374990941,-0.360341503978215,0.397933326583435,0.389625741477309,-0.416417703444565,-0.450271112752029,-0.42597142631661,0.52815472312196,-0.362210710627093,-0.427217564082529,0.412886979774462,-0.377579743073426,0.434902080305696,-0.42597142631661,0.309457545203193,-0.355980021797499,-0.483501453176533,0.472909282166222,-0.119006156645255,-0.477270764346938,-0.75100569359379,0.416625393072218,-0.509254967005523,-0.275188756640423,-0.423894530040079,0.272488791480933,-0.0647991638277827
healthy,-0.0412790775406129,-0.167963143096287,-0.187114564651179,0.0181162095789524,0.0740176562797196,-0.185432345190277,-0.36711204696777,-0.119955187712063,-0.200184115847423,0.371382296368523,-0.473221274501634,-0.0197984290398551,0.394933368821161,-0.42003725923771,0.15579940237899,0.176762444891778,0.0982157362173203,0.436212446361774,0.0293741398173013,-0.491855090068556,0.0446435164624183,0.190996609560955,-0.0496901748451265,-0.0527958107729469,-0.112449900886497,0.211571447582765,-0.0509841898150516,-0.110120673940632,-0.146482494595529,-0.530934342160296,-0.0665123694541536,-0.163045886210571,0.166022120641399,0.110638279928602,0.11361451435943,0.309787183800085,-0.0947218957985223,-0.501689603839988,-0.0533134167609169,-0.0350678056849721,-0.351713268825661,0.1521761604632,-0.240686784406081,-0.0335149877210619,-0.104815212563939,-0.272648954163233,0.174692020939898,0.269155113744435,-0.269672719732405
healthy,-0.661740467436038,-0.550868383841873,-0.622455083485349,0.644102461719906,-0.549413369621477,0.621145570686993,-0.661691966962024,-0.674285923380784,-0.437102438631588,0.459541991275026,-0.542768804681669,0.527054651101394,-0.62808113847088,0.619496554570545,-0.358014332340737,-0.572548095725771,0.65996211672222,-0.0777785934924943,0.451765748608244,-0.650827860783069,0.609958128014616,0.358984341821001,0.669031705362688,-0.595310984862631,0.625154943205417,-0.686960713922899,-0.604914078717244,-0.528768334516527,0.639139246545889,0.619221718551136,0.591770450259668,-0.628469142262986,0.462274184644436,-0.683986018183423,0.002489690999344,0.155654187933015,-0.622067079693244,0.593952971590262,0.647642996322869,0.701122852334752,0.66526483521433,-0.596410328940263,0.498116034940188,0.649793184004121,0.181197770913298,-0.6201917280314,-0.440578305935867,0.632042010515291,0.704905889307782
healthy,-0.386290938530802,-0.759313897018045,0.374283045977413,0.475831273126449,0.712431230104348,0.544394857150432,-0.674517421208923,-0.772100078903599,-0.763538896249793,0.762167624569313,0.517117669127918,0.724772675228665,-0.599875768114705,0.76520665910443,0.453779742048464,-0.583049893981252,0.252758725969498,0.598689803418074,-0.755459511753994,0.368390283891027,0.782736699776509,0.621260194050834,-0.464453424318144,-0.756571353657085,0.724772675228665,0.509186530219197,-0.759350958414815,-0.756867844831243,0.463230398224743,0.666512159506663,-0.666512159506663,-0.619592431196196,-0.79978494229058,-0.552177750472074,-0.590684541715814,-0.416273608517507,0.604137828743223,-0.137053045254428,-0.674072684447687,0.468752546343432,0.776918060483662,-0.632045060510823,-0.106106778951711,0.502033680642641,-0.751271573919015,-0.583531692139258,-0.72140008812262,0.709132765791842,0.758313239305262
healthy,-0.235674590889208,-0.219974014233533,-0.660943218418041,0.463766952076407,-0.260170043411354,-0.488824051243147,-0.404155819570714,-0.52279090854457,-0.0417916162363249,0.608493080630913,0.209481433736814,0.383604658257189,-0.358292265161089,0.337421986435862,0.569624579885766,0.344110687385109,-0.373724783190935,-0.385353421673309,0.498920926149357,-0.108921154961686,0.447338787722054,0.342578923808946,0.54053383663513,-0.282010439068151,0.348233684344282,0.399662646413968,-0.49916345538225,0.31484123838392,0.325104054344215,-0.240206058135358,-0.664951333109002,0.068354949586292,-0.413180459973611,-0.644591642242497,0.586448449830628,0.244494996148616,-0.519625263820499,-0.448908845387622,0.581482982904565,0.274619679813162,0.299740602462242,-0.474412708930743,0.464558363257425,0.397224589388575,-0.299536367318754,-0.537074603892294,0.493227871524617,-0.381090013052987,0.183403158852632
mild,-0.30319567254765,-0.204818590257391,-0.187709532467781,0.222685080292896,-0.28301233093647,0.178041132623132,-0.375775503639513,-0.264923066710996,-0.0131436772081641,0.149169597603164,0.378849787461083,0.216670177163736,-0.461320792587564,0.471523850488139,0.185125351864142,-0.333849401087369,0.388562742143726,-0.35839911682194,0.157278578118032,0.0448667218597331,0.22179398353302,0.310101672436686,0.387627090545857,-0.301146149999937,0.150461687904984,-0.187976861495744,-0.26862111826448,-0.174744074611592,0.303329337061632,-0.156298371682169,0.175145068153536,-0.292012408211212,0.0762778826453457,-0.283591543830389,-0.118293094873477,-0.127159507634239,0.101718695139792,-0.0362676381269342,-0.449602870195201,0.411553038548515,0.483776430936427,-0.338884097780666,-0.364369465113106,0.397250935552513,-0.38989938728354,-0.159996423235652,-0.0503915217709614,0.346146536373651,0.350156471793091
mild,0.251130668632392,-0.236267752613192,-0.145669730011195,-0.0572551092314882,-0.0344214612586273,0.263862794921407,-0.264309997704286,-0.50414221955748,0.0420239085675637,0.500669821478658,0.23937186604729,0.122520409485714,-0.499038846623454,0.405836525462341,0.0747486298558575,0.324734985485002,0.0586756357182791,-0.0551769315934053,0.268466352980452,0.173896117424651,0.404521223159756,0.166951321267007,0.101528184736471,-0.432563468250851,0.276805369578835,-0.410308553291127,-0.237293688409207,-0.385712400232803,0.315580481459016,0.330101418879545,0.217879826423065,-0.219747555692735,-0.360248147654774,-0.260706069395205,0.304242575610741,0.359511578365327,-0.270123633881708,-0.0242936335287293,-0.0952410397301186,-0.233005802902783,0.480835062755689,-0.282145496927327,0.459448247315671,0.391420812226018,-0.40504734408079,-0.362589385753374,0.165977997563094,0.270518224572483,0.237714585146034
