group,HSF1,LHX2,KLF5,ZNF76,HEY1,STAT1,KLF10,BCL11A,CLOCK,E2F1,FOS,SMAD3,HOXA4,KLF3,PBX3,RUNX2,PRDM1,BHLHE40,OTX2,SP4,TEAD4,MNT,ZBTB7A,NFE2,TBX21,FOXP1,CTCF,JUNB,FOSL2,GMEB2,ZEB1,HOXA1,PAX6,FOSL1,ZKSCAN1,TCF4,ETV4,JUND,POU2F2,ETV1,HES1
healthy,0.11526909800417,0.338246134973416,0.345498675276222,-0.187331572927795,-0.0155852461826254,0.255073385543365,0.233315764634947,-0.151840418254489,-0.331919450879479,-0.0697478344014525,0.0228377864854313,0.341023703600022,0.18301091061974,0.178690248311686,0.255073385543365,0.0177455773366527,-0.243500182932504,0.234550239580106,-0.319420392059749,0.130082797346072,0.314173873542826,0.0234550239580106,0.213255546776122,0.254301838702641,0.405833638220841,-0.235167477052685,0.0566315381091439,0.353214143683462,-0.0212946928039833,-0.0768460653361136,-0.297354152415042,-0.118972522839646,0.33454271013794,0.237173498838567,0.192732400812863,-0.144587877951684,0.37466314585559,0.158475721084716,-0.227143389909155,-0.347196078325814,0.0913511459417254
healthy,0.110386571760534,0.522458652222191,-0.37692975723109,0.0008502174975137,-0.619241744022505,0.413772515456685,0.446647592027217,-0.874448696192879,-0.778515821890079,-0.693352369222453,0.885784929493062,0.885501523660557,0.76562085651112,0.676348019272178,-0.453732737839831,-0.447072700775973,-0.805581078894266,0.866796738715255,0.0802038505987959,0.829812277573408,0.768596617752418,0.832929741730958,0.762078283604813,0.759102522363515,0.758535710698506,-0.768029806087409,-0.823719052174559,0.775114951900024,0.914267215659772,-0.42397512542685,0.502620243946871,-0.586366667451974,0.641347398957862,0.815925391780683,0.664161568474481,-0.917809788566079,0.728069583704264,0.772847705239987,-0.432335597485735,-0.0844549380863646,0.462801724479978
healthy,-0.313486469919882,0.263453968675213,-0.297819727105895,-0.353310319395437,0.018042023176108,0.422951518097613,0.448523685400444,0.193711694212947,-0.152068481055768,-0.456306518927393,-0.0387625539946074,0.297112196785263,0.240509771134728,0.503205671609265,-0.0912208734814425,0.0071258410863619,0.105977934454618,0.280030393330013,0.23676996801139,0.496433595683219,0.335622061379645,-0.046545387521556,0.338452182662172,0.101631676770737,0.326323091451343,-0.329557515774231,-0.176528814997606,0.166926617789033,-0.191083724450601,0.0401776146358708,0.0659519334588822,-0.259309862511513,0.163186814665694,0.239397937773736,0.0343152205506368,-0.342394137305691,0.334409152258562,0.348458682911106,0.0807089944320574,-0.0904122674007206,0.389495441507744
healthy,0.499204865723853,0.460366523828433,0.43901560289116,-0.508151918307091,-0.449589392307714,0.330227577163152,0.623853575576693,0.313350182517498,-0.569357891660606,-0.52706273399439,0.274308498517914,0.485174260536502,0.557157365410736,0.554310575952433,-0.239130314497455,-0.512422102494546,-0.503271707807143,0.54333010232755,-0.451012787036866,0.647847943868104,0.50449176043213,0.297489498392667,0.543126760223385,0.439422287099489,0.554107233848269,-0.484360892119844,-0.460569865932598,0.417664681953888,0.468703550099178,-0.182397867435558,0.404650787287359,-0.473380418494961,0.454062918599334,0.297082814184338,0.52482597084858,0.1002476573531,0.464433365911723,0.484767576328173,-0.432915339766225,-0.228149840872571,0.519742418244468
healthy,-0.561809186812918,0.289571091635943,0.278978704911018,0.298787843721268,-0.502106643454248,0.186948747521732,-0.441578719311818,-0.0034390865990017,-0.330840130823964,-0.474456387198275,0.34459647721997,0.113627421231016,0.325750282657441,0.416542168871086,-0.0782736109932787,-0.036454317949418,0.154621333491116,-0.0580517817911487,-0.294110685946626,0.536910199836146,0.0696071127637944,0.0866649822948429,0.190662961048654,0.326025409585361,0.0832258956958412,-0.472255371774914,0.146505089117472,0.231794436772715,0.493852835616644,-0.313094443973115,-0.407738107177642,-0.10193452679441,0.277190379879537,0.204831997836541,-0.0577766548632286,0.177456868508488,0.184747732098371,0.184747732098371,0.498529993391287,0.241011188858039,0.0295761447514146
healthy,-0.813174540285383,0.769598928350649,0.445091443179165,-0.762492453461367,-0.76643331680906,0.833880223940064,0.753157129629538,0.585541228718246,-0.768985187337484,-0.841535835525336,0.716784899059849,0.832362022486444,0.731514683375815,0.807553964691133,-0.763526122536172,-0.754804539717508,0.292851369755592,0.770794108218392,-0.751994251920383,0.763526122536172,0.750088424563712,-0.531015185022301,0.688940438357299,0.714782165227415,0.806132669713276,-0.683836697300451,-0.125138562368538,0.735423244564921,-0.44625432088832,-0.834946195173456,-0.773862813284218,-0.826902957685132,0.816727777730024,0.731773100644517,0.791079863811433,-0.571683602684147,0.798961590506819,-0.495482810575891,-0.75641964764689,-0.810073533060969,0.761426482227975
healthy,-0.496126236737467,0.490542915356976,-0.496203248066853,0.268750286725069,-0.448225189859326,0.463742972730621,0.259354904539967,-0.288060877568628,-0.414994801229233,-0.643583679679462,0.541351139919442,0.371733686946603,0.535864082700684,0.630241466863323,-0.370443747179386,-0.464955901168452,-0.121774164591737,0.475775992947196,-0.478413630978669,0.411837336724404,0.485306144958723,0.233960418674908,0.219790334067869,0.529125591379402,0.535036210909783,-0.525660081557028,-0.445472034833774,0.612625125266258,-0.175990140479537,-0.50877534758913,0.105813566576472,-0.385383945080286,0.553172378980205,0.206910189228048,0.164746486389169,-0.376412125206807,0.540195969978651,0.379184533064706,-0.319154201808258,-0.3485147711367,0.441024630561728
healthy,-0.0518808850843354,0.382488738845333,0.0502156436151093,-0.493270363138585,-0.229946878052265,0.398078844324466,0.197690002350964,0.407051050516417,-0.399772796853506,-0.459649712096108,0.407567849593073,0.341159168242731,0.264285305590098,0.248508578222172,0.0516655521357286,-0.274678709242854,-0.221764226005206,0.219553474399509,0.136391889647557,-0.320774315774619,0.269194896818333,0.277104793797157,0.427909635471463,0.406979272866881,0.327621903540316,-0.372612134269233,-0.308328071345145,0.100689686768547,-0.181941986042852,0.278554702317776,-0.381340296452763,-0.405672919645333,0.37766528079654,-0.335905044296725,0.377794480565704,-0.253533013689664,0.346973157855115,0.235014380109478,-0.207423051627992,-0.218218410118147,0.337914818483722
mild,-0.464863329168284,0.520467613078354,-0.31096449012133,-0.33276202745294,-0.171090104338677,0.34510025613121,0.171295741483314,0.449317161033664,-0.456884607956336,-0.302451112333324,0.138147033767696,0.539262848098252,0.46239568343263,0.502988455784138,-0.275759410959333,0.272798236076549,-0.156119720209042,0.4683180331982,-0.518082222200555,0.441790841539919,0.276211812677537,-0.247916141575371,0.291099941949316,0.24573638784221,0.380881119298193,-0.415839433886625,-0.0720552554810965,0.0226200859101616,-0.330705656006562,-0.482753760751775,-0.271687795495504,-0.354929711644899,0.384006803896688,0.173310985500765,0.226241986530543,-0.431179964876607,0.471402590367767,0.315982036450493,-0.078265497249159,0.296405380280972,0.460421566844107
mild,-0.192408786259796,0.238715958189889,0.0001147795503637,0.101796707889288,-0.183851333116008,0.144571220324852,-0.12743080747053,-0.0810726224069413,-0.0576065809992377,-0.335143533778828,0.0080855816589587,0.273137070015646,0.0283377956564769,0.155437017759289,-0.1525165158667,-0.137556914469289,0.160857163193134,0.098825192863204,0.131703157400737,-0.0124854644229032,0.223322745157771,0.155245718508683,0.0853449723371482,0.163573612551743,0.241649213365852,-0.0331457834883814,-0.237848734920474,0.147695774751422,0.0288861868415482,-0.236037768681402,-0.125454048547598,0.0991950380810429,0.349235911906824,0.22328448530765,0.272601432113948,-0.381731277943144,0.0960067172376049,0.171391375259853,-0.191745615524361,0.132927472604617,0.190291741219753
