group,NR2F2,MAFF,TP63,RFX5,EBF1,KLF10,ELF3,SPI1,E2F6,MYBL2,ELK3,CLOCK,E2F1,FOXP3,STAT3,STAT5A,ZNF384,PPARG,ZNF250,GATA2,E2F4,MBD2,RUNX2,OTX2,SP4,IKZF1,CDX2,ZBTB7A,GATA6,MAX,TCF7L2,NFE2,GATA3,PRDM14,FOXP1,ASCL1,HNF4G,HSF2,FOSL2,NANOG,STAT2,FOXA1,KLF9,IRF2,MAFK,MEF2C,FOXP2,GTF2I,USF1,EGR1,RBPJ,RARA,NRF1,BACH2,HES1,SREBF1,ASCL2
healthy,0.245880439154,0.0514905064722324,-0.136954130616865,0.184834993336405,0.328689913480477,-0.301936083313462,0.217321787110638,0.263291661961106,-0.239191981612246,0.0497918505886123,-0.194708430659947,0.237174827750448,0.166043612623859,-0.381666743850877,-0.232078860099588,0.0526583323922211,-0.187595309147288,-0.301723751328009,-0.11954290780976,-0.0777135066756167,-0.0170927248289266,-0.139926778413201,0.119224409831581,0.249490082906693,-0.0520213364358636,0.137909624551402,-0.046288372828646,-0.234945341903196,0.0616824417739526,0.0032911457745138,0.223054750717856,-0.197893410441734,0.274651423182815,-0.191311118892707,0.345994970294856,0.27762407097915,-0.132176660944184,-0.103936506879001,-0.194283766689042,-0.0364149355051045,-0.259151188244782,0.165194284682049,-0.0010616599272625,0.0641242596066564,-0.0110412632435302,0.0842957982246443,0.0667784094248127,-0.0417232351414172,-0.269024625568323,0.132919822893268,0.240572139517688,-0.142156264260452,0.0842957982246443,0.113172948246185,-0.0299388099488032,-0.0046713036799551,0.27082944744467
healthy,0.418112337979721,0.0717947437807776,0.37393095719155,0.392109754495016,0.420183340204166,-0.515219331170388,0.377152516207354,-0.420183340204166,-0.131393585573154,0.485765077311607,-0.358973718903888,0.129092471990437,0.344246591974498,-0.0577579509262025,-0.0018408908661737,-0.414660667605645,0.461603384693077,-0.309729888233739,-0.416501558471819,0.391879643136744,-0.416041335755275,0.398322761168353,0.0800787526785596,-0.341485255675237,-0.373700845833278,0.144509932994642,0.465975500500239,-0.308349220084109,0.185009532050465,0.0844508684857224,0.463904498275794,-0.288559643272741,0.465055055067152,-0.165219955239097,0.399933540676255,0.326528017387575,0.458381825677272,0.174194298211694,-0.414200444889102,0.123339688033644,-0.224128462956658,0.45677104616937,-0.253352605457167,0.253582716815439,0.502333095107172,0.338954030734248,-0.269690511894459,-0.38589674782168,-0.412819776739471,-0.491517861268401,0.25105149187445,-0.392109754495016,0.471037950382217,0.286258529690024,-0.301445879335957,0.497730867941737,-0.103550111222275
healthy,0.205453972836131,0.208121453149555,0.239087420266263,0.277359963893654,-0.166137632564357,-0.237753680109551,0.312675083695292,0.25683196322078,-0.351063604727614,0.293422834476665,-0.322765117924331,0.311051400026251,0.381855605736925,-0.149088954039428,0.183418265899148,-0.0357790294213641,0.242856685926536,-0.243494561653659,-0.457066952834995,0.153438106724359,-0.440192240417463,0.421751833033356,0.371301661888159,-0.207773520934761,-0.401513775872812,0.294292665013651,-0.0657591885961537,-0.397106634485415,-0.495397485164851,0.407834544441578,0.384871018265143,-0.129314806498609,0.43955436469034,-0.386320735826787,0.371591605400488,0.357442361998846,0.0922600256229988,0.118412930435049,0.382551470166513,-0.270517297002696,-0.286638156288173,0.335928553384055,0.310007603381868,-0.301483264119403,0.250105273734754,0.416764804621302,-0.21119485438024,-0.449296466704585,-0.358022249023504,0.264718426756122,0.236593906060236,-0.432363765584588,-0.110758421709571,0.265878200805436,-0.341437480118301,-0.280375376421872,0.0058568589490401
healthy,0.0626368676540121,0.528164140318755,-0.548308660569292,-0.337735472325402,-0.528793656576584,-0.436254766675682,0.574118827140291,-0.560898985725877,-0.530052689092243,0.590486249843852,-0.507390103810389,0.555862855663243,0.538551158572938,-0.469304370211719,0.505501555036901,0.513370508259767,0.567508906433084,-0.590486249843852,-0.516832847677828,-0.379913061599963,-0.508019620068218,0.458287835699706,0.497632601814036,0.54138398173317,-0.532885512252474,-0.534774061025962,0.56247277637045,-0.518406638322401,-0.504872038779072,0.482209453497219,0.528164140318755,-0.574118827140291,0.547049628053633,-0.514000024517597,0.585135361652304,0.552085758116267,0.583246812878816,-0.563417050757194,-0.547679144311462,-0.583876329136645,-0.604020849387182,0.541069223604255,0.542328256119914,-0.340883053614548,0.50676058755256,0.497003085556206,0.53666260979945,-0.546420111795804,0.120867121503219,-0.295243124921926,0.315072887043548,-0.60527988190284,0.576636892171609,-0.556177613792157,-0.518406638322401,-0.505501555036901,0.351270071868731
healthy,0.104921537505705,0.12793658444244,-0.0094767840327733,-0.0632913790760221,-0.293103391870776,0.0060922183067828,0.31645689538011,-0.0592299002048335,-0.0155690023395562,0.237934970537131,-0.034861026977702,0.355040944656402,0.281934324975007,-0.389901971634104,0.133690346176624,0.149597805088779,-0.190212593800665,-0.169905199444722,-0.0057537617341838,-0.212550727592203,0.167536003436529,0.069722053955404,-0.153659283959968,0.0199689377833439,-0.175320504606307,0.165843720573534,0.0995062323441203,-0.13876719476561,-0.0649836619390173,0.317472265097908,0.0385840492762915,-0.115752147828875,-0.191566420091062,0.221350598479778,0.279903585539413,-0.0135382629039619,-0.119475170127464,-0.25248860315889,-0.0155690023395562,0.0406147887118858,-0.370271490423359,-0.0094767840327733,0.381779013891727,0.0243688732271315,0.160428415411949,-0.0900294483113469,-0.0307995481065134,0.158736132548954,0.188181854365071,-0.166520633718732,-0.0859679694401583,0.0473839201638668,0.26670377920805,0.140121021056006,-0.122521279280856,-0.0710758802458002,0.0676913145198097
healthy,0.650880628071825,0.673748391745213,0.666744448668436,-0.66521993109021,0.69137976895426,-0.671273812487803,0.652294673361773,-0.652869129260815,-0.654990197195738,0.656779848265829,-0.65658099814693,0.66939578358709,0.663805885800262,-0.65633795911272,0.65163183963211,0.65114576156369,0.650284077715128,-0.657265926334249,-0.664954797598345,0.669660917078955,-0.675493853899993,0.654040135516554,0.661331306542852,0.663584941223707,-0.670633073215795,-0.651720217462732,0.662767446290455,-0.672201779709332,0.693677592550426,-0.653598246363445,0.666523504091882,-0.65337730178689,0.67337278596507,-0.656382148028031,0.662701162917489,0.653178451667991,0.658459027047643,0.663938452546194,0.665772292531596,0.670257467435652,0.657641532114392,0.682431513603804,-0.691446052327226,0.697433650351853,0.663629130139018,0.659276521980895,0.662701162917489,-0.67706256039353,-0.672400629828231,-0.657111265130661,0.659386994269172,0.656934509469417,-0.652891223718471,0.653598246363445,-0.676200876544968,-0.654923913822772,-0.691843752565024
healthy,0.437925352020532,0.168832287828775,-0.20530392654429,-0.343292318585176,0.238345782016359,-0.183952318183684,0.301482777779509,-0.458310824256224,-0.443408174529421,0.382420831644205,-0.20767096005033,0.437756278198672,0.397854856239711,-0.263972542729711,0.245736723371954,0.269165524401126,0.223732973127031,-0.409206955707455,-0.262233497704866,0.414424090781992,-0.39437676619002,0.320708886665304,0.315153603947047,0.33276143482361,-0.140234658531312,-0.258368953205208,0.272716074660186,-0.224940643283173,-0.15214228627088,-0.104052860653271,0.193227224982861,-0.417105118528629,0.246388865256271,0.292014643755349,0.215858963708979,0.419206464600318,0.267015871523191,0.387009978237548,0.363049802339674,-0.336046297648319,-0.431041632130518,0.239891599816222,0.213033015543605,-0.204651784659973,0.385101859390843,0.350948947375122,-0.162914704063675,-0.144219970046583,-0.304671026991727,-0.278440431200303,-0.243683684106511,-0.225133870508156,0.334717860476561,0.300637408670209,-0.270228274138532,-0.248127910281117,-0.414351630572623
healthy,0.325475385284414,0.241358695975523,0.384308805402553,0.415025486506836,0.411117789113438,-0.415056623537859,0.357048334741833,0.382222624324005,0.21819274489434,0.174958977318772,-0.281182958654061,0.448186424546433,0.506521652168201,0.300425643826334,0.339876262132596,0.422280414735217,0.352658013367576,-0.405450849467234,-0.398912072952384,0.0433583156996601,-0.470885320162269,0.365003846168234,0.374376092506185,-0.251649484728656,0.0935200726778665,0.103499491120769,0.410790850287695,-0.468814707599233,0.223454903137243,-0.308692525562966,0.369845654492325,-0.458259254082404,0.421595400052709,-0.370063613709487,0.42995569288241,0.391345774413772,0.4783426390923,0.36134524502302,0.399176737716081,-0.416084145561621,-0.388885948962948,0.45480304363884,0.412409975900896,-0.0671625759168164,-0.0762390204600486,0.365611018273184,-0.390380526452056,-0.308910484780128,-0.200553616819756,-0.333897952176162,-0.161741307649468,-0.423759423708814,0.395486999539844,0.434797501206502,-0.383654927751068,0.460921470234879,-0.23559834523625
mild,0.245115240350605,0.287423087179569,0.277443840753081,-0.0557174592145565,0.32453340982807,-0.108212453437226,0.286071730892648,-0.066008557091872,-0.0098752959428784,0.219855272833558,-0.144803023667681,0.347402516222104,0.460500642388965,-0.411747865576228,-0.23482414247329,-0.0194387404349292,0.026923175254795,-0.232641182317495,0.155613873963043,0.143867469315198,-0.136071183044505,-0.148649191561224,0.0867986538137215,0.134719826757584,-0.255094486777093,-0.320791192418137,0.300728749081552,-0.132432916118181,-0.305718372294796,0.224221193145146,0.125468233716361,-0.232225380383058,0.274221375761194,-0.112370472781596,0.250208814047458,0.37567704776382,0.236071548276601,0.206861462382402,0.215281451554751,-0.0589399242064432,-0.191372840324624,0.331913894164326,0.018087384148009,0.0440750050503208,0.068087566764057,0.230250321194483,-0.0310811945991649,-0.25551028871153,-0.162578556364863,-0.164761516520657,-0.161435101045161,0.0791063180266372,0.304055164557048,0.264865832236362,-0.158940289438539,-0.0927238313794486,-0.170686694086384
mild,0.2203557759828,-0.126610572726745,-0.35236273717628,0.3310499249647,0.367207675846503,-0.303425091586253,0.289943861192822,-0.328634213160096,-0.334946234326963,0.208978552644991,-0.334244898641756,0.255929080460264,0.309776075846742,-0.331166814245568,0.406482474218117,0.407144846809702,0.27895626879124,-0.304593984394932,-0.205316021844464,-0.312893123336553,-0.283008430527993,0.356103194164053,0.344063598234659,-0.181042014517563,-0.324971682359569,-0.198965037583974,0.327114652508814,-0.270579203662374,-0.155053631071267,-0.310165706782968,0.349596357529073,0.318542771911834,0.165885371098359,0.132416073676518,0.349908062278054,0.327815988194021,0.220667480731781,-0.265280222929695,-0.176678148031828,-0.333855267705529,0.158599272590927,0.144455669605911,-0.237031980053287,-0.409716410988795,0.264539924150865,-0.281722648438447,0.24759097842502,-0.0101498858886958,-0.306542139076064,0.337907429442283,0.445328678559882,-0.119363437312936,0.111843560243767,0.184003209632883,-0.391988203390497,-0.412015233512531,-0.064464438398646
