group,VDR,HSF1,ARNT,HEY1,ETS2,PGR,E2F3,SPI1,MEF2A,MYBL2,GATA1,FOXD2,ELK3,REST,ESR2,BCL11A,RUNX3,SRF,E2F1,NFYB,CEBPD,GMEB1,HNF1B,PPARG,E2F4,MBD2,STAT4,ELF2,EHF,MXI1,BATF,MNT,CDX2,GATA6,BARX2,STAT5B,USF2,HNF4G,JUNB,KLF4,NFYA,NANOG,GMEB2,ZNF217,FOXA1,KLF9,VEZF1,TP73,NR5A2,HOXA1,TCF3,TCF4,CTCFL,EGR2,ATF2,HOXC6,RBPJ,JUND,NRF1,NR2C2,ZNF143,ASCL2,ETV7
healthy,0.239790463967548,-0.323872834449675,0.119005471449571,0.191076074719966,-0.234007020495232,-0.157487614553825,-0.327209436452934,0.158154934954477,0.221772813149949,0.0435982661759177,0.353234932078354,-0.0222440133550601,0.191298514853517,-0.265815959592968,0.0760745256743054,-0.0137912882801372,-0.0527183116514924,0.0060058836058662,0.11099762664175,0.159489575755781,-0.0266928160260721,-0.228001136889366,-0.0104546862768782,-0.324762594983877,-0.228001136889366,-0.286725332146724,-0.133686520263911,0.182845789778594,-0.136133361732968,0.0547202728534478,0.127680636658045,0.23311725996103,-0.320091352179314,-0.148590009211801,0.269819881996879,0.312528387638594,-0.112999587843705,0.12968259786,-0.109440545706896,0.342335365534374,0.130572358394203,-0.275825765602745,0.151259290814408,0.0702910822019898,0.196637078058731,0.127458196524494,0.312750827772145,0.16282617775904,-0.136578242000069,-0.201530760996844,-0.213987408475678,0.230003098091321,-0.448661749371562,-0.226666496088062,0.147477808544048,-0.0538305123192454,0.209538605804666,-0.256251033850292,0.0867516520847343,0.151036850680858,-0.204644922866553,0.28494581107832,-0.438429503228234
healthy,0.0338263696659433,-0.0029914476575324,0.19628498860578,-0.109993229253884,-0.0800787526785596,0.170052293762803,-0.0402694876975515,-0.0358973718903888,0.146120712502544,0.109302895179068,-0.264167839295938,-0.0335962583076716,0.0181787973034661,-0.0931951001000479,-0.167751180180086,0.0586783963592894,-0.0600590645089197,-0.0338263696659433,0.0961865477575803,-0.0904337638007872,-0.0586783963592894,0.114365345061046,0.432609353550839,-0.158776837207489,-0.0421103785637253,0.160617728073663,0.0066732293898799,-0.241156703468766,-0.0352070378155736,-0.166600623388728,0.0195594654530965,-0.0046022271654344,0.21101211553517,-0.176955634510955,-0.0616698440168218,0.0651215143908976,-0.0285338084256937,0.0271531402760633,0.0179486859451944,0.0547665032686701,0.159237059924032,0.0941155455331348,0.214233674550974,-0.141058262620566,0.0023011135827172,0.16291884165638,-0.0888229842928851,-0.0467126057291598,-0.0961865477575803,0.0246219153350744,-0.0163379064372923,0.107231892954623,0.0952661023244934,-0.132314031006241,0.0034516703740758,-0.140367928545751,0.0441813807881708,-0.134385033230686,-0.0833003116943638,-0.0577579509262025,-0.0273832516343351,-0.0158776837207489,-0.0782378618123859
healthy,0.0251752634589372,0.0129726651706053,-0.175989900556476,-0.0955475293159193,-0.062020001980017,0.255839912656823,-0.0390364673398579,-0.0807385508106621,0.202409118209855,0.0254122071150213,0.0711423327392555,0.0140389116229838,-0.316971375926524,0.084766592964092,-0.13416934525763,0.0823971564032509,0.0155790453875305,-0.143291676016868,0.117701761159784,0.198973435196635,0.0493435163795169,0.270767362990122,0.0251752634589372,-0.0575180725144189,-0.297897411611753,0.128482697511611,0.0378517490594373,0.146964302686172,-0.257024630937243,0.0500543473477692,-0.108105543088377,-0.0902162970540267,0.0699576144588349,-0.129904359448116,-0.231197772424075,0.171724914746962,-0.0219765241018016,-0.143291676016868,-0.074341072096391,0.116398571051321,0.148504436450719,-0.0983908531889287,-0.323368854640796,-0.225274181021972,0.116161627395237,-0.0890315787736061,-0.162721055815766,0.0812124381228303,-0.148859851934845,0.10076028974977,0.137012669130639,0.0565702978900824,-0.0018363133346518,-0.207977294127832,-0.161891753019471,0.116517042879363,0.0768289804852742,-0.148978323762887,-0.315431242161978,0.165208964204649,0.11343677535027,-0.0179484819483717,0.0639155512286899
healthy,0.448304623299216,-0.315895632894452,0.261281835665187,0.366973284979376,0.343398984017103,0.113942454650984,0.475807974421867,-0.46598534902092,0.405870881567125,0.423944512304868,0.411764456807693,-0.0605073724698328,-0.293107141964255,0.315109822862376,-0.385832725749194,-0.351649989353899,0.305287197461429,-0.43455294773789,0.32728987835955,-0.344970604081255,-0.354793229482202,0.293107141964255,-0.374438480284095,-0.374438480284095,-0.293107141964255,0.23849334473499,0.461270488828466,0.497024845287912,0.366973284979376,0.423944512304868,-0.498596465352064,-0.411764456807693,0.445947193202989,-0.305287197461429,0.385046915717118,-0.34772093919352,-0.420801272176565,0.485630599822814,-0.362258424786921,0.420801272176565,0.407835406647315,-0.420801272176565,0.448304623299216,-0.342613173985027,0.471878924261488,0.471093114229413,-0.420801272176565,0.317467252958603,0.407835406647315,0.302143957333126,-0.463627918924693,0.400370211342595,0.397226971214292,0.328075688391626,-0.432981327673739,0.293107141964255,0.155590386350999,-0.445947193202989,0.412550266839769,0.42158708220864,0.401156021374671,0.436910377834118,0.3143240128303
healthy,-0.195289442389651,-0.187843397792472,0.463685504460697,0.235904231101537,-0.408178626554453,-0.292426478725578,-0.122859735853455,-0.442701196959556,0.189874137228066,0.342179594897638,-0.0917217311743422,-0.417316954014627,-0.404117147683264,0.529007622972313,-0.179043526904897,0.423747628894009,-0.489069747405625,-0.317810721670507,0.363502358971378,0.440332000951362,-0.0934140140373374,-0.426455281474801,0.0409532452844849,-0.318149178243106,-0.0057537617341838,0.020645850928542,-0.0033845657259904,0.340825768607242,-0.483992898816639,0.11372140839328,-0.0859679694401583,-0.323902939977289,0.137413368475214,-0.551007300191251,-0.147228609080586,-0.517500099503945,-0.11744443069187,0.0023691960081933,-0.207135422430618,-0.381440557319128,0.168212916581727,-0.157720762831157,-0.120152083272662,0.245719471706909,-0.113044495248082,0.252827059731489,-0.0771680985525831,0.474516114783866,-0.126582758152044,-0.442362740386956,-0.177689700614501,0.0690451408102059,0.0351994835503011,-0.501931097164389,-0.261965387191664,-0.076491185407385,-0.314426155944516,-0.277195932958621,-0.20984307501141,0.387532775625911,0.235227317956339,-0.157382306258558,0.158059219403756
healthy,0.0500444921131432,0.295537546922859,-0.298556316554348,0.240327604551388,-0.0620189449847197,0.200580471070105,-0.166401290464681,-0.32233751287353,0.351988539031719,0.320995837481757,-0.120784327144389,0.0350512696100769,-0.244721591459446,0.298019646397639,-0.292116274673837,-0.186492879456486,0.22392562288696,0.113606363798402,0.3296161018739,-0.272192395106004,-0.161001047012793,-0.0677881491693448,0.172606539151632,-0.323041892454211,-0.320593334864225,0.310866188273868,-0.262297539091676,-0.28238912808348,-0.100525028728613,0.271353847986145,-0.321666675177643,0.325222114965842,0.283965596668814,0.293826910798348,-0.106965070609125,-0.212588465826476,-0.137354018232789,0.323846897689275,-0.328811096638836,0.427323612279789,0.282020167350743,0.338538243229192,0.301709253725016,-0.141580295716875,0.309088468379769,-0.312006612356876,0.123132259079993,0.219162675246165,0.173914672658611,0.324987321772282,0.0065406675348947,0.250390169989688,-0.33162861496156,-0.271722808718883,0.194542931807125,0.317675190887118,0.330790067841701,0.126587073213809,-0.318446654237387,-0.0392775470941627,-0.215506609803583,-0.329917978837049,-0.155064133404197
healthy,-0.141554317032685,0.0594081256256021,0.172507001954873,0.0422560008598033,0.0162978043751652,-0.142934373048324,0.0462647350004689,-0.152331897345294,0.143394391720203,0.0651912175006607,-0.0552679575786851,-0.0040744510937912,-0.0567137305474498,0.120722042891849,0.0411388126566669,0.0944352616415821,0.0374586632816296,-0.111390235548004,0.160677950392253,-0.0271411016409001,0.0846434356258579,-0.155157726329698,-0.112310272891763,-0.145957352892104,-0.173821341017387,0.0994954670322584,-0.131696774063835,0.0161663704689138,-0.22048037773661,0.106658614922956,0.193010691330081,0.0981154110166194,0.100349787422892,0.126505134766907,0.0401530583597819,0.0247752913283761,-0.200568140939533,0.070842875469468,-0.0929237717196918,0.167841098282951,0.14405156125146,-0.156669216251588,0.0645997649225297,0.0795832302351816,0.1405685627358,0.0684113482038183,0.0596709934381048,0.0853663221102402,-0.155683461954703,-0.0157063517970342,0.130185284141944,0.102255579063536,0.0274696864065284,0.0709743093757193,-0.194456464298846,0.114676083204287,-0.25353600515882,-0.218968887814719,0.110338764297993,0.100415504376018,0.174544227501769,-0.180918771954959,0.111127367735501
healthy,-0.154480582408379,0.0114623911731102,-0.14013950852056,0.165498086252852,0.028158750918417,0.206244531587402,-0.13241940487657,0.202083526572505,0.0167486994310287,0.123861866261029,0.0318486987618155,-0.026667069875341,0.103972785686683,0.102193236372136,-0.096069493142666,-0.093112300899375,0.15372165696541,-0.173218189896842,0.0612374322946986,-0.200539505843707,0.165367237038547,-0.0364284212624874,-0.136632749577189,-0.0527845730506013,0.0412960120346301,0.0784833587400859,-0.107139336672862,-0.0685649882957736,0.07992270009744,0.082879892340731,-0.0500367395501982,-0.12600779337563,0.105176598458288,0.125458226675549,-0.179943839512114,-0.154192714136908,-0.119125124703191,0.136371051148579,-0.0601906385802593,0.123757186889585,-0.148278329650326,0.0123521658303836,-0.1161679324599,0.105150428615427,0.121349561346375,0.132576423933736,-0.0349105703765504,0.0683817993957468,0.0747934108966874,0.0289176763613854,-0.0135036389162669,0.218308829146314,-0.0688790264101054,-0.123547828146697,0.0714698408533427,0.0823303256406503,-0.134068104976812,0.0193918535599879,0.0590653353372371,-0.177614723497487,0.0137391675020157,-0.0652152484095679,0.128127550647369
mild,-0.105758037613546,-0.185497267931715,0.158054545809228,-0.0779269750836653,-0.113654292563884,-0.0186403395548967,0.177471566178912,0.059157188726304,-0.180966629845455,-0.237534882522468,0.0768914006639488,0.127505100427592,0.047377529702029,-0.0987679102804595,0.191581267647549,0.143685950735662,-0.167115821981747,0.108476420465301,-0.0392223811467617,-0.0078962549503381,-0.0261482540978412,-0.159349013833874,0.0431057852206986,0.0922955701572315,0.0396107215541554,0.144333184747985,0.124657270773372,-0.182649438277494,0.0715840817629018,-0.150805524871213,0.122197781526545,-0.0818103791576021,0.0680890180963587,0.0075079145429444,0.102521867551932,0.0438824660354859,0.0671828904791068,-0.0205820415918651,-0.0538498698252571,0.031196679393959,-0.116631569020569,0.0380573599245807,-0.25009122236153,0.0765030602565551,-0.0541087634301862,0.124786717575836,0.031196679393959,-0.0957906338237746,-0.100062378305105,-0.160902375463448,-0.0767619538614842,-0.0634289332076345,-0.0352095302703604,-0.0913894425399795,-0.0252421264805892,-0.125563398390623,0.120126632687112,0.001165021222181,-0.0705485073431853,0.0050484252961178,-0.179024927808487,0.171775906870471,-0.0807748047378856
mild,-0.049663150361532,0.0601119474242434,0.062513557726822,-0.0768156847526259,-0.019947703483358,0.0385870670257591,0.0852930106714294,-0.101011012427858,0.139598079453617,0.106979193254415,0.0656858340220191,-0.233009966744958,-0.139508467128894,0.179834013254281,-0.209191010833563,0.147233049520024,-0.170639788737693,-0.0425120868486301,0.0311313216087987,-0.0686430407378808,0.225106159704382,-0.131963109387211,0.007007683793345,-0.120958715911216,-0.0224926935054936,0.150333635955442,0.199889251527307,-0.0931788952470606,-0.160656975763541,0.0863504361031618,0.21329525530588,0.004856987999991,0.199369500043913,-0.264517660117593,-0.110868368147397,0.0016130218450154,-0.0310417092840756,0.118592950538527,-0.127912632309727,0.0449853870109872,0.139992373682399,-0.0289627033505001,0.12780509752006,-0.155979212412996,-0.152842781047689,-0.221234907276345,-0.286006695586188,-0.0023657653726893,-0.141121488973909,-0.0273496815054846,-0.108144153475815,-0.0704532096972871,0.166123327571649,0.199727949342805,0.149885574331827,0.0742527722655457,0.0943438554684607,-0.129256817180573,-0.0872824042802818,0.025181063247186,0.151928735335513,0.0335866993062111,0.0909744320588728
