group,E2F1,ELF1,GTF2B,HINFP,HNF4A,HSF1,JUNB,MECOM,NFATC1,RUNX3,TEAD4,TFAP2C
progressive,-0.0266874039215281,0.065584442418634,0.0315035082716052,-0.145690838626797,-0.108443352689962,-0.0643325498505711,0.0497222271738846,-0.0878975864258719,-0.0806513376789669,0.0471300731506016,0.158636880595353,0.040811697718849
progressive,0.0089288834762324,0.049595251347648,-0.018490421364124,-0.0039430760397951,0.0204319709385184,-0.0018871579987385,0.0248540269190218,-0.0313486002890066,-0.02356319268256,0.0163019173325052,0.0020084689601821,-0.0129210789715863
progressive,-0.0123567275465769,0.169437460193642,-0.0298947355039839,0.160526595212689,0.169903932127846,-0.0681011715073719,-0.126678152059992,0.125782390046798,-0.148821709088566,-0.143124058122295,-0.0297883655509798,0.176913013481871
progressive,0.0227836267889715,0.0046992382026323,0.0134588639241403,0.0251424600828418,-0.166119606161811,0.0525884683042289,0.0371700527635661,0.0502419206004308,-0.0708817119217962,-0.0840395788891666,-0.004330670500465,-0.0197982284014169
progressive,-0.14382268824223,-0.0204761265592808,-0.0558971972992269,0.0077890516433203,-0.134337248050824,-0.0180032221265089,-0.047248004983638,-0.170116710737549,0.0825496117413246,0.210029627210453,0.0210256608776746,-0.0551565206092179
stable,-0.0903870692959853,-0.0325254036567601,-0.0060141071833637,0.0004815562704878,-0.0529400423407774,-0.101081523549596,0.0119859760840037,0.117197420780553,-0.0267309886734755,-0.0102813691615637,-0.0481173735097171,0.0455795566893953
stable,0.0119220562436294,0.0374391080769106,0.0537479908308611,0.0080681333927152,0.0317870730427612,-0.0653542263775227,0.0114136619509495,0.053646276958944,-0.0240823785452262,0.0035773171407095,-0.122195474356235,0.0116806389813685
stable,0.033129615940219,-0.0210525232958736,-0.0137899784483278,0.0891662893294546,-0.0306856283695716,0.0512408564472258,-0.0256154313342361,0.0711376919868716,0.0221790076746656,-0.081597049175847,0.0143462788512842,-0.0251008414929041
stable,-0.109096645041433,-0.0310923010186321,-0.0125269682880651,0.0121350297435067,-0.0490459646580974,-0.0522759669480425,-0.0802253495220986,-0.0521603450773977,-0.111619749422029,-0.0780768526535446,0.0341065533878772,0.0752541602479525
stable,0.0144263683207246,0.161230947871021,0.0486573762851369,-0.0614303957744391,0.0344136272521614,-0.112537469841043,-0.146865452646213,0.133589896868725,-0.123983055943118,-0.0187092571640681,-0.0654386891924079,0.135036632637366
stable,-0.0302381398241167,-0.0531646450092697,0.0504690852397998,-0.0290755728199479,0.0752933100935224,0.0980887415478132,-0.0564186928493697,-0.081567752601316,-0.100596239007785,-0.151601016886761,0.144078524506845,0.0173758176260331
stable,-0.32831746759171,-0.0694004403039388,0.0866393317255902,0.331802318760818,0.317862914084386,-0.0893456523143656,0.303552780560177,0.313562459450168,-0.17098014459496,-0.331023788180486,0.0559059102448396,0.0523098404213983
stable,-0.281414130182314,-0.143361915375896,-0.310098378510162,-0.0373755459080548,0.0517028385061424,-0.307399033527914,0.0202599189326995,0.142620337084069,0.364144604418477,-0.0819295696809899,0.324781628688327,0.317128540716677
stable,0.0154343364958347,-0.319890701030603,0.0561064842121737,-0.0660110256865822,0.145362862338694,0.0086484261562254,-0.0277644799639758,-0.0505189367623253,0.0373946974033788,-0.152437534820414,-0.0232886667612548,0.0060640049843317
