group,ARNTL,ASCL1,ATF3,BARX2,E2F6,E2F7,EBF1,ELF1,ELK3,ESRRA,ETV6,FOXA1,FOXD2,FOXP1,GMEB2,HINFP,IRF3,KLF4,KMT2A,MAFF,MNT,MXI1,MYB,NFYB,NR2F2,RELA,RUNX3,RXRG,SPIB,SRF,TBP,TCF4,TFAP2A,TFAP4,THAP1
progressive,0.0889341006639783,0.0680054917461423,0.174971162384676,-0.0653332230657026,0.157563954251345,-0.0874855811923381,-0.424016613612194,-0.0116880536677174,-0.172398791598832,-0.42943607439402,0.15114551452356,-0.0290702873273998,-0.130391726921267,0.236433342034789,0.0105392278798649,0.359532522650556,-0.0905074925038633,-0.230963932305664,0.0086161934088942,-0.366675222114161,0.165655683713611,0.0102894831433752,-0.151195463470858,-0.187058807630777,0.0705029391110392,0.195625052092373,0.404786268902488,0.171025195548139,0.0081167039359148,0.111685846158189,-0.283335403547552,-0.0779703067320809,-0.0290453128537508,-0.0215529707590602,-0.116480945098791
progressive,0.216782132799465,0.0925226988295808,0.103151938381804,-0.327120886560329,-0.252686012991492,0.261443056940767,0.0883253570745834,-0.0016608186800349,-0.153972989990872,-0.111214458155792,-0.033880701072712,0.186404249306463,-0.0653154691802817,-0.159317806470257,-0.390262193104929,0.0253048373430772,0.147601485600193,0.113207440571834,0.143434340548469,0.160284100975005,0.246254115194266,0.0800816570809557,-0.0970220076173117,0.290552678896288,-0.286294943734744,0.0128034021879054,0.100464431790475,0.0827691636722849,-0.245016050360058,-0.156992660318208,0.001087081317841,0.0991961702529937,0.170309406461761,-0.172030618548343,0.104208822996372
progressive,-0.416826390288785,0.0507565959995208,0.0397641952758698,0.0138802760132789,-0.0073752639972483,0.130985077530564,0.143270701868762,-0.162980207633327,0.0071419003374804,0.0017550891911711,0.0980564927887293,0.067597673446105,0.032948031713482,0.0559392139435331,-0.152678174403156,-0.111484626711208,-0.0309255466621601,0.0481118078554844,0.0248483680223707,0.103098120188299,0.123070160070102,-0.10180003483084,-0.0250914551679623,-0.0078128208593132,0.032486166136858,0.028995434726163,0.0907833253926294,0.265446301243088,0.0645542223832985,0.0066848965037683,0.199112680954059,-0.120192008266298,-0.0964618411136486,-0.0264089874970687,-0.010068669570403
progressive,-0.0335017607028953,-0.0553969004846782,0.201010564217372,0.287822230475912,0.0280462827305112,-0.119434692254475,0.17545402982325,-0.102995030445076,-0.0913517955778401,-0.128441723000827,0.0976860082571853,0.2173403841884,0.0422891077725071,0.0775483378893248,-0.119581148038968,0.0183069730616914,0.104349746451641,0.277680167399735,-0.235720585142338,-0.216827788942673,0.0998828450245883,-0.151435281166311,-0.0222246652968934,-0.0511496827343658,0.132762168643386,0.167215891945489,0.0836994808380531,0.138949925538238,0.0731912783006422,0.139645590514582,0.258860599092316,0.0645137730694005,0.107754843441116,0.048586706505729,-0.14795695628459
stable,0.159853128061591,0.190599724284602,0.277002035515974,-0.246877111024218,0.0035167708292376,0.203859036727445,0.0559333548106691,-0.266982860041373,-0.200404634259596,-0.184603308119532,-0.110786328651487,-0.303452256392397,0.0240450151977308,0.280853784802345,-0.164813424674568,0.0981426522920222,-0.0614740795610813,-0.163046991729448,0.0714147916132912,0.208501455885607,-0.240668441242166,-0.176163460505887,0.0473758120634367,-0.175235982615567,0.0143044854667503,0.209954035141161,0.135977111004395,-0.104807013488733,-0.417192028738003,-0.227439307038704,-0.192222307622005,-0.260788273437699,-0.211588689774317,-0.262333399294023,-0.180400485315025
stable,-0.195047700300922,0.024867940260828,-0.243220586453464,-0.466215559205111,0.417506122746753,0.147084768615873,0.272054333322492,0.143655512313489,-0.0485461385391961,0.0829086863855373,0.199806668230762,-0.0066485581372757,0.309939450567881,0.104324042069815,-0.139526407786128,-0.0867345233487416,0.251082214847366,0.0124106418562481,0.222365109349168,-0.0250545664541551,0.234145887802937,0.0095412641338448,0.444776875246667,-0.249029326720768,-0.130498365683932,0.356829281641299,-0.173165779133327,-0.173119122584995,-0.31985396708838,0.132341299343037,-0.0496658956991584,-0.417786062036744,-0.114075260671153,0.0673020709685636,0.106983465324725
stable,0.0930887640304267,0.0862799805857734,0.228922839720169,0.0430730564895325,0.0932964896270433,0.101873248705122,-0.0256518031199584,0.168571629716509,-0.156532777361488,0.136932713289625,0.277179803876376,-0.0313019393479284,0.0586201633651884,0.0091722391217126,-0.0058393973271094,0.288567782695332,-0.118371277200845,0.063633274430201,0.113445872498848,0.0859153067606021,-0.0586524762357732,-0.0128928353633334,0.308855649298214,0.0845489339473022,-0.190461291475524,-0.0477861194705434,0.114216765268514,-0.0257210449854973,-0.0945382270823733,0.0023773040501671,-0.293160826442742,-0.0488016668317798,-0.158536175337745,-0.079794325846968,0.107117165988597
stable,0.0419843681055589,-0.159290009661324,-0.0874171359090895,0.0213275582264754,0.0506297952113947,0.0194354168337571,0.0670931556348574,-0.0848756205472727,-0.0215647120427762,0.0019359079768424,0.089357115196083,0.229131299648166,-0.148759565955535,-0.0584446750464084,-0.0559265697179604,0.0066952695434644,0.140502948969128,0.04080979512697,-0.278736142529025,0.0919658071753928,0.0769426727178775,0.117357550760192,0.0535153362809784,0.0056336754215682,-0.129951130885045,0.106646951580217,0.0602329980302739,-0.100726248792997,0.0217743845155573,0.171295285469346,-0.0536517251710398,-0.0094607069635911,-0.118298023405093,-0.168190911479141,0.088526567925261
stable,-0.272643401180577,0.364194403446304,-0.271674854143708,-0.273037035270428,0.283742846635174,-0.284830519778182,0.301591044972337,0.350484542448489,-0.402625521165907,0.0111253424341922,0.538936862964357,0.194750465953474,0.103049261206094,-0.433484362051809,-0.0135285821406472,-0.0100687456666991,0.224055488063651,-0.265350811726507,0.219544234218129,-0.0767897238963381,-0.302652821135749,-0.283675514488226,0.284302221394435,-0.263931657244678,0.45688487281423,-0.421680518752217,0.491074065276103,-0.174483489722099,-0.131245892589586,-0.199432639864326,0.27053538704151,-0.146742645179485,-0.163492811581803,0.288041745248014,-0.108062916455767
stable,-0.126785952195829,-0.213535415772207,-0.0310871558692215,-0.030847908878405,0.186208923539882,0.17242231569408,0.0469596984162049,0.464475603264883,-0.131406409705973,0.240256314059027,0.218537173173964,-0.259343738045107,0.145634129191093,0.329577682786681,-0.269474352812494,-0.0258760573504992,0.222066066288508,-0.220301619731236,0.0894559451599892,-0.0822112472193264,0.0081418741562246,0.177005390861909,0.112475991557616,-0.0444775108864835,-0.190881716329267,0.113029250223879,0.137208149233274,0.445545185116526,-0.228338823328979,-0.145073394056367,0.0711086915517474,-0.184332329955665,-0.0726862263974438,-0.371333759152627,0.261444625683215
