group,AR,BCL11A,E2F4,E2F6,EGR2,ELF1,ELK4,ETV6,FOXD2,FOXG1,FOXH1,GATA1,GATA3,GMEB1,HNF1B,IRF1,IRF4,KLF1,LHX2,MYBL2,MYC,MYOD1,NFYA,PPARG,RFX2,RXRG,SP1,SPIB,STAT1,TCF4,TFDP1,ZBTB33,ZBTB7A,ZBTB7B,ZEB1
progressive,0.0645065469196342,0.113714901560916,-0.19561255305757,-0.0164193952954959,0.407395345184604,0.0091440334953672,0.272327755052762,-0.132775352852349,-0.424063896706131,-0.0546150447461716,0.163770387370705,-0.243450548455676,0.423590499876671,-0.121937057019965,0.0120840769625425,0.11742732932879,-0.0785838736904312,-0.126920181540601,-0.264255093329332,0.17759855791547,0.299834602406674,0.21848509460729,-0.162350196882324,-0.010489477115939,0.0094430209666054,-0.201318230633698,-0.0187365481975917,-0.0358286653033735,0.140175292765493,-0.0594735911537918,-0.150515276145813,0.273523704937715,-0.244297679624184,0.164492940426197,-0.0797299923301775
progressive,-0.0652224197754953,-0.0063208425815681,-0.167347405799264,-0.141971081905615,-0.0358800770071371,0.11371319742331,-0.0295902189480275,-0.0449585420875267,0.0349815258558357,-0.333176569998053,-0.0583748403121297,0.140142995080554,-0.257791226856114,0.0020759630047307,-0.130104009803945,0.127811155142004,-0.103922088326371,-0.0066306878061548,0.295313483553561,-0.241710259700066,0.19046185955343,-0.137726202328777,-0.138407861822868,0.162730711952922,0.406702841792471,0.0558960785154363,-0.40880978931966,-0.011464273309707,0.121924095874857,0.055462295201015,-0.387120623598593,0.29602612757011,-0.0343308508842037,0.350156088305402,0.252709765172893
progressive,-0.459572937245344,0.550866558977379,-0.42737309525172,0.0947337134977636,-0.118775484764468,0.165377066862075,-0.456225164326436,-0.305900928382762,0.192771469934363,-0.533928480029171,-0.410721690617324,0.483308598651539,0.147948240359717,-0.409579852248755,-0.175342643432005,0.318033568409633,-0.13321609596185,0.285352696635209,0.423116710524632,0.483847935072437,0.226535873437259,-0.485640864255423,-0.410556488470382,-0.464422106146753,0.144887141754619,-0.10134665826211,-0.15030965928365,0.23315367708828,-0.230889435897842,-0.451769565245682,-0.257127423941537,0.0983827373905071,0.43913645989131,0.480276653366489,-0.0753516145521525
progressive,0.146168478500753,-0.0236803151640012,-0.129895103210854,-0.0725004410336985,0.039442867014307,0.237569386799401,0.0749815834545799,0.17747465787011,-0.100084906771734,0.266722810244759,-0.111870333270921,0.097676739127937,0.180576085896212,0.0527607638322738,0.0841764053672583,0.0865845730110551,-0.206409156984213,-0.374360606444764,0.487289073983414,0.111797358493836,0.243115469857842,-0.213451222972892,-0.0967280670258352,-0.0480538907103074,0.165762206148008,-0.191084453796416,0.0099610570720682,0.0001094621656271,0.0734126257472578,0.014996316690916,-0.401215324411952,0.244283066291198,-0.313426667578998,-0.0122962499387803,0.0243006007692215
stable,0.0911928874076796,0.176662593604326,-0.0971990775795244,0.212918741569732,-0.205529507607068,-0.0378261976773273,-0.281112900776931,-0.0883147962797127,-0.260395244801222,-0.237900532559218,0.350197088164773,-0.0837096504686329,-0.0963760515203455,-0.0224737115770675,-0.0391082382701187,-0.0532196850757966,0.214349786880406,0.153422857772907,-0.369888711653584,0.339949763707415,-0.0379132004320644,-0.0291549231218718,-0.0124203932624562,-0.128134057062682,-0.139260409352383,-0.16967637240211,0.23099031376344,-0.28203192987582,0.0913688929804809,-0.0355031241226828,0.181799756260464,0.329780441719821,-0.168458333835792,0.132558197142642,-0.163591179728837
stable,0.002580077644504,-0.185254330778882,-0.312593646781824,0.429660211241671,0.0270729806291968,0.003733384241356,-0.128587740669637,0.0554895039949326,0.0475709246804639,-0.10480822320877,-0.237949741472163,0.0029011011302257,0.0814805165796599,0.29163200214007,-0.0218177072703452,0.0516372221662722,-0.0291774679244835,-0.205419361585697,0.109076646592996,0.036846362305613,0.418959428384281,-0.028725657092727,-0.119599083069429,-0.0440039970613339,-0.215216522779575,0.0571302906997324,-0.342757964680933,-0.351211583138271,-0.252265010983605,-0.156730799584573,0.0090362166351293,0.137826083203184,-0.32017931285184,0.0913490163259196,-0.0189284958988499
stable,0.073352955827868,-0.119486482226465,0.236317297321486,0.248603813142531,-0.168947703215598,0.370597652992227,-0.262201941176837,0.26251709888179,0.14813802534442,-0.232540039534179,0.13681088665463,0.128524092883213,0.215132211007644,-0.225384105762887,-0.120506110095432,-0.0159525414771922,0.403049627258148,-0.058934490826257,-0.270692660522048,-0.239719146666128,-0.372488599221946,-0.250314007159115,0.0312562288559513,0.0540495463994817,0.0413644487751135,0.0436168994311029,0.070706558040687,0.215646659614258,-0.218390385516204,-0.219623208303227,0.210233362564473,-0.0485342865627998,-0.063504277548079,-0.080499620254896,-0.172173435019237
stable,-0.301560152968856,0.0358313624675177,0.0350181856412585,0.162432071045273,-0.0877502754306555,0.100824823730472,-0.088938686837191,0.127665727480803,-0.0960094818525865,-0.201552551720495,0.300511316689216,-0.123314624611939,0.0763526514815078,0.0536180884209929,0.336333576431066,-0.0742084538799288,0.0774884693619668,0.0204507903320407,0.0679022878205681,0.106366360833798,-0.227132222258954,-0.0760654099160132,0.0805419281162908,0.108452907839485,0.0538820674653382,0.0255644993290139,0.130539154549712,0.129617756429411,-0.0473675501295976,-0.0685809465897471,0.170709482918538,-0.138491902540851,0.182053501927646,0.0210566272958831,-0.069252525461185
stable,-0.0158573565988504,0.331256181697062,-0.270769027853783,0.324870597426331,0.216001182793887,0.222456059715302,0.304306670784864,0.12665630504265,0.0669100495413007,-0.0576781363886254,0.330126178470522,0.0975427313475506,-0.273546064085044,-0.0260113950260135,0.126976117276577,-0.0891316695952864,-0.0661211793642823,0.108682857495987,-0.2650443888665,-0.273231582055016,-0.147710610442805,0.16019927817763,-0.305132852389174,0.24175672803276,-0.158530924357314,-0.0901017667048631,0.392217723687331,-0.116608870693463,0.23471552868248,-0.162182114027974,0.221784454024056,-0.206220258639639,0.27360469632793,-0.163967732334063,-0.326315082682899
stable,0.190773244600495,0.288238767195864,-0.0743396536189808,0.277563538308142,0.141577662434189,0.410658680560047,0.229407406289396,0.412456853443053,0.114870622146496,-0.213117629159375,0.114460911869355,-0.1445746172392,-0.399338537347195,-0.144210430326186,0.515567273190139,0.447115307998218,-0.327730285575819,0.40332941893564,0.281584768806005,-0.099863086439378,-0.202859697776147,-0.184931079537563,-0.377532845930482,-0.481993792146662,-0.16501460773211,0.436622172567002,0.0174202740058359,-0.4155145060669,-0.53417115466327,-0.254619762788261,0.362730165361934,0.0854170055564897,0.236804952959993,-0.338564846237985,-0.417737563681756
