group,AHR,ASCL1,ATF3,CEBPD,E2F7,EBF1,FOSL2,FOXA1,FOXD2,FOXH1,FOXP1,FOXP2,GLIS1,GTF2B,HINFP,HOXC6,IRF2,IRF3,KLF4,MAFF,MECOM,MXI1,MYBL2,NFYB,NR2F2,NRF1,RUNX1,RXRA,STAT5A,TBP,TCF12,TCF21,TCF3,TCF4,TFAP2A,TFAP2C,THAP1
progressive,0.0516587089592979,-0.175823414856786,-0.0063122298868805,-0.106993505822067,-0.114152203318299,0.0190576136048346,0.0830263800829915,-0.0556491991176707,-0.251570173499353,-0.0566407754600542,0.367100909781453,0.0231932124962391,-0.17611363232285,0.0575114278582446,-0.0701358876320056,-0.323979431282189,0.138457916101115,0.0894837187029037,-0.26477506820524,0.0509573500829779,0.209633749653181,0.218969078144889,0.0787940420362325,-0.0853964893891765,0.0255149522247469,-0.0042081532579203,0.0103027200452532,0.0545125140422554,0.474505557013776,-0.131468512126753,0.0132532642835652,0.175484827813046,0.0965456770437815,-0.156354659841695,-0.152509278416354,-0.179547872337934,0.0805353468326133
progressive,-0.0613129375831209,0.037136938545761,0.0015091504907042,0.0499203309376086,0.0256555583419719,-0.0706933435743609,-0.415963302898615,0.208765817880752,0.0507488841481913,-0.496185008394677,0.0630292263764708,0.114961757968352,-0.019618956379155,0.475826272363216,-0.0672311748015689,-0.135734770605104,0.0608690697917373,0.0307452423498372,0.18601019577582,0.279340796710744,-0.144641717618868,0.1742624948972,-0.0011244650715051,0.216489117450827,-0.332101881513208,0.457686875288673,-0.118039241321945,0.532079117124564,0.332634522862868,0.0761973041875176,0.105758899093665,-0.49556359348674,0.243062002561658,0.0580874982990668,0.104013019114223,-0.470026399889137,0.0001183647443689
progressive,-0.111463514775189,-0.121380964832556,0.102590511148984,0.10643292416638,0.135519319962647,0.303962657700283,-0.0436176160977141,0.0435026311695128,0.144837890185632,-0.0163805612300181,-0.155622518243184,-0.119474131439883,0.146505171644552,0.0065637229848273,-0.109987874863271,-0.0712379540594147,-0.0078477213497425,-0.0337959868138484,0.0935354480531276,0.0150678166330526,0.0194851542914547,-0.236768340282616,0.0262740560940097,0.365383773514507,0.0157625172409358,-0.189241236626056,-0.298175082980815,0.235934699553156,0.156360338199143,0.157026292574976,-0.102384496485957,-0.0058115299128435,0.0502771598560426,0.0567258979126687,-0.201836877302779,-0.0079962435486692,-0.038433712251303
progressive,0.465052586177382,0.0206086387488264,0.0247376103083452,-0.175517510328317,-0.135495461439999,0.0539663826638863,0.072039687998973,0.131040518441571,0.0716050594137605,-0.0843179455312263,-0.101413336549585,-0.0310759438426942,-0.170446843500838,0.0234699436014754,-0.0189425625055118,0.310650781280639,-0.100906269866837,0.149005166630354,-0.111627108302079,-0.0382110964499329,-0.0341545629879495,-0.0366898964016891,0.10702728910858,0.0084752574116438,0.0374142773770433,-0.134082918538058,0.223942378530744,-0.192142053712696,0.064578563952825,0.306811562111262,0.0436801728138569,-0.200544873026804,-0.207897339926649,-0.0652305068306437,-0.154619119189349,0.0346254106219297,-0.287651685313144
stable,0.285275859444527,0.196930934795926,0.262575549453647,-0.234944184043757,0.327305712732779,0.120929649169663,-0.0058096269449937,-0.272625787086416,0.0633279398502452,0.0410998862977252,0.273440356713155,-0.184912153898538,-0.0851118590110431,0.316674609378086,0.132757394095066,-0.293405070374235,-0.214721523334209,-0.081991281560035,-0.0449632736702599,0.149696563428257,0.0549068414709553,-0.196721474034764,0.195460830564811,-0.28014407079607,0.0733277517442155,-0.0065078294821988,0.0447237514109687,-0.235848938164885,0.177618846561983,-0.112818863029131,-0.20754943171592,-0.145771113607971,0.0937123566533649,-0.228523629878709,-0.266261477014643,-0.114155145107281,-0.0660586875513139
stable,-0.172504532700422,0.0074481261474064,-0.11137971183679,0.0072200058978687,0.137145894022076,0.075747328858999,-0.197951346536354,0.133336285854796,-0.0357692551275141,-0.0819521996464249,-0.0909515434906878,0.476714291471444,-0.0335907067444288,0.0377196832610615,-0.445028388810656,-0.100361503784119,-0.464589700208515,0.257114333253961,0.107148081207866,0.195966700365376,0.634048827577608,-0.347871974532542,-0.0273173998821416,-0.0298381286395334,-0.263957940740092,-0.247635936885669,-0.203620134737366,0.102870826529034,0.171204247278057,0.0724167732157483,0.0511559659588331,-0.104285172076167,-0.178618155388033,-0.381200342990002,0.0687782552356217,-0.0173713570022972,0.115793838665345
stable,-0.0494132479472363,-0.140808056564519,0.078356522407028,-0.0207507563096175,0.0272902788131286,0.0036592341986405,0.0713188368319198,-0.195968294855908,-0.0436572000926916,0.133466944391257,-0.0364519505753189,-0.10550640980907,0.042629172663123,0.0668036679011715,0.174148752319955,-0.0864539366980791,-0.0435756824991575,0.0297041053327764,0.113309455012359,-0.0334629721457363,-0.124586055451239,-0.166123798112045,-0.16334767117669,0.106874093878364,0.0094696271155413,0.103554516319449,0.0760649722776813,-0.240956948976322,0.163012543292161,0.0360987076700046,0.0816534561899615,0.0580812853930259,0.187997685710354,-0.0135409780370485,-0.203381867112312,-0.0084551859515617,-0.117752163859966
stable,-0.078281875425862,-0.0650169849049439,-0.0299576289772041,-0.0289194635832273,-0.0096668515373573,0.0238687939471494,-0.0420952540847974,0.0127973657002941,0.169615402000495,-0.019680091913978,0.120225959814912,0.110583135249064,-0.0853407994306162,-0.0432665689458898,0.0171892958674841,-0.18888703539881,0.0693608611291147,0.13769657147382,0.109554981093216,-0.190121421060115,0.166631051914241,-0.107371530057282,-0.0928772594941235,-0.0746297757564047,-0.0400529615064824,-0.106206221939067,-0.262806013248056,0.0235614489365893,0.0442706961302279,0.207813281081674,0.0125821240805207,0.157477776892901,0.131539660024489,-0.165765079816083,0.0725484393493867,-0.045205745771476,-0.122177150126253
stable,-0.171506899072701,0.0032409710970159,-0.131984350435935,-0.20676072753616,-0.0685183010416228,0.15626873826334,0.0412829505199174,0.19838101105769,0.160166044166502,0.160359383101646,-0.222065030612807,0.436579667021576,-0.0688083094443385,0.136431145944243,0.176325108851153,0.125370123707331,0.0295655934768597,-0.12741035825977,-0.0800016162158221,-0.0178685879006593,0.343715923751976,-0.227412378529547,0.0661575308861826,-0.0878114916222891,0.111414105309977,0.049398097929243,0.0487672024566685,0.168204873575113,-0.12951164721278,-0.0213486887332479,-0.128168450400202,-0.0238163040896886,-0.0366224646096087,-0.17376082402714,-0.106372029396095,-0.14264851906913,-0.240060815181324
stable,0.0867668723838857,0.117966070702796,-0.261570942816108,0.0070630106943462,0.0950421367123078,0.0722198287749752,-0.186244260416076,0.0536295200512128,-0.154094132599776,-0.0875798808091341,0.0646486878148486,-0.323359583134993,-0.0614184311252453,0.0879137949837898,-0.170332524093355,-0.0786730831503851,-0.0849085674118891,-0.0281867117432133,0.0271123791812777,-0.18207033323288,0.0465084373264917,0.160590940997967,-0.244047707650484,0.0085075524499216,-0.0356634856539806,-0.216601414294551,-0.137870259113791,0.184959416744031,0.0451437446126817,-0.0078760191195947,-0.237398460172559,-0.0671385261171721,0.0797401567085237,0.042196589071156,0.111454744297012,0.147945756383834,-0.082868787344971
