group,AHR,ASCL1,ATF3,CDX2,CEBPD,E2F2,E2F7,EBF1,ESR1,FOSL2,FOXA1,FOXD2,FOXP1,GLIS1,HINFP,HNF4G,HOXA4,HOXA6,HOXC6,IRF3,KLF4,MAFF,MXI1,MYBL2,NFYB,NR2F2,RUNX1,RXRG,SETDB1,SIX5,SP2,SREBF1,STAT1,TBP,TCF12,TCF3,TEAD4,TFAP2A,USF1,ZBTB7A,ZNF76
progressive,0.138675170845186,-0.0966918292372066,0.351098347040784,0.170560337864335,-0.226112348430576,-0.171620766699439,-0.111730638171408,-0.129468720504056,0.423111105206481,-0.04441750779765,-0.0650476687714907,-0.179212473132569,0.170584438519678,-0.151159310313001,0.198878607892679,0.121370900308717,0.0326081866794468,-0.0805925914679011,-0.269373024771749,-0.106982809068784,-0.208711675272734,0.0560822249837936,0.114887824021377,0.0767605872683208,-0.162414316358309,-0.0160269358032758,-0.100138222951295,0.138434164291753,0.119442847881255,0.338228597087477,-0.272650713898434,-0.457502740381329,-0.146025870724884,0.0804479875358414,0.221485022604668,-0.186852380876387,0.0204132550757513,0.129324116571997,0.0205337583524676,-0.067819244135967,-0.110718410646991
progressive,0.0428870869432938,0.317270637038461,-0.202944157832141,-0.006742330824988,-0.107760035272418,-0.158825862651241,-0.133439521371069,0.173658990466215,-0.208689796274305,-0.308710808338911,0.0591859388506563,-0.0041919709042317,-0.0236274723693061,-0.144842854809853,-0.0277021853461467,0.141970035588771,0.15067643669756,-0.116554379826751,-0.269751861963219,0.135227704763783,0.283822813250151,0.336794081949079,-0.135432906136717,0.0613552105073916,0.239792461514794,-0.16187456876341,0.0670715344677076,-0.0318941562503784,0.185502041132716,0.0629381925271714,-0.114942083325123,-0.172515725674152,-0.0178818339271423,0.213409427851797,0.0966498466521118,0.233695049290457,-0.0739897521837823,0.259550422280194,0.0157418767522548,-0.0992002065728682,-0.13921447429508
progressive,-0.0250642506092618,-0.004029207334784,0.0030350494158812,-0.299996711239689,-0.0076951646607382,-0.0185161912395653,0.0418884615445405,0.277097621867268,-0.177036583250774,0.0625028995456363,0.0690127220722981,0.0835761796631488,-0.13053580251517,0.0746574360252993,-0.0934508443768663,-0.0386478890973477,0.100644150472774,-0.113582542234649,-0.017894842540251,-0.001572490169803,-0.231677031947395,-0.0814110184263075,-0.171014280472805,0.146399312769201,0.208400353750006,0.0166473655362431,-0.135587845401133,0.0606770902907282,0.0990429826706948,0.120608562142279,-0.0758045413163411,-0.156426924855057,-0.314125224741019,0.139234684305569,-0.136099263176722,0.15699091828982,-0.0307280829837804,-0.339648317466698,0.0601991297527942,0.0921651305298237,0.0414726358765379
progressive,0.527913977016757,-0.0680037032680039,0.0094309067762747,-0.0908763622311529,-0.0401445878484337,0.063848322887653,-0.0451310443048549,-0.0770010051350246,-0.030930483526786,0.205962331895655,0.0684011744348201,0.101066077598622,0.170226060624637,-0.23190635896602,0.160578351393735,0.0672810284192472,0.156061633589006,0.29362279104984,0.0601626811589939,-0.121842979500377,-0.273893767678783,-0.0285095227834512,0.0037579092135347,0.144426568524023,0.125781557426101,-0.0188256798101116,0.0188979472949873,-0.0098645116855287,-0.148329012707309,0.286359908819836,-0.288564067108544,-0.409828906729915,0.245131308698267,0.151870119466217,0.307895619312785,-0.180054438567728,-0.0196928896286196,0.042926886016147,0.130768013882522,-0.502295153628333,-0.576116389428828
stable,0.261524533350815,0.424620981312798,0.378868346744813,-0.238872436836146,-0.335677821053882,-0.392630862930874,0.134967372569055,0.0583669857800959,0.503482905171658,-0.0711195420353676,-0.386875541028627,-0.0043143168718099,0.318328739027479,-0.14939481931242,0.134301475542918,-0.130018085673773,-0.167076366617475,-0.283503967557513,-0.47860793034042,0.034677868207306,-0.249122805282028,0.203789618187691,-0.273858608601271,0.391592875403919,-0.408429728948678,0.160428027513267,-0.0093322230542556,-0.219074322786184,0.18474921570303,0.121057953120335,0.117489750187825,-0.192773806425843,0.534621564511453,-0.275779948641853,-0.179008390833282,0.212162137690489,0.181811150449826,-0.402257858979283,0.342904108520397,-0.0172659657067395,-0.0094172723115852
stable,-0.150935983831877,0.302313698368349,-0.164822184955836,0.209391680406717,-0.228669261412409,0.13530551274618,0.0185753424496682,0.0642661543045226,0.0502440360406878,-0.319779050842366,-0.004281389906082,0.129914132864447,-0.100102973518395,-0.0746185097917157,-0.309188840360391,-0.276036384659063,0.419462946512811,0.180362044614949,-0.102164383473175,0.434934847601986,-0.196536184260147,-0.0708015034468754,-0.276512094648627,-0.0685135649256358,-0.0024465085177611,0.017918409606936,-0.0445694954508806,0.122699198022717,-0.0137729368407296,0.33642890047713,-0.184994553799043,-0.302562879791455,-0.327922752806581,-0.216187537400498,0.0468914132570891,-0.047287838248393,-0.527222585577532,0.161911292876833,0.211000033228578,-0.125655395815011,-0.081686201065248
stable,0.0458540357746788,-0.0090180206398348,-0.0218466635349983,-0.0301414343992072,-0.035086654740049,-0.10919715518621,-0.0890908114238115,0.130157837746067,0.0388701551287917,0.16131182183115,-0.140482228293126,-0.0553195672131821,0.0050853499848692,-0.206388364097031,0.159372608370253,0.0298837766666405,0.110734060959415,0.109780275317808,-0.142900594730375,0.1339594193792,0.146684095119117,-0.0054695764281704,-0.0311539840850834,-0.0913102841727633,0.178131899425549,-0.0549534220142715,-0.0157035607532762,0.156217431224086,-0.275160377136854,0.181648701459529,-0.0503291437613637,-0.116664709119547,-0.0275648570735401,-0.0262991699661949,0.20552046436628,0.177996290092619,0.0794354269192065,-0.0590307426243622,-0.0868351761860784,-0.152298321502413,-0.157618727664361
stable,-0.131977808326222,-0.142724374671072,0.146062542425709,-0.0759819641623897,-0.216480228756273,0.122967647736024,-0.147943565546488,0.154878217592497,0.068085855971932,-0.0139241589550309,-0.0364834707094787,0.221890912971662,0.10940553087688,-0.140915161552784,0.0988594341223137,-0.292980820714424,0.0834142994200998,-0.247402413717363,-0.175257297882458,0.0527165207167907,0.19403561353358,-0.214784714808594,-0.0326047332138755,0.0092315747645416,-0.062190454239736,-0.0061587050746591,-0.406044672273708,0.0293822593521389,-0.242342800625259,-0.217503521291755,-0.0654318779632408,-0.125410185181828,0.165291665314685,0.399559830104407,-0.0401547570867775,-0.0290611090632255,-0.0504983895287678,0.066740415786391,-0.157391567679645,0.184407089033053,0.179830198735464
stable,-0.120491373734172,-0.0656182196881257,-0.137683478761499,0.218926288018578,-0.0005562151626488,-0.0630798559458556,0.0070588760641614,0.17480325611609,-0.109134471413179,0.134543391343273,0.0536241981808256,0.0742041591988322,-0.0375799189891462,-0.0739311081189864,0.0809697581772333,0.0085556005018346,-0.101903674298744,-0.0116097273949246,0.285302982928498,-0.125886660811865,-0.107551786450369,-0.101832883278043,-0.0631910989783854,0.0894545676583673,-0.0244582976521125,0.0660834178241593,0.0221221939689874,-0.0969129073393402,0.281753318890503,-0.217414394076469,-0.0045002863159768,-0.036164098575131,-0.0649001964781609,-0.0318509028138633,-0.0435971557487108,0.0463883445649122,0.114423571959821,0.0506307493054791,-0.0011933343489556,0.121093097410128,-0.116668658616331
stable,0.199918268650421,0.0652030408095647,-0.279434349014644,-0.152474133481913,0.0287131325683419,-0.196334567920567,0.112415033420674,0.0307879066750993,-0.0487644459637177,-0.225511985603708,-0.0664217892359117,-0.186976321075403,0.0568096364685916,-0.100742615456434,-0.181361372968304,0.0919429616400115,0.14430561724342,0.281436578572215,-0.0082700786073546,0.0563816236283864,-0.129433984660019,-0.254406479545018,0.276351205674183,-0.130464117258479,-0.0566572929152983,-0.145132625104156,-0.123797273188164,0.41255359677338,-0.0791315942535305,0.085051229467216,-0.323185966629518,0.204009781224586,-0.138444017669085,0.0022996622092381,0.0786818180485691,-0.0071166202752762,-0.0710791492937378,0.101917837153268,0.15066051975223,-0.115316815388167,0.168143756106374
