group,AHR,BHLHE40,CDX2,CEBPD,DUX4,E2F7,ETV7,FOSL2,FOXA1,FOXD2,FOXG1,FOXP1,GATA3,GLIS1,GMEB2,HOXA4,HOXC6,JUNB,JUND,KLF4,MAFF,MEIS1,MYBL2,NFYB,NR2F2,NRF1,PRDM14,RUNX1,SETDB1,SIX5,SP2,SREBF1,TCF12,TCF3,TCF7L2,TEAD4,TFAP2A,YY1,ZBTB7A
progressive,0.168257260311365,-0.408769866097055,-0.128792493305307,-0.137449592930411,-0.0667418853778911,-0.194325286556787,0.34357561864097,-0.0078590988216719,0.0563195112482277,-0.220973677022887,-0.0058520058918295,0.116435571773386,0.3040141242648,-0.0676124317089071,-0.0168063805571139,0.0177736542582427,-0.312864678630129,-0.153941609534658,0.455731004286861,0.0142431052491224,0.21183294054722,0.232073142743341,0.0310736676487645,-0.227672047403205,0.037022400910707,0.125842308516864,0.0179671089984685,-0.159140705678225,-0.203901296197963,0.170240171398679,-0.0934386395290475,-0.347855804768465,0.0156698339582875,-0.286047015266331,0.201676566685367,0.331871606857311,0.139045594537273,0.276833733263079,-0.254441347081946
progressive,-0.204276845986684,0.244080574245522,-0.331090642955984,-0.226073426332114,-0.0224134646948289,0.0749661361745783,-0.172051982591891,-0.137917715258482,-0.251659439109566,-0.148962882657244,-0.257945784384394,0.0700016859341772,-0.183949037901728,-0.377680099058211,-0.563156660110831,0.328064972099409,-0.127724435770794,0.0840725241895153,-0.0813406077850342,-0.13803521703932,-0.0209740678795646,-0.0956758250472577,-0.308530301035108,0.0380705769914787,0.123876252448353,0.269666587022974,0.0183890287011309,-0.211591331843843,-0.234445428216814,-0.273044763222063,0.032518617846888,0.230039111435393,0.0860113035733407,-0.0414487531905682,0.0393630965806955,-0.362727997446588,0.193026050471455,0.541624458772286,-0.142441533820741
progressive,0.094304190055029,0.0467669163122357,-0.176210888789718,-0.149774709883937,0.0750883177499402,0.121644701596682,-0.263591431627251,0.104964788535043,-0.0443601474453384,0.0802511479833044,-0.435519898675671,-0.152143200120745,0.0737102870667067,0.166459407774337,-0.150765169437511,0.0356517590999047,0.0463075727511579,-0.0033541649616203,0.0434223210081378,-0.136042251339215,-0.0385896439592982,-0.215063698330884,0.217369985793795,0.148329691598047,0.0889069032123646,-0.204565784028751,0.0455228608343166,-0.117209165335024,0.0500397391849152,-0.0101103431724733,-0.0648296448858688,0.0689158886479569,-0.288735706767501,0.0724279529586978,-0.201584835710507,0.0112969807052577,-0.164540691441085,0.103524555077914,0.203034638825158
progressive,0.515980968111955,-0.483479083979903,-0.19237210841674,0.268258042558206,0.551447428994651,-0.0763559280165674,-0.458171721474412,0.152603395908111,0.0747651795162222,0.354845375701993,0.58366008612664,0.0616776577633826,0.498844268358237,-0.347795467575463,-0.107628597398353,-0.109942413398855,-0.125777591652291,-0.458280181599436,0.15932792365957,-0.491432826481629,-0.124512223527016,0.249494440929134,0.134924395529275,0.139841254530342,-0.254049766180123,-0.46710160510135,-0.276645625560025,-0.0249458287554126,0.0349241602575777,0.165401690660888,-0.280224809685802,-0.307737528066772,0.272921827934217,-0.454773304223675,0.0738613451410261,-0.121909180526451,0.0161967120035143,-0.0701013941402103,-0.644253142639787
stable,-0.0197129500649199,-0.018914143668887,-0.0815316355688498,-0.137872236869608,0.176193590609794,-0.0463123295099781,-0.0778326669476086,-0.0038096173808375,-0.17646244768355,-0.0302498179085817,-0.0187326408790229,0.0380874383799864,0.0516098815264396,-0.123550987327122,-0.0238380134709224,-0.240995910210207,-0.169884670106496,-0.0776831940618381,-0.121702958921233,-0.107695214197603,0.0610004670448099,-0.278862051071,0.148011157419985,-0.209470719756804,0.116990680606847,0.107946600414581,0.0572122029333681,0.070687086525258,-0.0008094830307308,0.041694199701564,0.0815209589341519,-0.229586470130781,0.0337197241853955,0.124137231632352,0.212576649850736,0.0358560217281276,-0.327597006054245,-0.133556935245353,0.0278650459583351
stable,-0.265079709620325,0.136182743190509,0.145284289860408,-0.1879662312887,0.163566823133733,0.0343180512840082,-0.0273954285051573,-0.362495765249269,0.110398810479772,0.0354188617914648,-0.134673384453481,0.0296197466439356,-0.057162706454216,-0.0667862869730119,0.0312652881241543,0.218925108240675,0.0473121546967692,-0.15386380268141,0.0308680884565153,-0.0576960888650455,-0.0849666831889449,-0.0076035364948034,-0.100639047217786,-0.0231510663423865,0.0606013207197763,-0.22167146022835,0.0284394962029512,-0.308226942087851,0.0481292511559123,0.126161963004074,-0.0637221752512255,-0.298750892874178,0.0064232860538189,-0.0624851820005784,0.296810288783714,-0.456302978183664,0.0942838525355622,-0.260154433741602,-0.0768411128452445
stable,0.113771270696421,-0.129719455669198,-0.183091506515593,-0.15651421871721,0.0045216728985316,0.0152912284895233,-0.0688082628356713,0.175615794809604,-0.229527003045704,0.0444872807521865,0.14285858533427,0.0376141567170437,-0.187445542242536,-0.164954976843427,0.0106426950287082,0.110019822640324,-0.0703849583954799,-0.161054014553211,0.200657163657484,0.0748613239503389,0.0013184437008744,-0.247568387296158,-0.0001268605622834,-0.0108329858721334,0.112117552652369,0.125469626832702,-0.0894095120036306,0.141363442993072,-0.320001237625642,0.290646609660125,-0.119674817576969,-0.117780970611451,0.195193098010561,0.0426885792083818,0.153061799129353,0.114577741413794,0.0206556179803665,0.115846347036629,-0.0844483578714741
stable,0.0147380460686561,-0.213456317055671,-0.0386455213554527,-0.210906865945537,-0.0495159171707896,-0.116985926538189,-0.0831994531237281,0.0505742741780932,-0.0458161649129632,0.258422998062866,-0.054992589880916,0.0722151265257353,0.0011123242201406,-0.0442181357772895,0.0483666154159272,0.186247847250343,-0.129282455922385,-0.112052923527754,0.130793537881822,0.0859098064795425,-0.175993077418481,0.0708909310255679,-0.0017689253096576,0.0300027721588882,0.0280919330673258,-0.0836961513603946,0.0112681541618022,-0.319735748202695,-0.0600085424962673,-0.206432584244216,-0.0460190416575172,-0.0845706200869203,0.0851672576066184,0.139496250648205,0.134742138954397,-0.0454943604216018,0.14947218988041,0.0816833742001401,0.0717164295034081
stable,0.0933807738808384,-0.149215076138677,0.198904301343286,0.235998405838298,0.246631574734374,-0.12020766940354,-0.0744016856122204,0.066152338997339,0.081878450165819,0.176494338789366,-0.111582197311455,0.045541679401933,-0.001036886450669,-0.0399048800206,-0.0898228301775624,0.0556055773054851,-0.157560995511219,0.107068691585013,-0.0677584964405322,-0.116522656282289,-0.110855360240643,-0.0871442068466675,0.022542114748613,-0.0727243692949617,0.0561850138514472,-0.0506244561208987,0.158663958059234,-0.187396894851548,0.199549813986595,-0.0294699394165633,0.202690969998915,-0.267603111476827,-0.273743105753337,0.290892394403128,0.0628536169067302,-0.0608255889958629,0.191630847858446,-0.0422378745346052,0.0730547497816945
stable,0.0528969312420919,-0.0042015152202733,-0.247634980984519,0.0697175302381344,0.0538709849436778,-0.0495749719762357,0.109486543681241,-0.221982477156933,-0.002049874207815,-0.199499282388239,-0.0722180860093697,-0.0756854264247164,-0.0911176354431252,-0.0668171763058003,0.0155048995931541,0.096802038388201,-0.0794507981965185,-0.255398334367308,0.194367327811227,-0.0592500874748236,-0.14708937799694,0.109551965198511,-0.119946717387077,-0.0412300939954852,-0.014290966994909,-0.232297269713279,0.12051370387009,-0.172385698008274,-0.0080977300266168,0.110300678118387,-0.113019305613858,-0.170684738559236,0.0540890566679135,0.0643529658219376,0.16644687805159,0.0726324222854174,0.108592449611875,0.0498221199303694,-0.266679911567765
