group,ASCL1,ASCL2,ATF2,ATF3,BHLHE40,CEBPA,CEBPB,CEBPD,CLOCK,CTCFL,E2F1,ELK4,EPAS1,ESR1,ESRRA,ETV1,ETV7,FOXA1,FOXD2,FOXG1,GATA1,GATA2,GLI2,GTF2B,HNF1B,JUND,KLF1,MAF,MEIS1,MYB,NFYA,NKX2-1,NR2C2,NRF1,PBX1,POU2F1,PPARG,PRDM1,RFX5,RUNX2,SETDB1,SOX17,SPIB,STAT2,TCF21,TCF4,TCF7L2,TEAD4,VDR,YY1,ZKSCAN1,ZNF76
progressive,-0.0660762993468892,-0.118405690438851,-0.0292659777950207,0.244735473481371,0.0913422559553932,-0.151697006010176,0.0844561435330354,-0.0663800984243462,-0.0112405658659076,0.0547597837116174,-0.18131741606223,0.0737978592322537,0.0168608487988614,0.333900502714989,-0.17050723222272,0.0681269431197237,0.0856713398428633,-0.192482032158774,-0.0218988501666893,-0.0511395113719219,-0.220785979541847,-0.144937476536759,-0.352761362107109,-0.0805067555260949,-0.0659243998081608,0.0317216870044645,0.257596301093716,0.179798420674945,-0.1680008898337,-0.206279573593277,0.145519758101885,0.172988258021952,-0.107949938856374,-0.0046835691107948,-0.262254553614722,0.0515192602187431,0.37820453484413,-0.356862649652778,0.123899390422864,0.001265829489404,0.20412766346129,0.0387850155553388,-0.152785619371064,-0.119570253569103,-0.0037468552886358,-0.208001101698867,0.154329931348137,-0.199621310479012,0.163950235467607,-0.128557642943871,-0.118279107489911,-0.0657218670898561
progressive,0.098778554810163,0.0467610568603017,0.287645825403818,-0.36114484850003,0.0466395206501385,-0.116857066071943,-0.157875537002032,-0.193971791420511,0.0620746193408683,-0.10883567620117,0.260360946222174,0.141893525365568,-0.252430708509023,-0.0217245975666769,-0.0255529881868185,-0.0353670371574991,-0.11637092123129,-0.0343339793711117,-0.34534514117881,-0.0425984416622112,-0.241735522014659,0.128372621984909,-0.237572906816569,0.0077783174504465,0.224203923698613,0.0963478306068984,0.101148510908346,0.104369220477671,-0.0508629039533106,0.067634900955836,-0.270235763297936,-0.0404107898792731,0.0614669382900522,0.263368967423713,-0.153834458014105,0.014158968484016,0.0102698097587927,0.172581418431783,0.0463052960721896,-0.144324249568832,0.0362177906286417,-0.105523814474222,0.0291383063866337,0.223201249964767,-0.319670616781829,-0.0969555116577145,0.0991431634406526,-0.173644860270711,-0.0235780247716661,0.232559538147335,-0.132778309603326,-6.07681050816136e-05
progressive,-0.0137216703038344,0.06159560676861,-0.30706657625118,-0.0717063112030143,0.0326530927448053,-0.0540847977601954,0.0439890352535266,-0.0371506129932128,-0.0650422114329488,-0.0446813445719415,-0.285560161597112,-0.397943380738934,-0.197741471652572,-0.101545340890953,0.28641185147804,0.408532226860877,-0.357779478985715,0.005140023141037,0.0559575193697205,-0.179223442545618,0.172803394261901,-0.0465042597556814,0.0397604697043595,-0.03577595564154,0.266046003974454,-0.155874190137496,-0.0987213165489302,-0.180015364715604,-0.0247786968281584,0.0682796291089896,-0.0456475892321752,0.205835015842674,0.117777255054364,-0.1992655482816,-0.0152955533586481,0.442823951014017,0.0208639117614383,0.0028937533381226,0.0128002514268075,0.224880993062951,-0.044571770435214,-0.305014551508828,0.206138835039964,0.128196759328637,0.11714969408947,0.0233841169061716,-0.187172548100943,-0.172444787996247,-0.0640709861301366,0.0813936610182441,0.138979850511142,0.0304317261547835
progressive,-0.118029197011776,0.38595098642634,0.362913601965232,0.0709446726018184,-0.178726721330569,-0.399788376443563,-0.327198176380237,-0.217060031513418,-0.100863353720139,0.0385577002912361,-0.0027300796520467,0.225250270469558,-0.434120063026836,-0.386998140265481,-0.286882753573299,-0.0308536399032684,-0.142599913880197,0.111671477274133,-0.382435541394937,0.245744567035608,0.319082734126892,0.0637641891334214,-0.164365754393775,0.334116871388849,-0.0525446837140511,0.375928228251702,-0.390887568810863,-0.0079658488477529,0.256552690589602,-0.154193402813546,0.0825007631837699,-0.148359259995474,-0.374245302438797,-0.247951069768084,-0.247203102740126,-0.0787983263953777,-0.0937576669545381,0.213768976590403,-0.35191848665425,-0.403902195097332,-0.175173877947769,-0.171396644456581,0.175248674650565,-0.271848616311343,-0.479035483055715,0.289687629928142,0.283703893704478,0.0016829258129055,-0.339427437287351,0.263770572409397,0.175211276299167,-0.396310329763558
stable,0.33090123677119,0.0825691059106425,0.329543567786978,0.291379003390719,0.357300355908628,-0.0360312301740718,0.383543526581664,-0.361820822834286,-0.369817003901206,-0.376600252467215,0.401651895330535,0.121009892750386,0.208901631870902,0.360730202854477,-0.350838177710506,0.219495934740189,-0.114927902638684,-0.395462881762869,0.107252791939652,0.402170704274201,0.403088048182452,-0.388484952434109,0.219410315975419,0.0876990968997826,0.36644423613187,-0.129665542160237,0.145100363052061,-0.357605117940369,0.0445890295670423,0.0412356279468812,0.356524690670652,-0.161033607467367,0.132239201458385,-0.0533924732732222,-0.360527367923653,-0.117318093155182,-0.229847651109294,-0.028286809046417,0.338885186585999,0.292770308318233,0.365148742679218,-0.0814642161367049,0.0390024051657952,-0.467772005695232,-0.297297910140955,-0.357742719526607,0.327750670081853,0.236607456442093,0.370601842578265,-0.401765034412552,0.355342336300018,0.113148255456677
stable,0.143219760406833,-0.227776857609553,0.0735755031478564,0.0918899301032338,0.0890297721661151,0.0350634176735665,0.0651127313092211,-0.140959882530592,0.0020480143253442,-0.244596469511375,-0.0686084798990329,-0.108921405555953,-0.1828382444247,0.0714921782306958,-0.0534602360098486,-0.100081987404611,0.0509531839908927,0.0803198261847659,0.0290488468675267,0.0020244739308,-0.107250037543316,0.282390572952067,-0.0627704620520745,-0.0461627137011506,0.226482135909623,-0.0319913961855501,0.0105578669530679,0.19334903058868,0.0972218294674922,-0.035004566687206,0.0261769187331359,-0.0195973784580356,0.121515516637093,-0.162699436892148,-0.0048493212761025,0.0716805013870493,0.0350634176735665,0.0490346418355414,0.100435093322774,0.137558295518957,-0.134839379949103,0.15129411573549,-0.0715392590197842,0.147833677737494,-0.0087687969677096,-0.233085216579267,0.224422351387006,-0.379482930249566,0.140818640163326,-0.05464902593433,-0.144361469542227,0.130555028142061
stable,0.0287842367484339,0.114487537984154,0.137305621457511,-0.227395937513354,-0.19892005324429,-0.191748522095313,0.103456928835793,-0.255273804852732,-0.27596145301408,-0.328535550746611,-0.252676168814405,0.164515391758254,-0.0800455004400126,-0.0940802102585965,0.0527282739722163,-0.0656650620839536,-0.0680571298027003,0.022691939277251,0.024696230393154,0.148607207027136,0.112469230846461,-0.0699025726716552,-0.0380955472239458,0.390294814758549,0.141800092444687,0.243612474723842,0.130194826402955,0.217598738282472,-0.367308539023718,-0.004592583139703,0.0723320164485073,0.0853108526256132,-0.0011072657213729,0.247915393413228,-0.170173192553961,-0.0599138211429827,-0.03577823162141,0.0893381228864718,-0.0825964164057073,-0.0931831848640666,-0.165431105181837,-0.11570225987258,-0.042323713797121,-0.0108343848433076,-0.175830993349669,-0.136226387779717,0.347686108518374,-0.116178804613424,-0.18327350091991,0.0564798958045475,0.0454399426416601,-0.145019105449016
stable,-0.117366435924037,0.106256433101222,0.0467697628661624,0.0897131167840813,-0.114486488553098,-0.0850068105892453,0.0454696782819536,-0.0900709000616556,0.074423082006118,-0.0752832179670306,0.103631302308787,-0.0232371918243151,-0.0763784092207681,0.008160370918162,-0.0193088562446696,-0.0819427712411819,-0.191550302366661,0.0753383415534011,0.106368760409298,-0.0676293600028763,0.0671238871165359,-0.0242554180706674,0.12526574985769,0.0574023746296559,-0.0878087528851322,0.0381673631893694,-0.093134939409719,0.122132025975913,0.108656909277505,-0.067855054686695,0.178196873585335,0.0521229911501007,0.0658279628029966,-0.132341330198788,-0.0934105573415712,-0.0661763854715645,-0.001224159644491,0.0113783402809957,-0.0241524513715981,0.028269039199037,-0.248679139199799,-0.098490247828992,-0.143236039014458,-0.0508145860245529,0.112697572165226,-0.0872325553974109,0.239699194959752,0.081656752632656,-0.0882226998167443,0.14701564491767,0.199565063811391,0.157528648899416
stable,0.104803916402161,-0.188957390702161,0.0875066469624977,0.0041077693630904,0.0515091959074203,0.089855462044627,-0.0797428034444186,0.0879158296804252,0.0300244461855901,-0.0019555745480172,-0.0869592986515038,0.182835592117064,-0.0365873118562456,-0.0759485636963635,0.112371139653184,-0.11786587900821,-0.135019668793535,0.24364439525011,0.194558411282624,-0.183382940428058,0.037570413191526,-0.158773522678418,0.151317894714102,0.0438303773696897,0.156477848209006,-0.0880965077636659,-0.0863641237890637,-0.03915931751179,-0.0295461806711294,0.171899254019729,0.0326442783925805,0.0340312483845166,-0.0419651418632929,0.226995441285605,0.0467052845177259,-0.0058135830313337,0.0633329822371438,-0.0409288999152947,0.144946335249231,-0.0673185281909832,0.310043590841074,0.0634233212787642,-0.121134026690359,0.0247369552201632,0.0367626758782146,0.0900627104342267,0.0703209728095422,-0.0578223006983019,-0.173828258261387,0.0964980386343594,-0.215761515757049,0.0263418017242425
stable,0.374251334595831,0.251247507175987,0.0166143508955599,-0.201017721538292,0.0043753904457955,-0.216077557630753,-0.228210356093965,0.128190598762867,-0.0180096227188292,0.244233233064443,0.171891422227546,0.362027540144146,-0.145115852619046,-0.129593453585175,-0.122177280524538,-0.0386581291034069,-0.0557881239336534,0.165354877055491,-0.0666166465620694,0.0056493342844327,-0.01184464449971,-0.0816461506583724,-0.161388968557829,0.0493425747500724,0.0619000211594961,0.237954509859731,-0.217533493446339,-0.136023836770677,0.221112668992986,-0.362080621137422,0.262015365812087,-0.364097698881931,-0.312328564439216,-0.455745825273413,-0.173658261003751,-0.219702231171638,0.201738106447046,0.0083792139386552,-0.114162050539779,-0.214932524775788,-0.0773390072039324,-0.410755891972018,-0.0263585046613265,0.253613402876313,-0.179565417255527,0.103015041951703,0.353519415221819,0.185889638454476,-0.261590717865875,-0.17844313339768,-0.145783156534523,-0.0549919090345051
