group,ARNTL,BACH1,BACH2,CTCFL,DUX4,E2F2,ELK4,EPAS1,ETV1,FOXK1,FOXP3,GATA2,GATA4,GMEB1,HEY1,HSF2,JUN,JUND,KLF1,LHX2,MAF,MAX,MEF2C,NKX2-1,NRF1,PGR,RELA,RUNX1,SP4,SRF,STAT2,TBP,TCF21,TCF7L2,ZBTB33,ZFX
progressive,-0.0984461213354041,0.0914072725408171,-0.0789915253614762,0.121249058576201,0.145176256388357,-0.180126095889257,0.131000797010369,0.0218008789054569,0.511758523992559,0.375894077988708,-0.0438217218357447,0.167856991393137,-0.185356351590791,0.0864458617585214,-0.288837205050101,-0.286637564801792,0.123155413458069,0.168932371070088,0.045043744195916,0.0538667456363532,0.0616143673998395,-0.297098076204859,-0.120906892315354,-0.0225829732159666,-0.149599977332177,-0.12080913052654,-0.0328968419358128,-0.451268417164077,0.0488075730652438,0.17386934140518,-0.0254913864331744,-0.192664045304615,0.0023707233787324,0.382712962758464,0.124499638054257,0.139848238898009
progressive,-0.0719828156785436,-0.3706362049122,-0.1177928000497,-0.0843614505086196,-0.0287328896055777,-0.0142158531381894,0.139899656412902,-0.0328892195485229,0.132821848176727,-0.0878250587944072,-0.0394851344579794,0.214623240387156,-0.0921922170677917,-0.0380093361449046,0.0018974549739532,0.172337100967626,-0.267842334656606,0.0852047638303765,-0.0438522927313638,0.137429953113471,-0.0520745976184945,-0.208177917142299,0.0254198729843895,0.192215200694755,0.187667332423852,-0.134297646489802,0.143543974696209,0.100203693624483,0.145290838005563,-0.0012649699826354,0.226911520218472,0.127159601587787,-0.080024410568155,-0.383255786405635,0.207153893823022,0.100685586951201
progressive,0.000867372379184,-0.0134562521588327,0.0189671816398361,0.0197722565553218,0.354803224212183,0.0919223037431367,0.0558424880366371,0.024195376477901,0.115868490366245,0.356111470949848,-0.542337758394433,0.106341770532997,0.0336981357481878,-0.0876046102975854,-0.278206096538828,0.292084054605772,0.115820569240323,-0.0425395834807541,-0.295927328904698,-0.228837752614222,-0.025522791665934,-0.35233049411462,0.233351922676053,-0.114809433483373,-0.134274994832796,0.222181508223688,0.0155264447986531,0.0252160964600347,0.270888540610574,0.626329115797517,0.0114387727575262,-0.166540288915923,0.229192368946043,0.324234337986687,0.416290820882405,-0.247733052565175
progressive,-0.0659115700420634,0.0978323799963188,0.0103134357531383,-0.455171139893786,0.170498524158395,-0.0727750889059476,0.0562881176667759,-0.46719137663424,0.232379138677225,-0.246215121148865,0.248975054660268,-0.0939103692169564,0.53687969779717,0.220395216851395,-0.0254204402366085,0.343212258108838,-0.366780637699636,0.155790983735786,-0.450740720309692,0.641103502767265,0.0167048607269141,-0.163961839526125,0.482262066203086,0.113157273967531,-0.0932203858391056,0.148600630640288,0.241167348016167,0.144279155800065,0.0934019604122242,-0.350729445435949,-0.121546019245612,0.521300599423592,-0.39634097820335,-0.0820717070496216,0.0139812421301346,-0.139993995874465
stable,0.292971520100471,-0.150516063416511,-0.290045422979015,-0.298745619183722,0.253056985143368,-0.276555719830573,0.124761466016075,0.187254399031979,0.114476630052688,-0.057497808436608,0.284404777649614,-0.387096946964168,0.148004167205153,0.161047047414778,0.143363930756466,-0.0397445049892343,-0.120141000493884,0.106076951930724,-0.0363389629002426,0.0136617102089595,-0.307503151075268,-0.0950170956486811,-0.213526006160294,-0.107815804916076,-0.189449960419396,-0.125374364737461,0.274536119688974,-0.265262566615873,0.269360091132236,-0.111743299464571,-0.228408571080401,0.0183998127438035,-0.0149082671245527,0.276806810597076,-0.158995813790784,0.352356463471153
stable,-0.0564965648474333,0.465785141271296,0.0793020862381992,-0.146966303313069,0.167162120709634,0.296777419088286,-0.0308579864179177,-0.322169133626458,-0.104799599586947,-0.0115438257761505,0.0616807065656435,0.57360588467135,0.176178530455365,0.10613971785424,-0.37087185276148,0.481807783361819,-0.110865398059955,-0.0560381033349386,-0.129744608036022,0.103541769283436,0.453054017732018,-0.1355047655007,0.373681398953435,0.0378524633393124,-0.293497655960439,0.360080374082757,0.131143503420301,0.14025395655321,-0.0795019284359533,-0.0418728181411897,0.157934113342752,-0.204779475581001,-0.122844174501806,0.339849290416,-0.096735379136398,0.132753996425731
stable,-0.569746151232918,-0.0628846752632538,-0.383508844885478,-0.551057459906398,-0.0631935792521219,-0.613328869897634,0.484938378171466,-0.245424219155714,-0.234662549308235,0.467226368574455,0.0190430223725753,-0.237292775919333,-0.306909741057624,0.564776431176716,0.524400862749367,-0.0131783892897998,0.473745151280715,0.458799649466361,0.302871275673745,0.366500954674857,-0.0443549786368858,0.48277150754367,-0.0555482055276361,0.238723728220707,0.472663987319677,-0.470896874795123,-0.470519830220475,0.0649834053052694,0.495041355689741,-0.0857117714994634,-0.302121729230168,0.25821193575371,-0.467807834906442,0.488754250975131,0.140206069300373,0.48835449287189
stable,-0.0533607081928668,0.321957372620836,-0.30082377383338,-0.0982318938944007,0.0163365675426488,-0.0287190422602316,0.161290904286339,-0.156791557596423,-0.0510644276701225,0.250678459755295,0.0338047373158424,0.035707112013428,0.0692722984584996,0.125485566392846,0.323237315976377,0.273095008812988,-0.13096216035892,0.251674750824525,-0.134490273602071,-0.239742311006424,0.2505291163254,0.0918472116901751,0.365032427944039,0.025295168726537,0.270225409888231,-0.20882020257902,0.0758043194828227,-0.283780581337203,0.294388976384224,-0.456777404534554,-0.28178900150364,0.307827880464955,0.0233376672595272,0.043179295032659,0.163121113031224,0.271181608761517
stable,-0.0795341636238932,0.170029586635187,-0.146602381252994,0.0927550032386646,0.294974682006885,-0.0881950377233846,-0.179154618298315,0.194762553954642,-0.0395299023975612,0.160221070208025,0.0225498965805959,-0.135314681381278,-0.0841859405253868,0.238087326982369,0.386990093523273,0.238842220602349,-0.0572035942436966,0.21786331885252,-0.0335978667216433,-0.0829923925046088,-0.215639443053122,0.221173629388781,-0.34706744241802,0.0392136631783807,-0.0982483845137837,-0.0578309720494902,0.0546991836530899,-0.538223849147491,0.218526401086286,0.21528749940597,0.487227724738354,-0.031516808634133,-0.39157556220139,0.124057585304966,0.299947798760127,0.0709344971152108
stable,0.195012168657178,0.138975561954425,-0.354985595891322,0.224236001778436,0.002485705345946,-0.252698447676611,0.155741010023478,-0.0203484467659127,0.0739142772839571,0.23587328296261,0.154180912674221,-0.127032232964894,-0.231081022205561,0.178903603682549,0.0012167266408084,0.0705253576831778,0.171513668870277,0.151053253395088,-0.051662362460338,0.0448621295169241,-0.108370781418753,0.18784617126346,-0.201767614116882,-0.131040712757005,-0.0096069152559536,0.113349656691263,-0.180120330323357,-0.146029590638866,0.19195915518423,0.230894407690099,0.120493260343126,0.125173552390899,-0.113745279464041,0.277555501136071,0.208627563705243,0.113610917012909
