group,ASCL1,ATF2,ATF3,CEBPD,E2F1,E2F2,E2F7,FOSL2,FOXA1,FOXD2,FOXP1,GLI2,GLIS1,GTF2I,HINFP,HNF4G,HOXA4,IRF3,KLF4,MYBL2,NFYB,NR2F2,PBX1,RUNX1,TBP,TCF12,TCF21,TCF3,TFAP2A,USF1,ZBTB7B
progressive,-0.200696173543982,0.0232280509810136,0.23402443021747,-0.197668533947917,-0.307269087325483,0.0033182929972876,-0.103521053068668,-0.0437917791174897,-0.18170681799746,-0.0580822380109183,0.0713311888833004,-0.334130305821775,-0.0881648650374239,-0.454678803978715,0.25107609642251,0.242041619867851,-0.0121832217345671,-0.116842667291355,-0.256017204243289,0.137503279894905,-0.0876077793517479,-0.0803414443211909,-0.28370194070971,-0.261999820085114,-0.164509825091809,0.143485895736731,-0.053116909073371,-0.171727717888828,0.085670090010266,0.0091071399049646,-0.270937412172699
progressive,-0.0648014990345887,0.511185607541401,-0.205465290065974,0.0118866655033861,0.477619787832087,-0.104030444740553,0.0564837827270084,-0.149453434505353,-0.0498473069496837,-0.365360113127652,0.0685474209177898,-0.392613906986532,0.14617943978854,-0.143731317612904,0.130812311433046,0.288082039631692,-0.103204572199375,-0.0460128987227849,0.0173728188126412,0.100962918159034,0.117804818909489,-0.266137426394672,-0.451486820993377,0.0373707324883131,0.0709070567497275,-0.166472307943204,-0.489889894158163,0.246286989958496,0.0950933240270888,0.0576636006429772,0.500272291818689
progressive,-0.0088472153917316,-0.0244292357865899,0.140635757391035,-0.0736086404573581,0.0027590666300148,0.0352212099487834,0.150373921382042,0.0081670288266932,0.0820534919655459,0.0853346736349212,-0.0101932183831104,0.108379586060271,0.126854794379659,0.0665576924028757,-0.222550338015834,-0.13453323849062,0.0899905985730713,-0.0250471517506036,-0.0784417971061167,0.0904169126877785,0.058596635564187,-0.058553525148093,0.0244388158790552,-0.258135591478299,0.174041539817638,-0.172240482434156,0.0128085836261453,0.167311524860745,-0.214086326322715,0.0153904185455516,0.246941253432562
progressive,0.0496960542883818,-0.0736734936202215,-0.0196970492544462,-0.0691391820975589,-0.253848896284741,0.108968574512627,0.0481725256167672,0.126924448142371,-0.121519548807357,0.0716783965502499,0.0214744993713299,-0.450855663321385,-0.219859697110863,0.0544842872563135,-0.077482315299258,0.198893040630071,0.255626346401625,0.0173029327704804,-0.158446981847921,-0.0917019162343279,0.0350411594471364,0.102185244474724,-0.147129340287355,0.081218587993932,0.194540101568315,0.114845042245998,-0.234224396014658,-0.0318852786273632,-0.107626418301919,0.168495016182141,0.223777342266443
stable,0.2346928280223,0.300704715277587,0.25163718581396,-0.251374542918056,0.293268030317644,-0.297439188605183,0.209463545992075,0.0753843476331872,-0.354494953110151,0.0789689367865408,0.343813169258597,0.225807716129021,-0.201961686683889,0.0858015430859048,0.196648518174902,-0.0415073050674628,-0.184662274607026,-0.0332408631067574,-0.260872488235111,0.304033470795301,-0.394683207189297,0.0699408304277145,-0.342941583944783,-0.0550927520459532,-0.225579119534439,-0.245027339600381,-0.278705940866978,0.0466278687861205,-0.23907993713536,0.23985230179961,0.225855380950871
stable,0.113208254209885,0.0868165656906757,-0.0666635347427745,-0.161395325944397,-0.0451076612331349,0.190946261533538,0.201473283358616,-0.368080796707196,-0.0563874278474384,0.0828133320388855,-0.024258911616404,-0.0290377005055781,-0.0311818826324629,-0.051654259854581,-0.202579590094296,-0.077156340895615,0.119287238644085,0.269265935285229,0.086314735831192,-0.14891801080178,0.0062272523472292,-0.133281448589232,-0.0016879731637178,-0.319779672731893,-0.0579043226499686,0.0068203239993463,-0.220052393383591,-0.0871473171889718,0.103148846572054,0.176108065006532,-0.0444347530124636
stable,-0.0786333038626243,0.0887177623958249,0.0501721143983772,-0.161169388700208,-0.0956499747569424,-0.127668244317249,-0.0778372821019973,0.0118675472770051,-0.165668048821695,0.0556987797650162,-0.014596764742012,-0.17567517952672,-0.0933801755652117,-0.0951314234385911,0.0052128053581632,0.0473018873643449,0.0706867323436791,0.0594650998667257,0.0142647099504362,-0.138344033301201,-0.0091201350288981,-0.0048943966539124,-0.109605373394678,0.0178399848295952,0.0130865977447082,0.0419207802625063,-0.0333100991604094,0.227343814835076,-0.0512638013843799,-0.0380634862452965,0.110792582991956
stable,-0.0765819471169831,0.177131747054481,0.101863875278096,-0.107560872638861,-0.113169730799951,0.0277257877884454,-0.17907181102913,0.0086005830409428,-0.0975650861303468,0.25093630779991,0.125809693298693,0.0176368541711847,-0.0545571630165599,-0.133493828979386,-0.0897497432319565,-0.306469011503774,0.0798000294869085,0.0082350056786575,0.112502677311507,0.0628492588586429,0.041469493446745,0.0778168974942374,-0.185264591388062,-0.387378793641127,0.342740295333366,0.0628843142221497,0.0142865630017479,0.0599276447058036,0.17138166585755,-0.161565162493828,0.0654243257036719
stable,-0.172741171516168,0.0809317861412212,-0.0092712027224158,0.0066703702755335,0.083420425815885,-0.126823729650033,0.137247458123421,0.117853407544021,-0.0816457401462477,-0.0051608675220488,-0.0141413889709897,-0.155132005949335,-0.0363453585273146,0.0903049822929265,-0.0298687757674311,0.035136736390234,-0.0395224538496827,-0.166182994012853,-0.0606656917413968,0.12438098701855,-0.0562697749390192,-0.0205720746876929,-0.148762516290206,-0.0421640836682808,0.0004385717459448,0.151822319168891,-0.197046205715857,3.05980287868511e-05,-0.0018001840269597,0.0273648370783738,-0.0346165699008575
stable,0.182766217643129,0.159481063508003,-0.0774032652647102,0.0582019464930895,0.0209734116168557,-0.119510524887702,-0.0200253784074707,-0.168596767444397,0.0247436667649483,-0.12241296502105,0.0008751075778938,-0.0508729205282286,-0.171703399345921,-0.197139859610035,-0.0297099022694959,0.0106033868188137,0.243622657122496,0.0422166480702287,-0.136370930888457,0.0450534551352345,-0.0808818178868382,-0.127568807167475,-0.0062278489293445,-0.118241618899756,-0.167707074740205,0.0845791474034397,-0.0981724851133906,-0.0077301169380622,0.0836602844466511,0.0874013693421473,0.0629494051031636
