group,ARNTL,ASCL1,CEBPB,CEBPD,CLOCK,CTCFL,EGR1,ELK4,ETV6,FOS,FOSL2,FOXG1,FOXO3,GLI2,HNF4G,HOXA6,JUN,KLF10,MAFF,MEIS1,MYC,NFE2,NFYA,NR3C1,PGR,PRDM14,RUNX3,RXRA,SETDB1,SIX5,SREBF1,STAT3,TCF12,TCF21,TEAD4,TFAP2A,TP63,USF1,VDR,VEZF1,ZEB1,ZNF143
progressive,0.224767976108272,-0.360064197889311,-0.120989035109941,-0.38655322828399,0.0223420197653748,-0.0174174446430764,0.235653879010194,0.157016189952019,0.0327613839715008,0.095070218676792,0.11513138259605,-0.0845990168377996,0.0840288028762703,0.199004672573721,0.0408998923315097,0.0760458074148603,-0.110310482739484,-0.0439583126706214,0.267067484527171,0.113524415977194,-0.0320874947442389,0.11134723539681,-0.017002743580146,-0.125084208106379,0.0785340137924426,0.154165120144373,0.196983004891935,-0.0428178847475628,0.0901456435544936,0.117982452403696,-0.246228756114919,0.108133302159099,-0.0493494264887164,-0.0862059834566549,0.132548827239126,0.166502476766552,-0.193302532958428,0.352029364795035,-0.252708460223207,-0.399979175196361,-0.17241196691331,0.284122065740184
progressive,-0.316961287844469,0.351764147774749,-0.109793995504561,-0.183290911690064,-0.0651230616942279,-0.397337839132469,0.415579767503797,0.463363658374083,0.0318144211527251,0.373585976765024,-0.189921510227765,-0.0588971475743208,-0.254421980510002,0.172644598545023,-0.159227753616623,-0.10920253366317,0.370192853569674,0.373554847194424,0.0241565467852394,-0.0624770481932674,0.0194871111953091,0.320759095457612,-0.355157270970099,0.2076653654695,-0.374862289159604,-0.0580877787387329,-0.0024592360773632,-0.006630598537701,0.450818441422471,0.401882756440001,-0.0403750530675973,-0.162496358529574,0.132425193330423,-0.137841738614742,-0.0341802685182898,0.449760036022086,0.0343047868006879,-0.0784776474814286,-0.239043972633832,-0.256102977322377,0.411501793755258,0.361943517360797
progressive,-0.263786715098526,-0.186342333965872,-0.193474571518658,-0.0488851239630726,-0.0674026755696673,0.13818457700535,-0.0197247787844388,-0.0850665811802134,0.0932090506809855,0.0663065739061018,-0.0770453395131996,-0.193580645873196,-0.226822328121696,0.0269883464904626,-0.197207378566468,-0.397273713545738,0.22503421757376,-0.142740723090769,0.105387396813964,0.0378483399313187,0.227079937268433,-0.0088344783851429,-0.052622982170623,0.117990040365097,0.0992199307715059,0.1736336160602,0.0621595717596167,0.150595276486366,0.0254628962490028,0.0175578312560075,-0.0997604048636788,0.0187195979961921,-0.23554062983282,-0.0346863139341206,-0.0578155743832743,-0.071428449882394,-0.124713133978948,-0.057229639853442,-0.0861121712463795,0.121152066362295,-0.0129915828511079,-0.106953256333343
progressive,-0.365089269789675,-0.0364938624330715,-0.273722798930406,-0.197948133073502,0.0134074458474442,0.103794721223473,-0.143904074671585,0.203145401407624,0.0694475565805819,-0.229621340819852,0.0963754323696904,0.235684820542994,-0.0943417186737298,-0.409266050629709,0.218624222315769,0.225290283874751,-0.116034664763977,0.249544202767319,0.0831186319812062,0.419698248662692,0.192637880645161,0.116976198882477,0.0818004842153058,-0.212033483486267,-0.129781062894081,-0.353451908085012,0.0320498213937501,0.0560024493683977,-0.145787142908586,0.138932774525904,-0.353753199002932,-0.145184561072746,0.213765906264307,-0.356766108182133,0.0473403354781949,0.0646645632586004,-0.390924966001323,0.091818407236149,-0.0116750230694037,-0.0504662287516159,-0.0111101025983035,-0.186612062286759
stable,0.193802181010314,0.246174242814982,0.300257288840201,-0.253895135767216,-0.252050257321521,-0.257691190364065,-0.0747426183370404,0.0312167742318144,-0.080987608532718,-0.0359102267651289,0.0131543410504699,0.0685303351276577,-0.0976140005970532,0.192677878356428,-0.128087712983981,0.0058780586931819,-0.257144370436947,0.0569919236188189,0.15676254112469,-0.0443302315494156,0.154774569613955,0.182634789377258,0.239746297914717,0.281229999563157,-0.0200933326115919,-0.0659158204107111,0.0857730494649869,-0.148116653716305,0.160148736299532,0.152273507255719,-0.142978590588044,-0.37575625623531,-0.0178069098509158,-0.269281728632311,0.0609116515075953,0.0256882714546588,-0.121282615648004,0.224291224797068,0.258082652106282,0.0061213169037501,0.0654385028294703,0.266106084681743
stable,-0.0315763401812482,0.175641185562783,0.121432977260573,0.0533608372649195,0.137850791108073,0.06547118167286,-0.0701199533357721,0.0029187224617776,0.251127822134727,0.118325950123842,-0.394910210503832,0.0358485024942534,-0.375455983772709,-0.0785112804133829,-0.410610112778072,0.307489765156717,-0.0458874954777065,-0.140133985291883,0.294473204500563,0.182973298843781,0.161859637164631,0.0800177178130101,-0.0207841284979815,0.0726738354898276,0.0763928528201572,-0.0986363425490275,-0.421002177027063,-0.147148334433897,-0.229296248882317,0.0043310075239281,-0.395781119625492,0.149254992984938,0.0619993142284067,-0.106603984107993,-0.404066525323441,-0.0554792648581453,0.160235509343158,0.0379198539187408,0.376244509599077,0.0049076905909729,0.0609754075583476,-0.187021849355279
stable,0.0950567766644792,0.0016778617599388,-0.377060437984229,0.0088383140593961,0.0546935670028517,0.0984125001843569,0.0690617353133139,0.0054164213433518,0.0666796442513163,0.124383909679748,-0.108352058722812,-0.118390871055516,-0.144868002264467,-0.248734734761413,0.0770351234513895,0.118409776540135,0.054083865123888,0.0841294065546803,0.0058748793453633,0.0460868451300386,-0.135434165439571,0.179970760830849,-0.0710562639406215,-0.308565867209486,0.105048325285636,-0.0265385740339623,0.0433880872006722,-0.0348758927509543,0.0119624453926908,-0.0967677230225013,-0.0386995270151529,-0.304709148347204,0.110663254217488,0.112752310267891,0.10945330320187,-0.0820450768754323,0.0443002768335404,-0.0874284136207009,0.0841388592969898,-0.109528925140346,0.188908328684495,0.110299323638572
stable,0.104785499333418,0.0678971858034228,-0.236172906338731,0.0153254784195771,-0.079607927644113,-0.0274768120667848,-0.114242001860002,0.198492364786091,-0.015453155855195,0.119947718081222,0.173156766106799,0.0508124797668483,0.0599403698771701,0.115214234136142,-0.0414386536125085,-0.043092181057396,-0.213284109663331,0.14879653931272,-0.107414398663518,0.0353990922932392,0.0872947371901246,-0.176463820996574,-0.178427123203289,-0.0247411660282179,0.0652117735100169,-0.132977095732392,-0.239140883448669,-0.0420582031361626,0.0827454436439691,-0.0896410717036927,0.0337696351845748,0.194295753992421,0.15233383220115,0.125093537351166,0.149095848710972,0.0536025456960065,-0.163433396809047,0.0795901365260351,-0.137572436878278,-0.108510122229845,0.0488041764967603,0.0707626023503227
stable,-0.154313108571798,0.029903139678628,-0.121419654925307,0.0396377948617785,0.0224918939093565,0.0543634776747432,0.125292003948439,0.0834383649234236,0.151419603329513,0.0313982966625594,-0.0403369689909551,-0.14418046196127,-0.131380197134807,0.0677123252794832,0.16395095502937,0.040756473468461,-0.0782644763675171,-0.0415309432730873,0.132143910414369,0.0353136717859481,-0.112588547847554,-0.0869772616695634,0.113212426301281,-0.0983038825622236,-0.0518141812345148,0.0463391099768092,0.0415094302229588,0.151473385954835,0.0593760183546859,-0.189992502209931,-0.0499855719735915,0.0435746830352957,0.0883003142524667,0.0760271191541521,-0.0693688301393785,-0.100745613751809,0.013262795404226,-0.0662386813456804,-0.0678198905301258,-0.353599248437244,-0.0472426580822066,-0.0677230818045475
stable,-0.0780561933439156,-0.0761344286313879,0.174927083147578,0.143365197364815,-0.0349327230809462,0.100753164485018,-0.0416201543184921,0.157088767146615,0.0792340491354648,0.0358858563859499,0.0819539661277922,0.0286482425089304,0.0891760819022913,0.0838137384302383,-0.0123209915037055,0.167456997732752,-0.0448360105914718,-0.0218833207587826,-0.130718745708181,-0.117382628489391,0.124573748058849,-0.193362076095575,-0.165155529508475,0.0973823271868348,0.0311821822710132,0.088153207135946,-0.044843759642732,0.340958255448455,-0.017822817898442,0.0097328083828013,-0.0812410534118546,-0.0173966200791314,-0.117010674028902,-0.0543131002826868,-0.092066478022343,0.100706670177457,-0.172059934181307,0.140102846784274,-0.0336153843667136,0.142210588727046,0.0301128131971067,-0.0850458375806089
