group,AHR,ASCL1,ASCL2,ATF2,ATF3,CEBPD,E2F1,E2F2,E2F3,E2F7,EBF1,FOSL2,FOXA1,FOXD2,FOXP1,GLIS1,HINFP,HNF4G,HOXA4,HOXA6,IRF1,IRF3,KLF4,KLF9,MAF,MXI1,MYBL2,NFYB,NR2F2,ONECUT1,RFX5,RUNX1,RXRG,SETDB1,SP2,SREBF1,SRF,TBP,TCF12,TCF3,TCF4,TCF7L2,TFAP2A,TFAP4,THAP1,ZBTB7A
progressive,0.165182019509083,0.038247575463732,-0.0095497748623006,-0.156504812908313,-0.0597466879075407,-0.0921529036204746,-0.33875038953176,-0.0315094094441391,-0.459431427702813,-0.227861506295655,0.116827195015962,0.19518867250281,-0.19431610424128,-0.0583893595007163,0.451796455414426,0.121699034476171,0.0358237747372597,0.179627871838858,0.251226945298848,-0.0353874906064947,-0.480857826124828,0.150711929172044,-0.440865114138036,0.254789932366762,0.0205295921532199,0.0793309977774364,0.0556504646798026,-0.14011991999736,0.180645868143976,-0.0714778834236664,0.462970176763463,-0.0414227544154106,0.489680460769187,0.310222254981182,-0.571774591374802,0.0185420755575126,-0.0287462766159608,-0.216081834765,0.0875234442329126,0.0987456415964791,-0.0715021214309311,0.359667789801216,-0.282300070612222,0.266351461832035,0.0939949921725935,0.326170863761369
progressive,0.135810006579442,-0.0357891674952994,0.513558325987784,0.4652001680943,-0.328121460606121,0.0323371208366432,0.172218772192962,-0.118461259269272,-0.178060697307611,-0.11474367055995,0.112855371532993,-0.0567079801533104,0.039005176775586,0.0127460184319615,-0.0173782519824661,-0.158086034163079,0.219190210488524,0.0946804933985292,0.153807856680129,-0.143540230721048,0.0028619532127321,0.239017350271575,0.168176632088382,-0.217390425478455,0.0775382787944327,0.0839112880104135,-0.214557976938019,0.44380928067955,-0.140530754146835,-0.52775007336226,-0.0285310181104324,-0.0904908299324677,0.0208007939688261,0.0124804763812957,0.044404531805792,-0.285015134381362,-0.271767536520365,0.0177323080500206,-0.0695720172744568,0.30914995631966,0.04924329806237,-0.221491574927628,0.20918812658011,-0.133715174846411,-0.0431948402416475,0.0474140083800051
progressive,-0.0748871886766413,0.0060795796940893,-0.0891224190486849,-0.114241439567087,-0.0841887538237496,0.143191362432159,-0.0084049709808664,-0.103017231314829,0.222048497470556,-0.0338548203627482,0.256186200484685,0.0054898412852778,0.105122070025953,-0.0321862921817206,-0.121255970397097,0.0385775222544501,-0.180910647490046,-0.169417940450037,0.0542319605046091,-0.255025902151902,-0.0614143030769639,0.0504777720972969,-0.0168195312041525,-0.191008119757989,-0.105678246086296,-0.275729076536032,-0.0760858439791038,0.138641266904012,-0.119342916534367,-0.0797872915531077,0.165447994088281,-0.139753619024697,0.203728249827721,-0.0210675655960793,-0.114016092370224,-0.249157285791046,0.179491439611931,0.262543868208946,-0.0916635682899052,0.180004464081385,0.0819928173096385,0.119975806534067,-0.0679349879223594,-0.00255073848364,0.0310931185458748,-0.0924834485167895
progressive,0.29455565030874,-0.0227724914925383,0.174891284185529,0.0471767697958477,-7.25238582564915e-05,-0.0475031271580019,-0.400114126001063,-0.0076150051169316,-0.0763313608149573,-0.25031609677228,0.0707107618000792,0.0372410012147084,0.163940181588799,-0.036153143340861,-0.0665406399503309,-0.243136234804888,-0.172207901430039,-0.0277766377122362,0.302351965071313,0.0443120773947163,-0.11099776506156,0.266416393305221,0.0143959858639136,-0.141131428167132,0.0182760122806358,-0.196866013237246,0.135619614939639,-0.0167892731863778,-0.0005439289369236,-0.11679967372208,-0.0553719657788312,0.189794937057238,0.0832573892784522,0.244586711970017,0.0250569930276178,-0.0672296166037676,-0.234723467247135,0.354206523724704,0.139680951002003,-0.127243109311014,-0.118358936674594,-0.132319779388969,-0.117234816871618,-0.130289111357787,-0.259816722203881,-0.294809483812638
stable,0.072832284246387,0.323943289717982,0.124393244098587,0.175164470334361,0.27302927031909,-0.24488638921815,0.113617702884562,-0.160145932273418,-0.0401705337929138,0.136923101316626,-0.0673342617753349,-0.120221158142196,-0.163741988667029,-0.0789286780676456,0.0091853887784928,-0.0963960703069496,-0.0130301189799813,-0.147960915687397,-0.0490343951088769,-0.172146386267655,-0.182143850449999,0.0202659439599932,-0.0968992462150777,-0.176890616258577,-0.198782653790397,-0.0723990478467246,0.175088702533524,-0.348671762870911,0.247040914631717,-0.250772964514011,0.158858851041237,0.033773011532428,-0.0920714773668216,0.0903569880273504,0.234055479226589,-0.177033409421694,-0.112542382941902,-0.108244017317448,-0.039013617757044,0.202978052916276,-0.270697953370234,0.20197655801033,-0.220789314405536,-0.318285960588758,0.0826743272988077,-0.0896915913148644
stable,-0.0624720919407707,-0.0269377181306244,-0.134734500696805,0.0358901766486845,-0.173769515337731,-0.238204261645922,-0.0630574449977208,0.105616055491268,-0.0228287692210533,0.0025709624462121,-0.0198675714035411,-0.249876890252162,0.0043384991279829,0.108519865754177,0.150527555723536,-0.0892950349621892,-0.244023359682661,-0.0892032148748245,0.330827774775083,0.107154041954627,-0.0425586104935472,0.394172157545818,0.0161144253325082,-0.203840593949676,0.455852301233068,-0.357880268014913,-0.112112326672322,-0.0926694231728426,-0.05389839128309,-0.136261009649243,0.0733872048262516,-0.401299691827504,0.0081375552426982,0.0203496268622058,0.0294053829785513,-0.411216261262894,-0.161281983456129,-0.0364525746837934,-0.0410665340738706,-0.0729166268785075,-0.157276332144843,0.299666332625681,-0.0195002910540822,-0.0570547067862523,0.120284314447782,-0.162050976687808
stable,0.146522631305159,0.0750032565324923,-0.323297876485678,0.117903087004718,0.222678109148844,0.0592577440476562,-0.142898124109716,0.0269320390730257,-0.104874820840371,0.0297717656116334,0.0190071153302977,0.0721680662982594,-0.156398165929039,0.252363684977357,0.204564645780376,-0.123110764426957,0.148645621752553,0.127157147929254,0.0622834590656296,0.0228448288313555,-0.03971988110551,0.11566215264358,-0.0518635679167766,-0.190193633521096,0.360391237358194,-0.128776608591048,-0.178988961715408,0.137254961467499,-0.106076941499686,-0.194235480719019,-0.317055921665991,0.0088956928789293,-0.0967412270964033,-0.0991772225456562,0.0349522252076239,-0.200536407495578,0.0829463254927194,-0.214757721710491,0.174947114517485,0.342368500077222,-0.128821971634796,0.285478706913198,-0.207703768407719,-0.0990683512406617,-0.0337773223745578,-0.213437657137432
stable,-0.181222761231852,-0.201021308333392,-0.0209343569064241,0.0564519508138306,0.047587826675184,-0.238124428626276,-0.0803760716246457,-0.0445449781855559,-0.165060007421079,0.0313769962589133,0.163123922453847,-0.103991700883517,0.0221162401249103,0.034499972424371,0.0463498540836171,-0.0306668647318737,0.010813229853201,-0.294803741720273,0.073986891073185,-0.0535913927867148,-0.103787375310151,0.137346849139473,0.117491211068904,-0.109639700433554,0.156893995658097,0.0321622474820431,0.0541022067201284,-0.200642705065097,-0.101039997625145,0.0567624455576702,0.108754289615637,-0.220874943212064,0.0294178745848802,-0.19666837234395,0.0379434592931469,-0.0635702932153404,-0.15730164520888,0.174917714740012,-0.0640059874526637,-0.0740289581029955,-0.121252203853155,0.363704528570176,-0.050508480459172,-0.0762504979153705,0.0119079742242226,0.260336821962182
stable,0.125619328614249,-0.0657372441650746,0.0819316104564938,0.226020337064437,-0.159699100386502,-0.217900302037789,0.100543197931581,-0.335419908408446,0.0311242618376008,-0.0266351367822183,0.0547886540978748,-0.0963993901881507,-0.0189569047870393,-0.226802379212094,0.047943246207993,0.161329201226748,-0.189614751632269,0.135120632888706,0.140061717367085,-0.0585566753547682,-0.184780309264934,-0.0096333373643218,-0.300827238864029,-0.015965847482039,-0.0659454501913989,0.0615528108555325,0.0888531912828358,-0.0510358674282734,0.106489765171233,-0.0196881649770563,0.0221307771395438,-0.186065092793228,-0.0616848439453967,0.293392760265522,-0.142915663386458,0.0790827426328858,-0.0360145643583398,-0.0434084173907344,0.0037680212568934,0.0671997645451087,0.179331405210154,0.240670931843598,-0.0773104523112472,0.158460020620084,-0.0065661071228614,0.0895235131236848
stable,-0.0259690512543617,0.312096262570709,0.0245807226842073,0.183617413891631,-0.13969508212743,0.133856795140307,0.0409922277819272,-0.0999450430661677,0.363953988162213,0.0999304290812187,0.0279711671923739,-0.284855794625784,0.0620875150557996,-0.163282053835106,0.0480507825122912,-0.266391024642731,0.0569726203236518,0.0678746530956011,0.125219930035452,0.273201141628962,0.0138321367542225,0.0347301352312834,-0.060063478140364,0.203141697783486,-0.154148313241985,0.1709909308957,-0.0760292566971395,0.0175221679538434,-0.111643538017837,0.246092199548579,0.035753114177713,-0.199159386884886,0.291059431236632,0.043783498907185,-0.316027424521988,-0.102020228928925,0.0619925241536311,-0.087640067739115,0.0102151754793466,0.0776221810565798,0.001147197818496,0.153220325197724,-0.073727554067673,-0.13113128694732,0.0015198544346953,-0.0964815286332562
stable,-0.0745871718063447,-0.0487738525614152,-0.107831793369188,-0.0800127371593728,0.141322445751322,0.0494557094034498,-0.37546060386778,-0.190405594199845,0.19162168939234,-0.0305511698792732,0.256969818146648,0.047890484762628,-0.073477689968876,-0.0379438102112981,0.151695573722756,-0.229144904060184,-0.0809265659167388,-0.269195206714744,0.169655823530987,0.185886828152203,-0.0142041793003915,-0.0274640688848381,-0.121359973704194,0.17335097212167,-0.0309541917927782,0.0601240743580328,-0.110894291281694,0.0809956888612062,-0.119096490166719,0.0885394624107955,-0.164346244135625,-0.142393265602902,0.0416237283226912,-0.1292681071814,-0.0377891622677439,0.0984802790854757,-0.152561367891593,-0.0682184883127017,0.336440115928251,0.024025495291416,0.0085290684020826,-0.0626945106319572,0.0465431731331782,0.0249475250760917,-0.0680579824924976,-0.164019374618567
