group,AHR,ASCL1,ATF3,BARX2,E2F7,EBF1,FOSL2,FOXA1,FOXD2,FOXP1,GLIS1,GMEB2,GTF2I,HEY1,HINFP,IRF3,KLF4,MAFF,MXI1,NFYB,NR2F2,SRF,TBP,TCF12,TCF3,TCF4,TEAD4,TFAP2A,TFAP4,THAP1,USF1
progressive,-0.0093617158243958,-0.124830962041879,-0.0474634141666908,0.0102348292173447,-0.229556062896131,0.181146775887079,0.200719067779015,-0.026193401788465,-0.0897609074251011,0.250122733930037,-0.163951292675948,0.143651406289887,-0.167565011996764,0.0098467788204785,-0.0901247046721631,0.0390233180348521,-0.235861881845206,0.182553458575719,0.326592915262472,-0.0764459281826313,-0.0194510261429157,0.129099516407407,-0.0211972529288134,-0.0373498506983668,0.172633920305828,-0.0771977758265595,0.0389020522858314,-0.0530658917714458,0.152770590616242,0.0527020945243838,0.0820969120869946
progressive,0.100845837221771,-0.0925109819765953,-0.240439884466327,-0.486554563993199,0.23813449897298,0.0413787139831417,-0.0891415724093966,0.051457386460464,-0.253237729576827,-0.0636049946369435,0.0026600601846305,-0.181534329488897,0.0318911659912928,0.211740790696591,0.163179914214947,-0.0071526062742287,0.0195366642448976,0.113673238556545,0.128333125796287,0.258942080861646,-0.264380426128002,-0.153721922447371,0.109890041849515,-0.306438933269438,0.218538722279535,0.135397063397694,-0.0566001694840831,0.104333471686064,-0.0967079658234568,0.194036612356661,-0.11322989519244
progressive,-0.105383034480449,0.145295897265882,-0.170444558459643,-0.224741820842042,-0.10450804760657,0.319975969109524,-0.0015913222816162,0.193290369584236,0.09413801086504,0.0835708616958781,0.207847843507904,-0.135935460763444,-0.176781001864991,-0.197035505709249,-0.213030458068576,0.0168122477909731,0.0258361508803802,0.100368686626293,-0.34787939666995,0.22842926552482,-0.175603134919384,0.206780551826579,0.0727248705559195,-0.155526513022013,0.371345390798557,0.114137710839432,-0.0983879471095982,-0.167660946371861,-0.07153738836994,-0.0545472586320792,-0.0749507987021078
progressive,0.239894786639952,-0.118127250780978,-0.0463408290428921,-0.0196211365703997,-0.0392058702900194,0.0750626783082824,0.132615585391403,0.0385870218267601,0.0250087584858341,-0.142844786460572,-0.0485250000896898,-0.101127119466735,0.0375313391541412,-0.114741785658441,-0.205494092652887,0.119073724901257,-0.0255548012475336,-0.050308739777908,0.0986881284644779,-0.121075881694155,0.0286854464146103,-0.150525787975144,0.208042292207485,-0.0553323331855428,-0.209753226194143,-0.189513241160484,0.115178619867801,-0.075390303965302,-0.0633409603571345,-0.330355870828158,0.136619898977199
stable,0.139138157529415,0.256238408717364,0.304678732476677,-0.2378156700681,0.194625622191694,0.068994159913387,-0.0831196237587129,-0.285294222799865,0.0612590652662983,0.262212692577442,-0.222804441416248,-0.121050625803633,0.0658233362825446,0.0361058783016599,0.0568000336330056,-0.08967662197996,-0.0682516376003256,0.185907318864974,-0.237459025492535,-0.297201864093317,0.0908020987143248,-0.209377650141086,-0.188768270979342,-0.103318764214684,0.0047494143751461,-0.316529856323728,0.150153212945224,-0.210843205992588,-0.165796852333528,-0.0998770466166096,0.235824891740561
stable,-0.386342445248755,0.195906937379487,-0.329338849096266,-0.298788126580003,0.354555500165329,0.187779918650919,-0.148873247301058,0.1191237801524,-0.0665614280374944,-0.29640725348769,-0.180202332174424,-0.319723784685003,-0.0325767539457797,-0.512047965920769,-0.203564649392743,0.303092012554568,-0.272255127407017,0.159884785353005,-0.0943306497776425,-0.194899644917355,0.106429605828482,0.0049334437633981,-0.383492265441131,0.218502338745955,0.050307390580359,-0.198379382513812,-0.42238749028574,0.0199627051586226,0.128189412311591,-0.150532990562526,0.349713628443943
stable,0.0513077920102478,-0.114878223520156,0.0972926901339761,-0.0168179829878682,0.0069170370214753,0.023153680062693,0.129012050973099,-0.158269800475623,0.0057316485365081,0.0353799858156882,-0.171318157246929,0.0696472506397406,-0.0826683571010472,0.0151193803312485,0.170773151046944,0.113974421571848,0.113443040526863,0.0536876524168486,-0.133435684629643,0.100939689955542,-0.056231014683445,0.106308001025393,-0.0660820017481725,0.0733396676446385,0.161626130323864,-0.121445548229975,0.171622452375254,-0.0776906338078515,-0.0648057788965412,-0.241010825070002,-0.12728619800648
stable,-0.310261883293622,-0.28887328813019,0.116198407913318,-0.0462320706849404,0.0579023118480852,0.257534878014407,-0.104313739720988,0.108689453910003,-0.101434004758949,-0.0026112001778273,0.0304706820444092,-0.327531275106689,0.139493800443751,0.0108045170826986,0.124730399284845,0.0436799882394584,0.290208948083008,-0.05297349616323,0.0880192894938862,-0.267700121991406,-0.0769312076950229,-0.0407561654770254,0.171486513597185,-0.171197938903703,-0.265612965440979,-0.0203124520356548,0.101629393874327,-0.12083263693191,-0.1563603900805,0.127865643090072,-0.101079298364877
stable,0.0123680398908694,-0.0021322439264822,-0.17326532137213,-0.164310921998177,-0.097785936609203,0.294798099595257,-0.0908407670890505,0.0954230412964426,0.125218074817215,-0.139841372707248,-0.0397745501670728,0.0726603122639722,-0.222691350658352,-0.128001268211638,0.126940271834758,0.0123782910635929,-0.273690934957627,-0.0140902369084128,-0.181394501341844,-0.0321476776608094,0.161778882335479,-0.170102834586939,-0.0356997090094926,-0.161450844808328,0.0521579668170275,0.0654588634257329,-0.0005535633270675,-0.0562994405973103,0.174823499626098,-0.242793900369082,-0.106417424042367
stable,0.0564208883073523,0.115363708212642,-0.22951043780535,0.0144204635265803,-0.125634714517034,0.0880916572116873,-0.22719377970957,-0.106507622833838,-0.188441074980793,-0.113728851391886,-0.0070012926628796,-0.079624125247681,-0.142980325449362,-0.0875418174737648,-0.113428272335155,0.0545441020019102,-0.0906135888096251,-0.151139947160132,0.230228895062902,-0.140956915213808,-0.162679250459998,-0.0245741706868821,0.0175508844344856,-0.0732973026633197,-0.0092446387936033,0.0150362840330535,-0.0816988538587752,-0.0601158113461914,-0.139556656681232,0.105481255323049,0.0327191300046405
stable,0.092124739692301,-0.0258979922323277,0.0252276691203294,0.0178294187736954,-0.129344136484642,-0.0229050583375282,0.0223746798752278,0.0080579894094954,-0.0554004411984708,-0.075650079208118,-0.0409249899956863,0.152696076896836,0.123558189623183,-0.127753001097741,0.110985515254106,-0.0601409192063045,-0.0507022993871844,-0.146192766704993,-0.0242315924960091,-0.174374561539953,0.0943062298199446,0.0064162857878294,0.139273150580435,0.06593862612236,0.202870349832639,0.0522299304792648,0.160189583685701,-0.128796117940447,-0.299025260235148,0.0462793428534552,-0.0126373546693576
stable,0.45296236727904,0.528485320242047,-0.507165606278501,-0.0740618488388489,-0.516425117065367,0.512465066968722,-0.487565142127797,-0.502017593270006,-0.527437836722131,0.505428909067319,-0.471542354066118,-0.468496616342382,-0.456652296588752,-0.365123541014996,0.494544113308774,0.500520421713433,0.503160285335652,-0.465575497816161,-0.464423424664645,-0.461213825903135,0.491075634480646,-0.459332041670722,0.495402624803489,0.483499199470959,0.487245083641337,-0.499514383167578,-0.463796976597144,-0.505925372240462,-0.452096180350433,-0.488795817407886,0.450581478481882
stable,0.0406900932747126,0.0740628411291644,-0.242364778924245,0.304545325196655,-0.0058323258068344,0.103890334486115,0.201390017694554,0.376354553923699,0.0155469538250439,0.150520613112,0.272686566169223,-0.0106577843707332,-0.132688405234564,-0.322815598894406,0.238418124437655,0.149001279411624,0.233171917443117,-0.278362180289239,-0.0615089094864071,-0.23430941339089,0.0266634352272494,-0.400297876202255,0.0504248180167432,0.399643343010993,0.43411734857186,-0.245691748793858,-0.198267435782101,-0.0467083137768933,-0.116016141773,0.0685844528360108,-0.13587320147289
stable,0.0704154378630119,0.013110486135953,-0.0917277178686603,-0.330241607449475,-0.166880056983304,0.242692753206915,-0.197154542075035,-0.175216640726014,-0.165274282949892,0.0314947676395764,-0.184751608381737,-0.305441781065592,0.0291180106350313,-0.146978351110933,0.155229983253003,0.073350232493088,0.206495064955963,0.079681580898047,-0.248632946686265,0.259781617191461,0.147913196280632,-0.0121654467741775,-0.226645584627539,-0.0850882783253838,0.0891470770225816,0.0581269056585752,0.226157396095866,0.167503790513329,-0.14808272191924,-0.162319855061001,0.159243096867191
