group,AHR,ASCL1,ATF3,DUX4,E2F2,E2F7,EBF1,ESR2,FOSL2,FOXA1,FOXA2,FOXD2,FOXP1,GLIS1,GMEB2,GTF2I,HINFP,IRF3,KLF4,MAF,MAFF,MXI1,MYBL2,NFYB,NR2F2,RUNX1,SIX5,SPDEF,SRF,TBP,TCF12,TCF3,TCF4,TEAD4,TFAP2A,THAP1,USF1
progressive,-0.167758831259608,-0.0732498689939583,0.11653936050865,0.0174507749758558,-0.177858105727679,-0.125168334875165,-0.157129284623762,-0.104656443294428,-0.168578342791624,-0.0422289471791428,-0.222232244858274,-0.131917253374114,0.082577838490721,-0.0858317813384289,0.0934484179301007,-0.250336669750329,0.143245795140209,-0.0689594850910545,-0.183425963489313,0.247444276107922,-0.15057319236764,0.286467487000064,0.0584986614176824,-0.140425711338862,-0.0144137616513284,-0.145776639577315,0.478908077341545,0.0519425691615597,0.279935498024295,-0.248143271238171,0.00412166094043,0.0109669925607934,-0.17942481895065,-0.0301532037220934,0.115478816173101,-0.126590428416015,-0.0981485575990122
progressive,-0.119611909493192,0.0374062262947803,-0.176058638427433,0.279593205168044,-0.344518678729102,-0.0422470320505754,-0.0539823187312908,0.121166834978386,-0.194981788200086,0.0845234023178526,-0.125450214616848,-0.0381690199290268,-0.0317439504713352,-0.0111191841299778,-0.173652904657886,0.015402563768439,0.0702650290007834,0.120638747077754,0.102185008772329,-0.114947133037607,0.223293167317312,0.154142990551197,-0.0451515155040525,0.224789416369103,-0.21390493797274,-0.136892119130545,0.0844940641011509,-0.182659737185335,-0.360684036131788,0.207773250682066,0.0936182494954071,0.265041449683957,0.0911245010757551,-0.135102487911736,0.186297676056357,0.0909484717755443,0.0518993053454638
progressive,-0.165487448723772,-0.0227782764370525,-0.0110716459982236,0.0863865298369374,-0.0635843818043734,0.101530670029419,0.245433422091712,0.0689936853472744,0.0845149967488375,-0.0560123117081325,-0.141644499126907,0.0484975334411192,-0.0041441089807926,0.0937533042117796,-0.216329172844118,0.0104414358767206,-0.134440051601543,-0.134936580788182,0.070182490803746,0.0127187860885156,0.11985450674403,-0.307241757190032,-0.0166623736670118,0.225763227390254,0.0152634981700392,-0.122914845288601,0.0420044594619971,-0.0305222220209761,0.107718187585994,0.285065044959868,-0.30353688556665,0.203581740840989,0.0336875955857981,-0.0406962960279681,-0.173336429327946,0.0149818133430037,0.104915662272947
progressive,0.446181148183734,0.0836318473054277,0.209820843023518,0.206024325960366,0.13222726571377,-0.325198804437966,0.126586726077087,-0.453701867699311,0.0068698880190364,0.284666465125652,0.117077354766526,-0.198901336803786,-0.1914890892043,-0.222729001038234,-0.166034346228501,-0.0284196420155928,-0.191055201539939,0.222837472954324,-0.0044111912543286,0.0289258442906797,-0.124815018114283,-0.325632692102327,0.202227808897214,0.0136313041219828,0.0260332598616117,0.355715570164634,0.1042776686679,0.0635645428287686,-0.37003386308852,0.200636887461227,0.0864159598184056,-0.229996619416267,-0.180678054900658,0.157573536773478,-0.16957776215411,-0.513976095740015,0.212821899368676
stable,0.284042803749533,0.238548353453496,0.278022930716869,0.362448215324759,-0.259376998044817,0.320025622450565,0.0973667538597249,0.20187859970695,-0.0376130800414431,-0.266726235517674,-0.23160934197965,-0.0440228612759981,0.232820669693713,-0.1171117826046,-0.104683095851529,0.0573997118947086,0.174372172461909,0.0208925005251292,-0.0933747904825514,-0.330295785138082,0.0831810614127746,-0.229473070739515,0.26678525388074,-0.287486186604444,0.0905399740271181,-0.0596830452854331,0.107182184897394,0.179879262995809,-0.219890810611661,-0.173594291086424,-0.144939424546981,0.105152340213606,-0.325484337277034,0.0749020428431011,-0.172182687943599,-0.0751700442622666,0.140423068501259
stable,-0.322195099030233,0.21168088683558,-0.331406507396283,0.248469799804915,0.374253169217183,-0.149696730047284,0.231238113464977,-0.251226415855346,-0.369863002914644,0.157093082577659,-0.300493837694946,0.0328071342298231,-0.0902082750330405,-0.135641391419777,-0.0228356712325843,-0.0982285530069288,-0.148437535061285,0.413628536752354,-0.191454358366779,0.313176540346724,-0.0728177713074807,-0.322819024473747,-0.0242423395052323,-0.157308620458145,0.106861412325357,-0.172248798805544,0.224840041644223,0.0354843415874435,0.131546171690535,-0.0955967220452002,0.215912235752497,0.0616778661160263,-0.455624391150281,-0.548396432551213,0.115970723800651,0.0571742588237581,0.173088262129544
stable,0.0175207202951303,0.0409479614635481,0.137675714158149,0.281443234083087,-0.0336269485984175,-0.12668967571671,0.0761837252347968,0.0452998968889312,0.147468698651198,-0.0616546780981334,0.177882536047697,-0.0534253173404774,0.0673216843529937,-0.244508272264129,0.0779733061573843,-0.299890378845718,0.335776899316089,-0.0379336925863616,0.253442619445834,0.468092908993964,0.153031764599948,-0.209159529899282,-0.235406716763898,0.250283737968843,-0.275541232353543,-0.0178009072072526,0.0234769517496007,0.121528813561167,0.144477025492731,-0.213000802081604,0.192361872603177,0.291471214050818,-0.162490332455947,0.254811920000238,-0.157067359963258,0.0327954261495385,-0.169142512046979
stable,-0.207019729567252,-0.126286634388085,0.0359816989327319,-0.022086866795309,-0.0435002926706237,-0.0069189818965339,0.212876171345573,0.235099721705384,-0.129587991431434,0.115433759828532,0.0012251636292636,0.022462996020254,0.0853972971065351,-0.141628117390681,-0.140526667352645,0.0275252763581073,-0.0722417534457281,0.113563090606326,0.277760956874208,0.284027449346036,-0.101298484340415,-0.0487092334754981,0.0751679789543848,-0.201790834957341,-0.0935035304027627,-0.222077868538324,-0.167675814485808,-0.0559754115796735,-0.207136459326718,0.239722020642175,-0.146281344725278,-0.0609608697681349,-0.179799746426209,0.066623759637598,-0.0382215135481203,0.150594359683997,-0.143372079950903
stable,-0.0742907880790588,-0.065427956315588,-0.197874114188895,-0.140853186860371,-0.0155074233484272,0.027469713991466,0.245297860836404,-0.17794540390932,-0.0571475392108596,0.171984516488974,-0.222163337696099,-0.0185207861480072,-0.102530302315123,-0.0624551093183553,0.124261965799154,-0.16140989207633,0.111894517132642,-0.0908718801896893,-0.0924519964812338,-0.0179839517669056,-0.0049733147381304,-0.195017750123411,0.0296879541699804,0.062156305276044,0.143370231081197,-0.084708413757607,-0.184595059969569,0.0067863968931719,-0.225824953333236,-0.0977089218357953,-0.0751517488789388,0.0240157418413591,0.0369048314630923,0.0503864646941548,-0.10271768790098,-0.145684696290286,-0.0575476327590392
stable,0.0620755177645041,0.0183284413481386,-0.0720279413265136,-0.0701536892980476,0.0125095426085987,0.235305804085436,0.101863418384304,1.45290854919846e-05,-0.0708147626879329,-0.0252951378415452,0.0222004426317524,-0.118753480268736,0.172416657533381,0.0799826156333751,-0.0215684274128511,-0.0733210299353002,0.0190839537937217,0.0907995197821577,-0.155446685678743,-0.0483963837738006,-0.0887363896422958,0.0016563157460862,-0.196149918684538,-0.0158439677290092,-0.0837529133185451,-0.133028306764611,0.0556463974343009,-0.029196197296143,-0.0016127284896102,0.164759829479105,0.0458537938127033,-0.0509752964486279,-0.0356689048828221,-0.102684311714601,-0.0276779078622306,-0.0088990648638405,0.142435889620671
