group,ASCL1,ATF3,CDX2,CEBPD,E2F7,FOSL2,FOXA1,FOXD2,FOXG1,FOXP1,GLIS1,HINFP,HNF4G,HOXA4,HOXC6,IRF3,KLF4,MAF,MAFF,MEIS1,MXI1,MYBL2,NFYB,NR2F2,RUNX1,RUNX2,SETDB1,SP2,TBP,TCF12,TCF21,TCF3,TFAP2A
progressive,-0.0285932961673587,0.112638797707304,0.0535732861636106,-0.236262046174772,-0.242862352113994,0.188783203086428,-0.106014403060274,0.0205717564675015,0.0014934998840574,0.0799504212126904,-0.0771320423992271,0.0653767529892262,0.240814811950366,0.179653582827431,-0.236406578421616,-0.029436400940617,-0.299494904169141,0.0047213867302462,-0.0025534030275821,-0.0129115473847551,0.285282566562788,0.146025746728331,-0.0072988784656357,-0.118010579548349,-0.0260398931397765,0.317802322102749,0.137281545794252,-0.38084247043466,-0.0685082850041854,0.0365666584516011,0.0406135613632407,0.0775656391397599,-0.076746623074309
progressive,0.146892708749324,-0.117256203352084,-0.0405999604106592,-0.0621164737257667,0.103771739966595,-0.17479968514712,-0.0260895052458388,-0.230144613129304,-0.0928375990040128,0.0505960517464244,-0.0342974394804847,-0.0242720340938815,0.112565955218001,0.0020519835586614,0.0006155950675984,0.0564881759648666,-0.0469317953916718,-0.0457006052564749,0.177174123264999,-0.034766464293893,-0.109165525320791,0.0467559110866436,0.0800273587877976,-0.218243108489067,-0.103273401102348,-0.17523939590969,0.0684483087067792,-0.022307992687734,0.0101426615899553,-0.0581590768626338,-0.427047092608291,0.152755518916928,0.0719953088581798
progressive,-0.128337828345369,0.181813912926943,-0.312128446541667,0.150229600470951,0.0497375333112731,0.0441273190806169,0.0881543705026434,0.112614904548305,-0.279245429174408,-0.0745084196335238,0.144719653898885,-0.109926776367999,-0.145984936257289,-0.0092962443464576,-0.105429055682655,0.0531943802074392,-0.0175468402533291,-0.179703517446135,0.106617943634514,0.0861633412820615,-0.238689548599775,0.0912101467644476,0.300249116323903,-0.0914632032361283,-0.260643391180675,0.27677216026251,0.0970829667676027,-0.135160803779929,0.216315536782877,-0.12258914925285,0.0714669673229468,0.156455744604377,-0.28462168553502
progressive,0.0163230019815833,-0.0549637367609952,-0.213101846666644,0.0264707089657092,-0.0258929035858302,0.125853234304907,-0.0491856829622046,0.0941822769202861,0.627821658074837,0.106027287207807,-0.314470577999176,0.20667376181549,-0.082301153796523,0.0016250776309098,-0.0737424116070645,-0.249395247090297,-0.369650991777626,-0.200245676964335,-0.103210485980896,0.489003915558893,-0.046838348606446,0.142826267338854,0.305117353412384,-0.262540319482546,-0.0888375771564048,-0.592033837358578,-0.032429326945712,-0.370481587011202,0.0873569508704648,0.463977720042882,-0.564588081814323,-0.419161690266013,0.0050557970739417
stable,0.269538449487994,0.2749775380471,-0.192493542870799,-0.273409999480997,0.170429279273174,-0.0252495328514055,-0.283229315880605,-0.0120248740495741,0.191564988621667,0.143739618625817,-0.301992482251586,0.0531669700111287,-0.13951672378179,-0.182784263045413,-0.311556977110891,0.111583842892352,-0.152460499749425,-0.323099234606862,0.136937620919335,-0.28033265132588,-0.223443742453364,0.351663377948414,-0.25363719927988,0.164478617167248,-0.0411855314513789,0.215246017673862,0.184153928824538,0.130054543631848,-0.112804862772967,0.0404529195230094,-0.194661456429584,0.132391372984394,-0.313656359119065
stable,0.190093033362066,-0.324356288666526,0.253623470462101,-0.347299722813526,0.166322910817864,-0.253487576479,-0.086790957207606,0.0460454112742858,-0.0352078661219268,0.0406323009474022,-0.133221401434013,-0.30802636169714,-0.285966238440301,0.368397263690062,0.0653423568747243,0.460623980221735,-0.0854320173765892,0.59417379211491,0.0227848911667149,0.0640513640352583,-0.280587101609193,-0.271889886690685,-0.253340357997306,-0.194702104288931,-0.246817446808426,0.165677414398131,-0.0689095739311434,-0.0209389978962505,-0.306622123871756,0.211371766216071,-0.0055829778057606,0.0044958259409472,-0.104072142058703
stable,-0.0605318688502431,0.0755066832254078,-0.12609751658218,0.0236461085169694,-0.154741254760867,0.124145458703462,-0.0103522328707007,0.153466994756704,0.20443287627073,-0.0014730807140324,-0.0531980958475599,0.121840945929976,0.151216705813182,0.166272855933293,-0.134827553206446,-0.0076410413724814,0.112753935758444,0.316847913091897,-0.0003614921997625,-0.272153921243751,-0.29612085408801,-0.1262195201996,0.121800278057503,-0.196127592981185,0.0915524182423691,0.0836673696350479,-0.190804620339681,0.0973091815235881,-0.0015860470264583,0.117724453505179,0.0158152837396126,0.268480256763664,-0.0963015220167499
stable,0.0082934311789777,-0.0160075784537735,-0.120910808564974,-0.240534430348023,-0.149509087779523,0.0217675149674733,-0.0067649591908348,0.143806979951611,0.0248992374167603,0.160622165913797,-0.070600848976126,-0.0481852539093097,-0.243171617829195,0.162172572920687,-0.162453739979171,-0.026393809830476,0.185704859850986,0.329671367211667,-0.227811122428458,0.143331388863324,-0.139805833122898,0.0100911056699247,-0.0275114987402661,0.0528663863191799,-0.389604817752606,0.101909100052236,-0.0297438854209263,-0.0910642273744597,0.388062387116169,0.0865226814475249,0.0838765205495919,0.0947852041909956,0.148712447780485
stable,0.090967651728211,-0.354002689770951,0.300673516271261,-0.0312652379864184,-0.153917286924577,-0.007938774691431,0.247167588882131,0.0974368440817244,-0.12292475493901,-0.135186424755037,-0.161714658504456,0.077135397351729,-0.0715398742231631,-0.0483396637063474,0.244016319538968,0.0678583432116788,-0.161315699725434,-0.0044794485695288,-0.0471781381471685,0.0100194204756992,-0.253061068567182,0.0265433840828,-0.0500011502670858,0.289810727237375,-0.219477829573533,-0.171385621312402,0.168365654858537,-0.183293783349549,-0.0013534297819997,-0.242647739423587,0.0376889793397901,0.167699040189791,-0.0532584719439134
stable,0.141193661692376,-0.266060085879385,-0.0393621156185293,-0.124909886221185,-0.0856491820157324,-0.287276802229527,-0.0977533585336865,-0.0668301212176207,0.082469209848538,-0.0628678324352623,-0.0670112130266865,-0.0127343760135028,0.168299483673336,0.274607619267288,-0.106032876044172,0.0609699902762534,-0.0114232713158669,-0.0083519542341119,-0.0974129059326429,0.0973187381919287,0.258722245776042,-0.0938417754578665,-0.173138256811573,-0.122294920498276,-0.0721180020423403,-0.0574712965251033,0.0214267828486584,-0.296961592178363,0.0241576473293697,0.186017506272328,0.103838043318295,0.0387898655018815,0.052371751181812
