group,ASCL1,ATF3,CDX2,CEBPD,E2F7,EBF1,FOSL2,FOXA1,FOXD2,FOXP1,GLIS1,HINFP,HNF4G,HOXA4,HOXC6,IRF3,KLF4,MAFF,MXI1,MYBL2,NFYB,NR2F2,RUNX1,SETDB1,SP2,TBP,TCF12,TCF3,TCF4,TFAP2A,THAP1,USF1
progressive,0.0500379535011385,0.180987830852028,-0.0258244892168298,-0.0400592169788067,-0.276158527612002,0.0497013214256864,0.104163582204196,-0.181420643520466,-0.0014186637465483,0.197290441363211,0.0892796354395614,0.0532840485144272,0.331847090951087,0.115705253362556,-0.313909410359137,0.0082234407003312,-0.316482241221521,-0.126333208887545,0.0412614743911358,0.213569006726147,0.0372699797822031,-0.0334708463592431,-0.129531213604341,0.284622419794799,-0.477272147546419,-0.291739783675787,0.225447309959959,0.0667252863842669,-0.35687809027578,0.100388493929483,-0.166584787052325,-0.128016369264806
progressive,0.141458911988784,-0.39806900698871,-0.10809872173905,-0.121325744539821,-0.0541371508438663,-0.144443771116391,-0.118428675386555,0.0075499377933608,-0.0836638455473588,-0.217923979640147,-0.24745067434364,0.0070524612720928,0.0631502548762505,0.166976531197352,-0.308932919707404,0.0686224966101981,0.166362001376962,0.0656376374825903,-0.0689443931827833,-0.0528495645535257,0.181315560339781,-0.291082291591318,-0.130836325093474,0.304016681144285,-0.0475236394434805,0.159748489976576,-0.0685347066358567,0.187782755116265,0.0208062239189129,0.296964219872192,0.208969402257324,0.121442797838943
progressive,-0.0132430204566111,0.102901654811939,-0.214067679249844,-0.0709743872725039,0.285614325238514,0.375339723110728,0.155630526684013,-0.035646949194515,0.193847871278641,-0.186694637326564,0.144490557009312,-0.0015689426468221,-0.0004768822634717,-0.100793835207394,-0.0957865714409402,-0.19479686698295,-0.142654560294946,-0.0474593228607108,-0.142034613352433,0.214239356864694,0.293215828518254,0.130312847316297,-0.208116188601716,-0.0407925088173754,0.0158944858415142,0.290015948530358,-0.140608735384652,0.0965686583530339,0.0307445995260252,-0.197209891236117,-0.0802831290554729,0.193008558494931
progressive,-0.148950876920905,-0.0085599800752314,0.0374183095271722,-0.0015530765537339,-0.0852386201584231,-0.0825658837636251,0.114891546916925,0.0825297657042359,0.0341676841821476,0.0953155587279994,-0.170549476435624,-0.026691245888591,-0.0619424718524134,0.153754578819664,0.0040452226515861,-0.124210006239329,-0.142774688765359,-0.178206505026127,-0.0034673337013595,0.0510348179168864,0.164301052161299,-0.118611707034009,0.124824013248945,-0.0030339169886896,-0.187308255992196,0.2436163105799,0.193520562207132,-0.366345476384273,-0.0678297155328468,0.0205150577330442,-0.374291449449889,0.299635420692491
stable,0.21888230345649,0.231568113170052,-0.278154125757157,-0.259142773152663,0.277945782166971,0.168147745585166,0.0530928915657925,-0.297297622212834,0.0664799317889164,0.346795622294256,-0.240274174489593,0.185872383609529,-0.0055625809472408,-0.0904741685920312,-0.362040392863207,-0.0825030971600911,-0.179147515504073,0.175523687409954,-0.321478982425653,0.220241359560992,-0.283256614609403,0.132099481714656,-0.0248440085760504,0.235691580059154,0.0393537892574001,-0.280986055297837,-0.246130944302606,0.0386631688380791,-0.270713558837265,-0.258684610164985,-0.119894019722913,0.199923036749542
stable,0.247537242989923,-0.232062627762996,0.0618758206513432,-0.287723698041564,0.022266692137064,0.179865516708597,-0.406041677816141,0.0327264905786742,0.059430672963694,-0.164504102763505,-0.100443497372735,-0.238322658648505,-0.227059131105862,0.231360779815615,0.0547214996393327,0.427923485594964,-0.116223756060618,0.0419184346637255,-0.338324671022081,-0.136090581022768,-0.144807079724109,-0.0974436634040911,-0.118793425158287,-0.0976813860959458,-0.152436846119829,-0.167662418526718,0.137811240506669,-0.0406732205635338,-0.395366796939043,0.100601979167305,0.0211120390623408,0.313533590300082
stable,-0.0709271829851015,-0.0706066336539785,-0.0570397218226462,-0.211232979651429,-0.173340436889242,0.203327601076832,0.158757699712801,-0.110738506954715,0.035770596485739,0.0137655621210423,-0.191354406342492,0.125781751620937,0.0012912268831151,0.139565372859226,0.0292873733942937,0.115962106618226,0.168703758536237,-0.091984113694364,-0.132621642277999,-0.0130522269898108,0.046312606178305,0.0792388916977413,0.127045889828183,-0.335642238361642,-0.238597057058984,0.0521050680350768,0.0804262786566899,0.160373990706351,-0.131375563187999,0.118684518543116,-0.254976676401438,-0.128847286773508
stable,-0.147748050122018,0.0361981626730376,-0.0976696736735064,-0.144314366226089,-0.152727190698905,0.111911590076439,-0.018418934073197,-0.014975285917559,0.137093267214542,0.136944799744869,-0.0353292792263604,0.0317670563801781,-0.236737857162491,0.129148762948077,-0.164260821312768,-0.011529644909979,0.104227152988395,-0.203890675029792,-0.136399754738754,-0.0123676391515564,-0.0650955122568507,0.0916941071256589,-0.397839011721345,-0.0593869878692204,0.0111669458565495,0.31805319137463,0.0706157121359695,0.0914738969860767,-0.296968817829115,0.174964429092821,-0.166720997035069,-0.131313000157002
stable,-0.0231052374925856,-0.163306627241674,0.133285467668066,-0.152771204334306,0.0047250387356478,0.137127085699933,0.0085414161759787,0.0157551772371334,0.125359921925579,-0.139282632217157,-0.0014841467823509,0.0797905579654375,0.0282038369829748,0.0053409091691403,0.0912598827596596,-0.109306905708314,-0.151892831748833,0.102027519109165,-0.0746465254102824,0.0664988624622743,-0.188986405070991,0.164588849291733,-0.0739246444923362,0.328319518471221,-0.0856514233202314,-0.061430551681729,-0.0610569909269876,-0.003306517491292,0.0339536437350078,0.0196169877422302,-0.114970894449123,-0.122073596907517
stable,0.138625637190968,-0.146343568269873,-0.232661199331697,0.0472134469287028,0.0963328242552949,0.0508948638189224,-0.317391762875886,0.0836797654160754,-0.231248057021474,0.0523007592455024,-0.111500551718346,-0.0023697309509878,0.215616529005325,0.271627692675616,0.0459235016403975,0.0766430413995335,-0.136734200560363,-0.263859033411215,0.158489345254141,-0.169961162059688,-0.0167475480970425,-0.137053063440618,-0.205970926877604,0.0974995725216834,-0.347560539478217,-0.0681496937709165,0.192593179674168,0.0536341858356607,-0.0151532336957663,-0.0787591314230456,0.0293933600526199,0.0878032422084671
