group,AHR,ASCL2,BARX2,BATF,BCL6,CEBPD,CTCFL,ELF1,ESR2,ETV6,GATA3,HES1,HINFP,HNF1B,HOXA1,HSF1,IRF4,MNT,NR3C1,PAX5,PRDM14,RFX2,RXRA,SP2,SPDEF,STAT5A,TBP,TCF3,TFDP1,THAP1,USF2,VEZF1,ZBTB7B
progressive,0.140754009714733,0.14001656292964,-0.108281769611142,0.159632647413112,0.0794476003140095,-0.116737826080208,0.0953764508720163,0.177528022731366,-0.29360214670499,-0.127381641345049,-0.041567417119737,0.256483991855314,-0.131290109306041,-0.260392459816306,0.0086035458260839,-0.216317723627253,0.011160028014406,-0.192154050635709,-0.0986212167264251,0.158501895675969,-0.10294757119897,-0.182223100596458,-0.296994401916418,-0.481675658463185,-0.0774319124347555,0.144342917402185,0.0006637021065836,0.019517758245459,0.0932132736357437,0.279246515955182,0.105037003756733,-0.103611273305554,-0.128364903725172
progressive,0.148925525853844,0.159702438529016,-0.38664800907025,0.230157630865032,-0.0815322975648136,-0.10969035909493,-0.0261167521654594,0.140159903287966,0.291787162124443,0.0295089280214329,-0.395353593125403,-0.22586487734818,-0.0400456866537045,0.0721963091470459,-0.0035422721327864,-0.0333513927078453,-0.43611974190781,-0.0508526185842394,0.222082451172493,0.0973224258855397,-0.36098154573523,0.3749705187342,0.0649616686046601,-0.12680133465161,0.0991235812072955,0.129623144655694,-0.0158801860868138,0.0887068995964743,-0.180625859516747,0.0918289021541844,-0.144932964890619,0.148685371810943,0.181376340900811
progressive,-0.18722266847109,0.0812357445247368,-0.476804767848783,-0.400660913290133,0.0962051353272921,0.0461907161209284,-0.0413859628070647,-0.471995228924049,0.0104661309735257,0.287629570142578,-0.191529718254434,0.423483491530986,-0.422550297411261,0.0951379441031969,0.407355982897798,-0.403924699903734,0.336007310431271,-0.0033259995549155,0.483892257547819,-0.0771966889501342,0.486170208322121,-0.422339730532964,0.233949373009501,0.0577718944272532,-0.409724860278637,0.433499775082695,-0.0079441140448343,0.413830914405425,0.490807465255522,-0.282791317552621,-0.410930834217973,0.401182544875005,0.0002775654304821
progressive,0.42729820828457,0.0867113710586844,-0.0349683707878287,-0.137326359368642,0.441562101467534,-0.0537443118143839,-0.409322791875426,0.136926097059937,-0.427807633041105,0.469944337903025,0.144640243373173,0.199185079804968,-0.258241964080354,0.418492437493046,0.276253767972107,-0.333091015808307,-0.134852010551189,0.0075685963827974,0.314060362403485,0.40255472011004,-0.0859472339238827,0.0885671326717741,-0.387963339583589,0.14118343252526,-0.0144822180786221,0.405247393823151,0.426570458632378,-0.165235558530208,-0.0397351310096867,-0.468052188807326,-0.196637956022296,-0.0126264564655323,0.356779266987159
stable,0.132017237228618,0.159837447294621,0.0086319115182717,0.198984626967389,-0.0879890409222249,-0.124642227112146,-0.167662128992194,-0.0648061928445808,0.099669606904437,-0.108092530088761,-0.179512064666847,-0.0142181399707161,0.0857703969978498,0.172049893539061,-0.072763596991201,0.0360311735182662,0.0555057167508835,-0.20546821764996,0.151062908666925,-0.0266465078113672,0.0080673458768013,0.0326279322128409,-0.0665999268387965,0.0564199169036505,0.109775331886758,0.0145895647348414,0.0816272775622869,-0.0015936598546069,-0.0265910417132578,-0.0578610449884566,-0.28109426149002,0.197338472412786,0.0402990916745752
stable,-0.171971765377581,-0.124708539980625,-0.175951948611354,-0.0505587706983887,0.048481648835866,-0.0989475872722425,-0.0579273314956062,0.0306926666277802,-0.0135535102537797,0.122120840677035,-0.0661661947491881,-0.0424823639033282,-0.286944521879678,0.0662126108801942,0.0679996319239288,0.0019146654040014,0.107221262624079,0.084512170529347,-0.0391287984381379,0.0252271672018125,0.0607239033887234,-0.199566155260704,0.0367267636585725,-0.23441306561353,0.126379520696844,0.0751361120661159,-0.0560474781898594,0.0541908329496156,0.130440932159878,-0.0601088896528927,-0.155679703394442,-0.0518468183338078,0.03868784519358
stable,-0.0144449383709344,0.0084819359108974,-0.0088987049000397,-0.0714369526664028,-0.062790141111449,-0.140016060835829,-0.0167852565407338,0.144696697175428,-0.0869123638126892,0.181216652333903,-0.089742729035656,-0.0288486578308547,0.0961133407268322,0.0984994576866473,0.168273914275482,-0.155010584686951,0.08896414960539,0.0971712927761936,0.099154380383871,0.0732322652350161,0.0965072103209667,0.120583634232191,-0.186281998509634,-0.0355673403261498,-0.209676020449625,0.150911592980551,-0.0314958278937589,0.136663589406684,-0.0580820254978408,-0.137584145085999,-0.123583454978216,-0.0801433026483769,0.133237839913514
stable,0.0130458226442823,0.107483217322516,-0.141741072900286,0.247447234363069,0.0298318098286576,-0.0902285781683411,-0.0037411702310152,0.0667205528592061,0.217594305025043,0.116756693317191,0.120190122125977,0.0176438415411108,-0.0369852893590909,0.0275177150164086,0.204689279109885,-0.126285614806134,-0.0776312936754117,-0.100663627178291,0.0192891518900196,0.0916083861137586,-0.0673541381402652,-0.0160075824105027,-0.050638549320452,-0.0088641597892926,-0.0253212860420706,-0.189503346182914,0.146907307168223,0.0315626039059633,0.0725666341906287,-0.050660674520743,0.117675894820188,-0.0635405581628431,-0.105989766302876
stable,-0.0569016167463855,0.0736013987545958,-0.182494761535856,-0.0919861944705578,0.11460685541493,-0.402422750671613,0.0719630469649049,0.261063062235148,0.0306309568781454,0.234144320171619,0.0034477972789381,0.144937102154461,-0.0600487038867095,-0.110142865253778,0.0144289019959172,0.0287022642649649,-0.132825742088897,0.0459775432625919,-0.142132202413249,0.216552777062691,-0.0356393360833398,-0.0727407455992518,0.118925675164336,-0.3119712148395,0.123939239027093,-0.131451807834885,0.0153932483025074,-0.0575496989416746,0.166878572958169,-0.188840782392127,0.0103796844397507,-0.32562241820107,0.0043032657767198
stable,-0.0226436718239686,-0.174997411379345,-0.327151026830221,-0.0869353933955246,-0.0980237511855924,-0.218194569935839,-0.0758025635822346,0.0407586092831435,0.0302854478143161,0.229660939923295,-0.41315991974195,0.400233384992031,-0.0636468772348341,0.26316319741735,-0.102211533372349,-0.0898483109165785,-0.257908086673261,0.098461059413944,0.188390902373096,0.0717333734574036,0.281945215224858,-0.0175219771495456,0.0148091837329916,-0.0493194737534164,0.093947149056891,-0.0380013438433673,0.142947906643882,-0.0375566236111453,0.155288893088041,-0.0944585773239462,0.0070488156807182,0.132200501031851,0.0697024843969233
