group,CEBPB,CLOCK,DUX4,E2F6,E2F7,ELF1,ETV5,FOXD2,FOXG1,FOXP2,GRHL2,GTF2B,HOXA1,IRF2,JUND,MAF,MECOM,MEF2C,MXI1,NRF1,ONECUT1,PBX1,SREBF1,STAT3,STAT5A,TEAD4,TFAP2C,TP73,ZBTB33,ZBTB7A
progressive,0.0064801401040334,-0.0975224126683055,0.360251439015486,0.0559312472857639,-0.211577806362491,-0.0597257019474413,0.0749527992261206,-0.22700201816905,0.0574588848768288,0.145298046363062,0.110605889456297,-0.003597340133798,-0.253193611061018,0.02104197585112,0.22995873608724,0.105604108311359,0.314323754019599,0.401670129186133,0.179349581054218,0.232102356577928,0.0315876030926649,0.202683013291936,-0.232200913841867,0.174520275121174,0.305182567789195,0.192038828786451,-0.172598408474351,0.0421085910182249,0.254351658912309,0.113488689426532
progressive,-0.0113060386551456,0.0405282602585247,0.0569788456033133,-0.397446141930093,-0.0585939939826198,-0.226898437137394,-0.0705879662067293,-0.162083130878926,-0.284415665533809,0.0995409964135573,-0.431723179757598,0.354704530188815,0.408393258723171,0.12957079220659,0.358024557412945,-0.167137947103052,0.042562150810244,0.277356868913136,-0.0907773209480608,0.164954505775471,-0.0089431363965305,-0.379290677740481,-0.255253264240775,-0.0277566239999343,0.249989076930442,-0.0809967002067047,-0.388353454757701,-0.389968603137007,0.176948477999581,0.132202885861756
progressive,0.0513507200582328,-0.231534787730812,-0.0508676010436666,-0.230452601138184,0.0063481838513988,-0.246414853379449,-0.238066556807746,-0.0787435681841317,-0.193981946728588,-0.0786131260501988,0.160521123779739,0.0747530051238155,0.129548363755905,-0.14145724746496,0.20079392483397,-0.162675834584703,-0.0233443107838349,0.139022327631546,-0.151684877003324,-0.175285240864879,-0.181502982582345,0.161303776583336,-0.190005877238709,-0.146032384532901,0.197726119091475,0.165246027742195,-0.0698445159358238,-0.0524812185523175,0.244100713299677,-0.0478529383927741
progressive,-0.351920341043094,0.0927896388719942,0.274674886846148,-0.129583638361638,0.21436345030696,-0.0538011662517554,0.0452061464902581,0.0565442576649992,0.427593089496446,-0.128961870974636,-0.07099120577475,0.13437490469677,0.0931188098415835,0.0128010932618045,0.177386578056434,-0.123841433669914,-0.0878886488803319,0.228261780134062,0.115246413908417,-0.354480559695454,-0.387982849489206,-0.193479381014131,-0.126950270604924,-0.178410665517378,-0.170766584112472,-0.093777151780762,-0.152186711606767,-0.0950572611069424,0.414901719891172,-0.453780468854881
stable,0.157282432125083,-0.180726950398098,0.133703507901389,0.109987234531014,0.0468919797420291,-0.151978792932552,0.0420906460002149,-0.0630491447183137,0.0785107343731953,-0.122929448409643,-0.0155793174948934,0.134806225336166,0.0850201028605139,-0.204331382320462,-0.133369945688022,-0.206559381692685,0.0090846649875764,0.0915383009358332,-0.161653078185521,-0.0522956875985702,-0.250412021031743,-0.176361209664327,0.0378534248251239,-0.137648371607117,0.108886479226904,0.0501442113223547,-0.0320759310765454,-0.0169096420870267,0.153462163716701,-0.105653868953247
stable,-0.0135143476026588,0.167972320417596,0.010869479573984,0.169642763383075,-0.17345926154726,0.152671526865745,-0.110237635423233,-0.050426497020393,0.0053477375492066,0.381835421192376,-0.0497884806099671,0.0235834065890175,0.0981269239235115,-0.409722538477176,0.0425846953213395,0.391974081968963,0.379584963308328,0.175118104214367,-0.35305508093298,-0.198423103642471,-0.127614882383562,0.0693117827690012,-0.385617118461446,0.367497452405349,0.379932972259469,-0.401799534689522,-0.0673629326426092,0.0675717380132941,-0.0210313409473137,-0.207761343831433
stable,0.216348713850965,0.0986247773802768,-0.0412265129898323,-0.085943925290505,-0.174709889918907,0.132090682190892,0.123138953511913,0.115708194086476,0.152820760119438,-0.218112488437151,-0.0378043321693629,0.0391466333479406,0.0159518522314253,0.0945978738445436,0.0615488612088451,0.309549311724634,0.0685627284593656,0.1343217425116,-0.129690116260603,0.11075130031439,-0.0788430146188482,-0.0472279278155552,-0.153828631311545,-0.101199430152839,0.0190121156692748,-0.09945856173011,0.033090243729921,0.247065879046745,0.176780607095416,-0.159463547521956
stable,0.115799082833224,-0.35726857585072,-0.0282875890390801,0.0370436096399693,-0.0866174216859629,0.0279232622662801,-0.162978892491932,0.147774592463824,0.0576214758574274,0.0204053437902269,-0.129700331116833,-0.188166152029886,0.119239382999776,-0.0135825892121349,0.130609625792122,0.277736751734925,0.3132398375835,0.10475561781481,-0.0688942942202782,0.0538533830791357,-0.169233337897968,-0.167400540818088,-0.186772779720542,0.300377783214507,-0.143922268147531,0.0343035475604143,-0.0843553482136191,-0.0009783036461818,0.082627079427885,0.133969753771902
stable,-0.028192434092582,-0.0105170893130813,-0.0216250845806678,-0.0634290891691352,0.027720746006091,0.0427940312315421,-0.357622503729289,-0.113174040444463,0.0040067570423912,0.140630433786697,-0.0079461300724266,0.171450844361158,0.119715473028548,0.0517146377903459,0.141993664190512,-0.193557983799448,0.198984988486878,-0.0589713775825163,0.107653734816848,-0.0906988806309985,0.086889092240109,-0.0793679997840809,0.103828396269261,0.243541370810805,-0.0806482960188424,0.243686505606648,-0.0720594261362522,0.0722356612454906,0.118870581181317,-0.0085681363403269
stable,0.0049317252893428,-0.0078729349498545,0.223524506901766,0.0726909569379494,0.144973412534161,0.168287698201702,-0.137301014606614,-0.130037118020805,-0.0708861237371809,-0.0341729940606422,0.092789222951446,0.0219476629970001,0.0029040731748991,-0.186536567231695,0.0639267463333943,-0.10430896078845,0.200856396083883,0.0502605196279865,0.0818785234784872,-0.235497309863243,0.097973476342954,0.0592475491462166,-0.119312100975909,0.0351088334980777,0.0149585764047236,-0.0589504572613165,-0.0487453510149956,-0.0601685339894072,0.0523327355251652,-0.0206181768120719
