group,CD273,CD137L,CD30,CD19,CD33,CD269,HLA,CD7,CD14,CD16,CD45RO,TIGIT,CD294,Podoplanin,TCR,CD195,CD69,CD62L,CD152,CD223,KLRG1,CD27,CD107a,CD314,CD35,CD58,CD96,CD178,CX3CR1,CD11a,IgA,CD79b,CD66,CD244,CD169,XCR1,CD268,CD62P,CD267,CD41,CD83,CD2,CD226,CD29,CD49b,CD81,CD18,CD71,B7-H4,CD204,CD1a,CD49d,CD73,TCR-Va24-Jz18,CD158b,CD209,CD158e1,CD158f,CD337,CD307d,CD94,CD150,Ig-light-chain-2,CD85j,CD23,Ig-light-chain-1,TCR-Vb13,CD88,Podocalyxin,CD224,CD258
progressive,-0.109838928655535,-0.386980806206801,-0.0100876318457985,0.13946310558974,-0.193775630576575,-0.0707028762463556,0.0001941584771288,-0.270040899452028,0.0315876030926649,-0.105895239601015,-0.395548122242883,-0.0381744577917074,-0.0728757763138047,-0.358940591771253,-0.289488565407878,-0.301941386416034,-0.137729550784513,-0.251529413423262,-0.214315298322467,-0.0928164908258876,-0.125470859247323,-0.04745634115344,-0.202381301647028,-0.0714778834236664,-0.225985781319237,-0.159756921613748,0.0617453426646121,-0.215039559478645,-0.387628345683113,-0.0714105690161882,-0.110901578398349,-0.371337324646211,-0.182929451107562,0.0566463776621368,-0.372438000524165,-0.185300716985242,-0.0915552242476039,-0.140792058652838,0.0852506433600698,-0.35822013072626,-0.359105944137112,0.08459226183715,-0.208631870511257,-0.226673087687929,-0.239353781854527,0.0683924396341737,-0.120107297938665,-0.421420872246714,-0.251010416493715,-0.217473833278084,-0.0802209445777112,-0.0540770016678212,0.0882832862287746,-0.255199556927082,-0.379808088881203,-0.265761865355952,-0.0526013926633165,-0.219747732320616,-0.169420467325105,-0.0977361580342956,-0.11718169850089,-0.244244451940787,-0.0572933780187032,-0.13713304768397,-0.143400671578664,-0.163607836196441,-0.254737728086686,-0.228481393552988,-0.321820264132262,-0.217082295055176,-0.280073715744162
progressive,0.37823424558362,-0.378212306385889,-0.0788137599067869,-0.0090930227209015,-0.126944268806049,0.0158372280995193,0.0697541597452807,-0.210223532864217,-0.0089431363965305,-0.119512667389901,-0.0989434420477242,-0.322340181928674,-0.0945724838813734,-0.127568827380787,-0.174390629068377,-0.191537688862934,-0.209434984805135,0.0183724279555776,-0.296978153456447,0.0158240681272171,-0.0356335671677017,-0.0472262843947596,-0.0954987082450822,-0.52775007336226,-0.0581331477686693,-0.0566484159141711,-0.281478823611135,-0.171481294765741,-0.311516168193285,-0.25832286513856,-0.0998494022054087,-0.0582170542280635,0.11247586022615,-0.195940857625329,0.0561746695959588,-0.170539265264797,-0.133467981884997,-0.26324648733043,0.0755890059652668,-0.0252900590637168,-0.0036095279233526,-0.178203550286939,-0.192311787422894,-0.26246510516318,-0.197196544592226,-0.147900281453744,-0.140299210412186,-0.0084283634433605,-0.0699587952099719,0.134481694252036,-0.0707229347604532,-0.173221097043201,0.0704467058214052,-0.0555727666165227,-0.223425969693497,-0.0431445957270482,-0.23863246856198,-0.26875098219622,0.0272596626161722,-0.0841283617648819,-0.12590987640836,-0.288300905369704,-0.193513719575661,-0.10088789817004,-0.457794116039412,-0.261153637915546,-0.305650381529965,-0.0315419187017107,-0.209788775351177,-0.194281754731052,0.0495707888045863
progressive,-0.10426460689375,-0.0442953647855598,-0.370254136753889,-0.0262927245121536,-0.0217402209127889,-0.0871827878040943,-0.194373821593053,-0.0100201909768165,-0.181502982582345,-0.272202972066906,-0.298342046785449,-0.222765888945534,-0.266035608990804,-0.144102846216555,-0.0557966130220947,-0.397087714066749,-0.115930845617994,0.128163444719704,0.0099293120429415,-0.0954825440951334,-0.339096112482032,0.0797919910008427,-0.208481346016237,-0.0797872915531077,0.0241615404847612,-0.246988732175115,-0.173562960588085,-0.292576290736317,-0.201435951848636,-0.311613516742186,-0.149182072737888,-0.140855331027311,0.0295982851057656,-0.484271470608352,-0.0425599160578512,-0.0499069982629084,-0.109637502847731,-0.388793416807342,-0.0075323530876268,-0.156555860619554,-0.192610166345706,-0.0522365306016569,-0.0994528278817267,-0.201877594463188,-0.211882641161033,-0.09267114322136,-0.151150425156804,-0.320265370793442,-0.281531198192955,-0.158107502558147,-0.182169663541672,-0.276555601155414,-0.186853147944249,-0.174593861208119,-0.154640926092061,-0.137333270516942,-0.0882683636568783,-0.232419787528272,-0.104193593727361,-0.293761892241154,-0.207207222026346,-0.209256332555913,-0.116451400475997,-0.258529948134063,-0.0405072190238433,-0.212588135654182,-0.112254541619336,-0.133843000267026,-0.0432293771837162,-0.150154484556224,-0.202564455581832
progressive,-0.0601738437025016,-0.0677703921758683,-0.0921747842648382,-0.0261622960763545,-0.157528160463885,-0.102083030350508,-0.236453525852776,-0.197350413475421,-0.387982849489206,-0.402751619570038,-0.235215670714793,-0.1551489500242,-0.0150082734534144,-0.0979302251005926,-0.143662056146755,-0.0425087914492474,0.0788825152080599,-0.364844368624782,0.0110894828637326,-0.452719239668888,-0.0986973263900607,-0.202516141088513,-0.271295282790393,-0.11679967372208,-0.408128965902824,-0.169065020440554,0.0068055937099084,-0.0659695203616774,-0.14692029660443,-0.0736023674080495,-0.217310576368942,-0.181335497358043,-0.244510352628442,-0.0349563686368487,0.099666123532994,-0.0249061140305994,0.0008218561212025,-0.137216966055588,-0.145577001497681,-0.131856238623306,-0.152102203761518,-0.140593336773273,-0.0171909530254844,-0.181693520496913,-0.0770954860407745,-0.0890181691024777,-0.223832257439605,-0.0932152999477289,-0.0409013243088737,-0.0929833947277288,0.0376678107184173,0.0339513565381185,0.004705223795726,-0.0523680372753971,0.0825782760898807,0.158222888819944,-0.413287240995594,-0.0157477586246539,-0.116561407939073,-0.237430379041515,-0.127738586515319,-0.022263623509598,-0.314911585489549,-0.0967655299728693,0.0416064578420061,-0.250810211229738,-0.180626224589049,-0.200281789800578,-0.0794597306561571,-0.184516583086238,-0.0235953338119057
stable,-0.378953065774926,-0.301438004665176,-0.370612204781438,-0.380038863506217,-0.25217627239343,-0.408025437555263,-0.516866130153827,-0.38848581519305,-0.250412021031743,-0.335185552628163,-0.264321924514316,-0.417311182082753,-0.355809406039245,-0.379384940786381,-0.433774459730262,-0.362243490472478,-0.362035662783137,-0.0629179654852946,-0.398459262788382,-0.263937731196679,-0.400227650183518,-0.385213310348696,-0.357989549128296,-0.250772964514011,-0.278742312674176,-0.404570459795788,-0.358063410827571,-0.393988310307828,-0.448174164495923,-0.485813640017672,-0.367197424958264,-0.301533934483631,-0.372139641925288,-0.359871597014636,-0.128062511775129,-0.354648912131261,-0.261421082475443,-0.346588268101509,-0.380869440658069,-0.248923865326392,-0.324598253087875,-0.343519706222915,-0.490673145226412,-0.343916108812758,-0.324047536484942,-0.354229907645652,-0.22327782992764,-0.30741046444447,-0.382773451153935,-0.237430423544726,-0.387712838635717,-0.263749929457865,-0.0619461066942599,-0.416503980444887,-0.146312759308427,-0.400528002599938,-0.166224471994897,-0.382971419311612,-0.394191257892199,-0.350562353169166,-0.302068951954605,-0.366555268742002,-0.412507609288457,-0.453994898606319,-0.299700933250056,-0.364112109223242,-0.381058460062395,-0.336760178773151,-0.379379209424262,-0.465889282631989,-0.456267036790071
stable,-0.315019056397451,-0.13518175701061,-0.0217864282611765,-0.0118565062128906,-0.356047855015574,-0.14878898090461,-0.0746482323722805,0.30278454253938,-0.127614882383562,-0.0913626038808355,-0.38545595046169,-0.390692117244326,-0.259085136767827,-0.143703415163326,-0.279002546595405,-0.209324604090441,-0.0682927554707458,0.151084596707925,-0.207600752794979,-0.187546212913269,-0.488373429647265,0.240375277416062,-0.201601817692568,-0.136261009649243,-0.366192576651868,-0.316713661302113,-0.0389524854186481,0.0446598686891357,-0.121593672120668,-0.498085767731498,-0.235485072569474,-0.199534849578544,-0.0796431626491922,-0.506470857380846,-0.269532881450338,-0.185762900082635,-0.361439127856518,-0.0698509948277795,-0.260838512132866,-0.16765965120344,-0.18068330172271,-0.203507952673076,-0.180794288041364,-0.358965352626525,-0.391583631325263,-0.303353745564115,-0.273532097827224,-0.0155961927048408,-0.103220254313579,-0.355269621052269,-0.0861724242628727,-0.208996140187253,-0.0925232623503487,0.109347639313344,-0.0763193025710665,0.0104530251471082,-0.0652768539788302,-0.121678552348659,-0.277454885263302,-0.188438793378366,-0.197771133033885,-0.239166591965633,-0.11803883936319,-0.25620603212115,-0.141727131931886,-0.0436039163750244,-0.148164569034444,-0.42354757183216,-0.296496797383824,-0.0715296984021303,-0.259171332886163
stable,-0.0180087803460944,0.0315163500562554,0.052972917405296,-0.0244229980283063,-0.0125266575758775,0.0715394085134149,0.0347213629500504,0.188049261963716,-0.0788430146188482,-0.0507175690119259,0.20421963170253,0.0100144889247231,0.0969834801738028,-0.0281086283150008,-0.0087955059373419,-0.0856106425522312,-0.0925318286923366,0.54138418236442,0.0608156945577004,0.0818915739801621,-0.136163806925574,0.0334474758078897,-0.0385436592750878,-0.194235480719019,-0.0329755634729019,-0.0087936156792879,-0.0598305682371405,-0.0220662337799967,-0.0139972398691793,-0.157364928808878,0.118364538584447,0.0660637993158099,-0.0123801729321674,0.0429175166638384,0.0870638470109679,0.0284341617523964,0.0742616763982704,-0.0489134982356819,0.0032147571040125,0.0137403110740163,0.0762418692785468,-0.0441296652140868,-0.0477061211318357,-0.110130462024852,-0.172061792202671,0.0690557414727176,-0.0993161530031943,0.161996728079755,-0.0584353042356919,0.0900310861459503,0.109088655169373,-0.0076564788828566,-0.0343733128742872,0.102029879981065,0.0256637038219081,0.160100185002273,-0.163866149416912,0.0822500114219764,0.0342610683365571,0.143182877976226,-0.0303795809004319,0.0415356289687208,0.0410591730932254,0.017137810956692,0.0735632055722547,0.0969878578332369,0.0678259131760523,0.0681593542652335,0.0635410040313379,0.0172207329649726,-0.0478520132798452
stable,0.111074581616724,-0.109681411691196,0.007425207038878,-0.0736392487544314,-0.0257161864371661,-0.0909525598586332,-0.0262033891785147,-0.111854267924359,-0.169233337897968,-0.0894079870427007,0.109139375734654,0.0250518905779125,-0.0496523050880486,-0.0812795396507924,-0.0639733698191594,-0.042474960978765,-0.128033389449305,-0.348877379655131,-0.0094912080177726,-0.0994602034745784,-0.0310933060090237,-0.20558680671234,-0.0349032121452623,0.0567624455576702,-0.0882251451270729,-0.0886517730424468,-0.149235080571982,-0.123874891213667,-0.0426946784999697,-0.0370315074267025,-0.0416264889600619,-0.096700203948661,0.0651701863816864,0.0348397399650365,-0.219644131134775,-0.040764108896303,-0.0766127304335365,-0.0111120149137991,-0.102150835947274,-0.0337527079209358,0.130008300384307,-0.243285347443794,-0.129437518585318,-0.27586579914991,-0.0033787667906488,0.0598481782349651,-0.183011760367487,-0.0836190486739539,-0.0981859121021458,-0.044069445077721,-0.0324844654809624,-0.0903512968460842,-0.0506249024949858,-0.236316581542874,0.0610147444131738,0.0082309054468155,-7.67483238776168e-05,-0.149428523291189,-0.108522159874293,-0.0858550201891117,0.0078349666487438,-0.100418752257535,-0.0351677884888041,-0.0640972066471665,-0.121439228565793,-0.0164594223552844,-0.134435105223595,-0.145929691538536,-0.128250983148242,-0.16590815170101,-0.143463419280031
stable,-0.051395641280258,-0.0425824946711862,-0.140693171617259,0.129177389755052,-0.0119374736320534,-0.0247979736072869,-0.0796274911016573,0.213572473873506,0.086889092240109,0.0212208564362055,0.0713486736241136,-0.0787085041708209,0.107399883862327,0.107630964982349,0.0924529178630813,-0.187406082540213,-0.0853569662147456,0.249850322336333,-0.0662103849803147,0.0865183576264821,-0.419573433334911,0.377582954995105,-0.0826037113915684,-0.0196881649770563,-0.0917732447603711,-0.0526068562620984,0.0022050767159632,-0.114015904678397,0.0132246538922853,-0.465656452069163,-0.0465017285507661,0.0605543815837499,0.0293611863157315,-0.227213004712347,0.0068167692760986,0.139137011632093,-0.0104479844621734,0.117400717236075,0.104886807140306,-0.04021287174886,0.0413809447793567,-0.450510493589025,0.0998939383618842,-0.225418842316373,-0.0736507478894356,-0.297664455064906,-0.456609674461138,-0.148087257394812,0.014553054063681,0.11087835940369,0.0483703488529522,-0.460382673618817,0.373063816873953,0.098940213807325,0.10773711104907,-0.0247617504369723,0.0801776308728027,-0.008744387134895,0.118525094865052,-0.136979860936687,0.0501803910018344,0.0595268605822001,0.0126832413420316,0.0023381481907572,0.0429705870829823,-0.0506285111195952,0.0308678126311282,-0.128565729067717,0.0934659104599567,-0.131562055408634,-0.0501706076709242
stable,0.100421065078402,0.0570588911301172,0.16585315020746,0.033547288962,0.245453069842153,0.381871171507753,0.0465301656265023,0.281072960856574,0.097973476342954,0.299759214132153,0.0545168749250279,0.15876439152599,0.321296700706581,0.0840531955245697,0.266796350332474,-0.105134099526934,0.36443613635471,0.320191225961396,0.14564007849386,0.0594376772311158,-0.270693733793915,0.25729503803763,0.0111241278506695,0.246092199548579,0.137308321493764,0.103384975411399,0.134524934214126,0.246366352424352,0.025466965260955,-0.42392581095093,0.266635440474359,0.0931985941856348,0.241798826396912,-0.0928008277484466,0.196527458611443,0.0561077634186417,0.0790778025709931,0.175416643697757,0.216802262209729,0.116423663146115,0.0860801155115452,-0.126058086545738,0.232423244750575,-0.0900980395965224,0.12249281170823,-0.0764373987990295,-0.0487992009594077,0.108158569739131,0.0934470385590242,0.179043458279959,0.187093563860309,-0.232063148911311,0.23756839695213,0.191162462251947,0.102458806487742,0.192139324756457,-0.0914047522916602,0.142247364927308,0.147475576299713,0.335906802951321,0.0935276940801539,0.210562389894974,0.331324228185908,0.0276976996202727,0.195090560079943,0.133261974593314,0.190558350655202,0.0855115522408425,0.0790924880705852,0.0688520929861015,0.126749836340088
