group,CD8,CD19,CD7,Podoplanin,TCR,CD32,CD62L,KLRG1,CD1d,CD314,CD58,CD178,CX3CR1,CD11a,IgA,CD244,CD122,CD2,CD226,CD29,CD204,CD144,CD209,CD158f,CD337,CD307d,CD94,Ig-light-chain-2,CD85j,Ig-light-chain-1,TCR-Vb13,CD101,CD88,Podocalyxin,CD258
progressive,0.0185775216835508,0.365901602185491,-0.119248213283814,-0.0765550726084092,0.281387789310356,-0.034056081507783,-0.19655956953467,0.0645788175115857,0.270483939756574,0.254789932366762,-0.0099051695567892,0.424627751549306,0.0595056172263603,-0.0293083377374003,0.0064175815848199,0.394195713332788,0.130699815739866,0.0568358017404565,0.0432174606695942,0.0146899932729449,0.211874684535378,0.0640214120285658,-0.0840164656492647,0.165791064165702,0.122150422260848,0.098603424903715,0.047277918703529,-0.113023990795604,0.0866952431021728,0.0642072653116749,-0.11279035468534,-0.12822097060659,0.0751326796512146,0.127751872634094,0.182779370123374
progressive,-0.213356419473142,0.239042751662895,-0.181867254962181,-0.131871860337413,-0.0864195294627913,-0.0144881723977397,0.0707931135256048,-0.209832317554362,-0.0795405451799536,-0.217390425478455,-0.18397554310078,-0.260376869272918,-0.227358210708254,0.0155496451972973,-0.122923105706248,-0.225475516424616,-0.150156616930981,-0.0289209327938024,-0.20265554194983,-0.179248744061276,0.0713486194816472,-0.0974839149912889,-0.192819057446808,-0.206495118644558,-0.0574504717502125,-0.156892787752099,-0.0749344559805998,-0.191406173393624,-0.0351525777595957,-0.152618068757155,-0.0494753592056276,-0.0631759135468515,-0.0525894072034098,-0.0497183888020156,0.0291679094385354
progressive,0.205333570521433,-0.141039668576124,0.238654063303207,-0.112388576531304,0.0302702466100384,-0.0617371621328445,0.244090082443841,-0.159825186485131,-0.106845269407323,-0.191008119757989,-0.0832123787490031,0.0065934168918696,0.0263827196228939,-0.0199024883122962,-0.118178370221051,-0.134704448287129,-0.10283116527375,0.24899746760819,0.0413874385093234,0.0881936746861701,-0.0870160340133097,-0.0490425038329792,-0.105069236732101,0.0318687724752506,-0.126479180433392,-0.10147286601784,-0.0233163014742168,-0.110042326185395,-0.0930234610506552,-0.108661573304731,-0.0345754678187267,0.0589841294311838,-0.16418590361666,-0.196208438482826,-0.183355221562262
progressive,0.0504998613240343,-0.0380072848499932,0.498375673759221,-0.0019506573793552,-0.0215240285227416,-0.0711345731271799,0.165585161055244,-0.264072268008852,-0.296867615089435,-0.141131428167132,-0.0908877950552912,-0.20942245102741,-0.0842949784352851,-0.330308663539555,-0.314571234863468,-0.180280188667748,-0.175568910591409,0.151797433019987,0.0550038265920436,0.211735056477325,-0.199063553207588,-0.0379316904773526,-0.0767894768943571,-0.166001602382819,-0.243886776078284,-0.0304833703216566,-0.209967362258542,-0.0050914497825967,-0.0290043749788033,-0.0558843057903007,-0.0506837186196871,-0.0450620387577125,-0.0398324583754124,-0.162928565904511,-0.0481662786696329
stable,-0.107329060043955,-0.289428385022943,-0.43584738228742,-0.31421659304291,-0.373867534994406,-0.329807257762191,-0.304022477698877,-0.170221393761065,-0.210875142765515,-0.176890616258577,-0.213756930989487,-0.308520167197439,-0.199458103351729,-0.0482177346426843,-0.357477901504471,-0.0755026460441539,-0.134375943137359,-0.0971999391287657,-0.260672458239425,0.0159498667165599,-0.269421309571479,-0.212893554488315,-0.196490453912891,-0.282238367091301,-0.25507835098967,-0.317252952866111,-0.251957707079005,-0.337696127561185,-0.426070205105077,-0.373206022875455,-0.385317651110327,-0.28009191484776,-0.242523505283508,-0.33020433481836,-0.352307850268316
stable,-0.155576363466092,-0.52634044656165,-0.066151655618946,-0.380495941945373,-0.379596918165396,-0.389514148491754,0.0465981948323422,-0.48355857607948,-0.438349619537809,-0.203840593949676,-0.387725997615231,-0.302576006817031,-0.389538782470327,-0.404677746125585,-0.375636726905811,-0.313444602639148,-0.356085050104469,-0.38297917621489,-0.320088686016175,-0.36910651105637,-0.250150520606643,-0.46384123180147,-0.481963631480937,-0.327657944287468,-0.430211710900412,-0.311021539985657,-0.466344445322819,-0.229226655198549,-0.420500247109474,-0.2897824723125,-0.380737906212398,-0.384222629081833,-0.463658945844339,-0.41064896998685,-0.247289909575369
stable,-0.20276508719745,-0.0979506320318305,-0.383397466158813,-0.078688801844067,-0.0491518879024151,-0.160222158965152,-0.309496503956623,-0.35564924014837,-0.2173711057871,-0.190193633521096,0.0001354948486793,-0.231160790298581,-0.195690443848462,-0.241602510470983,-0.205146839321846,-0.0748100979130713,-0.130690190322302,-0.231087504694989,-0.227644402804875,-0.156897450916493,-0.0558199979338663,-0.192778381467832,-0.0784811116043076,-0.259387558664574,-0.151618449928503,-0.12003772719619,-0.129375892603256,-0.101224463712112,-0.182265925697772,-0.017590068519594,-0.0145977386952925,-0.23187893068711,-0.101967912248028,-0.138558577072741,-0.0913057638616657
stable,-0.154760648370012,0.136967324738874,0.135345516245184,-0.0189429584620388,-0.0246110442223516,-0.0156323065135247,0.348007505537785,-0.284211300038107,0.0837176318961565,-0.109639700433554,-0.0531182963050082,-0.207990002835865,-0.0650397992976693,-0.199666562365579,-0.0059996129654609,-0.215135872533862,-0.128639774127176,-0.224247902039815,0.0310363224528187,-0.0366851927520366,-0.16166707199166,-0.0339540123881088,-0.0835524422868139,-0.0341294133437554,0.0741970011612486,-0.0347194805691775,-0.0348317319912211,-0.0993108286258913,-0.167568739305472,-0.0138809828087692,-0.0458181346988813,-0.113348236757245,-0.0110442819391124,0.0346546988440204,-0.0132848504606412
stable,-0.0748347384909595,0.0568595098764577,0.340137493204871,0.122084785448729,0.143661415991546,0.17111155823752,0.349874774357736,-0.262085708490159,0.147443369284647,-0.015965847482039,0.161349908696767,-0.0163495653019238,0.155864881042409,-0.376671831857158,0.0672364621757034,-0.225244168042555,0.0917741997560097,-0.178407030163702,0.118391506975517,-0.132536996142595,0.129774288438567,0.0532928821417637,-0.0413514580039622,0.0926006882282711,0.180875576852057,0.0499370389080973,0.0427897553857063,0.133754214184543,0.169816218597394,0.0665970158264154,0.131042696285485,0.0876481180267957,-0.013680751042676,0.161615507608723,0.0456703213549473
stable,-0.160834478514892,0.0124959762594158,-0.0297537576763749,0.0361862512308327,-0.0553696868766277,0.0347291615362492,0.068795288849225,-0.0694526921270973,0.122057823967266,0.203141697783486,0.123355672071495,-0.0135013179213204,0.0120995254582631,-0.162961680178226,-0.113941763229313,-0.130939767346547,0.137850463482067,-0.109133722454428,0.0322132873377419,0.0974760100837135,0.0937846686228358,-0.144772157386206,0.138729545535346,0.182355983417623,0.0385440936286868,0.0632660959513675,0.11995217224457,0.014528973117944,-0.0292396781929644,-0.111521481701915,0.170379539785638,0.109408846970119,0.107532316223236,0.239980551810283,-0.10282464401811
