group,CD112,CD34,CD7,CD16,Podoplanin,CD5,CD196,CD62L,KLRG1,CD27,CD107a,CD64,CD141,CD66b,CD35,CD58,CD24,CD11a,CD244,CD83,CD2,CD226,CD29,CD98,CD28,CD127,B7-H4,CD26,CD73,CD158f
progressive,0.142491411025314,0.164670844419843,-0.119849747854455,0.110110814425896,-0.0139497147699897,0.118131407110205,0.0185017592563685,0.129530262096951,0.0556630852431952,-0.30222713330845,0.0724461853434288,-0.0953035661143861,0.131876407405566,-0.0923320841776439,0.0582524977569952,0.203128100935223,0.191372975194651,0.207750747843734,0.33534170382172,-0.115437495384929,0.341495858278037,0.278376242209545,0.36919727774033,0.112028815463717,-0.157121367423812,0.275083951143726,0.0861951194744878,0.0760556965088498,0.0771650408404969,0.0265573614101762
progressive,0.418049024728984,0.109566894269024,0.0659789299685434,-0.339638324535951,-0.227914385035981,0.118109783979578,0.15758756180384,0.148994464130072,-0.0620353355807347,-0.117405623149107,-0.437152305023571,0.0111673042662152,0.0404985177400651,-0.564522007314862,-0.353498888452838,-0.0681304112804353,-0.262836352195352,0.0627831539169072,0.138173669272416,0.219584587138835,0.0879984842179686,0.0167023798310299,0.0874005874161003,-0.45914988073374,0.133854668910921,0.0980859091139826,0.0659091669637571,-0.14522855649199,-0.0750587494631147,-0.323074857490947
progressive,-0.0462708557895412,-0.16854978208295,-0.130767782529034,0.0159841780269761,-0.193778673394326,-0.224034144459125,0.0204122968411304,-0.174650868714596,-0.144762727476505,-0.118774114513441,-0.139873353570629,0.024866302621799,-0.191172871404394,-0.0453522342202485,-0.203163956840923,-0.117660719280546,-0.0451151377767325,-0.100932006309462,-0.0236047290147404,-0.0416379783128687,-0.408134558187583,-0.136335932705537,-0.234454022849996,0.0598715081909514,-0.258228961438324,-0.118385038063669,0.0048461657960798,-0.383585239297286,-0.107985578864091,-0.124136547438764
progressive,-0.250145070335171,-0.0420396778644205,0.0503212870650698,-0.439654269310094,-0.311238221861566,-0.0390691458109002,-0.402540540142507,0.098526426106266,-0.136752355569385,-0.0349615974228737,-0.411875894227002,-0.506447981040098,-0.161482346670512,-0.353297879497271,-0.405415101868538,-0.414898992922247,-0.401096318945977,-0.270633018592049,-0.22007947087616,-0.442668601187668,-0.138424802015845,0.0654050754814123,-0.135584095680824,-0.158032539815504,-0.216604132521638,-0.179032463759632,-0.284464913363042,0.158159788589835,0.0764507680297816,-0.04876026179652
stable,0.237510948234688,0.0360527604308147,0.142003672083632,0.131973288419264,0.0480779364884661,-0.0290045496474235,-0.0090760236459638,-0.174224032197179,-0.157069284709406,0.180524509376907,0.0607076779849381,0.0441071163051843,0.12669165898119,0.0497762084538243,0.0737172015290844,0.029994522630381,0.0790840473522944,-0.143857553992682,0.022332614357207,-0.132711366492826,-0.0978312015808785,-0.0506880519449947,-0.158114237245085,0.103205146656847,0.0179248366672418,0.0914788583518209,0.0398415754073216,0.0156697509584509,0.0122968203337009,-0.0904772064508112
stable,-0.126348126429885,-0.122909233296292,0.417737342493549,-0.0883270003797118,-0.078395001576023,0.389684843016585,-0.185868611572706,0.052282834882363,-0.239451164726375,0.228969856426281,-0.031123096721787,0.0796114376675059,-0.150831935614714,-0.082536529289919,-0.0987804475518415,-0.0747373137759713,-0.146818119771931,-0.311360072019713,-0.28869348725145,-0.0048447659400841,0.0279220251218487,-0.0481846638548679,-0.229888869021693,-0.0660990351073169,0.1235968864087,0.0939556542442876,-0.0224949751149834,-0.0217276895325709,0.0605424967063745,0.119323337488383
stable,0.00655891553451,0.408159554831307,-0.350412382354209,0.0338388053931066,0.0406520415932841,-0.312511674655742,0.0494883619283102,-0.307979983724904,0.347293138416389,-0.150746637889745,0.221570538324864,0.0794670965454554,0.0559543566644804,0.129527048944913,-0.0035595266092186,0.139546144654832,-0.0488104849278901,0.372783538374613,0.065430196502557,-0.102755777820965,0.0847720853647419,0.0205673409647848,0.242997069898442,-0.153180462045487,-0.148262755259572,-0.0420948273397528,0.124332841622833,-0.162778246529088,-0.267742352332944,0.140891014240697
stable,-0.0884853450968513,0.179579749202999,0.303790073921044,0.0921028538590717,0.157256765858713,0.343643407597884,0.0122576520438826,0.538082980674287,-0.326427374175082,-0.0091627043753015,0.0553824438243729,0.0825074857446386,0.0048617017744494,0.132357053704024,0.119956779305325,-0.0015002070998918,0.0718878345176324,-0.366925952299873,-0.215214406178843,0.159572775614334,-0.161227255759256,0.171257479194956,0.101786374971839,0.095743168030214,0.0558576423028361,0.142306925084835,0.164302434247716,0.270897636485504,0.295377231910482,0.127821398348914
stable,0.179141910165637,-0.215010281784797,-0.13761831385825,-0.032739304613855,-0.209974316397857,-0.146617009424015,-0.126152933564119,-0.526485924013931,0.0983067552411696,-0.412794215836939,-0.0652142566250651,-0.0653362460408171,-0.161716627672233,-0.0604908559917901,0.0026152335569271,-0.123895483151874,-0.272014332009981,0.264646236149457,0.0915123509024707,-0.145756435979432,0.133816650299653,-0.323828613851756,-0.0236467796315318,-0.254603983340877,-0.0074291340999933,-0.326021844992295,-0.412274231329881,-0.358060890499369,-0.471926713448883,-0.211606095369933
stable,-0.0273523916438397,-0.0126025700481343,-0.0244540508387945,-0.0181141327832733,-0.0272501227499747,0.237475644977411,-0.205990739680142,-0.0087576155396983,-0.0144804840728311,-0.29092438348472,0.0547341966682516,-0.0437035905734885,-0.445703330883188,-0.0558757828343215,0.127047311672575,-8.70182861006371e-05,0.0037636991893136,0.0801043402853638,0.112120533739379,0.0357755699855246,0.150314884003051,0.159735368898423,0.260377258458254,0.237692981825938,-0.124624779459504,-0.0706002657659853,0.0364122720522739,-0.0140997180356806,-0.217731982479467,-0.0490538101998115
