group,CD274,CD47,CD30,CD3,CD34,CD269,CD7,CD49f,CD326,CD31,Podoplanin,CD5,CD195,CD32,CD103,CD69,CD62L,KLRG1,CD27,CD141,CD35,CD272,CD178,CD11a,CD79b,CD66,CD206,CD62P,TCR-A-B,CD29,CD127,CD26,CD36,CD207,CD73,CLEC12A,CD101,CD88
progressive,-0.357653373398458,0.0814492819510103,-0.031228219159003,-0.1184744744728,-0.311294565300273,-0.123271237444551,-0.0445135582274126,-0.0327793758342347,0.0256090827847632,-0.192845198567367,-0.0696042664557764,-0.283929873229792,-0.42943607439402,0.0712191181177613,-0.155593159594671,0.0991001958392233,-0.0265889377047022,-0.0827235375064455,-0.256342844864027,-0.100506325303353,0.128494594844432,-0.140604535051258,-0.137659087598949,0.0660817803366609,-0.0744793687264595,-0.0419793995658493,-0.0392957771620233,-0.184518119156458,-0.0387212623797679,-0.080734856645743,-0.206896966561483,-0.0690931915519049,-0.0847473221619325,-0.17050723222272,-0.084822640313218,0.0441775083592999,-0.201596812647009,-0.102497451720397
progressive,-0.0242351656605613,-0.0517093346494523,-0.29422625615426,0.0012758856181371,0.0057572585336024,-0.10653332433487,-0.164683409201484,-0.0880465408689065,-0.37946168490496,0.0995094588448373,-0.244423980869567,-0.248942240147575,-0.111214458155792,-0.147667910976962,-0.533352280861652,-0.37949006002297,0.0877431599620409,-0.0130538810416333,-0.132137583528921,-0.119227152301222,0.0482631439029427,-0.332920714871491,-0.220815550542091,-0.0335252688746241,-0.029034759939389,0.0264788152292776,-0.37884794762329,-0.214091079169873,0.0348561674608254,-0.111042929107499,-0.368203554523944,-0.270684210926386,0.0115707443868654,-0.0255529881868185,-0.146198769034581,0.191378866397917,-0.119518035145506,-0.158325188576152
progressive,0.0867504899063006,0.153470067693295,0.152757410350046,-0.0491562619419476,-0.14088579588918,0.129113670949116,-0.248259527060717,0.0310467399850002,0.157522459222521,0.133214674655011,0.0122113776895213,0.0267458635012798,0.0017550891911711,0.107319607806507,-0.172747535040606,0.242670332673185,0.0223248747103327,0.0829341473217184,0.0006872317348432,-0.161574609037833,-0.140594096843001,0.143100025547036,0.0479734523163701,-0.016167794478682,0.0496293200817469,0.114603291843308,0.121238517860498,0.0526286318227831,-0.153581218278781,0.0511043911673684,0.0613654120441591,-0.139660240481251,0.18989374652358,0.28641185147804,0.121660374491246,0.111366817511451,0.103197154309647,-0.0424705153886699
progressive,-0.560028273995558,-0.440377648009227,-0.275328689319381,-0.404176770540589,-0.102033801483437,-0.369937901195761,-0.329218176494574,-0.426775631933259,-0.0765774356215811,-0.413576266556118,-0.372756175880861,-0.311614351523169,-0.128441723000827,-0.356575588645128,-0.103257618866883,-0.155261992136069,-0.295543108558847,-0.0716287443812158,-0.52228419552573,-0.269589987258068,-0.385766726260308,-0.393078164279834,-0.073500618185623,0.135947902153691,-0.108324194853908,-0.355121316474874,-0.124247293425994,-0.355353028181593,-0.220075585826461,-0.366925587299211,-0.266052958137263,-0.320098262686985,-0.411604033222515,-0.286882753573299,-0.240987702467923,-0.429358661734788,-0.39616289567025,-0.396627280450729
stable,-0.310275832185652,-0.095097335405509,-0.445256623842725,-0.285714345837276,-0.136061887879082,-0.346978523854554,-0.45330821014141,-0.0271193439396843,-0.260004103343869,-0.192735185031584,-0.304829649689187,-0.354566943509497,-0.184603308119532,-0.253862945018973,-0.1249120987731,-0.161961103886971,-0.188077369584719,-0.103917516741008,-0.535081207274517,-0.397220918741091,-0.0785428288112252,-0.121608436661132,-0.278416454667652,-0.006134017903682,-0.393328630104734,-0.191958414603557,-0.181926314224643,-0.0884513682196947,-0.369657881185961,-0.0673039256135011,-0.275275321280299,-0.179583440343586,-0.157175462341568,-0.350838177710506,-0.17386657791219,-0.0648396603985367,-0.247840676419462,-0.20430896133611
stable,-0.234802509336156,-0.105979228964132,-0.373658225882864,-0.31837169176154,-0.122494233071319,-0.18798937297513,-0.367078832720643,-0.35290370241812,-0.192389610679629,-0.30352549020171,-0.240041532623537,-0.399204831038163,0.0829086863855373,-0.197737206778444,-0.272912960336367,-0.246475719213946,-0.448622280600948,0.0694245239138545,-0.39693851358093,-0.0094531256229117,0.0126565309305302,-0.305900994914677,-0.361993741043482,0.057844986901885,-0.0516140128928009,-0.280029743901861,-0.186573130925902,-0.221579623454673,-0.208952191996426,-0.0413447228293661,-0.204178711407894,-0.295651775425339,-0.101591224111843,-0.0534602360098486,-0.21251509504654,-0.108889652935229,-0.114241861737409,-0.0720804335368492
stable,0.0834535496627191,-0.0608131597203816,-0.040638370713898,-0.179320862803488,0.463259080125662,0.182263036030789,-0.0850746301245917,-0.176566932491033,-0.0647760930163259,0.0122830441021028,-0.0336237552911563,-0.123031082901462,0.136932713289625,0.008496219018196,-0.0519173524022534,0.0244408768844799,-0.152920303484722,-0.0245443550332903,-0.223808086127485,0.11013231130737,-0.127012445016444,0.0318083133572576,-0.0391392458709674,-0.0046893846980296,0.0547290135369916,0.0614722325224856,0.122037793347719,0.00611988762188,-0.107419554446259,-0.0829463320874512,-0.0057744123320107,-0.0832441330954269,-0.180278791604783,0.0527282739722163,0.0215185857270988,0.0905422933063165,0.0321092340181909,0.100729801463841
stable,-0.134133536703044,0.197754276878059,0.0889575194711635,0.0425504840621763,-0.157538185530502,0.0282684576816908,-0.240817158629679,0.0580699581029747,-0.173844117789144,0.068122203483615,-0.0054279417794273,-0.0405233619711228,0.0019359079768424,-0.0626997168005631,-0.0395598484800078,0.00028455731208,-0.190985251736294,0.366431256640826,0.0234997710056901,-0.0121441216687738,-0.0724369813155626,0.0985627490963554,-0.0155388679540347,0.27277206317129,0.0667819088043239,-0.0775868653712254,0.0598053468692415,-0.262238299968064,0.160617539512228,0.168203859026899,-0.0199541538462167,-0.0100350598982966,-0.148459997459076,-0.0193088562446696,-0.221835294517922,0.0193285733148189,-0.017868080409658,-0.0786559860878069
stable,-0.219167033445404,-0.0853080663340538,-0.0020462251182004,-0.0947717106803103,-0.0277439251030586,-0.0834621396716999,-0.235946684950995,-0.0057859011931005,0.0036836115950107,0.101605493434737,-0.0128023881489422,-0.0516087834136461,0.0111253424341922,-0.107216078543149,0.009295776966917,-0.0694876513776838,-0.247600013451793,0.189474026562924,-0.450491758254818,0.0786713892210533,0.0306676997574035,-0.130888123095801,-0.0749828388815896,0.235322274333372,-0.206416298142484,0.0017967831008574,-0.296473805291101,-0.162413552278772,-0.17933953533933,0.0716113484296912,-0.135641226073707,-0.0575416875310554,-0.0226568008999949,0.112371139653184,-0.0346756373134641,-0.0175250447126855,-0.0605513593899238,-0.0170693756088021
stable,-0.171226384848406,-0.0652966620785772,-0.0676446047387821,0.105706298511078,-0.124256918720202,-0.26668232368076,-0.244439009214585,-0.0818253862281534,0.0620561601243257,0.0794117907468836,-0.0720176642967042,-0.199118154765494,0.240256314059027,-0.0009640948621,0.16140969395389,-0.277207908092686,-0.276679551411167,0.442589690370195,-0.287568073236554,-0.0197664117199034,-0.0532917552628173,-0.0784165003114056,-0.179608221238577,0.606331905679752,-0.0986202396849471,-0.183485138886559,-0.0914183762409412,-0.0957256716243157,0.088467831466635,0.0761956285412465,0.0552595713735254,-0.0257061043401291,-0.0358462292013184,-0.122177280524538,-0.278059375725725,0.0096994045342688,0.0041611090743314,0.0388333275360573
