group,CD274,CD3,CD7,CD294,Podoplanin,TCR,CD62L,KLRG1,CD27,CD1c,CD1d,CD35,CD58,CD24,IgA,CD122,CD184,CD226,CD29,CD81,CD26,CD36,CD158f,CD337,CD307d,CLEC12A,CD94,Ig-light-chain-2,CD85j,CD82,CD101,CD88,Podocalyxin,CD258
progressive,-0.333530053373023,-0.29591913306331,-0.0979779508659589,-0.0323117093395311,-0.294507340273318,-0.222470868790991,-0.101803182250062,-0.203254599145607,-0.0863155190544451,-0.17146167177832,-0.181176625182314,-0.329992527834221,-0.336487264846655,-0.168065198054896,-0.395390326105949,-0.2384596933189,-0.0414034457212324,-0.361468243663885,-0.196716080129681,-0.103599085312712,-0.385306958346487,-0.278645645642375,-0.320540616658151,-0.225098894513432,-0.242690178959205,-0.238167037681018,-0.225293755454572,-0.284206891128448,-0.117198679095078,-0.425257956420676,-0.389819703345764,-0.247776448506699,-0.19834842788606,-0.457502740381329
progressive,-0.0201662714258838,0.185923239145287,-0.166530819240604,-0.0788495150971252,-0.130466788351576,-0.109253957979382,0.194836635174069,-0.107077105300965,-0.0514268433625273,-0.0135774096904411,-0.270731361158632,-0.027348135711284,-0.0697706963327588,0.035097802570971,-0.165791001550447,-0.252711274369038,0.0067527732253383,-0.149354438594315,-0.125731611692997,-0.303450577465439,-0.052352241429854,-0.0369308124678124,-0.0986961786065838,-0.226870740482982,-0.137982258964461,0.179218947656019,-0.0882221664957944,-0.262389499663625,-0.0449952995322826,-0.237167394390341,-0.0162485868639534,-0.0817275737364028,-0.277796742140985,-0.172515725674152
progressive,-0.168381310321209,-0.15702163276026,-0.260806217189633,-0.121535060736591,-0.19092028525989,-0.0472766995408947,0.163581750771402,-0.33300053850704,0.149514331191855,0.159584199217201,-0.158633102655307,0.0433633042139238,-0.199446300160187,-0.075362786967951,-0.241320575311378,-0.0908910536661345,-0.16194663550684,-0.134224377337619,-0.0925206783396548,-0.0230657779424312,-0.0349498038578652,-0.0478128611968075,-0.298689855403699,-0.274661380275163,-0.226055969393798,-0.0117836060353123,-0.36334768673997,-0.192353356240718,-0.218818122420166,-0.0829022967222377,-0.150810446385504,-0.24364086107398,-0.0082596008033311,-0.156426924855057
progressive,-0.578949872472461,-0.283651887902914,0.0345823479256362,-0.101477627253689,-0.426363130528327,-0.26753356257797,-0.163089447618632,-0.0132993834168958,-0.323684913899531,-0.105461613679253,-0.225814647531489,-0.529999553469161,-0.337191191985026,-0.327880036838117,-0.164075444315124,-0.152519158726873,-0.0973041097365554,-0.350861572778532,-0.30456773557064,0.170566789188617,-0.257241282613378,-0.536723166387059,-0.19872515585515,-0.0986094340482398,-0.125079451889217,-0.512145744488732,-0.177951318909333,-0.322891801106243,-0.182695054349673,-0.125421494642545,-0.399559713347255,-0.428948268887714,-0.166468135724649,-0.409828906729915
stable,-0.258209517391514,-0.11630602590701,-0.256383139578859,-0.182903754794549,-0.26775652952507,-0.110669028414067,0.0233595063943652,-0.131211720118429,-0.332526641110822,-0.251145440852171,-0.111300185332428,-0.206087042498365,-0.0939921013984171,-0.112065041504551,-0.340002044056403,-0.0940046454622125,-0.120113802245345,-0.145554984364766,-0.179436964648987,-0.115505298503257,-0.195949344968568,0.0712148904288854,-0.30205540115579,-0.1600960345787,-0.190595093651675,-0.163339338768685,-0.111860805293164,-0.365844463522278,-0.146692961291317,-0.260509523926089,-0.0874190265334826,-0.0830718221385894,-0.248322410214195,-0.192773806425843
stable,-0.490673796801017,-0.536750665826915,-0.0804896107659389,-0.507772435136035,-0.42712540208857,-0.41696474524652,-0.197796031381901,-0.659532977181618,-0.310507704972565,-0.595643759283993,-0.418734554650496,-0.39711296234291,-0.53555891777473,-0.514494376897294,-0.432300993636035,-0.510293500657098,-0.519573440129069,-0.302104269225274,-0.426041710446222,-0.512541839370377,-0.136790868921705,-0.137154205252015,-0.32820145540907,-0.454547469123474,-0.333918622546497,-0.307679623996289,-0.57878026039724,-0.350091824399954,-0.648245239297151,-0.570186906440909,-0.418129304576604,-0.546293812068752,-0.394178183479769,-0.302562879791455
stable,-0.19243783949119,0.123357704692333,0.194089610324543,-0.0773570554813518,-0.1481676578205,-0.116820392770456,0.517498988714848,-0.456134751084257,0.0119620081206628,-0.103512734224193,-0.0989078094455081,-0.0633495851765662,-0.217496331100045,-0.0974798990900926,-0.0239338731704361,-0.208499433406868,-0.0412433167212453,-0.0370410724814547,-0.258569525348808,-0.0619767292437563,0.171876412105497,0.0716216106658265,-0.160287514711071,-0.0962872088096934,0.0460819499092157,-0.266762042908411,0.0126672164249416,-0.137430285286284,-0.0539965232171716,-0.162442547258881,-0.0879659223623356,-0.19726177475794,0.0011783574003253,-0.116664709119547
stable,0.0924324733288464,-0.182151202008678,-0.187976785849025,-0.198691087302051,-0.0953020549310763,-0.107067359070881,0.0084862604544254,-0.11572882837082,-0.287523027696663,-0.0881030276289749,-0.0732942528714927,-0.0530046243338764,-0.149980837375235,0.0233027520612789,-0.167614374118632,-0.148809380438438,-0.0947546514791221,-0.156785016164396,-0.283679972223354,-0.108888667636167,-0.0966780409526501,0.0503301261106671,-0.155598002108977,-0.111929821971078,-0.100246907958411,-0.0407799495493894,-0.129234987373331,-0.0945316214553943,-0.240924686190025,-0.0908188439646961,-0.0850944031335166,-0.12949338317289,-0.113404236180937,-0.125410185181828
stable,0.150838518125252,0.0298954249890903,0.197808021834706,0.0290260387796513,-0.0190040972798696,-0.0614703883892009,0.373459840161168,-0.420679194988625,0.589769474222062,-0.0563237104949909,0.01968442372633,-0.169469177640095,0.0047966708368359,-0.105613191362731,-0.187914832730383,0.0250228764674115,0.0647877395034288,0.030962223883026,-0.130781271945502,-0.27477860799868,0.172375964378746,-0.10888816812904,0.0018619035503613,-0.0107635130744177,-0.104326771790654,-0.110832554181503,-0.014300373709289,-0.104331515892288,0.0831532356566062,0.0793906853639803,0.0471320604647701,-0.151245778138466,-0.0459227322416541,-0.036164098575131
stable,0.107543502253633,0.291651653072488,0.167234387992432,-0.0246292931079964,-0.0137445476958416,-0.0331523376789742,0.18188781909111,-0.0342371405205476,0.118810438653301,0.324623835252625,0.028086158410657,-0.0189428429535864,-0.0263520376408096,-0.0686820290896499,-7.23118380588395e-05,0.0325182729533106,0.0159963208841332,0.21899682182247,0.203979184057637,-0.0471577860610959,0.0041774242163624,-0.209154402619737,-0.0307798546444082,0.239691323163755,-0.0560037946404189,-0.104332171619551,-0.145781210120588,-0.111465934627612,0.0868213569121618,0.0665116904312921,-0.100273288129789,0.0994338905218166,0.0128704653484844,0.204009781224586
