group,CD274,CD112,CD33,CD10,CD7,CD49f,Podoplanin,CD5,CD32,CD196,CD62L,KLRG1,CD27,CD95,CD1c,CD11a,CD79b,CD66,CD244,CD54,CD106,CD81,CD98,CD193,CD1a,TCR-Va24-Jz18,CD209,CD336,CLEC12A,CD257,CD23,CD82,CD360,HLA-F,Podocalyxin
progressive,-0.375494323203637,-0.0400724182521302,-0.408949644926353,-0.132474773770358,-0.110802667912019,-0.118574990140617,-0.48131326202937,0.0809231466903447,-0.473196487541311,-0.412138219003012,-0.187841885041325,-0.285038370277816,-0.151260946595695,-0.0187365481975917,-0.459677195531478,-0.195508936012387,-0.466356913716567,-0.298941245481444,-0.0249147022950811,0.0467512207813786,-0.410697954514917,0.0447996044595513,-0.123554196195708,-0.248388715363023,-0.165810912277597,-0.499846293417267,-0.411521234374326,-0.447445439533498,-0.301823250491957,-0.47831361530449,-0.271266881034345,-0.324070323451309,-0.462775127324218,-0.315194647324692,-0.489174495928478
progressive,-0.0911491708483612,0.110119592936588,-0.35487867532876,-0.442142995003768,-0.062284109890305,-0.232224220943291,-0.338388169922418,-0.0690659347371275,-0.384200523097955,0.108062038169566,0.168374412328374,-0.124864488251839,-0.340305284374437,-0.40880978931966,-0.0871217121803305,0.111945753957986,-0.245733212169951,-0.190671111450111,0.0454265543656367,-0.0348359110544092,-0.143743262104101,-0.0557146409084972,-0.413752495383675,-0.448151408654452,-0.402232992551816,-0.323327117035951,-0.318701849094862,-0.0389518062668869,-0.264544479166967,-0.157067102161607,-0.489899847129502,-0.439512591985274,-0.173539826681993,-0.466025688958574,-0.195947222730016
progressive,0.0885356378210622,-0.0349957659021636,0.356063284128094,0.0860751370328129,-0.138018358397606,-0.134516796930402,0.0202425416799333,-0.058158310564804,0.124213834322149,-0.0119393638644958,-0.0935921917920634,0.176475928853438,-0.0012331179355698,-0.15030965928365,-0.0758796595087676,0.239411023839009,0.0468291292895359,0.176456118410484,0.271041444960144,0.23349853248867,0.0504378957053444,0.210064192041788,-0.0355858798684628,0.168090469818484,0.0451555395124073,0.0912700769844898,-0.0098269989874112,-0.0731276977416587,0.188475400152447,-0.0135733207197833,0.301718859806,0.068766992069782,0.0432483963404868,0.145929760615019,0.0356374115492456
progressive,-0.520872596222547,-0.111730184907958,-0.386402991273068,-0.234175259951912,-0.36159851688006,-0.444372764500484,-0.40642307731714,-0.320641418485022,-0.356178390521067,-0.0724650682785497,-0.2037804275634,0.0147088289420559,-0.435387943009957,0.0099610570720682,-0.223250913237466,0.26320062266751,-0.156142983573201,-0.453381809243495,-0.0008010834479277,-0.176792247457746,-0.213637567347444,0.0835429171536084,0.0065199320816182,-0.294496782718473,-0.0375953726208818,-0.104518929959466,0.0247188982764692,-0.25113741386382,-0.411695972613201,-0.114684416468009,-0.168320346085874,-0.0385494637213018,-0.128877713610257,-0.187835402501421,-0.202441722876255
stable,-0.147122024860434,-0.207470477378966,-0.0134495476056809,-0.25769377529559,-0.220465017643977,0.0034470060122004,-0.194841300473234,-0.137715411676242,-0.0935675570172362,0.121799937790101,0.0427845257994271,0.0692322611951135,-0.247417331257976,0.23099031376344,-0.0650346636466028,0.092258788752962,-0.220031142878439,-0.0608197834145659,-0.0686320568619213,-0.223552367639146,-0.0107372342907978,-0.0162348144595628,-0.169861195409464,-0.0655341311308509,-0.0373131072591338,-0.233675522875351,-0.0469428125766633,-0.086146938714039,-0.0742275708162946,-0.0095432697678828,-0.007220481995294,-0.181133183741068,-0.180279872182599,-0.0858527779814727,-0.00105907991678
stable,-0.199837303080008,-0.288450693603355,-0.170086401971015,-0.14943147688905,-0.28383714999521,-0.0591726066586681,-0.182770729306121,0.014880647943252,-0.175457439661168,-0.193371154850525,-0.4056137887484,-0.163546414363643,-0.0813770470418961,-0.342757964680933,-0.214113649946552,0.0203733612594691,-0.221591926092856,-0.135311175991718,-0.211218788055689,-0.0184087463640317,-0.169946849708465,-0.0684851544617733,-0.15607951819761,-0.0763787506600493,-0.0839026277799724,-0.272285718310911,-0.130335798733263,-0.226700061849416,-0.0527987803488634,0.121969380733171,0.0785306592406352,-0.0782900883674634,-0.212764395058348,-0.142391839487065,-0.0352621992917918
stable,-0.165908588138475,-0.0206929166159189,-0.0268454907723216,-0.0262296836156033,-0.134597366722914,-0.0651201502226923,-0.118180001805187,-0.255745105030067,-0.130031447685183,-0.0009929798203378,-0.251850681339024,-0.189019537989167,-0.193369209185042,0.070706558040687,0.339038539274945,-0.107008151590037,-0.13320408666648,0.135169600820714,-0.243469614872915,0.0682302023204139,-0.0246830351860694,-0.0882115211793268,-0.107828152627135,0.0429010796149483,-0.115016795721378,-0.0805827827605555,-0.0289929345869521,-0.166282752346865,0.0941670738239727,-0.104401325868336,0.013187788816645,-0.131839596379426,-0.0917695172478001,-0.16188937377452,-0.193571162984483
stable,-0.0192216944164615,0.249813027800525,0.302937000775473,0.286589649094994,0.0335142605960625,0.269239513258778,0.307853235779407,0.171878966911506,0.247466819981881,0.0355841614846463,0.208461541486039,0.340377440896819,0.171391889490414,0.130539154549712,0.122996198820787,0.286318597671422,0.372913174587291,-0.0209083777483888,0.373415399784782,0.16110426201255,0.19525615109478,0.11756668855712,-0.0129025286000799,0.0585713190663958,0.21449277916134,0.323081682909512,0.209950459480169,0.201086916086464,0.141881708322697,0.0864024223100551,0.0846908698777486,0.214873609349105,0.0280854203203973,0.236530137900726,0.231337228399887
stable,0.138429716575923,0.460725116085283,0.181245405579295,0.099591527235501,-0.221030544232669,0.09366561975322,0.0900510386918295,-0.177136975745233,0.141276462943466,0.0750930453176951,-0.338313367989308,0.406748617807814,-0.263637742478227,0.392217723687331,0.0948467370001769,0.431898626610784,0.0068272344969894,0.267998694312713,0.176722368235318,0.366530833303278,0.13243752686496,0.302711523999664,0.0993055206010284,0.263684833351568,0.10836138528139,0.0985195367033852,0.0009927215508932,0.147505245184705,0.123621512790412,0.114897163213875,-0.113365636692821,0.081808005534981,-0.0684166575372128,0.104073471304117,0.115435321333396
stable,-0.140359869252211,-0.0143170711544631,-0.288888486089519,-0.218995060226044,-0.289424892835907,0.0181866497595132,-0.172349965838267,-0.137572147786523,-0.0620282686841337,-0.223987350702936,-0.349031712352512,0.370687346783329,-0.287899288063676,0.0174202740058359,-0.125134065779412,0.459418551297467,-0.16682991090655,-0.146128619795358,0.133707085233248,0.343236836011213,-0.0022901540964745,0.0227506471044749,-0.0140974065797666,-0.227402012501881,-0.0596181981836236,-0.161030123360061,-0.0494867794342513,0.0419335444464318,-0.108415366636974,0.0124692165148378,-0.321323488216412,-0.198311733874076,-0.0717949935706974,-0.246409816061268,-0.0734834001315497
