group,CD274,CD52,CD33,HLA,CD7,CD4,CD16,CD31,Podoplanin,CD324,CD5,CD32,CD62L,CD161,KLRG1,CD27,CD107a,CD66b,CD35,CD272,CD11a,CD66,CD244,CD54,CD137,CD28,CD38,CD127,CD26,CD73,CD336,CD319,CLEC12A,CD101,CD88
progressive,0.013963549434865,-0.027033536304351,0.121224447586548,-0.0838521923100174,-0.312990467795774,0.0799031641630057,-0.175777425698044,-0.390030480307903,-0.0577951113660092,0.0029889004954205,-0.079790511820051,-0.0149567373524281,-0.21501200171225,0.118470033629799,-0.195278633251452,-0.118149586412032,-0.380758622469309,-0.0714572141270266,-0.256916525450498,-0.190058543931356,-0.253285487145821,-0.139727587955055,0.108659154410583,0.0794551263983994,-0.203840711874834,0.039722101978505,-0.0129793033453461,0.0230158736274718,-0.305310677434922,-0.35170961680799,-0.222052605338111,0.036214555555048,-0.18526519643457,-0.24569460934125,0.0621247774352301
progressive,0.0266111622939497,-0.128234554995711,0.0719968812069739,-0.0279016638981123,-0.0029910448252406,-0.150278330938106,0.0167054426143533,-0.103881797173638,-0.117762595812966,-0.0146871658051382,-0.0812902534066446,-0.0043112577782747,0.160580946921412,-0.439221266396991,-0.149855026281993,-0.226800180266828,0.0577099720792862,0.0965487356171369,-0.157538186702058,-0.249291598673522,0.0553883038512752,0.0818301778681582,-0.101743644240429,-0.0056400998849995,-0.151078956270586,-0.066137851097762,0.072853142890441,-0.0169608754094627,0.138647470649732,-0.266533920784281,0.0988052987645335,-0.562687419640646,0.0898597384994528,0.101304366476706,-0.0511823327631848
progressive,0.0557630166689288,-0.052285196283726,-0.0928473473852795,0.125765962107708,-0.128961097286307,-0.441113461043966,0.144653712511352,0.186407198974564,0.0656618042234518,-0.149485569826149,-0.0641023654188578,0.0234162281103556,-0.246612099372532,0.0522075885709691,0.442582551085628,-0.263058660942978,0.140208517187853,0.0984755911971084,-0.146196008946667,0.124563231899513,0.404699807817002,-0.0691539290275409,0.487891886734697,0.254141510550218,-0.0598373322834631,-0.219234574902549,0.0159498139161632,-0.188820761050895,-0.31311535506173,-0.0277880421294224,0.0919523182470145,0.0238207649889806,0.0049837130039547,0.0736835991412627,0.13520855028402
progressive,-0.530315166560731,-0.222424556785539,-0.406378590175715,-0.254383651035925,-0.282759427245833,-0.0514643140462504,-0.518478618020995,-0.506779616700735,-0.431853869818364,-0.0802869445652885,-0.293957408545785,-0.448147810701233,-0.237165115998086,0.0076297313600593,-0.0319835715324803,-0.520869774053228,-0.452387684823516,-0.439772669493743,-0.537562187911371,-0.495299466594623,0.100986777634868,-0.501842015408042,-0.0695850213177269,-0.0580110906442462,-0.173539839782918,-0.422519369243028,0.224030786173213,-0.26128169526544,-0.143481048734495,-0.253498491320125,-0.316664114035871,-0.080306644555189,-0.51770822736138,-0.489358563638286,-0.481528558456708
stable,-0.135777108065173,-0.265299934970581,0.066221527463672,-0.0476290838993075,-0.45461914683295,-0.139831128512763,0.0267323766117242,-0.13890118053242,-0.221184555891194,-0.0047832581037262,-0.371733492153232,-0.114906609671146,-0.393120100164336,-0.0354244898442583,0.0299238517617566,-0.401504019125767,-0.134022236476995,-0.0173129169167304,0.0197826272634227,-0.122857662364932,0.148104552255454,-0.0987688258711645,-0.0145356425384245,-0.0342172694538903,-0.46057884592683,-0.21740286999397,-0.110726686435239,-0.161044232297548,-0.175818013905288,-0.230974930488145,-0.0773335097106451,-0.0267402607250815,0.0086142509610299,-0.146184146261505,-0.0628627365730144
stable,0.0714361462465347,0.0062514172709176,0.32031097756106,0.0266641700793214,-0.372718881427754,0.0755140494340095,-0.002344663898256,0.0135674759598468,0.139582724827778,0.411169266667199,-0.348374894994381,0.172049945866761,-0.230443077724949,-0.0203492645307532,0.404379725290653,-0.239846929615931,0.0667653442992002,0.0177107270553334,0.27707045830922,-0.0323097185372509,0.484217426475053,0.0533275821006847,0.386017746680885,0.212194084491635,0.0411824541975406,-0.0047172640316785,-0.048893867298103,-0.0159399498051984,-0.0914639871867414,-0.117096119734246,0.0769416600893432,0.150382838231179,0.126409507126502,0.142910274027391,0.294459612384156
stable,-0.0758089846579398,-0.403193113043725,-0.0474972968870373,-0.400016305986808,-0.279543171937043,-0.256384221145926,-0.253334979687063,-0.266548868315502,-0.229345267988778,-0.164642255947278,-0.189047431378789,-0.136305370181873,0.0182614311236146,-0.176474154143518,-0.315074720224917,-0.290427061005231,-0.0484525558114246,-0.0650754308861227,-0.250474443848692,-0.328685904691662,-0.354332613197365,-0.0674502828775764,-0.24624188666254,-0.42301455111065,-0.198284893956666,-0.194506991379412,-0.412556535926192,-0.371272819441818,0.0046579342208239,0.0011785395862378,-0.430359932862463,-0.129054712295654,-0.170310176352131,-0.231535419737591,-0.266505605622461
stable,0.100989931669435,0.0484797288241054,0.0464171282800829,0.274846567394438,-0.158356822988752,0.268796960989233,-0.0704322976256501,0.185343394484069,-0.0642898027071037,-0.0139983760968917,0.0254467313431995,-0.0523785459970675,-0.456913350880507,0.195937365685077,0.199930685398238,0.0825801460575501,0.0786942608082572,-0.0762005815807611,-0.068807817812022,0.0381644762445356,0.385856263810381,-0.0594831962887089,0.276856269597605,0.148564042610132,-0.0239159408266835,0.240757258763919,0.0388592386594995,-0.0454856992758286,-0.195390283209517,-0.23253826127529,-0.0339754376837418,0.0769054622729926,0.0244705855057433,0.108547068500798,-0.0462340342871337
stable,0.134052267632865,0.001161643261731,-0.0211209511542558,-0.0015210259911451,-0.126428683583432,-0.202668898969649,0.290222401777826,-0.0712045928807787,0.0983183007824876,0.0259981073768057,-0.351300211182245,0.215702273931414,-0.131015726298107,0.0304333753264599,0.154089653644069,-0.276600101660106,0.173357304235931,0.133042320680106,0.224491239896383,-0.133734069472568,0.204149189839194,0.159326781152541,0.0530146542443085,-0.0821385191647469,-0.0138970730322197,-0.0506675075998859,0.0364961551436891,-0.0446318899078933,-0.0998375476121916,-0.162562788924395,0.060351799418138,0.187623723309735,0.180713987916818,-0.0443834073842879,0.0233315134061142
stable,-0.110516105901038,-0.107587184138899,-0.186044094582609,-0.0125623441062636,-0.154039495455638,0.107288663621995,-0.229098168582694,-0.0762529358080135,-0.0719235235590615,0.0700506074785046,-0.101737985853197,-0.0260885519450973,-0.2114702297223,-0.0178933349160088,0.286710685646245,-0.167749269442905,0.017183907489767,-0.325437310369453,-0.17304720038161,-0.0358086488146866,0.526538271386836,-0.117514024453824,0.102898594079708,0.279845245732836,-0.189650254567633,-0.0169873138443658,0.0848810455006425,0.0809351284752614,0.045266364676081,-0.255143742808487,-0.0190124888801649,-0.0840655171224501,-0.0703442956560232,0.133801805749664,0.0069684128128496
