group,CD274,CD30,CD52,CD3,CD8,CD33,CD45RA,CD7,CD16,CD45RO,CD20,CD31,Podoplanin,CD5,CD32,CD62L,KLRG1,CD27,CD107a,CD64,CD66b,CD35,CD272,CD58,CD24,CD11a,CD66,CD254,CD83,CD124,CD26,CD1a,CD304,CD207,CLEC12A,Ig-light-chain-1,CD82,CD101,CD88,HLA-F,NLRP2,CD224,CD258
progressive,0.0190434347301498,-0.036634031440005,-0.0081853564551359,-0.0058751686111511,-0.193206225508928,-0.0065211760513933,0.0023707233787324,-0.114147200124781,0.164046083185375,0.497686923747012,-0.164162685408645,-0.0577256149217524,0.20354557948004,-0.178040562164463,0.14718296612027,-0.105217608676622,0.184603851103081,-0.0314901808274897,0.0440274020152372,0.286171161765171,0.325213582430196,0.113864861520014,0.0318299576762589,-0.0231761734289922,-0.0331048616607624,0.121481979761657,0.182538262759832,-0.053116909073371,0.172217726854751,0.0320780210795401,-0.0728645484035834,0.175484827813046,0.173576282937113,-0.0037468552886358,0.0185845207485239,0.112048919389773,-0.145961774921518,0.0034699905595468,0.0406135613632407,0.0233843973093658,0.0254381985980953,0.0599785172971909,0.0286556792031502
progressive,-0.119720530364856,-0.387118109198358,-0.580841129392475,-0.126193989161332,-0.0735407484741285,-0.338832093109562,-0.080024410568155,0.0851861295816083,-0.244584063495611,0.0505230141407843,-0.463332780728486,-0.0351027445971816,-0.296001831683001,0.0615906319536099,-0.438985757994671,-0.339267625263562,-0.418870818018355,-0.406194052183136,-0.371256729380421,-0.0021179370160063,-0.254928439757336,-0.280825109989125,-0.307181859674166,-0.484587069743561,-0.430087825469426,-0.180925383028704,-0.266265764749767,-0.489889894158163,0.0004772929485425,-0.544612415765579,-0.551180761554516,-0.49556359348674,-0.506911170946928,-0.319670616781829,-0.314185212820334,-0.149393949770543,-0.459247130878617,-0.286931273086745,-0.427047092608291,-0.489182061242783,-0.406659409496662,-0.245904774111737,-0.273093712893865
progressive,0.0662621885018396,-0.0082126610740234,-0.149644002653157,-0.0176371290171235,0.0530845875639279,0.0063511845552391,0.229192368946043,-0.17501965352703,-0.0552224032998782,-0.20069654493123,-0.102536456683724,0.0179088715981344,-0.201008152565731,-0.0631204285303774,-0.21054089859044,-0.341123128451709,0.238228195093045,-0.283188214594769,-0.109857057622446,-0.127399599308072,-0.0944897880633428,-0.173788660694238,-0.061953679388585,-0.0340952199886241,-0.165961994722861,0.295431431343223,-0.134013657002736,0.0128085836261453,-0.180140572840491,-0.0789513360997198,-0.277739041873911,-0.0058115299128435,0.0559908632946485,0.11714969408947,-0.0072838882365492,-0.0568392435156575,-0.242391115747531,-0.244145870691475,0.0714669673229468,-0.10783992759571,-0.0412423594069393,-0.183841125992537,-0.0363250008829882
progressive,-0.650698823922448,-0.45054773676622,-0.221411068162269,-0.494887412597919,-0.181105443975241,-0.540369326197327,-0.39634097820335,-0.222980337303398,-0.613190604584758,-0.427019298873137,-0.302675863602125,-0.551314135758164,-0.569772571195739,-0.297243260919899,-0.522965493706064,-0.181825383273201,-0.133752766374813,-0.478437129878164,-0.575946839194151,-0.501162856520742,-0.530542325938287,-0.661893345535461,-0.467845125314749,-0.51723352259515,-0.493829700982688,0.0668194041371116,-0.574278795923059,-0.234224396014658,-0.452065299833512,-0.29779407302299,-0.243870549279801,-0.200544873026804,-0.314635298237935,-0.479035483055715,-0.641202571137878,-0.472032485801569,-0.276868401881913,-0.585336731192805,-0.564588081814323,-0.233842568255967,-0.477092493546183,-0.492850654118212,-0.450876838139295
stable,-0.251893638028312,-0.272319891245316,-0.165453239371671,-0.0813684962450893,-0.122809464701571,0.0356957562000992,-0.0149082671245527,-0.183618918448416,-0.188493363711978,-0.198028579403872,-0.0334112021445299,-0.0897309662798442,-0.283446134844864,-0.154477712363943,-0.204385906804648,0.279034474478922,-0.0605524879618151,-0.361267215283716,-0.284153533450042,-0.254163536037769,-0.172526366549569,-0.114448038167442,-0.0352528001987682,-0.206249374252223,-0.17980894134146,-0.171979829856061,-0.247823575756488,-0.278705940866978,-0.0365359707121226,-0.197097048603506,-0.164589510329834,-0.145771113607971,-0.0878942668480611,-0.297297910140955,-0.0458305754052134,-0.213890549619389,-0.303935522702548,-0.127365846965691,-0.194661456429584,-0.174536785221099,-0.227392336490087,-0.30552201306743,-0.259168282335252
stable,-0.202779805644628,-0.254122070821541,-0.279908065446645,-0.0988952784714213,0.0651241976609704,0.14578148262695,-0.122844174501806,-0.46599486767628,-0.231645997020452,0.170555115825159,0.0315644370112998,-0.316239150864084,-0.207800526921224,-0.470298741585017,-0.12175807257339,-0.365481588873352,0.235202764519506,-0.322039470001508,-0.257864110380074,-0.204326302780339,-0.131002615058649,0.0308288375468792,-0.355680039959388,0.0299922957419403,-0.0057130351341164,0.251380625429336,-0.146921998298804,-0.220052393383591,-0.229637302456956,-0.0990019502239754,-0.335101682312996,-0.104285172076167,-0.0823188376091359,-0.0087687969677096,-0.112033657978656,-0.120194059508806,-0.0983362535819697,-0.121718601843159,-0.0055829778057606,-0.172332449760498,-0.114542764481107,-0.191567912816966,-0.139552923367293
stable,0.0214130266011642,-0.0936927640239445,-0.115364686398986,-0.339459783403718,0.0222986966593531,-0.0480962364079002,-0.467807834906442,-0.379973549500211,-0.0218186692900308,0.0416899020018401,-0.035984588987932,-0.187655852334011,-0.0274085098208942,-0.43738820124029,0.0091421304055443,-0.572224607195774,0.287508618132872,-0.226251158890404,0.14835706821482,-0.0606177582813043,0.0854216738993513,-0.0379470961732775,0.023242617219973,0.0519442084886955,-0.0651291870490362,0.300499378668735,-0.0216732824849324,-0.0333100991604094,-0.227257470910622,-0.107636825479022,-0.303468723189224,0.0580812853930259,-0.0303216075609509,-0.175830993349669,0.265544698072907,-0.0957187985223669,-0.0499614126274805,-0.0611359092525409,0.0158152837396126,-0.0760495144942457,-0.09298241102346,0.0602612745742538,-0.0197175970079997
stable,0.186682737135284,-0.0140366105864882,-0.0579265282309439,-0.110800921568356,-0.252177487437189,-0.134007944081448,0.0233376672595272,-0.109528244014668,-0.0170053670442822,0.0552220606162496,0.0894981382995034,-0.184197574494284,0.0357721703090178,-0.0741303358247393,0.0394790765365162,0.105681724761,-0.0706585384813736,-0.202076666313172,0.0236738918003843,-0.0150314788319619,-0.0086559784923609,0.0343738495727404,0.141188216537205,0.0316478905079512,-0.0868934402326422,-0.164158915653036,0.142510229330807,0.0142865630017479,0.0414770050766208,0.123304170578814,0.247902665083929,0.157477776892901,0.0842033223304525,0.112697572165226,-0.0144732904282212,0.0445313206054012,0.0132011790791098,-0.0089086240141419,0.0838765205495919,-0.0193284945467921,-0.114516921795143,0.0135548056716461,0.0188521203759039
stable,-0.139794116246486,0.0035049202519671,-0.0914539322283861,-0.177265945170766,0.0360738961864934,-0.0962642062276024,-0.39157556220139,-0.213001883521044,0.0245190682112724,-0.104974685604914,0.0284652029755304,0.136321664971087,-0.118130438340002,-0.175183092045264,-0.0675793245678568,-0.364174141197422,0.334727685257221,-0.519239741217866,-0.0074403146596406,0.14128456599783,-0.0463795377357545,-0.0084228908894001,0.0313257383328486,-0.0077706067556742,-0.116649767307737,0.456335261457521,0.0921765175866835,-0.197046205715857,-0.120713331810868,-0.118994710912108,-0.235733332670958,-0.0238163040896886,-0.0734088198988059,0.0367626758782146,-0.0417294460894511,0.108185986722118,-0.0938031951230141,-0.0807942022423151,0.0376889793397901,-0.0356421560912251,-0.0733572129556346,-0.0280129829370241,-0.0461001239806305
stable,-0.0749920207285873,0.0548654338940267,-0.18679171250144,0.125714702484126,-0.0637278377512713,-0.0859587038300441,-0.113745279464041,-0.268856810348608,-0.258043133757565,0.0682771078434846,-0.0211102849837209,0.0658499760333691,0.0054674043784828,-0.223459571521904,0.0450370028438148,-0.291292549433803,0.483885885689009,-0.254689481397606,0.143669092090978,0.218027688229599,-0.306237255323946,-0.064768076176304,0.0859655080001289,-0.0139446803476271,-0.147456618529673,0.570615167989823,-0.158702920846849,-0.0981724851133906,0.120835848963708,-0.0068605189802584,-0.0045783986175839,-0.0671385261171721,-0.0552455616101496,-0.179565417255527,-0.0415221699725442,-0.0492277227370918,-0.119413752067304,0.0944927596425852,0.103838043318295,-0.0802051482839498,0.108339545625988,0.0534623067658989,0.0423007266311273
