group,CD273,CD70,CD154,CD117,CD45RA,CD123,CD7,CD49f,CD324,CD5,CD62L,KLRG1,CD27,CD95,CD141,CD1d,CD272,CD96,CX3CR1,CD11a,IgA,CD244,CD41,CD83,CD226,CD29,CD127,CD26,CD73,CD158f,Ig-light-chain-2,CD82,CD101,NLRP2
progressive,-0.495833868846572,-0.102024402804794,-0.0015568317951868,-0.177863181113534,0.0864458617585214,0.029509926473633,-0.136716777215221,0.0681637351784749,0.0501148655882641,0.11774582928202,0.138247946590296,-0.392581378693565,0.168799159630662,-0.121937057019965,0.0852240907539486,0.0005317350258819,-0.0880717716967621,-0.158766844366216,-0.185203416589723,-0.374479424276152,0.0188441346910069,-0.25754087591488,-0.225255901841991,0.127835788641932,-0.127511951291145,-0.084846131358793,0.308402870764692,0.0092591645781594,-0.0471727762390061,-0.0923012642489549,-0.0828025152733588,-0.0014217838402459,-0.151522921100214,-0.194029558406514
progressive,-0.210789277310985,-0.0582607151867948,-0.195065181069102,-0.363496717861145,-0.0380093361449046,0.161938829603208,0.0475634775151011,-0.0040261602466756,-0.448247674493824,-0.202067694457988,-0.0422565842978286,-0.125158494581606,-0.0939124969222348,0.0020759630047307,-0.379427860380222,-0.134103598128121,-0.13061508607598,0.0940414499816207,0.113781558519761,0.287434606898913,-0.041638079160144,0.188601583695246,-0.139932348081866,-0.323455465065398,-0.0438657238720207,0.331139085298965,-0.357045871053521,-0.0341801440365921,-0.254114561435364,-0.0453381911807824,-0.0140503078802477,0.0034116341454959,0.22985591200867,0.0032844778152178
progressive,-0.161989969637107,0.0316873288702476,0.104205006752234,-0.257092586872726,-0.0876046102975854,0.0367944298085832,0.150107418491425,0.0210555079928995,-0.21735896775878,0.0887175212058137,-0.232336622146182,0.0925497006343814,-0.243216672343354,-0.409579852248755,-0.0253574334504188,-0.144608227009231,-0.0432493269141857,-0.0043807556868589,-0.117012203049938,0.0614176117305971,-0.107416242171144,0.0713327612373847,-0.0545202955746954,-0.112652652436003,-0.0772505143292185,-0.0123186172293591,-0.266166041035973,-0.0443330091168396,-0.0451555684603114,-0.0600603788956645,-0.144621739669907,-0.042859427615585,-0.16650802823639,-0.0062769465516762
progressive,0.114141579278871,-0.0327782155067061,-0.0557084467579022,0.0338319257193244,0.220395216851395,-0.120903764766573,0.097177119640723,0.16133715998493,0.0394781108635949,-0.0826879333705744,0.271020011312133,-0.129849686458985,0.0594782362795776,0.0527607638322738,-0.0672873701857351,-0.0817922710514376,0.0425379517063665,0.0520193519209489,-0.0036838422452438,-0.169574081773447,0.0173357282129121,0.0201727377341814,0.350683033535805,-0.106508105662813,-0.0235472717912097,0.161148287356463,0.0500615581320496,-0.11128955489333,0.302009713400091,-0.0398028211109371,0.174300908514855,0.0131755913563886,0.124092254285473,0.116479566566532
stable,0.355931839318932,0.367642809458096,0.35842511835315,0.207355957814718,0.161047047414778,0.360021465788671,0.277553947208908,0.0905635655222233,-0.0009427250014062,0.1650257861189,-0.0163023646611565,0.146030562190159,0.341296388247869,-0.0224737115770675,0.314573281402385,0.266584727347892,0.0611141000171839,0.180710206256186,0.371716672534193,0.141884804516121,0.396133256240491,0.2252635729331,-0.0301554400157426,0.234248319246413,0.258135115332196,0.16234272584632,0.261890081585838,0.20515813150872,0.236662813257254,0.292186441007511,0.450562400417684,0.366562789056694,0.243650558698559,0.374207667803679
stable,-0.0490360933802511,0.0950612913984604,0.223810800394227,0.235234422423423,0.10613971785424,-0.136605986644007,0.439833195962572,0.343729566966441,-0.107431791827045,0.23304704010441,0.418738286393767,-0.084390221709253,0.223341803772713,0.29163200214007,0.133702500364352,0.122194253268504,0.352641401407276,0.394212318195194,0.127918896642858,-0.108292772237832,0.148855321877185,0.0527119962072267,0.14618292315916,0.39735136138994,0.218120436097951,0.0399315179199675,0.0436682117187167,0.259214531372031,0.250857125711334,0.247399468664232,0.16498983063561,0.141990834083056,0.0331453660919059,0.179318907751298
stable,-0.0052183497254133,0.154950991872911,0.0621650931313832,0.0251399934849095,0.564776431176716,-0.0617521574615479,0.266127192829427,-0.163098470293497,0.0132270850537029,0.293569932402457,0.3762008268869,-0.311560640685738,0.219116481580916,-0.225384105762887,-0.0326350428537866,0.0107069116693469,0.0312185143647539,-0.0845180264386939,-0.0315705487630006,-0.297045466477686,0.0619047981588096,-0.0120926037236675,-0.0664351123063262,0.1227804291086,-0.0192449290923508,-0.207467330869738,0.103569969054477,0.135433859559908,0.282267056422794,-0.0385717652510262,0.0888109100595597,0.0233905307758144,0.0262605081145396,0.164896477783068
stable,-0.119285948726212,0.105757555786173,-0.0295271633227788,0.105783956425415,0.125485566392846,-0.0429506757271318,0.288305485813332,0.0748971784928616,-0.0389323343779669,0.242048687107257,0.263825238319253,-0.156440532416814,0.290131672993314,0.0536180884209929,0.105560130420346,0.0644929098315026,0.0266536957705607,-0.0189962425507788,-0.0767379277881191,-0.166232202307244,0.0875112179248504,-0.161516523002375,0.146321584916386,-0.100635341668485,0.0038850177733425,0.0406629732602438,0.137451337242766,0.187456398319311,0.266332620782097,0.0497434156941376,0.134115815986424,0.145354649821023,-0.0677386333910402,0.157743906014248
stable,0.120615239943466,0.196809016992703,0.0681827783361518,0.1454940877634,0.238087326982369,-0.208615356273654,0.230801272834552,0.0614828132045791,0.0732293115135202,-0.0494731430904244,0.166969871410468,0.0842247038612199,0.0826088751169674,-0.0260113950260135,0.159037579226824,0.0916497455419535,-0.0292827553980976,0.0775519411985792,0.0825883679809882,0.0012142740202193,-0.0326819377364822,0.12271044424182,0.193945931136583,0.28865065556398,0.0544931101570818,0.0631858903574365,-0.049325032429824,-0.0697780018598168,0.0760759010616714,-0.0208795579712612,0.104286110493689,0.0559386169822966,0.102641691552373,-0.0854532412257665
stable,0.0478018013065206,-0.0511334031432559,0.145511985968279,0.0953009861267806,0.178903603682549,-0.125536097433074,0.300437553145462,0.295776564893825,0.0050645283916136,0.365578060775889,0.155178546448442,-0.296777448597778,0.273789536428291,-0.144210430326186,0.118791024348914,0.086452479329234,0.131346910055578,0.162923513604494,-0.0039993641035696,-0.452272313471179,0.0548412979838239,-0.165619559586271,0.33350092937135,-0.0821411816544321,0.153680457265437,0.0551033129131589,-0.0940434925225176,0.195274533394883,0.153090708320519,0.0134756852452123,0.168836936989309,0.147150015353137,-0.0238628349358696,-0.104532549789881
