group,CD274,CD33,CD7,CD49f,CD16,CD31,Podoplanin,CD5,CD32,CD62L,KLRG1,CD27,CD107a,CD35,CX3CR1,CD66,CD244,CD226,CD29,CD26,CD36,CD73,CD307e,CLEC12A,Ig-light-chain-1,CD101,CD88,NLRP2,CD224,CD258
progressive,0.0144789001169953,-0.0323827221411397,-0.408826955590252,-0.329940457716333,-0.0534293997804937,-0.257494876817413,-0.217447191785305,-0.0212067805501797,-0.0413538132594508,-0.394233065421267,0.04110875472939,-0.334847227020545,-0.296057138373146,-0.226785087941266,0.0961133574925366,-0.310456852467766,0.122632736223598,-0.091773973241609,-0.277186468811427,-0.233340617515391,-0.0688294678029831,-0.317250419180745,-0.469081196185688,-0.205082240665765,-0.121559318838194,-0.207211450149609,-0.0723383895455587,-0.231017422529242,-0.199447215561056,-0.110718410646991
progressive,-0.144341795478343,0.0378675027369732,-0.0333120286418957,-0.148115676228067,0.05666977643433,-0.128875447478699,-0.132954936659829,-0.259730128086142,0.0141948895556802,0.121880316421437,-0.0273131880353093,-0.262414919514973,0.0484388225230816,-0.0271425106307481,-0.133511110987556,0.102132573027214,0.0576488129669448,-0.135025554844537,-0.205641556196971,-0.202679657223053,-0.0606184130710118,-0.28944341861238,-0.116296244493181,0.130755930103562,-0.196700568355918,0.0524119579889617,0.104387335034193,-0.307128001417649,-0.219141620558733,-0.13921447429508
progressive,0.0341824549500449,-0.14511875807695,-0.142098892877223,-0.217289027219137,0.0658912343241467,0.0344464298148964,-0.0247377029865098,0.0464465681619089,-0.0497141599245935,-0.365256964071046,0.48907680390896,-0.27038425879737,0.0488381270811084,-0.196895949115007,-0.024570129954353,-0.0444454612274666,0.509254262525295,-0.153828953473614,0.0360742485207925,-0.419402438534045,-0.0751955961406001,-0.0548258460947615,0.0849030873156853,0.0139112681254622,0.0758844036243841,-0.0872607896499547,0.0889039906168672,0.0957174591452113,-0.155080631300804,0.0414726358765379
progressive,-0.647125959470162,-0.491862403126746,-0.212439579898089,-0.421933710446589,-0.470274080444699,-0.460504334683408,-0.579056255390077,-0.295257306188291,-0.471763044622642,-0.173759526804149,-0.240942905544685,-0.485255366719969,-0.507824871955588,-0.524861304230913,-0.553732052000768,-0.532482773565894,-0.200817055241896,-0.456282564125987,-0.407149470811445,-0.306800196382395,-0.564325205460935,-0.32447806888976,0.043129392834339,-0.559535208962194,-0.456985319970653,-0.517761741235369,-0.541114738256736,-0.497741308358194,-0.485953850327709,-0.576116389428828
stable,-0.0268432268579386,0.0311047616600171,0.327634815652396,-0.232742425272513,-0.0986402175933642,0.0759584127408156,-0.0662131637406019,0.18050684268819,0.0737125059396746,0.425687137275255,-0.0372588305455653,0.198577349951259,-0.0624703774158314,-0.0779991512491441,-0.141247838177008,-0.125202330742501,0.021830536626452,-0.0283715812157172,-0.239957569287046,-0.110901442445127,0.0739431192400719,0.195705919961229,0.0582888180543801,-0.206455302537414,0.0244884446998872,0.114891229241333,0.0148549375199025,0.0940152202070716,0.0185095227298773,-0.0094172723115852
stable,-0.0828843202870091,0.165715359164078,-0.377384945819982,-0.241192443661022,-0.151893443843541,-0.21256492077091,-0.0554595108622291,-0.323781592605305,0.0041710459155616,-0.254529192040475,0.313939781686818,-0.208329834755951,-0.141002048555692,0.125478175093367,-0.0890849600415059,-0.13203457225314,0.190326343746691,-0.157459790029018,0.147380313591364,-0.297728686924776,-0.0107065555928806,-0.347194821200309,-0.0205666895650812,-0.112102005914383,-0.126698385911941,0.0660975641263684,-0.0081423144875089,-0.0334277168042275,-0.133715172404425,-0.081686201065248
stable,-0.0560769378990488,-0.0717705977790637,-0.278798842228652,0.0326729897843637,-0.268565602931118,-0.433085150180427,-0.202718180745177,-0.268036030684653,-0.0880878592731845,-0.24617727082929,-0.0059531578825683,-0.225197018235293,0.0016446865307225,-0.109478144296032,-0.0636151975860864,-0.133117638456266,-0.247726541306901,-0.11039656791719,-0.0642521677229329,-0.240062763688621,-0.0123514830387129,-0.114559508197386,-0.104888451079499,-0.0454142300946447,-0.132788927463815,-0.093715210885863,-0.212001619203259,0.0001720973951045,-0.209403751548366,-0.157618727664361
stable,0.0311944567116122,0.298522165645288,-0.268414795051346,-0.0308585425927324,0.0943133622165832,0.0928795273538181,0.19806603423343,-0.0165256363458458,0.134707630144928,-0.322840012296372,0.316371323076521,-0.0193496988670838,0.260322791203441,0.10637697451143,0.124388105049303,-0.0661917289776615,0.414518701357844,0.0431255894998847,0.162276518009287,-0.039871345170172,0.186349793068024,-0.119409075056165,0.257571467607019,0.181609311021821,0.22709963728242,0.165937823785458,0.0975370519974369,0.0812979980237686,0.130302256270596,0.179830198735464
stable,-0.260698532508466,-0.0857665594590642,-0.129019062794164,0.0846517947366002,-0.0062726727010476,0.2173889853341,0.0319428422256644,-0.1255736314874,-0.135057444606222,-0.156830782169966,0.390248028381613,-0.480730455944565,-0.109998057941539,-0.0568047116925523,-0.0889074877689686,-0.0146934640969836,0.345178706796939,-0.202352495952951,-0.0551287307518132,-0.321382449335259,-0.0747234266901163,-0.168929667306712,-0.134354027925407,-0.0801014090118856,-0.0274223006344063,-0.21378244115655,-0.0305885230954185,-0.135059636408224,-0.0915420657260718,-0.116668658616331
stable,0.271014629071434,-0.108030709864804,0.0230475622936637,0.226526280218013,-0.0095204175099937,-0.0439278264936624,-0.0538557435268567,0.0636777843177804,0.287822184921376,-0.042813392912512,0.125019194322491,0.0120709403662132,0.209607341761014,0.0594046972839516,0.0315457088893878,-0.0273615618451442,0.19472791661261,0.167092412065386,0.269476755392457,0.261435309596435,0.0175421577113739,-0.0486055375248794,0.145944762812988,0.113602913331706,0.0001159492954207,0.0816245479851412,0.259634948493733,0.174555118241012,0.200574178526358,0.168143756106374
