group,CD8,CD294,Podoplanin,TCR,CD32,CD103,CD62L,KLRG1,CD27,CD1d,CD314,CD58,CD178,CX3CR1,CD11a,IgA,CD244,CD122,CD226,CD29,CD26,CD144,CD304,CD158f,CD337,CD307d,CD94,Ig-light-chain-2,CD85j,Ig-light-chain-1,TCR-Vb13,CD88,Podocalyxin,CD258
progressive,0.144591022661714,-0.0669331164427219,0.408895001387234,0.170813397474747,0.236321267153018,0.131917548053875,0.289427125179053,0.245568182559914,0.287538265808576,0.0406777294799673,0.0793309977774364,0.320475510174758,0.257299717437881,0.140995120525838,0.35402839745202,0.319388854303699,0.175252005238234,0.111904488255151,0.0653673111296366,0.342630268629685,0.345320905572921,0.323023698266119,0.0928500898378751,0.209042998781188,0.347345687916103,0.177717435991866,0.359746367114506,0.297117736279956,0.197730639155275,0.35217443642757,0.098356664956722,0.285282566562788,0.0412614743911358,0.114887824021377
progressive,-0.151199778862808,-0.0270751869176513,0.0395469219347047,0.206007530091349,-0.0920321558382735,-0.126769434687792,-0.0945587380745939,-0.261224623997549,0.116355483407165,0.0587015093578993,0.0839112880104135,-0.0678960848443891,0.0773617479039011,0.0279550780515492,0.0382310825527536,-0.0841838801585191,0.0622950468662315,-0.0714029392393869,0.0929765810594,-0.0197214582920829,0.23549615284188,0.0013502740408308,0.150566473767716,0.0887153372943522,0.0852963636699583,-0.232740452128605,-0.125439514974194,0.0650412168956465,-0.162111971101336,0.139545731775075,-0.0386242134403151,-0.109165525320791,-0.0689443931827833,-0.135432906136717
progressive,0.103163036686033,-0.100729007451955,-0.144479828958826,-0.175657063451511,-0.247191971195117,0.0528205088945547,0.136490407634169,-0.33326763721017,0.104615191182096,-0.221907567183973,-0.275729076536032,-0.266443765330275,-0.0585650559219007,-0.0046841133013346,-0.170805079206724,-0.298645477135033,-0.158237153108375,-0.243207507423308,-0.199334639923978,-0.184145457244447,0.184841476018335,-0.216004856157412,-0.0829444896372839,-0.321697182314895,-0.181030400174059,-0.119316874763748,-0.311889540129216,-0.310942705549321,-0.198707004437008,-0.197537394474431,-0.187771753871031,-0.238689548599775,-0.142034613352433,-0.171014280472805
progressive,-0.229544824200156,-0.222520256768334,-0.0004696027024373,0.0473817540634849,0.143605176308017,0.292947314737819,0.0024233739167106,-0.343109636304371,-0.276682600351767,0.0122579928764091,-0.196866013237246,-0.0677054492366591,-0.0227743294772201,0.0112321072379493,-0.396586873798666,0.0557632590848673,-0.285331358998277,-0.202309517542574,-0.287298385121278,-0.130890105683885,0.0256877947468443,0.0959704375114681,0.0196297197097798,-0.0339515896953547,0.105725206395311,0.19768989982028,-0.0437009947636663,0.170364965065898,-0.0289682549601498,0.0253920923396706,0.0407131510223716,-0.046838348606446,-0.0034673337013595,0.0037579092135347
stable,-0.0108400653550606,-0.271380546687738,-0.388080163853915,-0.373164087220742,-0.258679661999833,-0.130607635776578,-0.167167856930929,-0.0714626284093281,-0.569209482370992,-0.150889879005259,-0.0723990478467246,-0.289552374625104,-0.26134821857216,-0.262351054535365,-0.0315148655393792,-0.211143147695503,-0.136677371905156,-0.180681892175307,-0.23733507332369,-0.0813256169533009,-0.215221860590661,-0.225274896978523,-0.0663323054616686,-0.274711946315397,-0.197123661871083,-0.262880454262921,-0.1762059194267,-0.268905479129734,-0.242967034219554,-0.203020752701901,-0.302234438440753,-0.223443742453364,-0.321478982425653,-0.273858608601271
stable,-0.0918592751464637,-0.38371195148569,-0.331025016763103,-0.263770234284323,-0.361604609018501,-0.567017785472741,-0.268944623880468,-0.164962547765933,-0.302329799892278,-0.305729545198489,-0.357880268014913,-0.272093186587508,-0.295918493957242,-0.334150635715193,-0.0882243337910046,-0.344224399508385,-0.0647631010776413,-0.411616455148364,-0.239464206213946,-0.282279201422919,-0.129122272616092,-0.210029557203972,-0.500191283827817,-0.394747598360221,-0.302301421993844,-0.378556025696308,-0.179329159525468,-0.359158690520946,-0.321130300037888,-0.302700472485974,-0.343264598339471,-0.280587101609193,-0.338324671022081,-0.276512094648627
stable,-0.292375237287517,-0.046447697699577,-0.142214392173839,-0.10834094710807,-0.137696563939239,-0.117601501865669,0.122346172384533,-0.317464113639089,0.004433724643816,-0.132384994411659,-0.128776608591048,-0.206259291649574,-0.051971191264181,-0.251435580437136,-0.374149772570289,-0.166737961928731,-0.234584598343855,-0.0502187899624115,-0.0753594233243388,-0.139958120031173,0.0495772920816232,-0.067305368260669,-0.304607191352975,-0.263234350657302,-0.140118231186162,-0.107939743295313,-0.182734900082219,-0.22697778407732,-0.181457580991251,-0.134697048784801,-0.11161912926193,-0.29612085408801,-0.132621642277999,-0.0311539840850834
stable,-0.0952512677950176,-0.0553730078036402,-0.102301347967737,-0.0805391664180741,-0.20199364772757,0.0203411826957413,-0.55474426222005,0.140313166636956,-0.0327722920601465,-0.174121168275937,0.0321622474820431,-0.0498028884550146,-0.0496459680271793,-0.0839373130884223,0.223014178807137,-0.0883554897609935,0.0941900318969213,-0.0734576642508893,-0.103051067443377,0.0565960004673356,-0.0957504051736264,-0.0044983774205514,-0.101609573860796,-0.153205734886511,-0.180309642493761,-0.126910646185447,-0.0395514951190795,-0.0282287185574172,-0.032375177090707,-0.043472550741206,-0.101591876286399,-0.139805833122898,-0.136399754738754,-0.0326047332138755
stable,-0.0368632814866887,-0.0813629353281494,-0.136235590810992,-0.0977933408320232,-0.105784034450846,-0.074248870581528,0.300835311668455,-0.489064746759883,0.485080172377397,-0.102871233688334,0.0615528108555325,-0.188483918251668,-0.293369216103068,-0.185969167712347,-0.558943935406758,-0.210295019900045,-0.260714071493125,-0.0911406450550929,-0.0383834645658971,-0.33385499222474,0.168853003917661,-0.0251896880282824,-0.0071909825004399,-0.168489656785006,-0.0487392913463765,-0.159278790260429,-0.0788165729747364,-0.110425929393153,-0.132698747318635,-0.299575221899202,-0.0357821667981761,-0.253061068567182,-0.0746465254102824,-0.0631910989783854
stable,0.0070719046382209,0.109176098634358,0.133889853713601,0.136046888458205,0.324414296679879,0.0503781438386459,0.0328192369726901,0.0068416301124887,0.162214301665227,0.23276785190829,0.1709909308957,0.19961269679102,-0.0145622395663757,0.116684345811574,-0.0781967500061526,0.119336226348503,0.266994656850694,0.0417189544700244,0.277180399198949,0.270807683401911,0.237661172825828,0.156776662645697,0.271912463326577,0.160000241354003,0.0728603026693164,0.0616353396689688,0.269385900231797,0.240310227842789,0.217484132773715,0.167510497728232,0.149838712215867,0.258722245776042,0.158489345254141,0.276351205674183
