group,CD273,CD8,CD34,CD90,CD117,CD45RA,CD7,CD25,CD45RO,TIGIT,Podoplanin,CD146,CD5,CD32,CD103,CD62L,CD223,KLRG1,CD27,CD95,CD1d,CD66b,CD57,CD58,CD96,CD178,CD11a,IgA,CD79b,CD66,CD244,CD169,CD54,TCR-A-B,CD106,CD267,CD254,CD163,CD309,CD303,CD18,B7-H4,CD26,CD193,CD144,CD73,TCR-Va7-2,TCR-Va24-Jz18,LOX-1,CD133,CD158e1,CD158f,CD337,CD307d,CD257,CD94,Ig-light-chain-1,CD328
progressive,-0.0514367665899092,0.167414835015791,-0.146526036855859,-0.126261349760742,-0.0874378604409014,-0.159522798896768,-0.137222066254559,-0.272305271725538,-0.396236587924663,-0.211317694243422,-0.399731481857292,-0.127388358488584,-0.10128647574137,-0.329096391599963,0.0559089701697765,-0.188519927168585,-0.108906985911896,-0.265206890124072,-0.15804042390333,-0.0785838736904312,-0.0205926473659727,-0.384966389650229,0.011160028014406,-0.285735291704951,-0.0467372914190518,-0.303949914637174,-0.0718426329631769,-0.29403099448353,-0.422796235402255,-0.396029303533854,-0.107033755137194,-0.0718384264604343,0.0254851464353368,-0.355166607149839,-0.118689163957483,-0.151238620007591,-0.378115853873413,-0.20258345543212,-0.246656794721505,-0.0404078122369731,0.0257005996657982,-0.352765528148736,-0.197754481068783,-0.353741674387676,-0.424455212504148,0.0084920814665432,0.0337184218705503,-0.400451765000171,-0.355130819196413,0.263426235209843,-0.237438197309553,-0.270913953080983,-0.435187983687907,-0.220598964535382,-0.290058383605606,-0.287864633575467,-0.388526369344631,-0.357065998667981
progressive,0.04716003913251,-0.0520962662190727,-0.0854043066409516,-0.196359702455142,-0.417191371979169,-0.0573151875465559,-0.155768922663512,-0.101281833642283,-0.252279875797077,-0.158155356088422,-0.373778420565688,-0.128416275271755,-0.024390007513281,-0.157287588196514,-0.142940683017453,-0.101996608101771,-0.314510818211518,-0.175815785200376,-0.313571726943858,-0.103922088326371,-0.302048616401071,-0.0934484126921394,-0.43611974190781,-0.396480329790186,-0.392450668800055,-0.367321561747051,0.0129775234353384,-0.0456203427085123,-0.136764341787671,-0.131891687911011,0.195763294546376,0.384122323782729,-0.247892946282415,0.074945194667678,-0.186724447135229,-0.0661034426678272,-0.361378227661257,-0.189298790128549,0.10968082630327,0.0619805690779846,0.401495542871011,-0.25075415481091,-0.310437526757322,-0.516106974089666,-0.133823898959737,-0.253240383228766,-0.242771023868344,-0.183910297983183,-0.192321068747892,-0.253133111762982,-0.152269673031853,-0.189138406333258,-0.065188698557384,0.0101893687722213,0.120225694131013,-0.0502110830972399,-0.0910080859402661,-0.14914959969533
progressive,0.1042742045931,0.364019507063095,0.0903658001414306,0.0865984832849868,0.0724134019522535,0.0856062993466476,0.034803717565051,-0.0161984042377983,0.179152297751385,0.132988389589333,0.17801697722063,0.206193832015902,-0.0210687429470071,0.157491786862844,0.0969504433079234,0.106455913811651,-0.0168898183848346,0.203481515587713,0.0138908542149167,-0.13321609596185,0.128312793785826,0.256900525576208,0.336007310431271,0.0915059396083773,0.123965353673178,0.0845891814174064,0.26287671494154,0.258033583204566,0.181950281220169,0.207807628778114,0.445839360959454,0.165139383051877,0.0883651714097059,-0.0118437201286783,0.173441218082679,0.300770175523868,0.126931435119381,0.0884553631568059,0.416204742380023,0.065501395484323,0.273514008051486,0.0878134791344837,-0.0681552324786177,0.11415473326103,0.249072478554829,-0.0446245557337849,0.0679907029519336,0.2159881691981,0.31514210437096,-0.0902421853862701,0.352967142134332,0.0821233752246841,0.131774812671872,0.232201495705324,0.180125487567136,0.368559846660102,0.124691807164435,0.183701567834635
progressive,-0.370733301218971,-0.029244372091012,-0.563630924145811,-0.355386913319382,-0.0852184968226781,-0.0697246360775546,-0.0976103014519001,-0.397471518361326,0.0042826382623141,-0.369343324013498,-0.193440190119393,-0.425493293161348,0.0536568860212549,-0.208817886494661,-0.357140414671004,-0.247075630224634,-0.35662647682552,-0.0702192988560557,0.104014379054774,-0.206409156984213,-0.255971479563716,-0.0961472623333059,-0.134852010551189,-0.0311264518624001,-0.14928866201948,-0.306892236325783,0.0612631469896412,-0.403200145351981,-0.249105889533912,-0.0383190568924443,-0.206679529565368,-0.34708059188785,-0.0809178479637201,0.0366370279415001,-0.521555820947421,-0.0631742393515528,-0.327594938889326,-0.380229658835678,0.02217947592001,-0.457580813449039,-0.0125830420102108,-0.320375625156775,-0.240237197830459,-0.0819646858426554,-0.31167749109519,0.0231978475510215,-0.388538575351822,-0.259343023576707,0.003163389743882,-0.400825924294922,-0.395334128076118,-0.246546331128182,-0.44020262737945,-0.350757641898065,-0.316181145596183,-0.284454405485686,-0.221366958858667,-0.170613541137462
stable,0.0193110414626432,0.12647130821389,0.0848376527266728,0.050519888727835,0.0924692451696933,-0.0066539053123376,-0.157888289081126,-0.0116774141182332,0.0980873254308527,0.164572957287327,0.0108967651778313,0.003043282342606,-0.001920901385358,0.047157197418964,0.210369695091223,-0.299225902182318,0.18042234989507,0.181839218994363,-0.128672636684235,0.214349786880406,0.181521928065609,0.116087399145954,0.0555057167508835,0.0651690664131567,0.192326206034111,0.155044635135787,0.32094360698119,0.110573078625016,0.0534908296462454,0.129596275082927,0.221389698677178,0.017274625047233,0.127944075007265,-0.105938568629238,0.210077804160375,0.185389306537212,0.0708221432561916,-0.0401097972661183,0.227619174556776,-0.0395348275591744,0.096011434804483,0.195969503320345,0.0375671241465581,0.0207696909395574,0.210743807771302,-0.208301221153787,0.0539003600874817,0.202789901241046,0.197509557704426,0.179130528198448,0.0099714988354284,0.122220158629767,0.187462935930342,0.0977645877011984,0.364566946728159,0.169450501428075,0.146938397832687,0.0512108191115667
stable,-0.0059517615679023,-0.256264114963878,0.0057754197975466,-0.179813876335339,-0.159258300278792,-0.0167514783411553,-0.493028595113778,-0.073235595175445,-0.187589796955206,-0.124446405094349,0.0185431065099676,-0.123020979719728,-0.220217722913427,-0.129085893676412,-0.168117517981136,-0.600816627756884,0.0759398782448174,0.157428718065751,-0.364617411199011,-0.0291774679244835,-0.0393435772291499,-0.196929661219111,0.107221262624079,-0.181335073085283,-0.0456148131985859,-0.149759956514929,0.179927046333626,-0.145091268252377,-0.0008509674581138,-0.0795404120093065,0.0183779349273822,0.210479083275704,0.0109947500104379,-0.0363083838270833,-0.261787216883759,0.0718591151462125,-0.112113352698285,-0.122115600145765,-0.136402668550216,-0.0846144381862284,-0.0033973848236564,-0.118084425149274,-0.339586441759582,-0.0322946028943983,-0.135537654492505,-0.275081102015479,0.0808233095173497,-0.192558027773078,-0.286256301715719,-0.0230383210604658,0.0574860430166676,-0.125381221864573,-0.0462084289767183,-0.138845459035347,0.11458693052372,-0.135082058575514,-0.226484271462477,-0.0716678077718826
stable,-0.0155546962969052,0.164465867970625,0.271019702611222,-0.118930684262226,-0.0266835571175888,-0.196045007994003,-0.0105920373048699,0.251998479772308,0.115719691471582,0.110895136541933,0.0915980834966898,0.0642634843335322,-0.120775039279107,0.0798716857516009,0.286589279160164,-0.15969499654368,0.156577976908841,0.209245820992309,-0.0331262569816541,0.403049627258148,0.031469639028148,0.026412596739901,0.08896414960539,0.151591636702424,0.294856617464971,0.0612190728134568,0.263033900345728,0.100363340257616,0.151296322546477,0.0897665135700357,0.180174754988482,0.11324156424005,0.451038885157674,-0.0083045146900039,0.0909475966100814,0.222671876244033,0.0755811289975915,0.0846499503857165,-0.165450520783075,-0.0314448029468988,0.184414085693975,0.135021619490462,-0.146881401890345,0.148952768876138,0.0096169903459924,-0.0961715604445407,0.0703358371240931,0.123748574042696,0.181499488660191,-0.12211686526596,0.0437117473333004,0.211018212868689,0.171703147991483,-0.0072288964080114,-0.0244276491202676,0.0811480814809093,0.162960812579748,0.194484531905636
stable,-0.147207216154327,-0.37387980378828,-0.252482256466859,-0.180136901058734,-0.228651973525058,-0.38148325824513,-0.248230364112407,-0.0916300526842722,-0.282651264970988,-0.212904998075571,-0.321245615276333,-0.258162973515056,-0.222153987982214,-0.38574079749583,-0.227112448250911,-0.411135227893134,-0.264496700273252,-0.0879453359483161,-0.207525570266146,0.0774884693619668,-0.36759490381729,-0.227478914987475,-0.0776312936754117,-0.256453675222909,-0.364504195564631,-0.289384787442875,-0.0235436978005973,-0.297054105048823,-0.363162766249864,-0.104258798535367,-0.221706520830594,-0.0376936924704713,-0.0511262060216965,-0.202624327524574,-0.174975779520639,-0.148049670917503,-0.24776630135708,-0.0909719304866595,-0.0740085267802017,-0.284503393614631,-0.0197163616297598,-0.244163266048879,-0.187252478385129,-0.115757782203327,-0.161210663217133,-0.298677004359879,-0.174511678170591,-0.304880038706389,-0.133832982210963,-0.0265407208068026,-0.282770110709778,-0.353362080375709,-0.371259495283869,-0.292987558690605,-0.155131879138256,-0.244251738279144,-0.196997180397572,-0.243421640347819
stable,-0.095731077346434,0.324958555084923,-0.0596905410828399,0.0385452859497761,0.0986296547968902,0.266579460504018,0.189910647398869,-0.133094884715895,0.0892630139107577,-0.0730293544820172,-0.0159183934696117,-0.238053663590416,0.240272158350168,-0.16015616792008,-0.0001683647858991,0.272206099764914,0.13620333712939,-0.125122737628733,0.425353256241595,-0.0661211793642823,-0.0400066045597614,-0.082104522586826,-0.132825742088897,-0.201561157691042,-0.0731063851588276,-0.0232616178783884,-0.26990641074327,-0.0954968744361765,-0.0565258577441624,-0.344112279880269,-0.0913272905366417,-0.112722884562389,-0.221219094915794,0.0423484221330987,0.0948380651316266,0.0807702745015512,0.0980615825903933,-0.141100650474593,-0.149643133932042,0.0728653968843886,-0.0039380156970976,0.119950302601933,0.19254783610975,-0.100824935984219,0.107678329065477,0.446028865305828,-0.048282061571709,0.116314685039921,0.0694217991885132,0.0450921442643945,0.0327273508696296,0.055544266347908,0.120492673147922,0.0286461711326121,-0.111143575531275,-0.0829573537514438,-0.266813215253482,-0.162795494571197
stable,0.192698498614449,-0.0729271825814882,-0.0408809684543866,-0.132976671804097,0.08680476502203,0.0879775471691294,0.0567090381443968,0.279427349744558,0.0839688642075135,-0.0767136402349447,-0.127249310912186,-0.0415544460524123,0.148107768443974,-0.154139196599208,-0.0863855992104986,0.257207676992752,-0.155736902396024,-0.306010750253827,-0.0258421168449844,-0.327730285575819,-0.0491326149330764,0.0456019420590275,-0.257908086673261,-0.133870381641989,-0.178730338524562,-0.0200485124569015,-0.347333170952296,-0.0508279909715583,-0.140425698956753,0.0559688295054129,-0.313825624172715,0.141287435234583,-0.318792052691965,-0.032511455090716,-0.262489706744484,-0.0884751536194496,-0.029527588190768,-0.091224650442876,-0.069191614322169,-0.0046089859721257,-0.149355130209096,-0.104128358698711,-0.216708437751088,-0.0666765387156553,-0.128328523897828,0.106106595000754,-0.174095259244604,-0.0637135599460968,-0.264208354903676,-0.0544195926164129,-0.202702872637759,-0.125247158353192,-0.0847897540369908,-0.0839730768349803,0.0676751260936804,-0.294815557426572,-0.17313403855614,-0.151779742202963
stable,-0.114622375836453,0.0001203798207272,0.018770400773946,-0.079549476304489,0.0174801920505589,0.144079762330027,-0.122356643085204,0.0555542548389582,0.0007949090167317,-0.0351166990304939,-0.122509035039834,0.0473127126108115,-0.267487454557736,-0.086348225944096,-0.125185789121176,-0.341527059774389,0.050329628739299,0.260224649015667,-0.250432486215874,0.0546555604316054,-0.189087214453221,-0.0839454817635979,0.232332902514121,-0.100849501054163,0.134503552680053,-0.0005764645665624,0.32718707393709,0.0232392001370301,0.0774779421097959,0.0670030121785974,0.273556798724916,-0.121192913971444,0.126962837970797,-0.0076639238726109,-0.198140800084978,-0.136192131728704,0.120191015305192,-0.01066641362057,-0.173618277593947,0.11369604835181,0.0334511226884305,-0.0420319506416643,-0.133901853196011,0.131938767963452,0.0172799608389088,-0.201841197641714,0.164299040946402,-0.0138444570831463,0.168824341800806,0.112064224653965,-0.0315436947609369,-0.020434308169483,-0.0473575617529847,0.0676498314969235,0.0065937532914956,0.0307971166632594,-0.0779234370034059,0.0110826661684749
stable,-0.11049159799318,0.12097955085553,-0.139400908232513,-0.022160360321778,-0.0417833219387671,0.05323965463662,-0.371192158234882,-0.152404074375887,-0.146001367102219,0.010232348343211,-0.181924272984151,-0.0028972051121189,-0.427491085023276,-0.0829851331211113,-0.0355987743458753,-0.443331278660162,-0.191789010211883,0.378135126560254,-0.313413252695571,0.0216857348297548,-0.130956236132834,-0.0630764941323182,0.0439109280800027,-0.169807877708661,-0.104269099932604,-0.0629399578357743,0.368220125649228,-0.122566443763719,-0.141741944036048,-0.106132394119178,0.207777276228114,-0.0949963576633265,0.0903773312706513,-0.0570807788212827,-0.0679875341770368,-0.0800875561409786,-0.140575396749491,-0.103766656882607,0.0268851448518971,-0.101184645907956,0.11414266830763,-0.1862859437893,-0.391309616382555,-0.117665679781228,-0.0712440497910808,-0.403737565422714,-0.0575486752634747,-0.150567035853802,-0.0379366783350403,-0.109270988275785,-0.178371960025962,-0.162044272981015,-0.146473017178829,-0.132147769659725,-0.070763986208347,-0.0243244492274455,-0.0898720309589209,-0.112313231588498
stable,-0.0739860401159686,-0.206795032824721,0.0153391567576979,-0.130865028232983,-0.163176874532876,-0.0205364856260752,-0.160822208506548,-0.104178494390217,-0.192379678742035,0.0113035519696901,-0.153293178784157,-0.0731519566732672,-0.239832058218581,-0.19271255368531,-0.0740350646770972,-0.0705791220804083,-0.138693368747145,0.038426613819563,-0.287650065713472,0.0755320875296388,-0.202004268814114,-0.286995818061994,-0.136626085446333,-0.239049789023962,-0.280703719963001,-0.150816736999942,-0.127973320258376,-0.260623765612809,-0.168377852731027,-0.118548342836587,-0.100458650559248,-0.0043434160358249,-0.225413425446964,-0.114628221687445,-0.256706915451749,-0.350535109029438,-0.0930974088138748,-0.0788691977466017,-0.249490194659932,-0.134103907042776,-0.161401665544193,-0.198800060184802,-0.20815836057744,-0.145681200093325,-0.164992816262687,-0.137401410943489,-0.0300258718846959,-0.262118488922569,-0.133507551172878,-0.143873979218237,-0.165591963153685,-0.245843394866391,-0.197000093941966,-0.145803759276403,-0.170199323922747,-0.103785026037477,-0.153194926525967,-0.131204647853815
stable,-0.0190267462927494,0.290199791857285,0.017214816252124,-0.048880027983846,0.136245898881063,0.218744760287668,0.0457754848075416,-0.0367434200959853,-0.040468997958453,0.124925670710382,0.0347541465254376,0.0285807182356835,-0.26969995212681,-0.0500843228729053,0.0314184706273262,-0.31729270784393,-0.014375307741009,0.501658642628809,-0.284782159395948,0.0344234254706678,0.146411756149563,-0.0803213645509921,0.132068373301883,0.0002128119530516,0.132368327093637,0.127275839456857,0.408345039901626,0.0573315637554132,0.0873827433344993,-0.0689155388487112,0.365383196679241,-0.0618828394012597,0.234388105271258,0.136961327584539,-0.0185945950441367,0.09597784690695,0.0623318877889812,0.184733438614671,0.120422377351696,0.0483477118308434,0.171920314307029,0.171927957444613,-0.213505457215495,0.0498749999663274,0.179048918263874,-0.126540487736199,0.0166685084721779,0.0965815080710038,0.0214011947587479,0.085379063497505,0.004651620675117,0.0788549914634606,0.083051447515424,0.0761958806168109,0.210378765064681,0.169081177281658,-0.044375544382688,0.0617368507163691
