group,KLRG1,CD11a,CD244,CD11a,CD252,CD294,Podoplanin,TCR,CD32,CD1d,CD58,CD178,CX3CR1,IgA,CD79b,CD122,CD226,CD29,B7-H4,CD204,CD144,TCR-Va24-Jz18,CD158f,CD337,CD307d,CD257,CD94,CD150,Ig-light-chain-2,CD85j,TCR-Vb13,CD82,CD88,NLRP2,Podocalyxin,CD224,CD258
progressive,0.334605022375328,0.294835636714568,0.126878182086927,0.225081312828503,0.0911966496511037,-0.118275772980741,0.131848855808765,0.0425230650341722,0.139499875596237,-0.106588702915422,0.0172619217033365,0.188675202943574,0.105301371146728,0.0115612612071101,0.115921009068599,-0.0613980697834032,-0.0235447378940082,0.142668445305491,0.141246130569025,-0.146977654496008,0.143734819249374,-0.0200189660004307,-0.0775070819416556,0.0578467778793482,-0.138208611940536,0.121915784354066,0.203898085102516,0.0625977343027953,0.0343327502352951,0.185283696449409,-0.0297604338384388,0.0867529122861922,0.188783203086428,0.0900102325750612,0.104163582204196,0.0345002783009112,-0.04441750779765
progressive,0.0692090900270377,0.0748545890042828,0.134592813846851,-0.112881070962335,-0.235026034944095,-0.0070108013795435,-0.282097473489822,-0.211716137220497,-0.18570669559208,-0.211883098027338,-0.225597776303488,-0.205554507708241,-0.14410769554741,-0.208395365248063,0.0277954714053907,-0.129467844996946,-0.312246595577991,-0.167573874834954,-0.308534720150018,-0.187220190946889,-0.210613396586118,-0.153141029528662,-0.208895203652191,-0.271746593671541,-0.171985973772046,-0.623039890525598,-0.114356623681653,-0.252435580655316,-0.183707775534238,-0.202771786043268,-0.191038820311475,-0.105643015953634,-0.17479968514712,-0.132112254978183,-0.118428675386555,-0.125177769627015,-0.308710808338911
progressive,0.295282385929392,0.328295784351009,0.333894557816724,-0.548661775094624,-0.0703816702595619,-0.0277382193732712,0.0034882833493708,0.0291975098818515,0.141203481490237,0.0774762046597124,0.0017656027145963,-0.0177931279376815,-0.0455532403541197,-0.0080966297867715,0.07655606942323,0.0801215412357362,-0.0600387165108185,-0.0345540787350418,-0.034710960923646,-0.0383050358565954,-0.0682754202981628,0.0364487800239615,-0.0520955704500392,-0.0678117884748969,-0.0478978306535185,0.128786773957321,-0.166197260456956,0.10062218665366,0.0547372167633671,-0.0906049750882593,0.0138969996256911,-0.0185224525672165,0.0441273190806169,-0.0305146609591391,0.155630526684013,0.126549037909884,0.0625028995456363
progressive,0.0186480484867343,0.253350894087904,-0.0400541723963891,-0.294842424734598,0.22606209491131,0.147153408872152,0.300581852844718,0.282412589006442,0.228063941051405,-0.0185858653052338,0.0534782775037292,-0.0817558600311018,0.171081967801176,0.129584568391518,0.11005911689361,0.112498710434602,0.117989167088776,0.205993945634914,0.0563794558775722,0.0784354660169136,0.137778623577242,0.145523066955336,0.110342666509903,-0.0065017209262575,0.208538074311973,0.147796475791728,0.0898258029786287,-0.005963470582928,0.270352372498596,0.184573295319657,0.101584188708881,0.118906092323452,0.125853234304907,0.142878226483815,0.114891546916925,0.158879249624158,0.205962331895655
stable,0.0427810921526716,0.22083909338126,0.0135856327145451,-0.0386603028524309,0.0406831740510609,0.0326626614085394,0.0250697954768592,0.0626502745582551,0.0196122320451864,-0.153204743320342,0.0284051979586235,-0.0597102355123033,-0.147526806679482,0.0191121700771442,0.0324912847683137,-0.0214976362191966,-0.116144172277471,-0.300992032663012,0.003556696080366,0.0554928945355274,-0.0815579493021543,-0.0485406244050772,-0.0271138319529863,-0.0200116418276179,-0.0988507427908599,-0.21261482309455,-0.0060401384458298,-0.0174334482992035,0.0023869233392847,0.0128378300576053,0.0832919207608516,0.0098978400581965,-0.0252495328514055,0.108509786026492,0.0530928915657925,-0.0549975731186202,-0.0711195420353676
stable,0.491330316191246,0.512259031800586,0.337940790808433,-0.571368883703059,-0.263029627635649,-0.383813891077843,-0.355601991264409,-0.269983116497387,-0.466325212619857,-0.305536684525797,-0.136465511731826,-0.193885860862068,-0.397244467442798,-0.311760849927454,-0.424655454064378,-0.12881195162218,-0.252528358033751,-0.279091011147315,-0.327216154928502,-0.540224719016243,-0.311515712373078,-0.373488155318312,-0.33171163140275,-0.2697137532166,-0.234153572874526,0.0134344109872138,-0.282981459182756,-0.350129280659484,-0.112114852022293,-0.379412525182418,-0.205346903476046,-0.274837803331426,-0.253487576479,-0.372965603024734,-0.406041677816141,-0.31877832852659,-0.319779050842366
stable,0.552555131447829,0.563416044397012,0.281177093479228,0.0794580164891131,0.199531914419916,0.142350367849994,0.187008425116128,0.146837088597689,0.129128075115465,0.0262744356885873,0.0917300125559001,0.127725885836617,0.0355123521197082,0.203724622749749,0.0853365535869769,0.0896621814294625,0.170482811117581,0.165617484631892,0.149597637065245,0.17405315653314,0.164271035848893,0.148214922813665,0.163849860817013,0.147983946835405,0.092018959539574,0.110920616898726,-0.014827481793085,0.025096797257578,0.101021110994833,0.0826137321849073,0.0560853348571689,0.215620554279317,0.124145458703462,0.0368831890981958,0.158757699712801,0.19441408128591,0.16131182183115
stable,0.476079797944121,0.515968687243613,0.429537757539633,-0.0769216222806189,0.0658838129141891,-0.123655035871259,-0.107174929785856,0.0462038750372979,-0.0412846832139825,-0.0878975706867101,-0.0170415552024925,0.0664959935977255,0.0488209873931353,-0.0502685631269578,-0.0334593590489372,0.0866231723356529,0.104562848263663,0.113666944940282,0.0999209314242218,0.0173373863230098,0.0468949605280303,-0.0472869002990873,-0.0329825996940017,0.0043049931527337,0.0378560972416288,-0.0573079915968577,-0.0960238006389657,0.0949366521690439,-0.0326690455531553,-0.123528646404647,0.0197775546927053,0.129739922847395,0.0217675149674733,0.066072991164061,-0.018418934073197,0.088818992319368,-0.0139241589550309
stable,0.396317094627113,0.590545290820931,0.251471334333107,-0.438302536485053,-0.0474201424299473,0.154689213465,0.152633758195455,0.12615108775028,0.101538504438683,0.181117956852473,0.0597008799734189,-0.053846055947837,0.0491526413588265,0.0375476347214967,0.108385510739456,0.0056614448073928,-0.0159379978474993,-0.154740853014447,0.0040562660233029,0.116641162801164,0.0429185748835293,0.159679905537615,0.002124285622499,-0.0750562831350021,-0.0401350334011823,-0.0367155907210937,0.126622848836869,-0.0418683196746591,0.14607925738207,0.131658448123611,0.119493204823895,-0.0101568074411796,-0.007938774691431,0.0406497553815965,0.0085414161759787,0.0053622544843402,0.134543391343273
stable,0.475087433404516,0.597899489559148,0.232896295762697,0.279664296085578,-0.218886145980681,-0.16644156007375,-0.257482159048126,-0.196554789644387,-0.309981869082577,-0.259328378330785,-0.254071640842335,-0.205193872692274,-0.167857368752719,-0.215756831216159,-0.261349441478898,-0.10263806831668,-0.30451792734836,-0.22812395414219,-0.122581209999813,-0.172875801155827,-0.230602556622189,-0.267488039705323,-0.187219388618903,-0.0735854972813331,-0.186072915724534,-0.221434801348375,-0.122951158087358,-0.289559519997022,-0.331599042012927,-0.196786871086742,-0.189494021556592,-0.284324005318615,-0.287276802229527,-0.0572284469484914,-0.317391762875886,-0.233845085771351,-0.225511985603708
