group,CD80,CD273,CD252,CD47,CD30,CD40,CD3,CD8,CD56,CD33,CD34,CD269,HLA,CD90,CD45RA,CD123,CD7,CD279,CD31,Podoplanin,CD146,CD5,TCR,CD62L,CD161,CD223,KLRG1,CD27,CD107a,CD95,CD141,CD1d,CD314,CD66b,CD57,CD366,CD58,CX3CR1,CD11a,IgA,CD244,XCR1,CD268,FCERIA,CD41,CD137,CD254,CD357,CD124,CD2,CD226,CD29,CD49b,CD81,CD28,CD127,B7-H4,CD26,CD1a,CD207,CD49d,CD73,CD133,CD158e1,CD158f,CD337,CD307d,CD307e,CD319,CD150,Ig-light-chain-2,CD85j,Ig-light-chain-1,TCR-Vb13,CD82,CD101,HLA-F,NLRP2,Podocalyxin,CD258
progressive,0.0442903524846704,0.23494814739245,0.235573149271673,0.168351863492107,0.0962910312553491,-0.0174174446430764,0.0058023359424178,0.11547015425646,0.172118570910864,0.319041719594214,0.407904065600569,0.197716923055041,-0.0160666139824114,0.0613276374658026,0.121249058576201,0.207712475425325,-0.0612362192912243,0.23982763951625,0.17658870205746,0.0079609579118389,0.140788666748832,-0.0019037905266638,0.124925024862969,0.129433398935913,0.185977272244285,0.0692236790126601,0.0039277415128315,0.170027325809581,-0.0143300146833156,-0.167532646383785,0.119157486957898,0.354159697011266,0.0825788907509092,-0.395440023872157,0.0953764508720163,-0.0579278801402525,0.0972485700417775,0.102968289145533,0.181586875498307,-0.138206344991441,-0.0398344120433527,0.0319442111740421,0.156204943876483,0.260505566163971,0.302052109413824,0.0331549617660494,0.115583169219392,0.11461893616391,0.0864364776147788,0.0557774965028009,0.395570836446013,0.356238347504459,0.376051170640571,-0.114677248372004,0.105029982013853,0.159070177880465,0.0377299655354321,-0.0095734443157992,0.0372445748114788,0.0547597837116174,0.31711459130206,-0.0109955274480097,0.370372136335864,0.0482830037480072,0.111641951362888,-0.0710496243091202,0.0280175380315223,-0.213627014328976,0.0100488109918163,0.285293332001496,-0.102276974440438,0.087706406726247,-0.0043931286792198,0.103015029701912,0.120393763828282,0.153498887946623,0.0022925879715064,0.0480311768790576,0.204167353761733,0.130167639509011
progressive,-0.271308530766604,-0.36726402156291,-0.0761426620291371,-0.37360069838488,-0.395835924195522,-0.397337839132469,-0.239154374004311,-0.0911316955091401,-0.27276502091491,-0.31181426812307,-0.316052612246204,-0.0603168780221469,-0.307451455692575,-0.102398516710005,-0.0843614505086196,-0.0253573137480551,-0.150989115736902,-0.367871899223726,-0.371369672522833,-0.375827483878367,-0.188628179538748,-0.344010502606193,-0.289089720001715,-0.129199654655352,-0.392686838884668,-0.350846461439487,-0.0386618323642968,-0.527020130491711,-0.168200950651016,-0.228665775744967,-0.248102569844477,-0.4018411823095,-0.168471678811344,-0.061596981887213,-0.0261167521654594,-0.182449983902683,-0.352895612685591,-0.0673263659880243,0.0789466008983084,-0.223563104351406,-0.0094108431845423,-0.390287840192428,-0.225086350098157,-0.225924262190902,-0.185370752073414,-0.35920003556536,-0.112141692912839,-0.322428211273404,-0.380372169320574,-0.20883090637885,-0.227240272964276,-0.195985649318058,-0.127722866808986,-0.161124725224467,-0.0912523594200202,-0.51516789471211,-0.251693199041916,-0.476950856378778,-0.361841023535909,-0.10883567620117,-0.118895218890018,-0.381503426990032,0.0335056416572122,-0.255415280141486,-0.103320732645682,-0.343413126033413,-0.212684720510659,0.0222247025292115,0.0382828934268412,-0.123989037524474,-0.123993967043186,-0.0838388979566358,-0.195000578344796,-0.152150660082274,-0.25510788429338,0.02501813103782,-0.364882913464328,-0.242083610398424,-0.236125767653599,-0.295020945316
progressive,0.0665529516410858,0.0345373211126394,0.0316982863814208,-0.146748329711678,0.0213883346968593,0.13818457700535,-0.143507965965203,0.0533613431665083,0.181520439232495,0.0708408801687268,0.254658469239802,0.047942171007864,-0.05060515715639,0.241551549282718,0.0197722565553218,-0.0269757916534346,0.080070955203419,-0.0149101985564693,0.0186258038571678,0.0531402508599099,0.130801054097089,0.0061776223663622,0.092379319312664,0.163313756562661,0.112934263512828,0.0302182674233696,0.050882302946175,-0.0813516658600615,0.0867690724474359,0.0510668989517103,0.0816165032920844,0.0737333697480296,0.140702954024247,0.0390083631247101,-0.0413859628070647,0.182052244347266,0.0868485659612259,0.179460687103984,0.0410768685296625,-0.007243098142583,-0.0689463596262525,0.241358002855649,-0.0796104680758367,0.192180564965751,0.0239158591440138,0.0547013711677241,0.101592090548585,0.135441268312502,0.0193653316654571,0.0829117214014248,0.170869157627804,0.129714801154025,0.265310419605877,0.0157020103329225,0.0550753844678911,0.215070279765148,-0.0219772425215327,0.168495146529897,0.113332019858461,-0.0446813445719415,-0.0174607698713276,-0.0674629746508137,-0.109308472651098,0.0241426007242836,0.0373392127669465,0.138087550110349,0.167510990511602,0.0532334692709006,0.128648479467133,0.0570864033231073,0.0179482713380143,-0.0157940966893349,-0.120673498170095,0.0775024979125081,0.131919962433624,0.116807774411572,0.127711844746974,0.0451003151321508,0.0245260548103533,0.0870700711954467
progressive,-0.379800398662504,-0.259894387668042,0.112505995337088,0.0719778134630212,-0.0709789317511077,0.103794721223473,-0.248041440162356,-0.506914499174612,-0.15199467581071,0.0150918587297568,-0.138015678544478,-0.0734954394334922,-0.549580026531074,-0.0282566191683678,-0.455171139893786,-0.228843937828935,-0.0231030299294438,-0.417436090419871,-0.305032442827386,-0.067911775429404,-0.150245116930071,-0.0642727167683941,-0.10357535873024,0.0727012175013197,-0.0865196721218375,-0.278772179322439,-0.410546183738956,0.0645919139109316,-0.386687028887332,-0.21097008055201,-0.0092506368176788,-0.193922170490212,-0.397321957458188,-0.115708754895112,-0.409322791875426,-0.215502558863376,-0.200913663761478,-0.152807220976732,-0.486461137138594,-0.276613213297279,-0.530208003876202,-0.141231462943195,0.0483774398616963,-0.356147181753743,-0.0334642040092252,-0.466039909860027,-0.20027147133296,-0.317980856525587,-0.14224515429607,-0.340496099162213,-0.0974755928902992,-0.153457365284555,-0.135189586973479,-0.350814984141129,-0.143738473354523,-0.119354975839755,-0.0126211867230742,0.189224943481705,-0.186636758300004,0.0385577002912361,-0.430969113458433,-0.0007294920613528,-0.236248146155827,-0.381732176943643,-0.249652540398182,-0.259779871675802,-0.169593127886796,-0.390450024701982,-0.424987861820635,-0.130328938921446,-0.111506361196162,-0.176193450992033,-0.161069782319876,-0.0439644230649745,-0.281103413389324,-0.117190209856665,-0.117428849392415,-0.0831376974655252,-0.224726565519368,-0.0551400909601349
stable,-0.200875622045961,-0.396339515598367,-0.296169363847423,-0.0937089170559888,-0.417756864212956,-0.257691190364065,-0.252379019687176,-0.0834107050683587,-0.19724630429117,-0.022067520178964,-0.266792195539677,-0.34937734562096,-0.249404171625105,-0.35334830094906,-0.298745619183722,-0.221487515037985,-0.447038093515205,-0.239112414202137,-0.180151206742006,-0.388919489724186,-0.350507374693337,-0.334179918309094,-0.409546521868563,-0.130907949570408,-0.195908013648615,-0.0868073607837719,-0.120383756182926,-0.57226715606456,-0.282321177400584,0.0332660532911115,-0.463449321828145,-0.189842090194329,-0.144366802057911,-0.102694150615167,-0.167662128992194,-0.187573030911585,-0.294547119313032,-0.282612453972952,-0.109043534665597,-0.259321321243988,-0.131271668337362,-0.207618535804508,-0.104219155491266,-0.170774040644727,-0.0304119737284553,-0.311950794890978,-0.345138056755711,-0.329726879718515,-0.251975885847945,-0.163291380445385,-0.331611051639308,-0.122463238616479,-0.20714241277952,-0.188513438523542,-0.234726488893831,-0.261571833904783,-0.346722717760453,-0.202896358261134,-0.255915473029308,-0.376600252467215,-0.0844522851248024,-0.219498686244965,-0.0924643883862292,-0.110699786844232,-0.283191591514656,-0.236672319106776,-0.307958789474328,-0.399298567658164,-0.202711576787052,-0.224554980332931,-0.309167812692748,-0.315474712284757,-0.253333902469399,-0.35824937116097,-0.314065706424082,-0.231217523033283,-0.265114753714036,-0.269877777611686,-0.330475374396334,-0.385688717301346
stable,-0.138767464536843,-0.0602630193435967,0.0704452489592178,0.155362954824224,-0.0410777944622494,0.06547118167286,0.0383074879387045,-0.146679801178899,-0.169458383376225,-0.354642876970487,-0.0708728161982371,0.158015940589998,0.0747512270206556,-0.0441941683440032,-0.146966303313069,-0.37513113409978,-0.0865826754334604,-0.0055472643977812,-0.166739601106531,-0.102043688694046,0.177184622259267,-0.129709836793998,-0.151678069766294,0.238109415003562,-0.266754363513091,0.0033368746864455,-0.147357177308666,-0.19914117736237,-0.107608021755701,-0.134045139926906,0.0879465851871134,-0.0597641190435875,0.0783110570111847,0.170079744882019,-0.0579273314956062,-0.0310277437820764,-0.0637435353065775,0.0454533576129467,-0.275525994815558,0.175090662607457,-0.0949951516612101,0.0085017867154384,0.361415626499006,-0.0433781066413045,-0.0153438261781877,-0.146687434214049,0.0256731594022216,-0.0596752649180038,-0.167853514084768,-0.276682915061369,-0.125811740858614,-0.275009675368972,-0.0931961509246152,-0.240335459041937,-0.107834599813746,0.0500067684277538,0.117130574614363,0.0981055393442815,-0.291971107383324,-0.244596469511375,-0.159312777848989,-0.0339344996905879,-0.0973978763435008,-0.108149364007299,-0.258824525366242,-0.111871843771686,-0.0536306604409179,0.180938038270978,-0.0891187192892381,-0.0875209847180743,0.169952865831514,-0.031351348648341,0.130460470172988,-0.0838742475152768,-0.0732530213865688,-0.130797500542999,-0.0317541558099958,0.0300758553299763,-0.195555214371012,0.051229435304786
stable,-0.248351934857296,-0.238721253959601,-0.237403321050076,-0.204396249661444,-0.20396587466462,0.0984125001843569,-0.361992460914051,0.0169531496164954,-0.224561166819378,-0.0912755972142977,0.168036611127041,-0.0154344223346229,-0.171591755820425,-0.293702834559772,-0.551057459906398,0.024528471129837,-0.309812580078303,-0.128813673276346,-0.29710435954029,-0.158719121060712,-0.203957760273192,-0.309407358631383,-0.173706727115719,-0.509009183489065,-0.0989322715727658,-0.11488270499126,0.0523046800304567,-0.340139067521813,0.004335991762814,0.190420139201604,-0.0601715812040479,-0.171052861217509,-0.0631861836362094,-0.0544028070793614,-0.0167852565407338,-0.116104903562077,-0.0244477871967054,-0.137484502186013,0.0629144083573144,-0.302706381194471,-0.151260647562813,-0.186741436810034,-0.0581149790923503,-0.16751722218423,-0.203641737055075,-0.0989393470178986,-0.152990833696738,-0.251517871128489,-0.202500099371878,-0.0737329020914982,-0.19592457127086,-0.0433340113140836,-0.1043016374893,-0.138020199744546,-0.325346216870104,-0.169743092366335,-0.14680099662401,-0.342342291063306,-0.0535570589518849,-0.328535550746611,-0.0743259726427728,-0.199523566707936,-0.395303438657157,-0.0669891038378784,-0.166084792784619,-0.0811208432906079,-0.205842372279754,-0.0463834378057012,-0.296990678357629,-0.078048281581259,-0.202950530793512,-0.161849576992843,-0.151788558289411,-0.215769858299448,-0.214805079644483,-0.104978754125352,-0.278064811094388,-0.247045810672579,-0.286128653651419,-0.211961907680448
stable,-0.167115268112608,-0.0597895519504487,-0.0889725330780002,0.204203722205702,-0.118509383596947,-0.0274768120667848,-0.0488988745657415,-0.0186394524584339,0.0129599275425213,-0.195394740756095,-0.143864158815487,-0.0457808387293051,0.0585665265656413,0.0476830315740388,-0.0982318938944007,-0.163191195508586,0.118485825817573,-0.136460081886132,-0.246925209389626,-0.173923458508402,-0.065195339363274,0.108265126194163,-0.125633008528383,0.0576570920118584,-0.206385001148119,-0.17941287316431,-0.215752990046326,0.0844949496086319,-0.177239623503465,0.0757346775501093,0.14333103399358,-0.173105398204254,-0.0918243133087961,-0.138191972385372,-0.0037411702310152,-0.138440890781306,-0.0616091694457915,-0.0885028742332883,-0.137421181907477,-0.149114155371505,-0.243435169450236,0.0115178479834049,-0.223585518964023,-0.0238506459258146,-0.0041135513852418,-0.183209354717829,-0.0732597002383518,-0.0896950426762063,-0.0911172238428259,0.0977166569161215,-0.0621254277669517,0.0074089273495794,-0.128367039430111,0.0304166687782573,-0.0418809925420839,0.0084042886873077,0.008278549304183,0.13338462871292,-0.143879512142288,-0.0752832179670306,-0.201904764607747,-0.033330407291784,-0.0251114694381765,-0.234595389781071,-0.134087524363945,-0.0917483574324451,-0.126361413721312,-0.123929994171785,-0.113358472205707,0.0455548757262436,-0.0378220176222834,-0.116481633237431,-0.0640270829772682,-0.105407144931729,0.0603656365085257,-0.120057114385259,-0.0978863411637645,-0.0431010337979694,-0.0682611575665908,-0.145078146974909
stable,0.28282437673036,0.107780358210352,0.0981127356674735,0.36308355759295,-0.0151744813221005,0.0543634776747432,0.140469221766688,0.224256267526022,-0.376129309459134,0.0962956206318973,-0.0660305417452796,0.143415962840177,0.13594106207817,0.0968658907206012,0.0927550032386646,-0.0168421072686925,0.142142640900775,0.0894740850087076,0.245246864713745,0.0199535446061028,-0.0720609489137763,0.380704393788494,0.0352932300556161,0.326254150626106,-0.208135104544316,-0.0474651107320672,0.0576561293322504,0.393491072841003,-0.0438360228141904,0.116656842528552,0.040717325685025,0.0091462467661296,0.0935860697348906,-0.278652851432853,0.0719630469649049,-0.0037142580012733,-0.0463762333014084,0.0265504137011783,0.0081069165914226,-0.139596038915504,-0.067022695824425,0.0044182585364426,-0.0501798305687038,-0.190489379425133,0.272394333632159,0.188612629538466,-0.054347198796912,-0.104655116161696,0.0439000731553254,0.170134194888403,0.115953099322573,0.123571703331579,0.113840039136928,0.12099144869255,0.192903412246201,0.033123760917591,0.165468376245747,-0.0519395195251165,-0.122190207010887,-0.0019555745480172,0.22811355629931,-0.0260067279850981,0.0980705699435117,0.0939114758938058,0.100623524664788,0.141974176920033,0.055787848396721,0.200401137276996,0.112134829390267,0.141556238253386,-0.223520687215079,-0.046055964362216,-0.19923430088091,-0.0311664191150168,0.128031636199789,-0.0088483344100975,0.0534353133479897,0.131874602549254,0.10030611076637,-0.0936110118737976
stable,0.210698627979359,0.0552655785100621,0.194237460262022,0.175662135173164,0.0990512878325159,0.100753164485018,0.0579414617437343,-0.0495766924741673,-0.10204929094623,0.16767337098059,0.354751291968974,0.334274517179038,0.0443393976218758,0.254268248862257,0.224236001778436,-0.15648243136899,0.287728406652605,-0.0240964882884564,0.0067657205541665,0.137575825672075,0.0466651061137159,0.275506842739511,0.220762292271798,0.30459626938572,0.189530229060718,0.0295674943871095,-0.262446090713393,0.213604122175532,-0.0116545402171612,-0.0281258518029763,-0.0784065196248099,0.104636559645291,0.231500135577009,0.242637978648677,-0.0758025635822346,-0.0807929755344485,0.100034771396524,-0.007122056003277,-0.422560149728313,0.173179620967115,0.0464188135942147,0.0908456480890725,0.0893437463601568,0.0800089295600378,0.19251868310007,0.0931347088002267,0.0860595377227101,0.211411032362919,0.18084706342658,-0.0460718800263436,0.231511752676792,0.0526439894174285,0.161410786234175,-0.0377187671738671,-0.0322210985177003,0.0415874875421268,0.0339378629710014,0.0460026994855968,0.216644968317332,0.244233233064443,-0.0103411658807599,0.216422942754237,-0.0639506218260472,-0.145265105845058,-0.030345622037151,0.0467605485828359,0.155682866426323,0.0767470080425631,-0.0231978262439166,0.0788521945363163,0.190272415496818,0.0840414518797037,0.0840487455181496,0.0042862777304563,0.14111342772805,-0.0700053952470428,0.22029515936838,0.0381353456941261,0.118870632382427,0.0645501398668788
