group,CD33,CD10,CD45RA,CD7,CD16,CD5,CD195,CD62L,CD161,KLRG1,CD27,CD107a,CD95,CD1c,CD66b,CD35,CD11a,CD66,CD244,CD169,integrin,CD62P,CD226,CD18,CD15,CD26,CD73,TCR-Va24-Jz18,CLEC12A,CD88
progressive,-0.126927377213242,0.0778921655386466,-0.113085949210257,-0.16847780254505,-0.127599427699403,-0.0231587683053667,0.0081167039359148,-0.0664965600520147,0.173913615453221,-0.0763138489026836,0.0753602767384854,-0.10774048076715,-0.0358286653033735,-0.337794485450064,-0.323041630633022,-0.0736573162906538,-0.0172105472217166,0.0239358370267714,0.0166178880936033,0.371595321034893,0.188714842094897,0.228146576846453,0.375393068220198,-0.031913931453134,0.053732054097708,-0.0079295195342983,0.0067494867147381,-0.141267733537418,0.0159261367662903,0.0724588330845956
progressive,0.422377650913686,-0.0507372388389404,-0.025540346316069,0.0875320470916009,0.0142186429257018,0.115530071646443,-0.245016050360058,0.145171813797379,0.134703339588318,-0.0339283304550559,0.0694592429313014,0.123018766104955,-0.011464273309707,-0.408387185590915,0.0623866867832029,-0.0850406583073763,-0.101014236469661,0.107274664377542,-0.0656391515198581,0.426880648823608,0.0859768581403668,0.183760505629628,0.174613125286153,-0.289723319525987,0.12234872929746,0.278213921754915,-0.0248085746217443,-0.0525751874547642,0.0607112650019238,0.0554914982363739
progressive,0.0569767090054609,-0.0489263651882683,0.0106097372790796,-0.298632199778138,-0.0115602838399693,-0.193017332161348,0.0645542223832985,0.0060968682488668,-0.0441345533276693,-0.0966611128146966,0.0055124758305511,-0.0499681072763184,0.23315367708828,-0.0872298650226632,0.0008592150467997,0.0294519690240663,-0.0943438920596041,-0.0598402200336949,0.1095151870155,0.198458849442835,0.188464051815226,-0.0480578711959825,-0.169591738127574,-0.0493628033641122,0.0520110886345408,-0.189298258904365,0.0826674766644756,0.0447295529371137,0.0195035691597076,-0.103571716673528
progressive,0.231996018137722,0.284692176134668,0.153357884455996,-0.0869973470780618,0.597194641928354,0.0814963605316098,0.0731912783006422,0.193906083096803,0.0468154390248299,0.155291985169568,0.293474321935575,0.353800561944578,0.0001094621656271,0.161535194276027,0.496724764074057,0.54649984679762,-0.0043656306158696,0.48297223408388,-0.0155483014665983,-0.0417566040793692,0.429355130833029,0.222063820497063,0.0904330806214558,0.314101906643291,0.429285174843144,-0.0147877403988199,-0.0019696285656527,0.12753625664029,0.522114869637113,0.414358683045768
stable,-0.0297511220435024,-0.198933650582135,-0.051163203587186,-0.0949951607869838,-0.0275655583971422,-0.207736174581189,-0.417192028738003,-0.0136271841191787,-0.18946413967918,-0.36392110039478,-0.114478173140856,-0.277983117988879,-0.28203192987582,-0.230495630534668,-0.0508211953352901,-0.0620437793418105,-0.408087503292482,-0.179510381107231,-0.202528311925151,-0.168934685338788,-0.096551223868782,-0.412599455487335,-0.464580545254118,-0.0821043446600361,-0.0197216854933091,-0.240721998442411,-0.0072216606477898,-0.499347354977189,-0.05643145944357,-0.216745989922461
stable,-0.295129447983736,-0.129552925324275,-0.144474153552841,-0.0527423831907946,-0.0750745522591344,-0.0674559151243228,-0.31985396708838,0.174672455720262,-0.411813530463216,0.0355279547966462,-0.139575705808486,-0.373159230450496,-0.351211583138271,-0.0710883503163052,-0.137155957407361,-0.103231976061766,0.0017843631258293,-0.11252336741262,-0.1592715735037,-0.208158191644387,-0.192975852772942,0.0609257813791387,-0.145707708868171,0.0576337719367961,-0.118819443433719,-0.0574460026822278,-0.18752358036694,0.0014861023705828,-0.325700696382891,-0.432437303226728
stable,-0.093806000616393,0.102757096749103,-0.162110996275697,-0.0195555714295617,0.16725689759355,-0.0215091198955245,-0.0945382270823733,-0.243112636194358,0.0295019258234772,0.205478799995297,0.0936963646667654,0.17420537856681,0.215646659614258,-0.205107812389294,0.169197928457042,0.033293378348725,0.25807848324656,-0.0482575948954429,0.0716758269971984,0.147813329499338,-0.0024086183530591,0.0222313354371573,0.0719698966478952,0.279888470054255,0.0699318849587533,-0.0423749556233286,0.0069438278324281,0.0310525721681503,0.166580922210533,-0.0208942491462768
stable,-0.0697012507057202,-0.162450355560013,-0.326749392341151,-0.229467834775798,-0.192790612583609,-0.191798563042011,0.0217743845155573,-0.55550739719685,-0.111335092169381,0.104179373431113,-0.105438986990355,-0.0802845894221662,0.129617756429411,-0.0848564683119884,-0.133355013601758,-0.142268820414337,0.124162299756392,-0.282549212125198,-0.0155778532710761,-0.0628670446261696,-0.0279931836954278,-0.236756011631838,-0.150372396466228,0.142321882261205,-0.234005832432609,-0.0573994630421344,-0.243652071246824,-0.150865588122163,-0.0314023921963066,-0.274681272259255
stable,-0.0670540459674156,0.0551821839120011,0.250502266651487,0.27030834290232,0.0482489937278969,0.287988320749148,-0.131245892589586,0.309562243189088,-0.0008754806600762,-0.0643411906542488,0.372926920503623,-0.0382456501509863,-0.116608870693463,-0.128225839614773,-0.0876576816415393,-0.253335427193195,-0.0663971080433611,-0.177459360181825,-0.0758798905556325,-0.154788806684317,0.154568017025167,-0.178892389015668,-0.0489953338960978,-0.145544299925974,-0.130068256238333,0.127253602109495,0.134756951168398,0.204266610156386,-0.209435730281934,-0.0807714773630715
stable,0.128218152542771,-0.105950298656389,-0.115387487200102,-0.0763636280714564,-0.0325069768972411,-0.0146614074118142,-0.228338823328979,0.106677067695362,-0.293967216517141,-0.529950929115893,0.190794461081084,-0.409877972687208,-0.4155145060669,-0.0628911334782252,-0.044631071351066,-0.220044080825045,-0.541163130194122,-0.0658025777636302,-0.407870272992578,0.109272528854495,0.12481058456571,-0.0919545478410546,-0.113046719341319,-0.435031819384585,-0.0574110159337697,-0.159915881650803,0.15832686722144,-0.0221454538843983,-0.244417728792014,-0.272717020780642
