group,AR,ATF1,BACH1,BACH2,BCL6,CEBPA,CEBPD,DUX4,E2F2,E2F4,EGR1,EGR2,ELF1,ELK3,ELK4,ETV6,FOSL1,FOSL2,FOXG1,FOXK1,FOXO3,GATA2,GMEB2,HIF1A,IRF4,LHX2,MAF,MAFF,MEF2A,MEF2C,NR2C2,OTX2,PAX6,PBX3,POU2F1,PPARG,RARG,RELA,REST,SMAD3,SPI1,STAT5B,TBP,TCF12,TCF3,TCF4,TCF7L2,TFAP4,VDR,ZBTB33,ZBTB7B,ZNF263,ZNF384,ZNF76
healthy,0.123386453009949,-0.251432638674522,0.0873194767496008,0.0597820322515072,-0.103671301755642,-0.0058348773322754,-0.162839640250824,0.117009180170858,0.139148654256942,-0.0816395044376784,0.214522118418702,-0.176315829976149,0.104446738599728,0.199373702102267,-0.0303434226654782,0.180172226471661,0.216292904354722,0.0962342196425161,0.0423279107792691,0.0988414379839032,0.124235923330508,-0.0914112851124177,-0.0602616998866323,0.212285705679302,0.121574912192177,-0.0510309471052275,-0.0301983644621928,-0.0751110647217503,-0.11400462452594,-0.125847610231498,0.0827903055953574,0.0533634574852704,0.157796337601718,0.0879135680460226,0.154246468874557,0.139334832038908,-0.18734098281969,-0.177497630372745,-0.0189758194061362,0.0995825933167167,0.178781545909303,-0.137394097334238,-0.169446945677526,-0.124689150438322,-0.0265723652512205,-0.0449822661986566,0.150891439481412,0.121106003116441,0.0983624085684029,0.0080784928360121,0.118660983733975,-0.0726747980655674,0.121562603670842,-0.168568481951157
healthy,0.686566782355634,-0.570925346482896,-0.652121985311502,0.684641725153509,0.758459332871202,-0.702630392955935,0.497267361829939,-0.693938792890344,0.709309039219131,0.75310711929981,0.745362739430851,0.768183135054046,-0.650240876409512,0.751889188726161,-0.663275298465647,-0.650031323615095,-0.0766713832369242,-0.736991196536026,-0.701124593412887,-0.720168223178887,-0.660981648340299,0.666849760209994,0.735039552386472,-0.757198771939522,0.65753966512237,0.688537815461131,-0.650337162218171,0.742870257463194,0.634429905172389,0.661013583091262,0.70632488881184,0.698548675572079,0.737076355871928,0.450272765248062,-0.673238002999746,0.693622968341331,-0.704305674784453,0.679705195590491,0.717828064904318,0.662459365578531,0.798244608733001,0.757731372619479,0.779564249431731,-0.766843979151938,-0.749040355489817,-0.721724028486737,0.758898004831262,0.695887344944963,0.712442319844414,-0.668336297522302,0.658488735506955,0.786950149048605,0.733219322271636,0.674448659546786
healthy,0.0591320272345245,0.0764598909485739,0.159563684981518,0.0578209242403369,-0.121437605024218,0.188214028091469,-0.0162934572431998,0.158060555965787,0.148854687375502,-0.175790528693736,0.16826115121291,-0.178816436958141,-0.0861929775648193,-0.075455301240453,-0.0090285612760436,0.168560684493452,0.129045811045693,0.0513887732800786,0.146249779661687,0.180568190735862,0.0387611845903856,0.109511355150465,-0.167320443729261,0.0383027803145404,0.107486394852169,0.0718109037908959,0.163211420694587,0.0950838354710087,0.140387713065662,-0.0820358531877278,0.178785254542158,0.165319685841424,0.119613395754369,-0.0852474144251538,0.165431745277938,-0.111269633715959,-0.259424879016152,-0.144195078470287,-0.0344624874925515,0.142531181718621,0.102110349075585,0.132170577431817,0.14204356763705,-0.0468777171011305,0.162449006830309,0.148287106708902,-0.0279725997474673,-0.107747841580828,0.0897336612366405,-0.0798095349039804,0.120914559827647,-0.211941342957288,0.0863993429455374,-0.171511330089595
healthy,0.198318931234437,-0.117606170461392,0.15327404487929,0.234523211136335,0.0760501967918971,0.153987571519165,-0.0551705564012067,-0.0490562169955029,0.249289813286838,-0.215293611265711,0.280008704664362,0.0440368083715723,-0.0008215233777088,-0.0048657084473448,0.0655522307625525,-0.149546368321438,0.0622417403982907,-0.23558447426038,-0.155853930806278,-0.0965350960941496,-0.287468286567993,-0.18661673651997,0.0930037328835349,0.135863962337201,-0.0909340664845356,0.288701791477228,0.0042165895005152,-0.0147142302384808,-0.237389190831169,0.0941749444936877,-0.0005183518124645,-0.298956276909378,0.220784204452149,-0.0109712649858151,0.211907002718759,0.0393459440404494,0.0029092434482436,-0.0933028383065415,0.147417824182836,-0.120606820787139,0.234982034626439,-0.241306674908678,-0.101031273534931,-0.222186047650025,-0.18043473650743,-0.0307198672516614,0.221984692286413,-0.189077565802238,-0.188724136718935,-0.146649811236976,0.182552871321903,-0.206845794152625,0.0050758466781901,-0.296576119889106
healthy,0.0988792464184205,-0.10284283865704,-0.164540811940549,-0.110416943358425,-0.0098942857142006,0.0865915065794265,0.0913135963068785,0.100273448543595,-0.0150028709773635,-0.0191250874254308,0.0223124677964971,-0.100038330426037,-0.183631275807573,0.127010887624466,0.0974419661449954,0.102046899413185,0.0940106104670115,0.0125860660806209,-0.101602026947601,0.039021555524218,0.0430012517434918,-0.127318473654969,-0.136599197706229,0.112686799431695,-0.0353091853838109,-0.0205555235070777,-0.0730355782638809,0.0850781349974083,-0.073258215796431,-0.0618163375413211,0.0011317072405036,-0.046997857142453,0.0737312702281606,-0.0203968992976297,0.106804820497593,0.154131198845401,-0.0435918652340001,-0.104302261903865,-0.102825526877836,0.19180887718399,-0.0194205954704431,0.175433947054853,-0.0619548317749508,0.0923470692653889,-0.0033013160341978,0.0659562683681084,-0.104748342167998,-0.141435625696328,-0.0510029171312578,-0.084849861071629,0.150637037642864,0.116122583704359,-0.101760651157049,-0.0661789059006586
healthy,-0.114950236852042,0.0185381693944852,-0.0264938821557993,0.0946760011054673,0.176308860226541,-0.314024210634677,-0.17653530366377,-0.170813832816449,0.036442297164729,-0.0742206106091095,-0.19859089444988,0.0662196091603496,0.0051855547125453,-0.106360482466486,-0.0285545174345837,0.263240495778775,-0.0421713161266241,0.0921549308376505,-0.0773002413554246,-0.0700087626766491,-0.246717672975628,0.125170383985647,-0.139300454468739,-0.0200779847676428,-0.0745904682232502,-0.040744722472081,-0.0761000911381106,-0.0832557037545487,0.235803099301188,-0.189948303262304,-0.0301773620680585,0.0981934224970919,0.180664122335913,0.0923360855874337,-0.0036759317976849,0.199677822948579,-0.154351394929897,0.0730355566209441,0.122890853384207,0.185977994996222,0.0775493291363765,-0.139889207405535,0.031588859493453,-0.0856786485328996,0.0780550528128548,-0.0061215209197587,-0.234195350896861,-0.0333475701892653,0.0270750869780205,0.0555465751522868,0.172232878356418,-0.0711711723210915,0.0133601627965142,-0.0225990550354595
healthy,-0.146985916025671,0.0391359894874547,0.170345823936627,0.0413473496492287,0.0552895823904095,0.0842864738605227,-0.0290249129293965,0.0391772433025107,-0.0885234222873405,-0.018500130659975,0.0072701416652571,-0.0736855406809193,-0.054361241822672,-0.213560103310606,0.0242637297018202,0.340466957283075,0.124420468376989,-0.0559291462527553,0.159367638888524,0.193687699519618,0.0700936047335301,0.091590863976015,0.0317244432359994,0.0372131465731163,-0.106212876562772,-0.049039888867386,0.0095285934461044,-0.100916561300272,0.0974009059920427,0.0950338710564726,0.166231988310086,-0.11994624564911,0.189192720155233,-0.0561761502271784,0.114758124354398,0.309385061675919,0.0163884023534306,0.20270152838037,0.1168855498673,0.265102204708808,0.154791578912787,0.0301662684792784,-0.0040417063146818,-0.102110327357332,0.156584303662028,0.258372384237601,-0.112339197827562,0.0382961240828246,-0.296907988014116,0.0123203610561816,0.192702926846379,0.10697023433729,0.0634046488904451,-0.0816968239984242
healthy,-0.103952543468448,-0.114754688935805,-0.0211225318480276,-0.190608959186166,0.0920485368467445,0.0455831984487371,0.0107451807104853,0.0875125146352749,-0.121683230935887,0.0057615782664522,-0.0409527774973086,-0.0275286256493712,-0.0083575436153199,0.020030436080573,0.17737685994711,0.118916371316404,0.225723662886366,-0.0418398001400251,0.0591847548252178,0.009531017606877,-0.126613123752012,-0.0627930652819197,-0.0198790725837424,-0.053774730486888,-0.198240609042492,0.0620557785715516,0.0870437760644449,-0.0084063705497813,0.101896929527621,0.014314429619618,-0.0020344556025608,-0.0340388835775659,-0.0553567231634393,-0.0054637339662373,0.207654442006661,0.0291708382117583,0.0410260178990008,-0.114616345954831,0.0493819339498387,-0.0666259796371443,0.025114947522493,0.0850142031553302,-0.0363142187234699,0.0157890030403541,0.0338175348080072,-0.0030012289048977,-0.0489050575565984,0.293091811927324,-0.120177733789992,-0.0339640156113916,-0.0081134089430126,-0.0952206600222574,-0.0511966683473229,-0.114339659992883
healthy,0.0388677872496654,-0.0594780842476914,0.10366342366965,-0.0507242405560085,-0.0173050829167853,0.0844458743545336,-0.106164740488092,0.273089928404302,-0.0530998694147225,-0.057504404020377,0.106515522342874,-0.0816762147401255,-0.0358102895654949,-0.0831299766417063,-0.00477141835893,0.296156829510904,0.0292421787891368,-0.0409645605026525,0.0536216507700338,0.189743840331577,-0.092712668885176,-0.0581381667606652,-0.165688202813355,0.045016849444571,0.0468938517441543,0.057135790311065,-0.0259242561847051,-0.25249573330477,-0.0029566944766601,-0.0324443274126655,-0.174869146035737,-0.067618325840588,0.222169537448465,0.129472305094076,0.111842522736597,0.185034367706107,0.0267910306957533,-0.0510191980602288,0.166566488185723,0.176453320007761,0.039561100399671,0.0205630558908759,0.0267713358116457,-0.133284529367547,0.0413013696356015,-0.009493200286967,0.108364645735561,-0.124450775014333,0.0270794010596808,0.113283642651757,-0.0005395466730705,-0.0366667508770949,0.151025694279067,-0.153924102544652
healthy,-0.235943566938279,-0.257817546257833,0.0386337847076429,-0.276071475916383,0.134599252136131,0.382871478768959,-0.443020652971245,0.250244470669837,0.246632958861808,-0.0410329213933551,0.312169518290729,0.308114038128048,0.22338438521343,-0.0856517410358175,-0.223128249624208,0.0456689755582723,0.189540336024237,0.458414401883484,-0.0041835479572917,-0.0100319772445261,-0.0358333689321497,-0.0790092914219951,-0.320639068441001,-0.0530542183808383,0.200263879359663,-0.0766101547362829,-0.0870519489235641,-0.214948986475054,0.151606655260468,-0.332096867132196,0.0632398769788975,-0.314252754416401,0.210731287105866,-0.100908884300471,0.443686605503222,0.106364572350899,0.0543861234447924,-0.406760391390392,0.312963538617317,0.157438008841754,0.185442166596686,0.429317398947871,-0.267559236501241,-0.392894918160511,0.363849142342743,0.303247461932831,0.113186316877176,-0.0029711728349745,-0.0171952358897664,0.136998388821843,-0.0136349511995814,0.0007684067676658,0.214547707385273,-0.411003704318502
