group,CD3,CD56,CD19,CD10,CD45RA,CD7,CD194,CD4,CD16,CD5,CD32,CD107a,CD66b,CD57,CD278,CD11a,CD244,CD62P,CD2,CD29,CD28,CD71,CD49d,TCR-Vr9,CD209,CD94,Ig-light-chain-2,Ig-light-chain-1,GARP,CD328,CD101,DR3
progressive,0.137055015738567,-0.360549569187016,0.009733548343276,0.100789505496964,-0.108228661954756,-0.25339991242409,0.319615334008711,0.0160554419569592,0.129874118711466,0.268144991264525,0.152334573523116,0.142079500354892,0.323338056957382,-0.101676861439721,0.147033375510645,-0.339196054988528,-0.0978539359068175,-0.0127236839102172,0.0272967612666783,-0.0970860391533077,0.199762051890919,0.0177537989628866,-0.0147438563994168,0.0679590991184898,-0.0099429816087726,-0.286937264371963,0.236444114539949,0.187718369999554,0.226832865457096,-0.41668293720423,0.0058180218042013,0.179632368898525
progressive,0.0530181201911328,-0.268820004773832,0.0723572383941463,0.0963325780349705,-0.497915726027143,-0.368201418435056,0.139482775781652,0.0998097276466918,-0.197650444549302,0.0544739836127262,-0.0599683439262547,0.0200035926482489,-0.0258827112117077,-0.530869412991121,-0.122129998839188,-0.462275480262159,-0.219083451677396,-0.0451824550033747,-0.235481344749383,-0.214895494080153,0.0175409644294466,0.374169664648954,-0.0425041702960321,-0.133661844724673,0.0122576046312266,-0.420628816829625,-0.189956777342846,-0.233207093636153,0.111083158530548,-0.180327562692227,-0.119862283644487,-0.110375095489533
progressive,0.386637229276214,-0.279782291357363,0.0357546530020275,-0.122174248862007,-0.151120755779483,-0.0795441614795441,0.015968037941364,0.14961298244218,-0.361226763795635,0.282902629954333,-0.122170876855116,-0.071001379000154,-0.0718735321363768,-0.083231357812264,0.02148922475505,-0.0808833209165843,-0.203697196353217,-0.262831200763157,0.175121776317563,0.0655177840927523,0.048375455475071,-0.0629062598284749,0.0770533954919138,-0.0890617360663164,0.0248800518839416,-0.152589641622619,-0.139694390095062,-0.0950162851737543,-0.108060712669453,-0.144565405077107,-0.0537623796155522,-0.104196767998071
progressive,0.226085337921096,-0.118053614138765,-0.0698040958981205,0.0807755229014079,-0.25259429884986,-0.115021096071932,-0.0074453710042226,0.163396205262506,-0.110219039394918,0.233992153853224,-0.0688571841303225,-0.105270903282661,-0.03863107134656,-0.196722357808711,0.124039485427186,-0.0827766147157709,-0.244908228016966,-0.116935302160146,0.133288431334822,0.0730819812774921,0.198646120647709,0.0535744814912205,0.204790120957355,-0.120332831196343,-0.0403168551336961,-0.112288146294227,0.0040197194088304,-0.0460025728503588,-0.0331236274536446,-0.174507116758716,-0.0855685083898582,-0.0605432725726198
progressive,-0.147495137845194,-0.252154578441051,-0.46999433571574,-0.526405431299589,-0.292461459997118,-0.0399753907079996,-0.455890373942635,-0.127809246401309,-0.453095491599453,-0.0650268338150125,-0.468794254626496,-0.486090578966485,-0.463149277777236,-0.108588042679435,-0.180371600816042,-0.232845739233216,-0.230212504706507,-0.263374309130419,0.138640728503253,-0.21567616419732,-0.2075657088007,-0.134961851012042,-0.253800239730548,-0.465549423471034,-0.47546354085185,-0.129105073629473,-0.545205711746638,-0.480055016516587,-0.466431714911609,-0.19831501119171,-0.45825327455872,-0.462692899680097
stable,0.515169287300264,-0.437985074951559,-0.0223226730902838,-0.0022752200922822,-0.437000784543235,-0.37203994931858,0.0815488116178378,0.549673006956698,-0.290082853090248,0.666166546113994,0.0365050053592769,0.0244864580225614,0.0701362647070146,-0.215295007954034,0.141359749954785,-0.588391255251432,-0.440212890284614,-0.122943596592894,0.266252114779251,-0.057663797337342,0.339766977651074,0.182127179441711,-0.0348295667901203,0.0101358347684942,-0.0481457845227255,-0.324366479108357,-0.0129912313997348,0.0011377058708153,0.0260843334300423,-0.574715452709824,0.0132728269608731,-0.0049223792159561
stable,0.422934575047619,-0.402333908335411,-0.0295365855291863,0.138140858045214,-0.34616769960367,-0.288604694792612,0.0817508168433612,0.376503685756166,-0.22919163328548,0.590512945732566,0.018220389047731,0.0420500761052591,0.0405339066684487,-0.223816291426926,0.557396613440497,-0.410314186082805,-0.414607927571055,0.144857800669889,0.464018904293228,0.526877676144335,0.293975179605358,0.484142493859308,0.482709440145404,0.0524125354671109,-0.0512661838668803,-0.190383665911822,-0.114191010774318,-0.0757652968330764,0.0897250717531879,-0.567519473496178,0.0552264640297049,0.0770240807118888
stable,0.54226895342697,-0.3967090416978,-0.0496558415673023,-0.0391432710662704,-0.587650742276784,-0.440374889143405,0.229879930787919,0.566457406708518,-0.448398646871797,0.591570704154363,0.123733794545176,0.121179683845668,-0.0502671003311013,-0.119068979301727,0.555283451857095,-0.0612064503770067,-0.421515121456818,0.0354306666320341,0.422792196258409,0.133650980607506,0.460859351965515,0.278549658959382,0.0904109556469655,0.0608336179302529,-0.0526947113878434,-0.482286652412759,0.0300380464839643,0.0114231291242991,-0.0749703213012866,-0.579599802584863,0.266829681691468,0.0670944254873731
stable,0.590293643120498,-0.549899496737092,-0.0158892347768332,0.0738848013868973,-0.534034555302683,-0.555648449199856,-0.0092047386755368,0.439133612171291,-0.517655240647423,0.671558364250555,0.0633642414033732,0.0219722324064396,0.0725969174445211,-0.116945801218948,0.4248056898015,-0.306945487117892,-0.538876753267747,0.176029589797277,0.43117265722319,0.202953825767679,0.350463545673892,0.260082242598291,0.242180493268077,-0.146835596527616,0.168388992890248,-0.363280451201305,-0.0952706843099334,-0.0598690251500802,0.105938528600823,-0.53171678993275,0.147779339811338,0.0772218345457099
stable,0.426593721306807,-0.536207427296328,-0.0036575539886204,0.0696144200510451,-0.263839112277998,-0.514922662250978,0.136870720327739,0.454320412700788,-0.115135518086388,0.556472497409026,0.0755351288634683,0.0730627329448981,0.0117122996013055,-0.0031622729425487,0.24020644918634,-0.169391233561704,-0.147220181484146,0.235642683273176,0.307537074059835,0.150088588713879,0.270976396721109,0.0707598059516244,0.21588365524938,0.0924550436994354,0.0500551120484606,-0.581648701713919,-0.0022314223074337,0.0062780019152816,0.0885057447709631,-0.329977835838102,0.129227134463521,0.0500425698987906
stable,0.264514490569587,-0.52564557412929,0.0004583163219781,-0.0484587724125988,-0.178000767523641,-0.431320870226966,0.0707808932796962,0.364045991983881,-0.15734714502791,0.412467310108598,-0.0628333278344247,-0.0932760352947446,-0.119551959618832,0.0343266033227993,0.229525476842424,-0.0224092461427037,-0.232063037188249,0.110829808241234,0.219235967734068,0.093249916091037,0.127624323001778,0.197682883553708,0.174575240391792,-0.0300383690399058,-0.0345304130931054,-0.582434866469959,-0.175720950819108,-0.111569040905105,0.0558178539385089,-0.414223174475696,0.0187304605360644,0.110729439650297
stable,-0.018215832743509,-0.197237181526133,0.0486611600156383,-0.0960931164160392,-0.209142478539465,-0.143441355860087,-0.0488156394326921,0.213224987347843,-0.248662365027916,0.245622238488674,-0.195324574510005,-0.131217067686083,-0.143043863872339,-0.0205414490180124,0.0010865483640562,-0.370975161553363,-0.366775302466901,0.0614770762034622,0.175484966550371,0.0328199236964466,0.11824735911662,0.0560054475620183,-0.0799600098076792,-0.0120611551333924,-0.104046044106956,-0.389833685023741,-0.114671994028216,-0.127158080702055,0.0630555248019606,-0.311211932111155,-0.142183155880523,-0.137532007071289
stable,0.211486769205972,-0.418508303600174,-0.0207487734377943,0.027895569448523,-0.240008850189744,-0.180813529163765,0.159066933517155,0.478517875309781,-0.408516697827433,0.63328612822794,-0.102272655342061,0.0730577945108565,-0.0589378798174834,-0.34005726769817,0.437709709095361,-0.351652981323205,-0.267804865826076,0.135853285523327,0.441746780556854,0.343265075458348,0.407118550326882,0.525345397762531,0.285971417321434,-0.0643430757869544,0.1102787020228,-0.618502950998333,-0.0425329922458412,-0.036039100188393,0.0817500568757603,-0.352147874171568,0.0684491420238584,0.0454460747910177
stable,0.148281344889675,-0.534756550546267,0.0129741598512749,0.0819727818945256,-0.197347038795801,-0.428578294693323,0.106596982910676,0.270122579073517,-0.163353659156009,0.447382126948275,0.061417975646785,-0.0125001547071257,-0.0577922029327925,-0.283719281554305,0.216860185311185,-0.420615176251459,-0.290205613822517,0.109206364685543,0.318662520849185,0.171173374815038,0.232141349756181,0.322277620854546,0.0349652179940156,0.0072051780086192,0.0114482684090334,-0.345606533187608,0.0610292870559431,-0.0010439534568981,0.0567347241483735,-0.505380248817217,0.128333350737445,0.0265398000323676
stable,0.0855198218171017,0.0620429726423342,-0.140363997227359,0.209011452479546,-0.0483776917829942,-0.140967143786952,-0.0029987100260936,-0.0163566446038625,0.267378478163105,-0.187782224999244,0.0900507075382724,-0.197388050584489,0.23316827055451,0.113470767913269,0.0184118105844722,0.103372651476713,0.0698467000065701,0.684382095508678,-0.0859120935356043,0.0964217789128984,0.0612257251070398,0.313145435271886,-0.287149835301206,0.16649604415829,-0.0698111712878623,-0.133001042254283,-0.0500388073273988,0.207613636009496,0.0107601516261875,0.11037273379463,-0.116898623198368,-0.220357710610347
stable,0.531718653530272,-0.400328508748834,0.0572807832258784,0.16007665239145,-0.31761679399504,-0.286176316347165,0.151263629437643,0.461279653004111,-0.200979185455023,0.61606353388822,0.13513645870523,0.137955315586931,0.0447088758316037,-0.0734446219170559,0.333573859308277,-0.253877106409317,-0.224486470123992,0.0764632145602766,0.282036531772034,0.104969852163301,0.325949056710022,0.222139052015523,0.107517009236552,0.147972975943461,0.0624796383019786,-0.255828205879356,0.120964694602071,0.097612042974249,0.085779121965274,-0.555143000754185,0.174790157610724,0.143854554107437
