group,CD275,CD3,CD56,CD45RA,CD7,CD4,CD16,CD5,CD62L,CD161,HLA-DR,CD66b,CD35,CD57,CD278,CD11a,CD244,TCR-A-B,CD2,CD29,CD28,CD38,CD15,CD71,CD49d,TCR-Vd2,CLEC12A,CD257,CD94,CD328
progressive,-0.145829433108145,0.0230457947741282,0.199080930251473,0.0569659808226221,0.223272161890694,0.0467743429888081,-0.219670208639917,-0.149885329405605,0.286913760800372,-0.0584021741137473,0.0678628644796305,-0.246137056711275,-0.217075634922967,0.0421206992738917,0.0023787302097386,0.324466567450287,0.16920980562382,0.0927631136498312,0.0834697392864501,0.259462816683688,0.0099263794001321,-0.0414705882658107,-0.354201475100572,0.0780452070797671,0.212466877957045,0.175169378873166,-0.101692911652132,-0.0430289579544744,0.27784466531362,0.330831412362152
progressive,0.129315597761319,-0.0543800272802323,0.127721829530037,0.247204369426241,0.0304801528437637,-0.121831193706493,0.0251669581549034,-0.233845598376643,0.127069022026184,0.0789217079076307,-0.0355105325242927,0.0152049482815632,-0.0058442684466546,0.44890539359979,0.11255995433887,0.242275344957165,0.130197737649176,0.0299184723872905,-0.149581131580151,0.205939700523795,-0.0528870277553168,0.0685066913430402,0.0273075350229118,0.128541230653096,0.234134018515304,0.0881323096126811,-0.101125950376608,0.0639931622099952,0.275447715020994,0.161629427410214
progressive,0.102104311613319,0.109032457723621,-0.0319895534836191,0.215385303304969,0.160155304664986,0.031521697088735,-0.111168623894609,-0.0789155665104995,-0.143479079517912,-0.0537952923415373,-0.144880408855621,-0.201134830943792,-0.213978401489179,-0.0362415957165261,-0.15722938084234,0.0062044273359049,-0.0064252428001402,-0.0843505973858404,0.0629884501508369,-0.0426625686335659,-0.0824144225457056,0.0058069165538704,-0.117585590748454,-0.149692610768138,-0.104211565683079,-0.0856447893981769,-0.233264656048271,-0.189353697732559,-0.0947167937607685,-0.142966506314671
progressive,-0.0763701140649331,0.0588370125038621,0.0369297138359412,-0.0707548318976188,-0.0352685988073818,-0.0003784039584254,-0.0407115002987043,0.114448403044453,-0.306070984190177,0.0034787006008834,-0.154013741486664,0.0435865654155436,-0.0654893420258387,-0.222074259611163,-0.12761919346462,-0.130036144244786,-0.142609649362948,0.0064554230637067,-0.0365662027675029,-0.0884642950962198,-0.0335224306349745,-0.125383031345744,-0.0165915981264413,-0.0663925520068778,-0.0272068387026139,-0.0579469880428971,-0.0457457693594477,0.0270902808468323,0.0259454445286999,0.0982249340483741
progressive,-0.494937493980593,-0.227683470549059,-0.134098143544548,-0.0677754787914668,0.372590351914776,-0.338917855807948,-0.440684025917385,-0.044088706358798,-0.219411571854326,-0.435656840029243,-0.2046691271509,-0.402991188433056,-0.513450293536742,-0.0856222957219452,-0.39022611816318,-0.230138588347693,0.127341712439242,-0.153977707219901,0.112829621344039,-0.183708170703557,-0.267835763802104,-0.0645061665787002,-0.503473037870371,-0.115074145851746,-0.0583271541883549,-0.152362872576411,-0.50486681822985,-0.0821382407023144,-0.0071502451854947,0.273580441103368
stable,-0.0437749439398481,0.415554672492805,-0.520179155990985,-0.440266272823933,-0.419712814113046,0.398780622626306,-0.346386982945133,0.584563578509009,0.0985634414343445,-0.15815292346354,-0.132413962834901,-0.0230290554309626,-0.0652768701359576,-0.265628376073832,0.0214998853233388,-0.619505321048054,-0.494049731986631,0.171124670069234,0.207186753723405,-0.211422959549316,0.182357668520645,-0.519524134448901,-0.0812216050163929,0.0803551139759111,-0.129737727310189,-0.0435911318005928,-0.112246010555652,-0.0607111332000113,-0.424768608840405,-0.638494906095829
stable,-0.0267081547315647,-0.0846216141587956,0.0506060192811853,-0.0907415691409494,0.0430009103469919,-0.0828960307223785,0.163945398357991,-0.111677821303144,-0.223400814777023,0.149781578215088,-0.0976292417267898,0.0899330714685633,0.155434335924064,0.0371258370321858,-0.0138304379509704,-0.0519199025862494,-0.0269726176733757,0.080042270845283,-0.0869259174296898,-0.0944012636875969,-0.154372604086477,0.232244682836702,0.0695695459416575,-0.0215459120262216,-0.11394790720262,0.132546545748744,0.216552717356102,-0.0650116900176799,-0.0370586736979779,0.0531860525954497
stable,-0.0882212903489682,-0.210734237994893,0.195406576802313,0.189142373062742,0.201460120854603,-0.374414706850481,-0.0948235379246971,-0.338761816030451,-0.0376490581718586,0.0242338207382565,-0.189018810737052,-0.0998554550659923,0.0899278656256863,-0.0747358116503412,-0.469813123054076,-0.037165040841724,0.0090308114298808,-0.141534148660281,-0.171616339404844,-0.135164762206041,-0.166856092972461,-0.323161089700552,-0.0769782096055934,-0.356720585995708,0.12394196236055,0.0338149847491793,-0.0529872169101472,-0.144214816900434,0.203125126507936,0.163383276538181
stable,-0.22522976192375,-0.538030690638442,0.573833938537703,0.457079854361572,0.425868801000069,-0.462337054880808,0.29040566549083,-0.731755348540654,-0.110504546080425,0.20477997194029,-0.30179500913977,-0.167368599929197,-0.0863839718925707,0.068805801265138,-0.468478741747936,0.301780325540868,0.439783284473854,-0.447139384978227,-0.497195759934997,-0.261241270402381,-0.415087317416008,0.0807413618082506,-0.0895795400701465,-0.453133767329325,-0.247337820394088,-0.218575125069328,0.0034791611792704,-0.0564388844566737,0.282434263478564,0.586521886073369
stable,-0.0524996282838667,0.0741724909674466,0.157747401008352,-0.161648267215624,0.107726296918099,0.107881073384959,-0.195723303095777,0.0571729880401817,0.443212682131532,-0.0433791191104235,-0.0141359709283561,0.0560370512855386,-0.0211403255607768,-0.0681762869586898,-0.0025004386933598,-0.218795299963475,-0.164546613453408,0.0261016505921688,0.151766634000425,0.0031848528869744,-0.0232441059209893,-0.25591180870197,0.0292686109574776,0.203140226999361,-0.0961201575550979,-0.0765909798971142,-0.0270616366546179,-0.0609361284727216,0.298095551549188,-0.0228066153620747
