group,CD80,CD275,CD52,CD3,CD56,HLA,CD10,CD45RA,CD7,CD4,CD14,CD16,CD5,CD32,CD161,CD27,CD107a,CD66b,CD35,CD58,CD11a,IgA,CD244,CD38,CD15,CD71,CD36,CLEC12A,CD94,Mac-2,CD328,CD88
progressive,0.0565141241375931,0.204658827338017,-0.0863012398543844,-0.381243425248311,0.323918978637248,-0.102798509588679,-0.218088726976813,0.113802551279496,0.0861480406625867,-0.136649030741797,0.156099287468076,-0.030328268757943,-0.398700686666808,-0.0735447020796854,-0.18538198703601,-0.241382861488013,0.0837325035014379,-0.164618465570648,0.0089866289706427,-0.12979183671678,0.209532725532373,-0.0851900587252026,0.0899188343355953,0.0947915780374158,0.0251607724032345,-0.134514616808804,-0.080204480281723,0.0155275669837784,0.334253091169906,-0.0751789285769915,0.336212719465224,-0.0920630722327661
progressive,0.280619632133635,0.130987396411417,0.0281997572777877,-0.158526144272486,-0.0842600928766557,-0.122987010018339,-0.0450859723121936,-0.0041042271662004,-0.163207964931318,-0.0804465032538204,-0.0428105632920499,-0.0867658984918262,-0.164472827825572,0.0734687988630597,0.0559385076563917,-0.118295326441449,-0.0274877304369879,0.0469958165036103,0.107510768163083,0.18260284765625,-0.0973799740434127,0.0816637128902459,0.0188659375836355,-0.0234747186664839,0.0943059922944616,0.513460181765373,0.505854547722497,-0.0373315494655762,0.0235124469137304,0.14170783212304,0.0246278210034088,0.277887152823436
progressive,-0.0889515648716057,-0.129204481489007,-0.119572185576931,-0.047273136850339,0.004757932682683,0.107767276328512,0.147500491939881,-0.13658536226523,-0.011199556218163,-0.0223040048102686,0.0613703039749503,0.0703989436060177,0.140796395138679,0.107893349893734,-0.0416057439064396,-0.0669455983222122,0.149339215944907,0.130510900839206,0.0423968358228553,0.117012916146464,0.018951555306614,0.177506212014835,0.124209074964219,0.0898078646734407,-0.0098088294762206,0.1019209256117,-0.0217533721280115,0.158103098131148,0.128886600464243,0.0765554892643754,0.141269884543719,0.139572282401757
progressive,-0.0167139771752921,-0.0195754622262978,-0.0243757671143893,0.0326861545370061,0.140635889812962,0.0778973633515586,-0.0126340642200812,0.0572691951973965,0.14517840238523,-0.0797661784216918,0.0373795551086356,-0.0021553147216961,0.0049216738067054,0.0137983963927288,-0.0178279946466916,-0.247692971558797,0.111702157016729,0.0209206256478217,-0.0634345227841074,-0.0064477372345837,0.129717824970448,0.0452342452339468,0.160282706791974,0.0037233430524268,0.0058811873779336,0.016373705316774,0.0593398038284178,-0.0448844701869881,0.214439480420112,0.0851621021665548,0.0733329394900499,0.085422211588191
progressive,-0.249592950021923,-0.508031736735939,-0.239899605237304,-0.342200580030832,-0.191742887146356,-0.451409647592592,-0.549545833652369,-0.242032712141089,0.345642380520708,-0.292897528715497,-0.296521450320574,-0.461872830853521,-0.0711832204483865,-0.416767647012458,-0.359473241839355,-0.181106453148774,-0.495510340487851,-0.574809616272188,-0.654907926019037,-0.526689786714438,-0.342423823940405,-0.47254505580824,-0.0409810473259834,-0.218726006578748,-0.508872129826209,-0.133254320771006,0.0051476757269138,-0.55129778323049,-0.0588046026462243,-0.196549712226093,0.0972011589730999,-0.511668458603185
stable,0.0683587126344683,0.0039471845989087,-0.311395813897301,-0.476853832590996,0.543270389835778,0.257460780423827,0.112339342517977,0.516134321196448,0.490025495574042,-0.461929054211507,-0.0150981800259442,0.390185269415097,-0.590173841915065,0.0757674851784367,0.0905825634293096,-0.332165608982945,0.085317586346863,0.0370023661078717,0.0655074665298255,0.0728806047776863,0.644228361002587,0.116348832241784,0.488512192107669,0.506153644755142,0.102413621811728,0.0277501936976388,0.0022975099883824,0.078868855316917,0.426712667577058,0.0256235719761759,0.628208295157315,0.0986444171577055
stable,0.0639839149240043,-0.0990187150064192,-0.193780055547244,-0.498660475650261,0.505316392449147,0.0211184496302087,-0.165678838963161,0.267365160966915,0.476598110765587,-0.438619468931502,-0.0812367661959912,0.350209873095593,-0.614377970292999,-0.0538033379474361,-0.009715739288122,-0.42574223354483,-0.0198951297152261,-0.0197673015925087,-0.0310488101467026,-0.0786895771316467,0.535644293051417,0.0721938922606455,0.504260672212509,0.12388113040072,0.133272095626309,-0.403645937122703,-0.184932419026795,0.0310553068630345,0.195892551399748,-0.077012797980464,0.647511117597454,-0.0637362115254329
stable,0.0702652302695693,-0.0935641102820126,-0.0502411131837316,-0.163283875491472,0.550226737380996,0.0451303527265959,-0.0464525796683258,0.511474829174563,0.390820367304155,-0.362058158501782,0.107529664588562,0.220925701085033,-0.374699031577582,-0.0661255898008445,0.106186132555686,-0.199143546988211,-0.0409031490680653,0.125312407545031,0.204661208084687,-0.111771168394524,0.07969739205999,-0.0056925357496836,0.312585953501707,0.144420911782456,0.0278852084868797,-0.156619503474459,0.128810255431324,-0.0141459812417696,0.523421882113738,0.0358895533309584,0.421213419583068,-0.121835596425668
stable,0.201477617636154,0.208823504754912,0.0037206562335433,0.371638422427795,-0.175808098251529,0.0538398232900151,0.173289997220456,-0.335723351085512,-0.242450178808822,0.169060237497244,0.194907535777684,-0.218110330976022,0.299502874284211,0.156677001335935,-0.149861490551126,0.108275137666783,0.155721389596023,0.0950149245448503,0.0963081875132018,0.0725624117225698,-0.117341814283979,0.170476088385509,-0.263425566510746,0.0297563183698623,0.129296315822448,0.455892956514054,0.0232729891741862,0.0375280035129789,0.0579868608684216,0.155837682557701,-0.160160622230826,0.193553492056748
stable,-0.0215350755841602,-0.115074237052607,-0.25477377161796,-0.410703630864713,0.562230750701456,-0.136118427746375,-0.0858992213104159,0.238590909363945,0.605730975318769,-0.409172662182598,-0.0535496280140585,0.0736584774827882,-0.494913271788575,-0.0896000033653165,-0.0150960836299747,-0.166902645600769,-0.0546960980710626,-0.0670790056825741,-0.126591283395676,-0.0987915889202436,0.209628532318633,-0.0196022423428061,0.199356934488152,0.310413524079043,-0.0754567816408706,0.0367118311461408,-0.0667243000190011,-0.116676938822409,0.551345179541349,-0.17448116270672,0.44519350996618,-0.0728865708554737
stable,0.0209765634167319,-0.037921956952216,-0.100584131131232,-0.184125065279042,0.310095437251329,0.0284331429183071,-0.0413396289796938,0.203224221167627,0.414432434481894,-0.191205459098635,-0.0124222678979956,0.0865495691271078,-0.214237430761829,-0.0800817387356512,0.0172554572035606,-0.0619530156369362,-0.0408122813782293,0.0126364029502638,-0.0259378319461454,-0.0637383740871429,0.0978918895372615,-0.0579015977935614,0.0688595849013706,-0.0462580353757442,0.0551788384628473,-0.0147830667522661,-0.165356754511889,-0.0041366416123716,0.420833825032612,-0.0833021898044771,0.234667646769747,-0.0557560736284148
stable,0.0210257692755778,0.018261712462463,-0.195482005487186,-0.103116209365754,0.351978163117532,0.161516421325219,0.0710518539819378,0.203939736871215,0.313300300895018,-0.204438722332113,0.150949050797365,0.248282680958024,-0.298672624207668,0.207013308880317,0.104772537109312,-0.124856095716697,0.161917385871651,0.146681914809323,0.114859623026327,0.116913465370531,0.357194708760898,0.0547198695446473,0.276779097864277,0.170989982662209,-0.0072247690125072,-0.103550470818682,0.0570579580730967,0.0184313183572283,0.543766374937878,0.115814305541915,0.251144830417362,0.0903290120696706
stable,0.178104805784887,0.306890969280963,0.0204135285843932,-0.0024746996123695,0.248844779688097,0.237671354941906,0.0720606590176002,0.177928132162325,0.263886621688782,0.0143333741267941,0.133370034339608,0.222570762742646,-0.0358535465302679,0.264632011080207,0.169141813992399,-0.0233164738194402,0.201150589834483,0.108485302397782,0.112310422532347,0.209112023569813,0.337204831052771,0.116660400298767,0.274782276156223,0.355154036316199,0.10640815652683,0.48418954135355,0.17442892692141,0.121388020811004,0.493510029549428,0.247692392806857,0.361763680568145,0.214398402219068
stable,0.119936558780934,-0.0436003970179817,0.0131315040479611,0.104765614797411,0.602806018593139,0.194787191806029,0.0672586981797787,0.258303543991628,0.48044140186965,-0.161457668059174,0.0688478617083213,0.221024006485692,-0.295041756240912,0.164086782660928,0.218719358021925,-0.155470142342495,0.179591282021068,0.181324235743046,0.149309195618662,0.127244945952736,0.505643567446902,0.116195984344011,0.359830962927477,0.191683127671887,0.167668360003148,0.077320169837641,-0.033404385990202,0.169431483370821,0.400129517919032,0.170937246915266,0.342151601880037,0.147612411637415
